cik,company,first_10_12b,n
0001735184,Retail Value Inc.,2018-06-04,2
0001735707,Garrett Motion Inc.,2018-08-23,2
0001737193,"Baja Custom Design, Inc.",2018-04-13,1
0001738827,"KLX Energy Services Holdings, Inc.",2018-07-25,3
0001739445,"Arcosa, Inc.",2018-05-15,7
0001740332,"RESIDEO TECHNOLOGIES, INC.",2018-08-23,3
0001745041,IAA Spinco Inc.,2018-06-28,7
0001746109,Bank First National Corp,2018-09-24,2
0001747009,Equitrans Midstream Corp,2018-08-10,4
0001751788,Dow Holdings Inc.,2018-09-07,5
0001752036,California BanCorp,2020-03-04,1
0001754301,Fox Corp,2019-01-07,3
0001755237,"Cyclerion Therapeutics, Inc.",2019-01-28,3
0001755672,"Corteva, Inc.",2018-10-18,5
0001757158,Life Fitness Holdings Inc.,2018-11-13,3
0001760965,"Kontoor Brands, Inc.",2019-04-01,3
0001761940,ATHENA SPINCO INC.,2018-12-21,3
0001763119,LAST CHANCE MANAGEMENT LLC,2019-01-22,1
0001766400,"Pennant Group, Inc.",2019-05-06,4
0001766927,Mallinckrodt Inc.,2019-03-26,3
0001767258,"XPEL, Inc.",2019-04-03,3
0001768267,Cerence LLC,2019-08-21,2
0001771077,"Telemynd, Inc.",2019-05-22,2
0001774814,Bee Real estate Trust LLC,2019-04-25,1
0001780097,"Baudax Bio, Inc.",2019-10-22,3
0001781335,Otis Worldwide Corp,2020-02-07,2
0001783180,Carrier Global Corp,2020-02-07,2
0001784254,Mediaco Holding Inc.,2019-08-13,6
0001784471,Kay Robyn Daniel,2019-08-07,1
0001784597,MATTHEW MYERS ESTATE,2019-08-06,1
0001784726,MARBLE SHANNA,2019-08-06,1
0001784728,MARBLE BRYSON ROBBINS,2019-08-06,1
0001784729,BORRELLI TARA LYNNE,2019-08-08,1
0001784730,TARA LYNNE BORRELLI TRUST,2019-08-08,1
0001784732,MANOS JOHN CHARLES,2019-08-08,1
0001784733,JOHN CHARLES MANOS TRUST,2019-08-08,1
0001784884,JONES MICHAEL LAVERNE,2019-09-12,2
0001785078,Kendle Glenda Lynette,2019-09-20,1
0001785106,curtis jerome,2019-09-19,1
0001786842,Vontier Corp,2020-09-01,2
0001787059,CHAPMAN DALETIA IONA,2019-10-01,1
0001787060,CHAPMAN KHADIJAH X,2019-10-02,1
0001787106,CHAPMAN DAVID CEDRIAN,2019-10-01,1
0001787503,COOK PHILLIP DAVID,2019-10-02,1
0001788999,Xperi Inc.,2022-08-26,4
