strategy,alloc_key,ticker,entry_date,exit_date,days_held,exit_type,contracts,risk_per_pos,mlpc,net_pnl_1ct,pnl_dollars,roc_pct,is_win,vix_on_entry
UVXY Short Put,UVXY combined,UVXY,2025-05-30,2025-06-13,14,early,1,1273.8711307466322,2200.0,84.00000000000001,84.00000000000001,3.8181818181818183,True,18.57
UVXY Short Put,UVXY combined,UVXY,2025-06-06,2025-06-13,7,early,1,1273.8711307466322,2000.0,70.49999999999999,70.49999999999999,3.524999999999999,True,16.77
UVXY Short Put,UVXY combined,UVXY,2025-06-27,2025-07-18,21,expiry,1,1273.8711307466322,1850.0,-32.49999999999999,-32.49999999999999,-1.7567567567567566,False,16.32
UVXY Short Put,UVXY combined,UVXY,2025-07-11,2025-08-01,21,early,1,1273.8711307466322,1650.0,102.0,102.0,6.181818181818182,True,16.4
UVXY Short Put,UVXY combined,UVXY,2025-07-18,2025-08-01,14,early,1,1273.8711307466322,1650.0,62.5,62.5,3.787878787878788,True,16.41
UVXY Short Put,UVXY combined,UVXY,2025-08-08,2025-08-29,21,expiry,1,1273.8711307466322,1450.0,-147.99999999999997,-147.99999999999997,-10.206896551724135,False,15.15
UVXY Short Put,UVXY combined,UVXY,2025-08-15,2025-09-05,21,expiry,1,1273.8711307466322,1300.0,-47.0,-47.0,-3.6153846153846154,False,15.09
UVXY Short Put,UVXY combined,UVXY,2025-08-29,2025-09-19,21,expiry,1,1273.8711307466322,1200.0,-44.99999999999999,-44.99999999999999,-3.749999999999999,False,15.36
UVXY Short Put,UVXY combined,UVXY,2025-09-05,2025-09-26,21,expiry,1,1273.8711307466322,1150.0,-38.000000000000014,-38.000000000000014,-3.304347826086958,False,15.18
UVXY Short Put,UVXY combined,UVXY,2025-09-19,2025-09-25,6,early,1,1273.8711307466322,1000.0,37.50000000000001,37.50000000000001,3.7500000000000004,True,15.45
UVXY Short Put,UVXY combined,UVXY,2025-09-26,2025-10-06,10,early,1,1273.8711307466322,1000.0,38.00000000000001,38.00000000000001,3.8000000000000007,True,15.29
UVXY Short Put,UVXY combined,UVXY,2025-10-03,2025-10-10,7,early,1,1273.8711307466322,1000.0,45.49999999999999,45.49999999999999,4.549999999999999,True,16.65
UVXY Short Put,UVXY combined,UVXY,2025-10-24,2025-11-03,10,early,1,1273.8711307466322,1000.0,43.99999999999999,43.99999999999999,4.3999999999999995,True,16.37
UVXY Short Put,UVXY combined,UVXY,2025-11-28,2025-12-19,21,expiry,1,1273.8711307466322,4800.0,-592.5,-592.5,-12.34375,False,16.35
UVXY Short Put,UVXY combined,UVXY,2025-12-26,2026-01-14,19,early,1,1273.8711307466322,3500.0,107.0,107.0,3.0571428571428574,True,13.6
