delta_target,vix_threshold,entry_date,expiry,actual_dte,strike,put_entry_delta,put_entry_mid,put_entry_bid,vix_on_entry,exit_date,exit_price,exit_type,days_held,short_pnl,short_pnl_worst,pnl_pct,pnl_pct_worst,margin_reg_t,roc,annualized_roc,breakeven_pct,is_win,is_open,split_flag,missing_exit_data
0.15,30.0,2018-05-18,2018-06-15,28,10.0,-0.209,0.345,0.34,13.42,2018-05-29,0.135,early,11,20.999999999999996,20.5,0.608695652173913,0.6029411764705882,234.5,0.08955223880597013,2.971506105834463,0.034499999999999996,True,False,False,False
0.15,30.0,2018-05-25,2018-06-22,28,9.0,-0.142,0.2,0.18,13.22,2018-05-30,0.09,early,5,11.000000000000002,9.0,0.55,0.5,200.0,0.05500000000000001,4.015000000000001,0.022222222222222223,True,False,False,False
0.15,30.0,2018-06-01,2018-06-29,28,9.5,-0.17,0.285,0.26,13.46,2018-06-21,0.11,early,20,17.5,15.000000000000002,0.6140350877192983,0.576923076923077,218.5,0.08009153318077804,1.4616704805491991,0.03,True,False,False,False
0.15,30.0,2018-06-08,2018-07-06,28,8.5,-0.1826,0.255,0.24,12.18,2018-06-19,0.105,early,11,15.000000000000002,13.5,0.5882352941176471,0.5625,195.50000000000003,0.07672634271099744,2.545919553592188,0.03,True,False,False,False
0.15,30.0,2018-06-15,2018-07-13,28,8.0,-0.1561,0.195,0.18,11.98,2018-06-21,0.045,early,6,15.000000000000002,13.5,0.7692307692307693,0.75,179.5,0.08356545961002787,5.083565459610029,0.024375,True,False,False,False
0.15,30.0,2018-06-22,2018-07-20,28,8.0,-0.0929,0.105,0.1,13.77,2018-06-26,0.03,early,4,7.5,7.000000000000001,0.7142857142857143,0.7000000000000001,170.5,0.04398826979472141,4.013929618768329,0.013125,True,False,False,False
0.15,30.0,2018-06-29,2018-07-27,28,9.5,-0.1437,0.27,0.25,16.09,2018-07-27,0.015,early,28,25.5,23.5,0.9444444444444444,0.94,217.0,0.1175115207373272,1.5318466096115866,0.028421052631578948,True,False,False,False
0.15,30.0,2018-07-06,2018-08-03,28,8.5,-0.119,0.16,0.14,13.37,2018-07-27,0.055,early,21,10.500000000000002,8.500000000000002,0.6562500000000001,0.6071428571428572,186.00000000000003,0.056451612903225805,0.9811827956989247,0.018823529411764708,True,False,False,False
0.15,30.0,2018-07-13,2018-08-10,28,8.0,-0.1805,0.23,0.21,12.18,2018-07-27,0.065,early,14,16.5,14.499999999999998,0.717391304347826,0.6904761904761904,183.0,0.09016393442622951,2.350702576112412,0.02875,True,False,False,False
0.15,30.0,2018-07-20,2018-08-17,28,8.0,-0.2087,0.315,0.31,12.86,2018-07-30,0.115,early,10,20.0,19.5,0.6349206349206349,0.6290322580645161,191.5,0.10443864229765012,3.8120104438642293,0.039375,True,False,False,False
0.15,30.0,2018-07-27,2018-08-24,28,8.0,-0.1565,0.285,0.27,13.03,2018-08-15,0.085,early,19,19.999999999999996,18.5,0.7017543859649122,0.6851851851851852,188.5,0.10610079575596815,2.0382521289962305,0.035625,True,False,False,False
0.15,30.0,2018-08-03,2018-09-07,35,7.5,-0.2052,0.3,0.28,11.64,2018-08-24,0.145,early,21,15.5,13.500000000000004,0.5166666666666667,0.4821428571428572,180.0,0.08611111111111111,1.4966931216931216,0.04,True,False,False,False
0.15,30.0,2018-08-10,2018-09-07,28,7.5,-0.2035,0.32,0.29,13.16,2018-08-15,0.16,early,5,16.0,12.999999999999998,0.5,0.4482758620689655,182.0,0.08791208791208792,6.417582417582418,0.042666666666666665,True,False,False,False
0.15,30.0,2018-08-17,2018-09-21,35,7.0,-0.1924,0.285,0.28,12.64,2018-08-30,0.105,early,13,18.0,17.500000000000004,0.6315789473684211,0.625,168.5,0.10682492581602374,2.999315224834513,0.04071428571428571,True,False,True,False
0.15,30.0,2018-08-24,2018-09-21,28,7.0,-0.187,0.205,0.2,11.99,2018-09-04,0.085,early,11,11.999999999999998,11.5,0.5853658536585366,0.575,160.5,0.07476635514018691,2.4808836023789294,0.029285714285714283,True,False,True,False
0.15,30.0,2018-08-31,2018-09-28,28,7.0,-0.1758,0.2,0.18,12.86,2018-09-06,0.09,early,6,11.000000000000002,9.0,0.55,0.5,160.0,0.06875,4.182291666666667,0.028571428571428574,True,False,True,False
0.15,30.0,2018-09-07,2018-10-05,28,7.5,-0.1788,0.26,0.24,14.88,2018-10-05,0.015,early,28,24.5,22.499999999999996,0.9423076923076923,0.9374999999999999,176.0,0.13920454545454544,1.8146306818181817,0.034666666666666665,True,False,True,False
0.15,30.0,2018-09-14,2018-10-19,35,6.0,-0.0975,0.075,0.07,12.07,2018-10-19,0.005,early,35,6.999999999999999,6.5,0.9333333333333332,0.9285714285714285,127.50000000000001,0.05490196078431371,0.572549019607843,0.012499999999999999,True,False,True,False
0.15,30.0,2018-09-21,2018-10-19,28,30.0,-0.1158,0.4,0.39,11.68,2018-09-27,0.17,early,6,23.0,22.0,0.575,0.5641025641025641,640.0,0.0359375,2.1861979166666665,0.013333333333333334,True,False,False,False
0.15,30.0,2018-09-28,2018-10-26,28,31.0,-0.1645,0.68,0.61,12.12,2018-10-05,0.305,early,7,37.50000000000001,30.5,0.5514705882352943,0.5,688.0,0.054505813953488386,2.8420888704318945,0.021935483870967745,True,False,False,False
0.15,30.0,2018-10-12,2018-11-16,35,39.0,-0.1585,2.075,1.99,21.31,2018-10-19,0.92,early,7,115.50000000000003,106.99999999999999,0.5566265060240965,0.5376884422110552,987.5000000000001,0.1169620253164557,6.09873417721519,0.05320512820512821,True,False,False,False
0.15,30.0,2018-10-19,2018-11-16,28,41.0,-0.1523,1.47,1.41,19.89,2018-10-23,0.705,early,4,76.5,70.5,0.5204081632653061,0.5,967.0000000000001,0.07911065149948293,7.218846949327817,0.03585365853658536,True,False,False,False
0.15,30.0,2018-11-02,2018-11-30,28,45.5,-0.1488,1.36,1.23,19.51,2018-11-14,0.56,early,12,80.0,67.0,0.5882352941176471,0.5447154471544715,1046.0,0.07648183556405354,2.3263224984066286,0.029890109890109894,True,False,False,False
0.15,30.0,2018-11-16,2018-12-14,28,43.0,-0.157,1.26,1.16,18.14,2018-11-20,0.325,early,4,93.5,83.5,0.7420634920634921,0.7198275862068967,986.0,0.09482758620689655,8.65301724137931,0.02930232558139535,True,False,False,False
0.15,30.0,2018-11-23,2018-12-21,28,49.0,-0.1488,1.365,1.3,21.52,2018-12-07,0.495,early,14,87.0,80.5,0.6373626373626373,0.6192307692307693,1116.5,0.07792207792207792,2.031539888682746,0.027857142857142858,True,False,False,False
0.15,30.0,2018-11-30,2018-12-28,28,40.0,-0.1271,0.91,0.81,18.07,2018-12-04,0.35,early,4,56.00000000000001,46.00000000000001,0.6153846153846154,0.5679012345679013,891.0,0.06285072951739619,5.735129068462403,0.02275,True,False,False,False
0.15,30.0,2018-12-07,2019-01-04,28,52.5,-0.2051,2.295,2.04,23.23,2018-12-14,0.895,early,7,140.0,114.5,0.6100217864923747,0.5612745098039216,1279.5,0.10941774130519734,5.705353653771004,0.04371428571428571,True,False,False,False
0.15,30.0,2018-12-14,2019-01-11,28,52.5,-0.1582,1.62,1.42,21.63,2018-12-21,0.245,early,7,137.5,117.49999999999999,0.8487654320987654,0.8274647887323943,1212.0,0.11344884488448845,5.91554691183404,0.03085714285714286,True,False,False,False
0.15,30.0,2018-12-28,2019-01-25,28,70.0,-0.1942,2.955,2.66,28.34,2019-01-25,13.11,expiry,28,-1015.4999999999999,-1045.0,-3.4365482233502536,-3.9285714285714284,1695.5,-0.5989383662636389,-7.8075894173652935,0.04221428571428572,False,False,False,False
0.15,30.0,2019-01-11,2019-02-15,35,49.0,-0.1567,1.505,1.4,18.19,2019-01-23,0.7,early,12,80.5,70.0,0.5348837209302325,0.5,1130.5,0.07120743034055728,2.165892672858617,0.03071428571428571,True,False,False,False
0.15,30.0,2019-01-18,2019-02-15,28,46.0,-0.1527,1.105,1.02,17.8,2019-01-22,0.435,early,4,67.0,58.5,0.6063348416289592,0.5735294117647058,1030.5,0.06501698204754973,5.932799611838913,0.02402173913043478,True,False,False,False
0.15,30.0,2019-01-25,2019-02-22,28,45.0,-0.1235,0.83,0.73,17.42,2019-02-22,2.69,expiry,28,-186.0,-196.0,-2.2409638554216866,-2.684931506849315,983.0,-0.18921668362156663,-2.4665746257811363,0.018444444444444444,False,False,False,False
0.15,30.0,2019-02-01,2019-03-08,35,40.0,-0.1125,0.715,0.64,16.14,2019-03-06,0.055,early,33,65.99999999999999,58.5,0.9230769230769229,0.9140625,871.5,0.07573149741824439,0.8376362593230062,0.017875,True,False,False,False
0.15,30.0,2019-02-08,2019-03-08,28,41.5,-0.1546,0.94,0.88,15.72,2019-03-06,0.2,early,26,74.0,68.0,0.7872340425531915,0.7727272727272727,924.0000000000001,0.08008658008658008,1.124292374292374,0.022650602409638555,True,False,False,False
0.15,30.0,2019-02-15,2019-03-15,28,38.0,-0.1395,0.695,0.69,14.91,2019-03-06,0.17,early,19,52.49999999999999,51.99999999999999,0.7553956834532373,0.753623188405797,829.5,0.06329113924050632,1.2158560959360425,0.018289473684210526,True,False,False,False
0.15,30.0,2019-02-22,2019-03-29,35,35.0,-0.1758,0.965,0.85,13.51,2019-03-06,0.35,early,12,61.5,50.0,0.6373056994818653,0.5882352941176471,796.5,0.07721280602636535,2.348556183301946,0.02757142857142857,True,False,False,False
0.15,30.0,2019-03-01,2019-03-29,28,35.0,-0.1941,0.935,0.89,13.57,2019-03-06,0.35,early,5,58.50000000000001,54.0,0.625668449197861,0.6067415730337079,793.5,0.07372400756143668,5.381852551984878,0.026714285714285715,True,False,False,False
0.15,30.0,2019-03-08,2019-04-05,28,40.0,-0.1882,1.385,1.23,16.05,2019-04-05,3.41,expiry,28,-202.50000000000003,-218.00000000000003,-1.4620938628158846,-1.772357723577236,938.5,-0.21576984549813535,-2.8127140573864073,0.034625,False,False,False,False
0.15,30.0,2019-03-15,2019-04-12,28,30.0,-0.0987,0.345,0.31,12.88,2019-03-25,0.045,early,10,30.0,26.5,0.8695652173913043,0.8548387096774194,634.5,0.04728132387706856,1.7257683215130022,0.0115,True,False,False,False
0.15,30.0,2019-03-22,2019-04-18,27,36.0,-0.1713,1.095,0.97,16.48,2019-04-18,4.44,expiry,27,-334.50000000000006,-347.00000000000006,-3.054794520547946,-3.5773195876288666,829.5,-0.4032549728752261,-5.451409818498427,0.030416666666666665,False,False,False,False
