short_delta_target,wing_delta_width,vix_threshold,entry_date,expiry,actual_dte,short_strike,long_strike,spread_width,short_delta,long_delta,short_mid,short_bid,net_credit_mid,net_credit_worst,credit_pct_of_width,max_loss,vix_on_entry,near_iv,far_iv,sigma_fwd,fwd_vol_factor,exit_date,exit_net_value,exit_type,days_held,net_pnl,net_pnl_worst,pnl_pct,roc,annualized_roc,is_win,is_open,split_flag,missing_exit_data
0.2,0.05,25.0,2024-12-27,2025-01-17,21,305.0,300.0,5.0,-0.1969,-0.1611,4.15,4.0,0.9000000000000004,0.6000000000000001,0.18000000000000008,409.99999999999994,15.95,0.46031900095905837,0.540400053551195,0.6100580735572011,1.3252941379481764,2024-12-30,0.25,early,3,65.00000000000003,35.00000000000001,0.7222222222222223,0.15853658536585374,19.288617886178873,True,False,False,False
0.2,0.05,25.0,2025-01-03,2025-01-24,21,320.0,310.0,10.0,-0.208,-0.1482,5.65,5.2,1.9500000000000002,1.1000000000000005,0.195,805.0000000000001,16.13,0.5531438842772831,0.5670287531718804,0.5805816541486255,1.0496033141669667,2025-01-06,0.9750000000000001,early,3,97.50000000000001,12.500000000000044,0.5,0.12111801242236025,14.736024844720497,True,False,False,False
0.2,0.05,25.0,2025-01-10,2025-01-31,21,330.0,320.0,10.0,-0.199,-0.1444,5.45,5.2,1.75,1.3000000000000003,0.175,825.0,19.54,0.5991994064822692,0.5541222299412124,0.5050375854343317,0.8428539480692496,2025-01-15,0.7749999999999999,early,5,97.50000000000001,52.500000000000036,0.5571428571428573,0.1181818181818182,8.627272727272729,True,False,False,False
0.2,0.05,25.0,2025-01-17,2025-02-07,21,365.0,355.0,10.0,-0.1995,-0.143,5.55,5.2,1.9,1.3000000000000003,0.19,810.0,15.97,0.5522503757376701,0.5020486915419365,0.4462345794036397,0.8080294717909073,2025-01-22,0.3999999999999999,early,5,150.0,90.00000000000003,0.7894736842105263,0.18518518518518517,13.518518518518519,True,False,False,False
0.2,0.05,25.0,2025-01-24,2025-02-14,21,385.0,375.0,10.0,-0.1975,-0.141,5.05,4.7,1.6999999999999997,1.1,0.16999999999999998,830.0000000000001,14.85,0.4430757679191167,0.4887761133853482,0.5305544664924221,1.1974350774905718,2025-02-14,10.0,expiry,21,-830.0000000000001,-890.0,-4.882352941176472,-1.0,-17.38095238095238,False,False,False,False
0.2,0.05,25.0,2025-01-31,2025-02-21,21,340.0,330.0,10.0,-0.208,-0.15,5.7,5.5,1.9000000000000004,1.5,0.19000000000000003,810.0,16.43,0.5513929802044516,0.5722520721045385,0.5923771175840009,1.0743283626214333,2025-02-10,0.44999999999999996,early,10,145.00000000000003,105.0,0.7631578947368421,0.1790123456790124,6.533950617283952,True,False,False,False
0.2,0.05,25.0,2025-02-07,2025-02-28,21,340.0,335.0,5.0,-0.1936,-0.1633,5.15,4.9,1.0,0.5,0.2,400.0,16.54,0.5519778136212546,0.5360237262670288,0.519579987597945,0.9413059271155059,2025-02-18,0.44999999999999996,early,11,55.00000000000001,5.000000000000004,0.55,0.1375,4.562500000000001,True,False,False,False
0.2,0.05,25.0,2025-02-14,2025-03-07,21,335.0,325.0,10.0,-0.1997,-0.1397,4.8,4.5,1.6749999999999998,1.1,0.16749999999999998,832.4999999999999,14.77,0.5042507589449307,0.5108945961925623,0.5174531369515349,1.02618216784488,2025-03-07,10.0,expiry,21,-832.4999999999999,-890.0,-4.970149253731344,-1.0,-17.38095238095238,False,False,False,False
0.2,0.05,25.0,2025-02-21,2025-03-14,21,295.0,285.0,10.0,-0.2149,-0.1591,6.5,6.0,2.0,1.0,0.2,800.0,18.21,0.6967207857116882,0.6493818084667603,0.5983089612335822,0.8587499806287824,2025-03-14,-0.05,early,21,204.99999999999997,105.0,1.025,0.25625,4.453869047619047,True,False,False,False
0.2,0.05,25.0,2025-02-28,2025-03-21,21,300.0,290.0,10.0,-0.2212,-0.1642,6.7,6.5,2.05,1.7000000000000002,0.205,795.0,19.63,0.627788749961924,0.6477132164953531,0.6670428075219439,1.0625274944197403,2025-03-17,0.39999999999999997,early,17,165.0,130.00000000000003,0.804878048780488,0.20754716981132076,4.456159822419534,True,False,False,False
0.2,0.05,25.0,2025-03-07,2025-03-28,21,255.0,245.0,10.0,-0.2095,-0.1531,6.1,5.9,1.8999999999999995,1.5,0.18999999999999995,810.0000000000001,23.37,0.6964235691326836,0.6525230375335588,0.602997402750596,0.865848643666039,2025-03-14,0.375,early,7,152.49999999999994,112.5,0.8026315789473684,0.1882716049382715,9.817019400352729,True,False,False,False
0.2,0.05,25.0,2025-03-14,2025-04-04,21,280.0,270.0,10.0,-0.2047,-0.1477,5.8,5.6,1.9,1.5,0.19,810.0,21.77,0.6136693963047912,0.681494763428203,0.7431555000126406,1.2110030327201415,2025-03-17,0.8250000000000002,early,3,107.49999999999997,67.49999999999999,0.5657894736842104,0.13271604938271603,16.147119341563783,True,False,False,False
0.2,0.05,25.0,2025-03-21,2025-04-11,21,300.0,290.0,10.0,-0.2133,-0.1534,5.65,5.5,1.8500000000000005,1.5,0.18500000000000005,814.9999999999999,19.28,0.5855102347483546,0.6037911565010252,0.6215346219983388,1.0615264859810127,2025-04-09,0.7249999999999999,early,19,112.50000000000007,77.50000000000001,0.6081081081081083,0.13803680981595104,2.651759767516954,True,False,False,False
0.2,0.05,25.0,2025-03-28,2025-04-17,20,270.0,260.0,10.0,-0.21,-0.1483,5.5,5.3,1.9,1.5,0.19,810.0,21.65,0.6128664649577078,0.6814493017024102,0.7633677226727822,1.245569412458324,2025-04-02,0.35,early,5,154.99999999999997,114.99999999999999,0.8157894736842104,0.191358024691358,13.969135802469134,True,False,False,False
0.2,0.05,25.0,2025-04-25,2025-05-16,21,335.0,325.0,10.0,-0.1968,-0.1461,5.6,5.4,1.6499999999999995,1.3000000000000007,0.16499999999999995,835.0000000000001,24.84,0.5480039201536329,0.5869449368533336,0.6234584358975169,1.1376897371878842,2025-05-02,0.4,early,7,124.99999999999996,90.00000000000007,0.7575757575757576,0.14970059880239514,7.805816937553461,True,False,False,False
0.2,0.05,25.0,2025-05-02,2025-05-23,21,360.0,350.0,10.0,-0.193,-0.1422,5.3,5.1,1.5999999999999996,1.1999999999999997,0.15999999999999998,840.0,22.68,0.5013466207896595,0.5396976615607018,0.5754986512677236,1.1479057151343095,2025-05-12,0.07499999999999996,early,10,152.49999999999997,112.49999999999997,0.953125,0.181547619047619,6.626488095238093,True,False,False,False
0.2,0.05,25.0,2025-05-09,2025-05-30,21,360.0,350.0,10.0,-0.2015,-0.1503,5.8,5.6,1.7000000000000002,1.2999999999999998,0.17,830.0000000000001,21.9,0.5249355101646317,0.5044126682914312,0.48301862286454406,0.9201485011236112,2025-05-12,0.7,early,3,100.00000000000003,59.999999999999986,0.5882352941176471,0.12048192771084339,14.658634538152612,True,False,False,False
0.2,0.05,25.0,2025-05-16,2025-06-06,21,390.0,380.0,10.0,-0.2012,-0.1499,5.75,5.5,1.7000000000000002,1.0999999999999996,0.17,830.0000000000001,17.24,0.49275312821022316,0.4815450252658188,0.47006975796742717,0.9539660553243234,2025-05-20,0.8250000000000002,early,4,87.5,27.499999999999947,0.5147058823529411,0.10542168674698794,9.61972891566265,True,False,False,False
0.2,0.05,25.0,2025-05-23,2025-06-13,21,425.0,415.0,10.0,-0.2044,-0.1581,6.9,6.4,1.8500000000000005,1.0,0.18500000000000005,814.9999999999999,22.29,0.5231508763703449,0.5452591889087985,0.5675467944707493,1.0848625513320864,2025-05-30,0.875,early,7,97.50000000000006,12.5,0.5270270270270272,0.11963190184049088,6.237949167397025,True,False,False,False
