ticker,n,n_oos,avg_roc,median_roc,win_rate,sharpe,oos_avg_roc,oos_win_rate
HOOD,109,83,12.65576856680922,-2.4498886414253773,0.4954128440366973,0.15109783443902108,17.88603684255509,0.5060240963855421
INTU,97,47,15.93189300006,-15.44642857142856,0.41237113402061853,0.14662580147472837,23.042002834552505,0.44680851063829785
NOK,29,3,14.696977915880368,-23.076923076923077,0.41379310344827586,0.14318186756380621,,
COST,111,42,13.7343985925148,-2.7118644067796636,0.4954954954954955,0.1417721926518384,21.316032011832622,0.5238095238095238
TJX,46,30,9.24761293571514,-9.157044027026922,0.4782608695652174,0.1406356825276579,6.44214458274777,0.43333333333333335
SLB,124,55,14.116911504650853,-17.809928933492962,0.4274193548387097,0.1401119149095014,5.932623869820329,0.41818181818181815
SCHW,94,55,13.652588844269854,-6.89429724914597,0.4574468085106383,0.13923230429060374,21.82871712806831,0.4909090909090909
XHB,40,7,10.009798145908409,-4.650371564150774,0.45,0.1383450520739831,33.68766169746818,0.42857142857142855
UAL,89,48,13.998557360314091,-20.41633306645317,0.42696629213483145,0.1371637969132045,-3.7591526406654214,0.3958333333333333
GS,149,55,10.829142164172486,-0.26168224299065523,0.4966442953020134,0.1349066204159179,-2.413900912473828,0.4
SIRI,40,38,13.550560729881331,-15.914480776140852,0.425,0.12737258329679316,5.469326184400503,0.42105263157894735
SYY,38,0,12.604746519648371,-11.720430107526884,0.47368421052631576,0.12330597662537243,,
VST,34,34,11.598475933255028,-18.51285720989161,0.4411764705882353,0.12316587938237102,11.598475933255028,0.4411764705882353
MRVL,115,90,11.997286605825074,-12.78688524590163,0.4434782608695652,0.12305340625687004,7.286731393124275,0.37777777777777777
AMAT,145,80,11.081207150057015,-12.183353437876978,0.4413793103448276,0.12288943791399427,15.785737400515364,0.4625
WMB,63,28,9.276490976112362,-2.061855670103095,0.4603174603174603,0.12248163461567821,8.92067582845207,0.5
HAL,153,44,10.827430189876369,-4.216867469879522,0.49019607843137253,0.12208347535303189,-6.043311927285191,0.38636363636363635
AGNC,27,8,14.522047869534246,-31.70731707317073,0.37037037037037035,0.12198668603218507,37.26795547447722,0.5
CVNA,177,129,10.005883595126772,-10.592964824120594,0.4632768361581921,0.12090355936009857,9.84219619777743,0.4806201550387597
NBIS,35,35,15.10924563817911,-16.144578313253003,0.34285714285714286,0.11791059129197196,15.10924563817911,0.34285714285714286
APA,81,49,12.19933647577188,-13.798977853492342,0.4691358024691358,0.11425308168994613,24.30342815477836,0.4897959183673469
AZN,42,14,10.630470125446895,-26.977387182778703,0.4523809523809524,0.1124990891657732,33.90012879693644,0.5
IBM,205,70,8.597275703807991,0.36719706242349276,0.5073170731707317,0.11214990413937524,11.861086033993729,0.5285714285714286
ULTA,186,65,8.215937119078678,-2.673743862441051,0.489247311827957,0.11070184222593814,15.750599165276816,0.5384615384615384
WDC,105,47,10.492289577281491,-7.304785894206539,0.47619047619047616,0.10777414600361658,27.345647538164233,0.5106382978723404
TQQQ,90,29,52298.85486168593,0.40479760119939434,0.5,0.10543451182044497,-16.65054789500751,0.3448275862068966
CRWV,24,24,8.947634528327134,-13.153529292649395,0.4166666666666667,0.10471740035368651,8.947634528327134,0.4166666666666667
MET,128,22,8.76747203931883,-10.283241542092838,0.4453125,0.10351183842975938,9.986198340443039,0.5
RKLB,35,35,8.018715536754456,-0.7449856733524299,0.45714285714285713,0.103185441759376,8.018715536754456,0.45714285714285713
MCK,62,27,8.1621976866619,-10.830009940939128,0.45161290322580644,0.10276907413696507,14.197220784123036,0.48148148148148145
CMG,151,61,8.594250467591797,-10.606694560669471,0.4503311258278146,0.10183349784216178,-1.337885139521287,0.4426229508196721
ABBV,185,53,8.775268417538117,-14.708785784797618,0.42702702702702705,0.1017754582095016,25.691808699137635,0.49056603773584906
ROST,49,35,7.697738435404228,9.93865030674845,0.5306122448979592,0.10155583374835893,5.283195441166524,0.4857142857142857
COTY,33,2,9.499388942755843,-21.951219512195124,0.36363636363636365,0.10103170665328443,,
M,54,17,13.458054508911868,-13.255150739145613,0.48148148148148145,0.10087890153532719,42.38857872051025,0.5294117647058824
XRT,38,9,7.407116709760367,-10.075526273501527,0.47368421052631576,0.09771783666318683,-34.68393790902183,0.1111111111111111
CORZ,27,27,12.97850016410329,-14.838709677419354,0.3333333333333333,0.09703756355627488,12.97850016410329,0.3333333333333333
DVN,100,67,7.868882030608444,-9.58984089913881,0.43,0.09583928678656929,19.268591901065992,0.47761194029850745
XLK,57,11,6.322035533178753,-2.362204724409451,0.47368421052631576,0.09414036626464041,-0.7627611948729341,0.45454545454545453
IYR,118,17,7.752988793839841,-12.035583464154891,0.4406779661016949,0.09357141812890431,-5.1043173388867356,0.23529411764705882
MARA,134,76,8.848518279198071,-16.108886346300537,0.4552238805970149,0.09297857563852763,-5.588398346294134,0.40789473684210525
KLAC,40,12,7.0212383911057525,-9.119658119658121,0.4,0.09002074278572608,19.35857060594715,0.4166666666666667
EQT,29,23,7.21170042278108,-17.127071823204425,0.41379310344827586,0.08965793988030266,11.492743732791224,0.4782608695652174
TXN,126,47,8106.27205967998,-24.14600550964187,0.3253968253968254,0.08895295411957979,-13.990708107692578,0.3404255319148936
NEM,177,77,6.818074712145647,-10.173160173160186,0.4689265536723164,0.08533728235114738,19.69445465433295,0.5454545454545454
FCX,115,51,6.267309709162541,-4.136253041362519,0.46956521739130436,0.08431306497154982,8.964372577248369,0.49019607843137253
PM,77,30,6.251139660575245,-5.386416861826707,0.45454545454545453,0.08220067532722986,9.657720482189013,0.5
GLW,98,32,7.929885569059599,-21.109154929577464,0.3877551020408163,0.0814422653492315,28.690741352471754,0.40625
C,141,58,6.754887872012301,-3.6603221083455346,0.49645390070921985,0.07968129736778823,-0.7422526173024149,0.46551724137931033
FAS,53,9,6.494497712958516,-22.051282051282055,0.37735849056603776,0.07963674117469206,-45.137002699527265,0.1111111111111111
CLS,47,47,8.596369989397287,-26.415094339622648,0.40425531914893614,0.07958079756587003,8.596369989397287,0.40425531914893614
DECK,42,32,6.74315006668787,-3.8668981481481532,0.47619047619047616,0.07950014896545576,15.800349406190012,0.53125
BAC,133,52,6.924260291375507,-16.666666666666664,0.39097744360902253,0.07946119922613246,-12.938829454233002,0.3076923076923077
EPD,47,15,5.008122674101682,1.6666666666666683,0.5106382978723404,0.07677739424181841,12.583864706103451,0.7333333333333333
TPR,68,34,6.891604154928967,-18.861484803188837,0.4264705882352941,0.07646297832129828,-4.0474451595511,0.38235294117647056
TEVA,50,19,5.536133822048927,-7.841383422778771,0.48,0.07623661068338587,1.8656296102790577,0.47368421052631576
ASML,76,61,8.467710212582123,-31.370743924103817,0.3815789473684211,0.07561059445828003,5.445919802728403,0.32786885245901637
LLY,178,107,39989.52594741458,-13.731822223574968,0.4438202247191011,0.07496162561968782,12.189122953786503,0.4953271028037383
TSM,129,74,6.932123725051658,-13.59223300970874,0.40310077519379844,0.07378140313229449,-3.520206349985599,0.4189189189189189
AVGO,207,79,6.741389796521825,-11.973684210526308,0.43478260869565216,0.07305682299837946,-4.3508654473884185,0.379746835443038
AXP,124,47,5.424297384424111,-12.873531224526321,0.41935483870967744,0.07147943394527918,16.555228848850902,0.48936170212765956
EW,44,2,5.749661238347366,-18.770293609671846,0.4090909090909091,0.0714779484535421,,
KMI,44,10,5.360373247299761,-8.274914089347073,0.4318181818181818,0.07024850530130856,38.090768038756764,0.5
PNC,110,46,5.397102067022437,-11.00445563734987,0.4,0.06538705926528407,9.357290250108134,0.391304347826087
JNJ,111,43,6.320672137846805,-18.233618233618238,0.38738738738738737,0.06460807002427182,-2.027275589953148,0.3953488372093023
MNDY,17,16,5.1363245157638415,19.307359307359295,0.5294117647058824,0.06437271705113082,4.250634841289127,0.5
NUE,50,16,6.279604148321172,-14.067475103312784,0.38,0.06330360665516249,5.972102075210012,0.5625
LEN,40,20,6.251612670998971,-16.759389013452925,0.375,0.062047538706789786,-15.702971916143076,0.35
OXY,122,57,5.711870486983781,-22.52231556839066,0.4016393442622951,0.05514679814187287,8.21748018004538,0.40350877192982454
CVX,179,55,5.086009873714675,-21.276595744680858,0.39664804469273746,0.05500499038853758,4.162455435005742,0.45454545454545453
RIG,32,13,4.698559179880698,-12.487335359675784,0.46875,0.054426827491567895,5.840472160474845,0.5384615384615384
UPRO,76,18,4.39997292129768,-3.296947271045328,0.47368421052631576,0.0506208632144842,-0.17450732592984922,0.4444444444444444
NTES,84,14,4.747237907351576,-15.423058078619068,0.4166666666666667,0.05022264521630527,5.045552246186743,0.2857142857142857
REGN,73,35,3.7776395758523345,-13.33333333333334,0.410958904109589,0.050090401300330115,6.795799865319998,0.42857142857142855
KKR,47,23,3.9982855096509082,-8.571428571428573,0.44680851063829785,0.04922195107832101,-12.366056230848006,0.34782608695652173
JPM,112,52,3.4274029800240897,-9.814411033923225,0.45535714285714285,0.047300736473863896,-0.8050816938565089,0.40384615384615385
NTR,57,21,3.887775412474797,-21.818181818181824,0.43859649122807015,0.047118121726783736,-3.7737078060694156,0.38095238095238093
NTAP,171,62,3.3638500462953953,-5.511811023622042,0.47368421052631576,0.04529502097547659,-2.7131236254169084,0.5
NLY,42,25,3.507766528203663,-25.508100147275407,0.42857142857142855,0.04420090143440887,15.591668715288101,0.52
RVLV,22,0,3.1507301531483374,-12.142857142857148,0.45454545454545453,0.04363958682167642,,
NET,147,105,3.1697522133168916,-9.127182044887773,0.4421768707482993,0.03964370368017459,-0.6436447695219748,0.4
ANET,187,90,3.0556081100639854,-14.46428571428572,0.42780748663101603,0.038699621185591844,0.06835296068894381,0.43333333333333335
META,180,150,2.790514515110556,-15.366487822485428,0.4222222222222222,0.03833162375359018,2.5444337503623617,0.4266666666666667
AMC,105,38,5.6320048947461565,-30.158730158730158,0.3619047619047619,0.03632628423131237,-37.67985516196058,0.13157894736842105
ZIM,60,37,3.122872033315687,-24.9020979020979,0.36666666666666664,0.034936930227845206,-8.14886259726793,0.35135135135135137
URA,30,20,3.5972368365274563,-23.513513513513523,0.4,0.03363096424628953,12.369196412426044,0.3
AAPL,162,52,2.657656120283699,-20.32397817581198,0.4074074074074074,0.032864159869189884,-19.904483610863828,0.3269230769230769
CELH,66,65,2.0549167959953483,-3.2592822743514116,0.5,0.031499250550705356,1.616497866098911,0.49230769230769234
ARM,82,82,2.5410855422436622,-7.289651745097288,0.45121951219512196,0.030921211190671472,2.5410855422436622,0.45121951219512196
NVDA,206,101,2.3596839360598296,-15.792604183755454,0.41262135922330095,0.030522561673283655,-6.11427207289056,0.3564356435643564
LB,38,0,2.3656237342738744,-22.846592179857446,0.39473684210526316,0.02944310736918789,,
ON,70,58,2.373491176477901,-28.12745413582234,0.4142857142857143,0.027639589075710683,4.41615974890591,0.39655172413793105
BURL,107,49,1.8314540875348981,-11.838006230529597,0.45794392523364486,0.02533125035024523,-8.196721225873791,0.3673469387755102
DELL,91,89,1.8163885641302662,-13.088235294117641,0.42857142857142855,0.02482864455122617,1.295160333165581,0.42696629213483145
BP,107,36,2.624256014094054,-30.316742081447963,0.38317757009345793,0.024518066056415065,3.2115551924613124,0.25
AAL,110,27,2.012988590080551,-23.53266888150609,0.45454545454545453,0.023513454149509082,6.406720701869959,0.48148148148148145
