test_year,rule,cap,floor,n_tickers,n,win,avg_roc,sharpe
2024,Cap 150%,150.0,,134,1993,0.4249874560963372,-0.008565880087007302,-0.00012164234091673579
2024,Cap 200%,200.0,,134,1993,0.4249874560963372,1.7313865802354695,0.023239628984317515
2024,Cap 300%,300.0,,134,1993,0.4249874560963372,2.6651351534247385,0.0344415758165588
2024,Stop -50%,,50.0,134,1993,0.4249874560963372,10.184674057756464,0.14003867970313244
2024,Stop -75%,,75.0,134,1993,0.4249874560963372,4.647486719256605,0.059758479506349736
2024,Cap 100% + Stop -50%,100.0,50.0,134,1993,0.4249874560963372,2.797151041277102,0.0513355184847899
2024,Cap 150% + Stop -50%,150.0,50.0,134,1993,0.4249874560963372,7.099817739856183,0.11264324208635768
2024,Cap 200% + Stop -50%,200.0,50.0,134,1993,0.4249874560963372,8.839770200178659,0.13119906822893612
2025,Hold to expiry (baseline),,,134,2116,0.44517958412098296,6.812726033445328,0.08072032716014417
2025,Cap 50%,50.0,,134,2116,0.44517958412098296,-11.34683870325921,-0.227225572020819
2025,Cap 75%,75.0,,134,2116,0.44517958412098296,-6.09931143048332,-0.10724995089125601
2025,Cap 100%,100.0,,134,2116,0.44517958412098296,-2.3536484071240076,-0.03760953836389606
2025,Cap 150%,150.0,,134,2116,0.44517958412098296,2.1360081768506203,0.03016918752168843
2025,Cap 200%,200.0,,134,2116,0.44517958412098296,4.417420830252665,0.058097479727946086
2025,Cap 300%,300.0,,134,2116,0.44517958412098296,6.09829705640182,0.07521244581455393
2025,Stop -50%,,50.0,134,2116,0.44517958412098296,13.619634379681694,0.1744574954612
2025,Stop -75%,,75.0,134,2116,0.44517958412098296,8.20914522044383,0.09901645521327884
2025,Cap 100% + Stop -50%,100.0,50.0,134,2116,0.44517958412098296,4.453259939112356,0.08113314099833296
2025,Cap 150% + Stop -50%,150.0,50.0,134,2116,0.44517958412098296,8.942916523086984,0.1405598998308831
2025,Cap 200% + Stop -50%,200.0,50.0,134,2116,0.44517958412098296,11.22432917648903,0.16225675784627883
