short_delta_target,wing_delta_width,vix_threshold,entry_date,expiry,actual_dte,short_strike,long_strike,spread_width,short_delta,long_delta,short_mid,short_bid,net_credit_mid,net_credit_worst,credit_pct_of_width,max_loss,vix_on_entry,near_iv,far_iv,sigma_fwd,fwd_vol_factor,exit_date,exit_net_value,exit_type,days_held,net_pnl,net_pnl_worst,pnl_pct,roc,annualized_roc,is_win,is_open,split_flag,missing_exit_data
0.35,0.1,,2025-02-28,2025-03-21,21,400.0,390.0,10.0,-0.3587,-0.2705,11.1,10.1,3.8499999999999996,2.3999999999999995,0.38499999999999995,615.0,19.63,0.5042170288018749,0.4027477440485845,0.30104415335868934,0.5970527296034273,2025-03-19,1.6999999999999997,early,19,215.0,69.99999999999997,0.5584415584415585,0.34959349593495936,6.715875053487378,True,False,False,False
0.35,0.1,,2025-04-25,2025-05-16,21,440.0,420.0,20.0,-0.4287,-0.2198,9.85,9.0,5.449999999999999,4.1,0.27249999999999996,1455.0,24.84,0.35609665831633636,0.35980527563865855,0.3620122099673169,1.0166122077049247,2025-05-01,2.2750000000000004,early,6,317.4999999999999,182.49999999999994,0.5825688073394495,0.2182130584192439,13.274627720504006,True,False,False,False
0.35,0.1,,2025-05-30,2025-06-20,21,430.0,410.0,20.0,-0.3829,-0.2294,11.6,10.7,5.3999999999999995,4.1,0.26999999999999996,1460.0000000000002,18.57,0.403214477260052,0.32223057752194,0.2444800971523909,0.6063276765598726,2025-06-10,0.42500000000000004,early,11,497.49999999999994,367.5,0.9212962962962962,0.34075342465753417,11.30681818181818,True,False,False,False
0.35,0.1,,2025-07-25,2025-08-15,21,520.0,510.0,10.0,-0.3876,-0.2662,8.15,7.2,3.3000000000000007,2.0,0.33000000000000007,669.9999999999999,14.93,0.2596285099117669,0.3052478556399878,0.3296025295732644,1.2695159313793303,2025-08-15,9.57,expiry,21,-627.0,-757.0,-1.8999999999999997,-0.9358208955223882,-16.26545842217484,False,False,False,False
0.35,0.1,,2025-08-29,2025-09-19,21,480.0,460.0,20.0,-0.3785,-0.2339,12.95,12.1,6.1,4.8999999999999995,0.305,1390.0,15.36,0.38676500699275873,0.38264972018619653,0.379533972987826,0.9813038049611656,2025-09-09,0.42500000000000004,early,11,567.5,447.49999999999994,0.930327868852459,0.40827338129496404,13.547253106605625,True,False,False,False
0.35,0.1,,2025-11-28,2025-12-19,21,560.0,540.0,20.0,-0.3752,-0.2621,17.0,16.0,6.15,4.4,0.3075,1385.0,16.35,0.49023128257587806,0.3719955888898224,0.24883975557898158,0.5075966475894287,2025-12-19,1.8250000000000002,early,21,432.5,257.5,0.7032520325203252,0.31227436823104693,5.427625924015816,True,False,False,False
0.35,0.1,,2026-01-30,2026-02-20,21,590.0,580.0,10.0,-0.308,-0.2154,7.2,6.3,2.6500000000000004,0.7999999999999998,0.265,735.0,17.44,0.27432120216682326,0.3427090156115921,0.38613142833610165,1.4075887145656467,2026-02-02,0.95,early,3,170.00000000000003,-15.000000000000014,0.6415094339622641,0.23129251700680276,28.140589569161005,True,False,False,False
0.35,0.1,30.0,2018-02-23,2018-03-16,21,110.0,105.0,5.0,-0.403,-0.2334,3.15,3.0,1.625,1.35,0.325,337.5,16.49,0.31155133528570433,0.37969068948750423,0.41524148490078755,1.332818825892675,2018-03-07,0.6,early,12,102.49999999999999,75.00000000000001,0.6307692307692306,0.30370370370370364,9.237654320987653,True,False,False,False
0.35,0.1,30.0,2018-05-25,2018-06-15,21,95.0,90.0,5.0,-0.4245,-0.2311,2.9,2.7,1.575,1.1,0.315,342.5,13.22,0.33134807798146904,0.24897857573531557,0.18250917952555107,0.5508080222990099,2018-06-12,0.55,early,18,102.49999999999999,55.00000000000001,0.6507936507936507,0.2992700729927007,6.068532035685319,True,False,False,False
0.35,0.1,30.0,2018-11-30,2018-12-21,21,125.0,120.0,5.0,-0.3291,-0.1826,2.375,2.2,1.25,0.9500000000000002,0.25,375.0,18.07,0.37015401922498203,0.29517379200882987,0.2229635500350218,0.6023534487126644,2018-12-12,0.05,early,12,120.0,90.00000000000001,0.96,0.32,9.733333333333333,True,False,False,False
0.35,0.1,30.0,2018-12-28,2019-01-18,21,125.0,120.0,5.0,-0.406,-0.2171,2.675,2.5,1.4999999999999998,1.25,0.29999999999999993,350.0,28.34,0.23575392286066976,0.3798441762208371,0.45913817392741935,1.9475314274993818,2019-01-08,0.5249999999999999,early,11,97.49999999999999,72.50000000000001,0.65,0.2785714285714285,9.243506493506493,True,False,False,False
0.35,0.1,30.0,2019-02-22,2019-03-15,21,130.0,125.0,5.0,-0.3257,-0.1946,2.625,2.4,1.25,0.8499999999999999,0.25,375.0,13.51,0.3762726151958405,0.30229689294199097,0.24572132300267735,0.6530406760395931,2019-03-12,0.525,early,18,72.5,32.499999999999986,0.58,0.19333333333333333,3.92037037037037,True,False,False,False
