date,t,symbol,kind,side,price,stop,stop_pct,stop_adr,tag,level,below_ema9,adr_vs_21,vol_pace,gap_adr,light_vol,spy_vs_vwap,qqq_vs_vwap,index_above,gated,rs_spy,rs_group,group,rs_leader,level_type,close,max_up_pct,stopped,result_pct
2026-09-10,09:49,DE,ORB9,long,680.96,677.01,0.58,,,,False,1.6,1.4,-0.11,False,0.04,0.15,True,False,,,,,,677.85,0.15,True,-0.58
2026-09-10,09:54,CF,FBO,short,138.49,142.2,2.68,0.71,,PDH,,1.9,0.6,0.36,,-0.11,-0.1,False,False,,,,,,135.11,0.69,False,2.44
2026-09-10,09:54,DINO,FBO,short,108.74,110.38,1.51,0.41,,PDH,,2.7,0.3,0.42,,-0.12,-0.1,False,False,,,,,,107.75,2.0,True,-1.51
2026-09-10,09:54,AAPL,FBO,short,319.1,323.79,1.47,0.68,,PDH,,0.4,0.3,0.21,,-0.11,-0.1,False,False,,,,,,326.6,2.39,True,-1.47
2026-09-10,09:54,AAPL,BIR,short,319.1,323.79,1.47,0.68,,PDH,,0.4,0.3,0.21,,-0.11,-0.1,False,False,,,,,,326.6,2.39,True,-1.47
2026-09-10,09:54,AAOI,BIR,short,104.95,109.86,4.67,0.56,,9 EMA,,-0.9,0.5,-0.38,,-0.11,-0.11,False,False,,,,,,103.35,4.6,False,1.52
2026-09-10,10:04,UNH,BIR,short,395.75,400.15,1.11,0.5,,21 EMA,,-0.4,0.5,0.39,,-0.08,0.04,False,False,,,,,,388.28,0.06,False,1.89
2026-09-10,10:04,NOW,FBO,short,133.01,135.23,1.67,0.37,,OR,,0.2,0.5,0.08,,-0.08,0.04,False,False,,,,,,131.17,1.08,False,1.38
2026-09-10,10:09,CRM,FBO,short,245.0,249.14,1.69,0.42,,OR,,1.7,0.3,0.09,,-0.11,0.02,False,False,,,,,,243.09,1.43,False,0.78
2026-09-10,10:09,PANW,BIR,short,340.2,345.74,1.63,0.35,,9 EMA,,-0.6,0.9,-0.28,,-0.13,-0.01,False,False,,,,,,338.35,1.35,False,0.54
2026-09-10,10:09,SPCX,FBO,short,151.17,155.46,2.84,0.57,,OR,,1.4,0.4,-0.33,,-0.12,0.01,False,False,,,,,,148.25,0.58,False,1.93
2026-09-10,10:09,MSFT,FBO,short,488.64,492.56,0.8,0.43,,OR,,-0.1,0.4,-0.36,,-0.11,0.02,False,False,,,,,,492.49,1.2,True,-0.8
2026-09-10,10:09,CRWD,BIR,short,210.44,214.1,1.74,0.33,,PDH,,0.2,0.4,-0.19,,-0.12,0.01,False,False,,,,,,208.8,2.01,True,-1.74
2026-09-10,10:09,SPCX,FBO,short,151.21,155.46,2.81,0.57,,PDH,,1.4,0.4,-0.33,,-0.12,0.01,False,False,,,,,,148.25,0.56,False,1.96
2026-09-10,10:09,NOW,BIR,short,131.79,135.23,2.61,0.58,,PDH,,-0.0,0.5,0.08,,-0.12,0.01,False,False,,,,,,131.17,2.01,False,0.47
2026-09-10,10:14,PANW,FBO,short,339.27,345.74,1.91,0.41,,PDH,,-0.7,0.9,-0.28,,-0.04,0.01,False,False,,,,,,338.35,1.63,False,0.27
2026-09-10,10:19,CRCL,FBO,short,91.19,93.64,2.68,0.37,,OR,,0.6,0.6,-0.46,,0.04,0.07,True,False,,,,,,90.39,1.52,False,0.88
2026-09-10,10:19,OKTA,ORB9,long,178.5,176.67,1.04,,,,False,2.6,1.1,0.0,True,0.04,0.08,True,False,,,,,,171.06,0.53,True,-1.03
2026-09-10,10:19,BMNR,UR,long,24.26,23.36,3.85,,undercut PDL 24.12,,True,1.1,0.3,-0.37,,0.04,0.08,True,False,,,,,,24.21,1.2,False,-0.21
2026-09-10,10:19,CRWD,FBO,short,209.72,214.1,2.09,0.39,,OR,,0.1,0.4,-0.19,,0.04,0.08,True,False,,,,,,208.8,2.37,True,-2.09
2026-09-10,10:19,PANW,FBO,short,337.52,345.74,2.44,0.53,,OR,,-0.8,0.9,-0.28,,0.04,0.06,True,False,,,,,,338.35,2.15,False,-0.25
2026-09-10,10:22,NVDA,UR,long,218.62,217.21,0.65,,undercut PDL 223.46,,True,-0.2,0.3,-0.55,,0.12,0.19,True,False,,,,,,218.4,0.26,False,-0.1
2026-09-10,10:24,FTNT,FBO,short,159.12,162.05,1.84,0.45,,OR,,0.0,0.6,-0.28,,0.23,0.32,True,False,,,,,,158.84,1.8,False,0.18
2026-09-10,10:29,RVMD,FBO,short,205.42,208.64,1.57,0.41,,OR,,-0.2,0.7,-0.23,,0.12,0.22,True,False,,,,,,203.52,-0.0,False,0.92
2026-09-10,10:30,INTC,UR,long,100.8,99.34,1.47,,undercut PDL 102.70,,False,1.2,0.4,-0.8,,0.12,0.24,True,False,,,,,,100.28,1.43,False,-0.52
2026-09-10,10:43,DINO,UR,long,108.53,107.38,1.07,,deep flush,,False,2.6,0.4,0.42,,0.1,0.22,True,False,,,,,,107.75,2.2,False,-0.72
2026-09-10,10:44,GOOGL,BIR,short,330.92,332.27,0.41,0.24,,PDH,,-1.9,0.6,-0.47,,0.1,0.22,True,False,,,,,,332.67,0.7,True,-0.41
2026-09-10,10:54,AAOI,BIR,short,108.47,110.7,2.05,0.24,,9 EMA,,-0.5,0.7,-0.38,,0.14,0.23,True,False,,,,,,103.35,0.56,False,4.72
2026-09-10,11:07,HPE,UR,long,56.56,55.69,1.57,,undercut PDL 56.55,,False,0.9,0.4,-0.46,,0.13,0.21,True,False,,,,,,55.23,0.16,True,-1.54
2026-09-10,11:09,PLTR,FBO,short,166.92,169.7,1.66,0.4,,OR,,-0.7,0.7,-0.33,,0.09,0.13,True,False,,,,,,165.86,0.64,False,0.64
2026-09-10,11:09,OKTA,FBO,short,175.43,180.38,2.82,0.54,,OR,,2.3,1.3,0.0,,0.09,0.13,True,False,,,,,,171.06,0.25,False,2.49
2026-09-10,11:09,GH,FBO,short,161.25,164.94,2.29,0.49,,OR,,-0.1,0.4,-0.41,,0.11,0.16,True,False,,,,,,159.04,0.86,False,1.37
2026-09-10,11:19,IWM,FBO,short,288.55,290.07,0.53,0.61,,OR,,-3.0,0.4,-0.86,,0.1,0.11,True,False,,,,,,287.74,0.09,False,0.28
2026-09-10,11:19,GLW,FBO,short,165.78,169.18,2.05,0.46,,OR,,1.5,0.7,-0.55,,0.09,0.11,True,False,,,,,,163.08,0.21,False,1.63
2026-09-10,11:24,OKTA,FBO,short,173.73,180.38,3.83,0.73,,PDH,,2.1,1.3,0.0,,0.12,0.14,True,False,,,,,,171.06,1.23,False,1.54
2026-09-10,11:29,GOOGL,FBO,short,329.99,332.27,0.69,0.41,,OR,,-2.1,0.7,-0.47,,0.1,0.15,True,False,,,,,,332.67,0.98,True,-0.69
2026-09-10,11:29,HOOD,FBO,short,114.25,116.97,2.38,0.41,,OR,,1.1,0.7,-0.41,,0.1,0.15,True,False,,,,,,113.34,0.59,False,0.8
2026-09-10,11:29,IBIT,FBO,short,43.63,43.94,0.72,0.29,,OR,,1.2,0.3,-0.68,,0.1,0.14,True,False,,,,,,43.66,0.61,False,-0.08
2026-09-10,11:29,HALO,FBO,short,107.32,108.12,0.74,0.29,,OR,,1.1,0.6,-0.17,,0.11,0.13,True,False,,,,,,107.02,0.59,False,0.28
2026-09-10,11:39,SKHY,ORB9,long,191.88,191.41,0.25,,,,False,3.3,1.0,-1.0,True,0.09,0.15,True,False,,,,,,188.16,0.87,True,-0.24
2026-09-10,11:44,PANW,BIR,short,342.33,346.39,1.18,0.26,,9 EMA,,-0.5,1.1,-0.28,,0.13,0.19,True,False,,,,,,338.35,0.4,False,1.16
2026-09-10,11:49,QCOM,ORB9,long,178.14,177.59,0.31,,,,False,2.0,1.0,-0.75,True,0.08,0.11,True,False,,,,,,176.89,2.39,True,-0.31
2026-09-10,11:54,SPCX,UR,long,151.59,144.89,4.62,,undercut PDL 145.55,,False,1.5,0.6,-0.33,,0.01,0.02,True,False,,,,,,148.25,0.3,False,-2.2
2026-09-10,11:59,CRWD,BIR,short,212.16,215.81,1.72,0.32,,PDH,,0.4,0.5,-0.19,,-0.0,0.01,False,False,,,,,,208.8,1.05,False,1.58
2026-09-10,13:34,GOOGL,BIR,short,331.47,332.96,0.45,0.26,,PDH,,-1.8,0.7,-0.47,,0.01,0.01,True,False,,,,,,332.67,0.53,True,-0.45
