time,timestamp,price,open,high,low,close,volume,vwap
2026-08-31 11:20:00,1788189600,168.32999999999998,168.3293,168.47,168.19,168.365,53507,168.31998
2026-08-31 11:25:00,1788189900,168.44,168.365,168.68,168.2,168.46,103530,168.26115
2026-08-31 11:30:00,1788190200,168.32999999999998,168.51,168.54,168.12,168.43,86487,168.33827
2026-08-31 11:35:00,1788190500,168.5525,168.435,168.695,168.41,168.47,77876,168.5542
2026-08-31 11:40:00,1788190800,168.14749999999998,168.475,168.475,167.82,168.125,115392,168.10072
2026-08-31 11:45:00,1788191100,168.235,168.125,168.42,168.05,168.37,159132,168.22788
2026-08-31 11:50:00,1788191400,168.43495000000001,168.32,168.5699,168.3,168.35,43126,168.44489
2026-08-31 11:55:00,1788191700,168.34,168.29,168.62,168.06,168.105,59840,168.34586
2026-08-31 12:00:00,1788192000,168.06535000000002,168.16,168.2307,167.9,167.945,46434,168.07398
2026-08-31 12:05:00,1788192300,167.805,167.95,168.0,167.61,167.625,43977,167.81006
2026-08-31 12:10:00,1788192600,167.9125,167.6,168.225,167.6,167.94,46384,167.92528
2026-08-31 12:15:00,1788192900,168.08499999999998,168.01,168.26,167.91,168.17,38047,168.01472
2026-08-31 12:20:00,1788193200,168.20999999999998,168.17,168.39,168.03,168.32,44836,168.18898
2026-08-31 12:25:00,1788193500,168.57,168.285,168.855,168.285,168.655,114431,168.58621
2026-08-31 12:30:00,1788193800,168.585,168.69,168.87,168.3,168.47,44764,168.59623
2026-08-31 12:35:00,1788194100,168.365,168.46,168.5,168.23,168.4,39584,168.36453
2026-08-31 12:40:00,1788194400,168.3749,168.39,168.51,168.2398,168.44,47132,168.39155
2026-08-31 12:45:00,1788194700,168.39,168.45,168.55,168.23,168.52,47518,168.37873
2026-08-31 12:50:00,1788195000,168.555,168.52,168.66,168.45,168.555,35271,168.55129
2026-08-31 12:55:00,1788195300,168.6175,168.58,168.74,168.495,168.545,56736,168.58193
2026-08-31 13:00:00,1788195600,168.3625,168.52,168.52,168.205,168.375,98066,168.32273
2026-08-31 13:05:00,1788195900,168.485,168.41,168.59,168.38,168.54,30891,168.48646
2026-08-31 13:10:00,1788196200,168.5798,168.53,168.6695,168.4901,168.5401,33775,168.54864
2026-08-31 13:15:00,1788196500,168.57999999999998,168.5,168.69,168.47,168.64,43949,168.5624
2026-08-31 13:20:00,1788196800,168.78605,168.68,168.9721,168.6,168.945,38436,168.7474
2026-08-31 13:25:00,1788197100,168.72750000000002,168.925,168.925,168.53,168.6399,37173,168.68794
2026-08-31 13:30:00,1788197400,168.83125,168.595,169.15,168.5125,169.15,60248,168.82764
2026-08-31 13:35:00,1788197700,169.35000000000002,169.16,169.65,169.05,169.65,82324,169.28109
2026-08-31 13:40:00,1788198000,169.57,169.58,169.72,169.42,169.525,61125,169.58788
2026-08-31 13:45:00,1788198300,169.735,169.56,169.98,169.49,169.73,57524,169.70242
2026-08-31 13:50:00,1788198600,169.95,169.73,170.18,169.72,170.13,115017,169.937
2026-08-31 13:55:00,1788198900,170.20999999999998,170.13,170.53,169.89,169.9295,141984,170.25495
2026-08-31 14:00:00,1788199200,170.01,169.93,170.17,169.85,169.95,66560,170.04234
2026-08-31 14:05:00,1788199500,169.7875,169.93,169.935,169.64,169.84,53822,169.79398
2026-08-31 14:10:00,1788199800,169.82755,169.84,169.955,169.7001,169.87,62597,169.82385
2026-08-31 14:15:00,1788200100,169.965,169.885,170.06,169.87,170.0,62475,169.97448
2026-08-31 14:20:00,1788200400,170.055,169.995,170.2,169.91,170.02,47818,170.05613
2026-08-31 14:25:00,1788200700,169.9375,170.02,170.05,169.825,169.925,54491,169.95349
2026-08-31 14:30:00,1788201000,170.04680000000002,169.89,170.2836,169.81,169.81,60334,169.98613
2026-08-31 14:35:00,1788201300,169.72995,169.81,169.9099,169.55,169.64,53475,169.70919
2026-08-31 14:40:00,1788201600,169.775,169.655,170.09,169.46,170.09,121807,169.70388
2026-08-31 14:45:00,1788201900,170.03500000000003,170.17,170.24,169.83,170.145,91408,170.02393
2026-08-31 14:50:00,1788202200,170.23000000000002,170.17,170.37,170.09,170.36,65274,170.20678
2026-08-31 14:55:00,1788202500,170.2225,170.34,170.39,170.055,170.07,66855,170.21138
2026-08-31 15:00:00,1788202800,170.25,170.08,170.42,170.08,170.26,54216,170.31564
2026-08-31 15:05:00,1788203100,170.095,170.23,170.27,169.92,169.94,58901,170.17139
2026-08-31 15:10:00,1788203400,170.1275,169.92,170.345,169.91,170.3,56179,170.13463
2026-08-31 15:15:00,1788203700,170.31,170.32,170.48,170.14,170.14,73472,170.32979
2026-08-31 15:20:00,1788204000,170.35500000000002,170.13,170.58,170.13,170.555,60696,170.36023
2026-08-31 15:25:00,1788204300,170.4925,170.55,170.735,170.25,170.25,85680,170.53763
2026-08-31 15:30:00,1788204600,170.4275,170.24,170.615,170.24,170.5,75166,170.42199
2026-08-31 15:35:00,1788204900,170.58,170.51,170.83,170.33,170.33,135518,170.63021
2026-08-31 15:40:00,1788205200,170.45,170.35,170.635,170.265,170.37,111021,170.48421
2026-08-31 15:45:00,1788205500,170.41995,170.37,170.6199,170.22,170.6199,143168,170.37928
2026-08-31 15:50:00,1788205800,170.87,170.62,171.38,170.36,170.495,561970,170.94002
2026-08-31 15:55:00,1788206100,170.3925,170.47,170.8,169.985,170.48,757645,170.36102
