cooldown,entry,stop,slots,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
3,BREAKOUT,1.5%,30,2451,9936,19.78687333494793,58.900919305412984,0.23456601642230407,-7.370231240534498,-83.48259710987567,-0.20779176242862477,-0.08828464249661715
3,BREAKOUT,1.5%,50,2451,9936,19.78687333494793,58.900919305412984,0.23456601642230407,-7.370231240534498,-83.48259710987567,-0.20779176242862477,-0.08828464249661715
3,BREAKOUT,2.0ATR,30,3192,9189,25.78143930215653,63.465294962737744,2.112522123680758,4.001186929619749,-31.926669984219856,0.2732748089883191,0.1253242800328811
3,BREAKOUT,2.0ATR,50,3218,9163,25.991438494467328,64.01032220885102,2.5102671823598235,4.946594477879396,-32.02508797052411,0.32234768721092366,0.154459980950942
3,BREAKOUT,3.0%,30,2726,9661,22.006942762573665,61.70716765366412,0.498077285671157,-3.5556404440239997,-68.31714403659835,-0.08386984079233772,-0.05204609317566318
3,BREAKOUT,3.0%,50,2726,9661,22.006942762573665,61.70716765366412,0.498077285671157,-3.5556404440239997,-68.31714403659835,-0.08386984079233772,-0.05204609317566318
3,BREAKOUT,bar low,30,2911,9187,24.06182840138866,63.68468697601845,1.5303736761015665,2.255265582849586,-42.81402989070556,0.17160074425199418,0.05267585388730666
3,BREAKOUT,bar low,50,2919,9179,24.1279550338899,63.67189435903482,1.4903345568268116,2.1132783630631646,-42.81402989070556,0.1653362363732886,0.04935948259152155
3,GATES,1.5%,30,2840,23693,10.70365205593035,66.19057335237474,0.19313417861370755,-8.282641328849838,-85.19945374600877,-0.21149256817415,-0.09721472338944244
3,GATES,1.5%,50,2840,23693,10.70365205593035,66.19057335237474,0.19313417861370755,-8.282641328849838,-85.19945374600877,-0.21149256817415,-0.09721472338944244
3,GATES,2.0ATR,30,3677,22767,13.904855543790651,69.07145299384675,2.152773175304841,4.107823552191836,-28.2208523844235,0.28128972489558113,0.14555986815122385
3,GATES,2.0ATR,50,3877,22567,14.661170775979429,70.14429892756023,1.7203525584140191,2.889390459088692,-29.130532533076337,0.21603118235033436,0.09918769784959909
3,GATES,3.0%,30,3217,23316,12.124524177439415,68.8879820444788,0.6700774565875616,-2.078893527831316,-65.72685409165668,0.028279498869341217,-0.03162928694156395
3,GATES,3.0%,50,3217,23316,12.124524177439415,68.8879820444788,0.6700774565875616,-2.078893527831316,-65.72685409165668,0.028279498869341217,-0.03162928694156395
3,GATES,bar low,30,3503,22232,13.61181270643093,69.20715021269561,0.8188362655651931,-1.0421047882465673,-57.12799267073905,0.039711269249208626,-0.018241578944543122
3,GATES,bar low,50,3512,22223,13.646784534680396,69.29470342609395,0.8373298951318507,-0.9261990175116308,-57.12799267073905,0.04418843761933512,-0.016212700187976846
0,BREAKOUT,1.5%,30,2448,15434,13.68974387652388,59.93871297241992,0.44891479414102103,-4.134188342248423,-71.88145545935625,-0.02314302247065383,-0.05751397653023327
0,BREAKOUT,1.5%,50,2448,15434,13.68974387652388,59.93871297241992,0.44891479414102103,-4.134188342248423,-71.88145545935625,-0.02314302247065383,-0.05751397653023327
0,BREAKOUT,2.0ATR,30,3319,14557,18.5667934660998,65.2005340699068,2.1293356076831405,4.0444453769548305,-33.62255612832098,0.2545177683339655,0.12028964607923161
0,BREAKOUT,2.0ATR,50,3362,14514,18.807339449541285,65.76736489600579,2.08138921207431,3.920218430029543,-34.106668837193,0.254916661814396,0.11493993883549782
0,BREAKOUT,3.0%,30,2972,14910,16.620064869701377,63.120277721051934,0.1438868802508328,-9.652908048358865,-89.25629776379563,-0.3023684246144997,-0.1081482011936451
0,BREAKOUT,3.0%,50,2972,14910,16.620064869701377,63.120277721051934,0.1438868802508328,-9.652908048358865,-89.25629776379563,-0.3023684246144997,-0.1081482011936451
0,BREAKOUT,bar low,30,3057,14378,17.533696587324346,65.2409331685833,0.7526759700148895,-1.4649564741879728,-54.41967851895109,0.006453020621470556,-0.026919609120399653
0,BREAKOUT,bar low,50,3057,14378,17.533696587324346,65.2409331685833,0.7526759700148895,-1.4649564741879728,-54.41967851895109,0.006453020621470556,-0.026919609120399653
0,GATES,1.5%,30,3281,44335,6.890540994623656,69.88764044943507,0.05149857702556359,-14.47520611753992,-96.1887351103604,-0.3883005135085977,-0.1504875399487482
0,GATES,1.5%,50,3281,44335,6.890540994623656,69.88764044943507,0.05149857702556359,-14.47520611753992,-96.1887351103604,-0.3883005135085977,-0.1504875399487482
0,GATES,2.0ATR,30,3812,43653,8.031180870114822,70.60452071718217,1.5414934849027828,2.2957413268791527,-37.474434932999316,0.17696734128255812,0.06126153285523097
0,GATES,2.0ATR,50,3984,43481,8.393553144422206,72.07193330153112,1.5975357465782545,2.4875228683626016,-35.93964841389731,0.18434581941333436,0.06921388989995558
0,GATES,3.0%,30,3460,44156,7.266465053763441,70.05715452132858,0.08253228767945638,-12.302255227294268,-93.08799781475837,-0.3714918296244456,-0.1321572653412881
0,GATES,3.0%,50,3460,44156,7.266465053763441,70.05715452132858,0.08253228767945638,-12.302255227294268,-93.08799781475837,-0.3714918296244456,-0.1321572653412881
0,GATES,bar low,30,3750,42220,8.15749401783772,71.24204078779795,0.3977618010891549,-4.716369873531101,-69.485340803768,-0.10320991324693758,-0.06787575363342459
0,GATES,bar low,50,3760,42210,8.179247335218621,71.24670034893016,0.40224624712678764,-4.660372634671861,-69.14131243767665,-0.10022935569835606,-0.06740358940789096
