date,ticker,dir,conf,action,r1,b_uni1,b_liq1,b_scr1,n_scr1,r3,b_uni3,b_liq3,b_scr3,n_scr3,r5,b_uni5,b_liq5,b_scr5,n_scr5,r10,b_uni10,b_liq10,b_scr10,n_scr10,r20,b_uni20,b_liq20,b_scr20,n_scr20
2026-05-22,QBTS,long,stated,trim,-0.05374149659863936,0.010029519279318826,0.012683222328513929,0.016236623115670718,700,0.003061224489795844,0.02749311902900598,0.02510657568276552,0.009025286872363036,700,-0.007482993197278853,0.03199200256483769,0.028398176646188388,-0.0005040158438516513,699,-0.12142857142857144,0.0020280549582314656,-0.0021338229678754383,-0.0075440206074932755,700,-0.14863945578231286,0.001405868919981811,0.012513528553024886,0.025524797661368972,700
2026-05-22,GFS,long,stated,trim,0.050443717888836836,0.010029519279318826,0.012683222328513929,0.016236623115670718,700,-0.058500700607192924,0.02749311902900598,0.02510657568276552,0.009025286872363036,700,-0.0666744511910321,0.03199200256483769,0.028398176646188388,-0.0005040158438516513,699,-0.09726763194768795,0.0020280549582314656,-0.0021338229678754383,-0.0075440206074932755,700,-0.02627276973376924,0.001405868919981811,0.012513528553024886,0.025524797661368972,700
2026-05-22,EMP,long,inferred,hold,0.0038647342995170586,0.010029519279318826,0.012683222328513929,0.016236623115670718,700,0.011594202898550732,0.02749311902900598,0.02510657568276552,0.009025286872363036,700,0.0038647342995170586,0.03199200256483769,0.028398176646188388,-0.0005040158438516513,699,-0.004106280193236778,0.0020280549582314656,-0.0021338229678754383,-0.0075440206074932755,700,-0.014975845410627908,0.001405868919981811,0.012513528553024886,0.025524797661368972,700
2026-05-21,TSLA,long,inferred,hold,0.019528538949383778,0.006585835418203624,0.007695372446168134,0.00854038069223852,678,0.053871006341988714,0.021292138115562416,0.02128671097424764,0.01971319718893171,678,0.04293406724901283,0.036333281545179896,0.034875259990462947,0.01002127533103468,678,-0.06425750867536206,-6.727942452478511e-05,0.004298337656812658,-0.007111146317493802,678,-0.030633002273543153,0.010981681157201119,0.024361124875842206,0.045873029295228636,678
2026-05-21,QBTS,long,stated,entry,0.14219114219114215,0.006585835418203624,0.007695372446168134,0.00854038069223852,678,0.06759906759906764,0.021292138115562416,0.02128671097424764,0.01971319718893171,678,0.170940170940171,0.036333281545179896,0.034875259990462947,0.01002127533103468,678,-0.07342657342657333,-6.727942452478511e-05,0.004298337656812658,-0.007111146317493802,678,-0.049339549339549316,0.010981681157201119,0.024361124875842206,0.045873029295228636,678
2026-05-20,IONQ,long,inferred,hold,0.12235563178959419,0.00966158906632963,0.008295372567482,0.00588522789427222,676,0.2125023823137031,0.02720881152257501,0.029025451622130882,0.031401681100197074,676,0.33676386506575184,0.04613191966710927,0.04159902744786425,0.021884777765699134,676,0.25138174194777974,0.04208063123563258,0.041788653035632936,0.03365369459636802,676,0.07775871926815325,0.02595124787966863,0.036049188002971654,0.03848002878375809,676
2026-05-20,GFS,long,stated,hold,0.14917361209210322,0.00966158906632963,0.008295372567482,0.00588522789427222,676,0.27080096058765335,0.02720881152257501,0.029025451622130882,0.031401681100197074,676,0.13900268399491433,0.04613191966710927,0.04159902744786425,0.021884777765699134,676,0.19649668032207934,0.04208063123563258,0.041788653035632936,0.03365369459636802,676,0.2124593869190563,0.02595124787966863,0.036049188002971654,0.03848002878375809,676
2026-05-20,SNDK,long,stated,entry,0.10748549434135701,0.00966158906632963,0.008295372567482,0.00588522789427222,676,0.14145889584649862,0.02720881152257501,0.029025451622130882,0.031401681100197074,676,0.17886482449589258,0.04613191966710927,0.04159902744786425,0.021884777765699134,676,0.2636295743091861,0.04208063123563258,0.041788653035632936,0.03365369459636802,676,0.5688731544780836,0.02595124787966863,0.036049188002971654,0.03848002878375809,676
2026-05-20,MU,long,stated,stopped_out,0.04113444172734604,0.00966158906632963,0.008295372567482,0.00588522789427222,676,0.22389650131832406,0.02720881152257501,0.029025451622130882,0.031401681100197074,676,0.2616565800079236,0.04613191966710927,0.04159902744786425,0.021884777765699134,676,0.3606743261519967,0.04208063123563258,0.041788653035632936,0.03365369459636802,676,0.5491878304348421,0.02595124787966863,0.036049188002971654,0.03848002878375809,676
2026-05-20,IREN,long,stated,entry,0.10149876683741232,0.00966158906632963,0.008295372567482,0.00588522789427222,676,0.13413014608233742,0.02720881152257501,0.029025451622130882,0.031401681100197074,676,0.21513944223107573,0.04613191966710927,0.04159902744786425,0.021884777765699134,676,0.1735913488901537,0.04208063123563258,0.041788653035632936,0.03365369459636802,676,0.1375450578637829,0.02595124787966863,0.036049188002971654,0.03848002878375809,676
2026-05-20,ASTS,long,inferred,exit,0.07423532038401426,0.00966158906632963,0.008295372567482,0.00588522789427222,676,0.3362357669122573,0.02720881152257501,0.029025451622130882,0.031401681100197074,676,0.4857110962268365,0.04613191966710927,0.04159902744786425,0.021884777765699134,676,0.19770037954900666,0.04208063123563258,0.041788653035632936,0.03365369459636802,676,-0.09957579816923423,0.02595124787966863,0.036049188002971654,0.03848002878375809,676
2026-05-12,SNDK,long,inferred,hold,-0.003298852632883764,-0.00034288029428769686,-0.004923320643435077,0.003923343634672755,718,-0.030584978168344823,-0.012725855381244575,-0.01736414559351884,-0.013124964005778672,718,-0.047334058759521236,-0.024871326255205536,-0.025704111714027717,-0.030736500876946193,718,0.094984917563119,0.023550059341385456,0.0218227911351057,0.014526689660501624,718,0.13168551397363681,0.0009034531043923509,0.001653937174287219,-0.022090429747615572,718
