entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
CONFIRMED,1.0%,target 4R,883,1,99.8868778280543,7.159230454359496,0.6662564273237668,-2.1436411650144205,-37.10911947132861,-0.25403819505933767,-0.05776588600197449
CONFIRMED,1.0ATR,close<10EMA,870,14,98.41628959276018,8.952587772909137,1.2619746438071728,1.2457030623459264,-15.139078181246779,0.17900551764541825,0.08228394407058519
CONFIRMED,1.0ATR,close<20EMA,834,50,94.34389140271493,12.392328189824497,1.7462344498879079,2.9892849246043074,-14.899476086093589,0.2803482913167978,0.20063020386296357
CONFIRMED,1.0ATR,close<50EMA,782,102,88.46153846153847,18.197541492653745,1.9860577417425525,3.671933871003974,-20.699218659136953,0.28689966602044503,0.1773948056432133
CONFIRMED,1.0ATR,hold 20d,864,20,97.73755656108597,10.299389573893576,1.63069909681552,2.6352348379825585,-12.153592930015888,0.33051523808782024,0.2168276371569336
CONFIRMED,1.0ATR,target 2R,883,1,99.8868778280543,6.9509336711947265,1.0788101245199684,0.40431888089369483,-13.350143228547317,0.09084361569386847,0.030285733566447315
CONFIRMED,1.0ATR,target 4R,875,9,98.98190045248869,11.289743673705122,1.3031247035925166,1.418288067640705,-14.699737242554466,0.20447819478491847,0.096483906088803
CONFIRMED,1.5%,close<10EMA,848,36,95.92760180995475,12.415063446582034,1.2698917562064422,1.283163637412299,-33.029051906252626,0.13405367405057647,0.03884954497193385
CONFIRMED,1.5%,close<20EMA,821,63,92.87330316742081,15.178059762587031,1.6154447102373302,2.5892884312513686,-35.181719161226574,0.17683283768053618,0.07359755273429042
CONFIRMED,1.5%,close<50EMA,764,120,86.42533936651584,20.581252558330068,1.5486022472787961,2.35222768161798,-46.769941624470476,0.16770819653924346,0.05029357745418421
CONFIRMED,1.5%,hold 20d,847,37,95.81447963800905,13.115022513303346,1.5546167967774887,2.382449380459528,-27.97978255793242,0.19432919162389706,0.08514895980791283
CONFIRMED,1.5%,target 2R,884,0,100.0,5.0880065493245334,0.7236365023464598,-1.7112865090680551,-31.106309467206618,-0.2727708319409762,-0.05501412859253376
CONFIRMED,1.5%,target 4R,884,0,100.0,6.831764224314286,0.6463666383788056,-2.301776182521642,-36.03711013180254,-0.3197329933712138,-0.06387238527459886
CONFIRMED,10d low,close<10EMA,740,24,96.8586387434555,2.9504289524435454,1.06698277268714,0.345259840157075,-4.568606475340764,0.16900273860085377,0.07557224331327918
CONFIRMED,10d low,close<20EMA,703,61,92.01570680628272,4.638225008261323,1.1662774375989453,0.81603893511355,-5.221745816081347,0.25419810256950803,0.15627703144806568
CONFIRMED,10d low,close<50EMA,594,170,77.74869109947645,8.260665144895537,1.2040124827583023,0.9875268346170252,-7.102944772132524,0.2563082152443638,0.13903062269207803
CONFIRMED,10d low,hold 20d,716,48,93.717277486911,4.9480980698956465,1.211646780128634,1.0298737281537074,-4.9683713762585295,0.370272644664451,0.20728597968239276
CONFIRMED,10d low,target 2R,495,269,64.79057591623037,11.902023954993052,1.6266579953939562,2.5820480483739194,-6.635440694998884,0.6673614914343764,0.38912985091103336
CONFIRMED,10d low,target 4R,373,391,48.82198952879581,13.614749016419397,1.7458099229403377,2.9302799251480494,-7.620077832506411,0.6572189521903762,0.3845472434215565
CONFIRMED,2.0ATR,close<10EMA,846,38,95.70135746606334,6.139901403244167,1.324126158707029,1.5036889601477643,-7.649736646105798,0.32362795646427817,0.1965674152865429
CONFIRMED,2.0ATR,close<20EMA,788,96,89.14027149321267,9.023414577771536,1.4494398758334446,1.9805575454231894,-9.93783411452468,0.34165844006893975,0.19929468761492988
CONFIRMED,2.0ATR,close<50EMA,688,196,77.82805429864253,14.063511325069145,1.4013443555714453,1.7918219598278329,-12.363314946591641,0.2698405834279368,0.14493054391709143
CONFIRMED,2.0ATR,hold 20d,828,56,93.66515837104072,8.111773209986609,1.4587152002270363,2.0297735262502226,-7.690120735473083,0.40994377368960383,0.2639455993047363
CONFIRMED,2.0ATR,target 2R,809,75,91.5158371040724,11.520547295895996,1.3270385332031873,1.4914699585838465,-12.652695404448867,0.27374194771780075,0.11787764669174162
CONFIRMED,2.0ATR,target 4R,693,191,78.39366515837104,15.905219802708874,1.5257512671251996,2.2190786137318064,-14.62473580325323,0.3603621045022377,0.15173461206992736
CONFIRMED,20EMA,close<10EMA,826,39,95.49132947976878,4.663843217135781,1.157916190569188,0.7824955286435342,-7.468412594625217,0.23616538550298122,0.10477400903194231
