regime,slots,entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
none,30,LEADER,20EMA,close<50EMA,2093,1204,63.481953290870486,34.02732584228236,1.1999073745761746,0.9527523072229149,-36.55976204402657,0.13489383477205427,0.026060134255676406
none,30,LEADER,20EMA,target 4R,1587,1710,48.13466787989081,43.83802380982775,2.969280907705295,5.726987315750098,-22.510223236092475,0.5680059199164897,0.2544171710641924
none,30,POTENT,2.0ATR,close<50EMA,2732,1525,64.17665022316186,53.80038795389098,0.8626943599388266,-0.7656397015725847,-37.9253539922475,-0.013338942336984324,-0.020188070010608013
none,30,POTENT,2.0ATR,target 4R,2670,1587,62.720225510923186,60.08177011083057,1.927711868756706,3.4644297078335384,-39.82386215497683,0.29324036893045113,0.08699381527465902
none,30,POTENT,20EMA,close<50EMA,2665,1571,62.91312559017941,47.63396501214456,0.9589216591531174,-0.2180122228705006,-41.730039448652064,0.02303562533933357,-0.005224347394609105
none,30,POTENT,20EMA,target 4R,2046,2190,48.30028328611898,56.282088959682106,2.4228501714880735,4.590284117272447,-38.30147632727371,0.41968263296993946,0.11984614060434527
none,30,REQ-only,2.0ATR,close<50EMA,3634,106340,3.3044174077509227,94.42186385893794,1.1343938595272116,0.6633879661852138,-56.82924443034181,0.0984221542640623,0.011673355379523982
none,30,REQ-only,2.0ATR,target 4R,2664,107310,2.4223907469038135,96.76521473252892,4.880543023856178,8.484620370234474,-51.67943472505867,0.7452510774212472,0.16417788653017898
none,30,REQ-only,20EMA,close<50EMA,3496,105532,3.2065157574201124,95.27950504304373,1.3197550216774876,1.4532254305284598,-55.81099347693919,0.15641121191322374,0.02603833653541618
none,30,REQ-only,20EMA,target 4R,2547,106481,2.336097149356129,98.10465909345625,3.337375713608215,6.291106845971561,-52.518299473582296,0.5932861885869729,0.11978885281950356
none,50,BOTH,2.0ATR,close<50EMA,1751,481,78.44982078853046,33.20395636989787,1.002600925349054,0.013568540801323081,-36.04719606549248,0.03931317505228517,0.00037641043638098867
none,50,BOTH,2.0ATR,target 4R,1797,435,80.51075268817205,36.91432560524377,1.281061671767477,1.2902514892936479,-41.60625200454013,0.15274368576317507,0.03101100020143256
none,50,BOTH,20EMA,close<50EMA,1827,396,82.18623481781377,30.080876038275377,1.100665460942649,0.5003059732373139,-33.11523020670304,0.0871257552671545,0.015108032470692114
none,50,BOTH,20EMA,target 4R,1716,507,77.19298245614036,45.35251236467217,2.431288799977985,4.604802301219313,-24.685727276636882,0.4279737400288526,0.18653703209211905
none,50,BREAKOUT,2.0ATR,close<50EMA,4050,7323,35.61065681878132,76.69010446451499,1.6257949978202273,2.567251608291121,-59.79414335995765,0.20231791629061063,0.042934833815352104
none,50,BREAKOUT,2.0ATR,target 4R,3609,7764,31.733051965180692,85.50243330240302,1.6631992687444823,2.650626391944755,-53.26689259631122,0.22767615501444938,0.049761235595866406
