universe,slots,entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
BROAD,10,CONFIRMED,3.0%,target 4R,4804,1625,74.72390729506922,49.47497446373631,0.09267349498095546,-11.865336251502667,-91.32668191247608,-0.7183537297228372,-0.12992190237321818
BROAD,10,DUMB,2.0ATR,close<50EMA,1860,108351,1.6876718294907043,61.66088913442578,1.3411302327094212,1.555215592137893,-38.44836846896021,0.21250171945172985,0.04044945609053439
BROAD,10,DUMB,2.0ATR,hold 20d,3518,106693,3.1920588688969342,64.77519321696161,1.119787251410531,0.609406089962361,-38.568217579548204,0.10233241995272638,0.015800732525568264
BROAD,10,DUMB,2.0ATR,target 4R,1377,108834,1.2494215640906987,57.53126468034424,1.5582097948109948,2.3502116499124703,-33.862135238983115,0.3284877886016495,0.0694052998526459
BROAD,10,DUMB,20EMA,close<50EMA,1996,107365,1.8251479046460803,70.65146884200773,1.126681825718146,0.6290197562006883,-47.498146491124835,0.09798988731705956,0.01324303794292736
BROAD,10,DUMB,20EMA,hold 20d,3896,105465,3.562513144539644,74.2882255136262,1.3519486666520637,1.6322521407727164,-41.87861009023679,0.1841805871329797,0.03897579545394811
BROAD,10,DUMB,20EMA,target 4R,1616,107745,1.4776748566673676,60.136740619985545,1.8195074707152281,3.1767633380434646,-37.37926000366792,0.3936637989325463,0.08498732553110301
BROAD,10,DUMB,3.0%,close<50EMA,2737,107523,2.482314529294395,90.89971110193922,0.25409541778971595,-7.001715483325288,-77.9454064478799,-0.4953986272349356,-0.08982845561280325
BROAD,10,DUMB,3.0%,hold 20d,4875,105385,4.421367676401234,94.89269500619018,0.1796471543856359,-8.815509521158315,-86.33562967269243,-0.5938665125234318,-0.10210743298657635
BROAD,10,DUMB,3.0%,target 4R,3404,106856,3.087248322147651,94.06520841931444,0.2776896433153562,-6.6002031960402,-78.60855200201546,-0.4743175890796995,-0.08396291533103137
BROAD,10,GATES,2.0ATR,close<50EMA,1806,17805,9.20911733210953,31.586039103001617,1.0107908372128545,0.05653005957655388,-35.7097281129681,0.0377247957166579,0.001583043684839057
BROAD,10,GATES,2.0ATR,hold 20d,3328,16283,16.970067819081127,31.979312190690887,0.7546510064617191,-1.4879071042687264,-34.41828428302007,-0.14463607878501836,-0.043230135820650745
BROAD,10,GATES,2.0ATR,target 4R,1338,18273,6.822701545051247,31.29633457106187,0.9590218466314785,-0.22029302192146938,-33.63057431776524,-0.0007482740998227261,-0.006550379420820665
BROAD,10,GATES,20EMA,close<50EMA,1876,17272,9.797367871318153,34.85003168121683,0.9481497537715007,-0.27660689722930343,-44.07631881130454,0.006277100797022829,-0.006275635186629067
BROAD,10,GATES,20EMA,hold 20d,3436,15712,17.94443283893879,34.73329152088905,0.9565874170283809,-0.23532233440712869,-36.61706779612683,0.009606387224437853,-0.006426575052850624
BROAD,10,GATES,20EMA,target 4R,1338,17810,6.987674952997702,31.33712929895962,1.3771543612185613,1.6909541508518977,-32.812409222699536,0.2501073811371889,0.051533983359018334
BROAD,10,GATES,3.0%,close<50EMA,3769,15899,19.16310758592638,84.18794688457378,0.34405156831290584,-5.391302201502468,-78.32820802522758,-0.11827442071790276,-0.06882963797366667
BROAD,10,GATES,3.0%,hold 20d,6274,13394,31.899532235102704,80.02451481102821,0.12758917902076408,-10.351990657625654,-92.12551990168663,-0.39802954111498845,-0.11236832821864086
BROAD,10,GATES,3.0%,target 4R,7296,12372,37.095790115924345,82.29622063329523,0.09077834044409938,-11.950566034144183,-91.33721793386422,-0.5209337371934196,-0.13084004860753906
BROAD,10,LEADER,2.0ATR,close<50EMA,1153,2317,33.22766570605187,22.450223461366143,1.3498422173849005,1.5792481256580615,-19.483344946009197,0.21637189619710115,0.08105631399712714
BROAD,10,LEADER,2.0ATR,hold 20d,1933,1537,55.706051873198845,17.77887321863014,1.3671268225813842,1.683205094339879,-14.154200946439744,0.26217126957209164,0.11891911812678212
BROAD,10,LEADER,2.0ATR,target 4R,1127,2343,32.47838616714697,23.404609554087152,2.062438608761578,3.7893379168857155,-15.66412588010122,0.5194615303738778,0.24191186574282236
BROAD,10,LEADER,20EMA,close<50EMA,1001,2296,30.360934182590235,16.635323050919244,1.256039621333158,1.203891545802116,-15.28361365847023,0.21024988185107363,0.07877008492261352
BROAD,10,LEADER,20EMA,hold 20d,1744,1553,52.89657264179557,13.565301260604107,1.3518507491503975,1.6158025719350322,-11.970078638037062,0.32019214880341784,0.13498679672834654
BROAD,10,LEADER,20EMA,target 4R,652,2645,19.775553533515318,18.129190385998744,1.8453891260510282,3.185744810498936,-11.872297213370675,0.5966369383009139,0.26833432091904885
