ticker,date,close,resistance,pos_in_base,base_len_yrs,atr_rank,multiyr_range_pct
NFLX,2024-06-13,65.326,70.09894,91.13296923493634,2.626984126984127,0.10978835978835978,82.39895294369776
HON,2024-06-21,202.65031,223.16125,81.82045647353316,3.1944444444444446,0.0992063492063492,55.67437079173479
WFC,2024-09-03,58.37,62.55,89.99760708303424,2.5476190476190474,0.2447089947089947,71.59499743018672
NEE,2024-09-25,84.62,93.73,80.44434903939036,2.8055555555555554,0.14417989417989419,55.051997163791064
DE,2024-09-27,416.53,450.0,87.15754738700022,2.511904761904762,0.15343915343915343,62.56932273785802
NFLX,2024-10-01,70.613,72.526,96.59941338547685,2.9087301587301586,0.09391534391534391,79.66663362270403
CRM,2024-10-15,288.35,318.715,84.21572449642628,2.9444444444444446,0.16005291005291006,66.71579677475289
XLE,2024-10-22,45.14,49.485,87.92887901097374,1.9285714285714286,0.12962962962962962,79.74080638015063
BAC,2024-12-04,46.37,50.11,86.1430159318266,3.107142857142857,0.009259259259259259,58.205736467543666
C,2024-12-11,71.96,80.29,80.22317188983853,3.5873015873015874,0.06481481481481481,58.53251806559201
EOG,2025-01-17,136.58,150.88,86.07323724191664,2.607142857142857,0.07142857142857142,75.17938204715185
BAC,2025-02-11,46.79,50.11,86.79920477137176,3.2857142857142856,0.08333333333333333,53.75080145330199
XOM,2025-04-02,118.67,126.34,89.66864224137929,1.503968253968254,0.19047619047619047,62.560040448302026
SCHW,2025-05-22,87.31,96.24,82.57220921155348,3.357142857142857,0.164021164021164,58.6874355743901
BAC,2025-06-23,46.3,50.11,84.85089463220675,3.642857142857143,0.0992063492063492,54.319654427645794
XLE,2025-07-29,44.475,49.485,81.385844324726,2.6825396825396823,0.0992063492063492,60.51714446318156
XOM,2025-07-29,112.88,126.34,81.86961206896551,1.8214285714285714,0.07539682539682539,65.76895818568393
NEM,2025-09-03,75.17,86.37,80.33362598770852,3.4007936507936507,0.05026455026455026,75.76160702407876
FCX,2025-12-26,53.04,55.235,92.7879086577953,1.6547619047619047,0.07936507936507936,57.38122171945701
