tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_iv30,ib_pctile,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
BTU,25.59,1.1023897097380364,0.5385,17.77777777777778,,,,,39.0,False,False,False,,,,,athena,17.77777777777778,True,42.34228958589648,True,False
BURL,244.61,1.2334290192641373,0.3941,72.0,,,,,65.0,False,True,False,,,,,athena,72.0,False,33.35693070648847,True,False
C,133.07,0.9311006709834624,0.3143,57.30337078651685,,,,,22.0,False,False,False,,,,,athena,57.30337078651685,False,,True,False
CAH,224.09500000000003,1.233890507896465,0.2514,50.526315789473685,,,,,39.0,False,True,False,,,,,athena,50.526315789473685,False,35.15076591018092,True,False
CAT,811.12,1.1893681731362828,0.3454,66.97247706422019,11.0,42.175000000000004,23.7864077669903,1.0,38.0,False,False,True,,,,,athena,66.97247706422019,False,48.67796212615862,True,False
CCJ,92.255,1.0241939167358578,0.4721,30.555555555555557,11.0,6.81,36.196319018404914,25.0,45.0,False,False,False,,,,,athena,30.555555555555557,False,,True,False
CEG,253.305,1.115141272980417,0.4083,8.588957055214724,11.0,16.25,27.322404371584696,6.0,46.0,False,False,False,,,,,athena,8.588957055214724,True,36.22748451031896,True,False
CELH,28.305,1.0700673175747393,0.5495,56.875,11.0,2.145,56.79012345679012,208.0,46.0,False,False,False,,,,,athena,56.875,False,,True,False
CF,125.505,1.0245650032259193,0.4522,85.71428571428571,11.0,8.05,41.66666666666667,3.0,44.0,False,False,False,,,,,athena,85.71428571428571,False,,True,False
CI,273.975,1.0334893460453802,0.2892,50.29940119760479,11.0,11.45,46.95652173913042,31.0,39.0,False,False,False,,,,,athena,50.29940119760479,False,,True,False
CIEN,358.885,1.0902643809447028,0.6703,,11.0,34.45,36.486486486486484,1.0,81.0,False,False,False,,,,,none,,False,,True,False
CIFR,18.57,0.9884805965968478,0.9706,7.006369426751593,,,,,43.0,False,False,False,,,,,athena,7.006369426751593,True,,True,False
CLF,12.375,0.9114412103585319,0.6553,36.787564766839374,,,,,29.0,False,False,False,,,,,athena,36.787564766839374,False,,True,False
CLS,343.445,1.1197313272494311,0.6175,35.064935064935064,11.0,32.05,21.25340599455042,0.0,36.0,False,False,False,,,,,athena,35.064935064935064,False,57.158971663156635,True,False
CME,274.615,0.9577781584872906,0.2626,87.14285714285714,,,,,31.0,False,False,False,,,,,athena,87.14285714285714,False,,True,False
CMG,32.935,1.1661602380382432,0.3618,60.57142857142858,11.0,1.6900000000000002,14.285714285714285,128.0,38.0,False,False,True,,,,,athena,60.57142857142858,False,36.619476846009036,True,False
CMI,529.4300000000001,1.1604876531667714,0.319,,,,,,46.0,False,False,False,,,,,none,,False,31.31859350814385,True,False
COF,203.43,0.9437088148369043,0.3273,55.23255813953488,,,,,30.0,False,False,False,,,,,athena,55.23255813953488,False,,True,False
COHR,325.125,1.0031244127826777,0.754,61.267605633802816,11.0,35.9,14.603174603174596,19.0,45.0,False,False,True,,,,,athena,61.267605633802816,False,,True,False
COP,128.035,1.0944815897852282,0.3077,44.0,11.0,6.15,16.190476190476193,31.0,46.0,False,False,True,,,,,athena,44.0,False,,True,False
CORZ,18.235,1.0791031712751487,0.7251,19.680851063829788,11.0,1.8450000000000002,28.57142857142857,223.0,32.0,False,False,False,,,,,athena,19.680851063829788,True,,True,False
COST,891.7149999999999,1.0177924287189835,0.2289,57.43589743589743,11.0,35.425,8.333333333333341,69.0,3.0,True,False,True,,,,,athena,57.43589743589743,False,,True,False
COTY,2.435,1.2503921682298391,0.8235,,,,,,45.0,False,True,False,,,,,none,,False,35.87733095085713,True,False
CRWD,245.95,1.0590097746440648,0.5825,83.54978354978356,11.0,18.725,6.818181818181814,57.0,72.0,False,False,True,,,,,athena,83.54978354978356,False,,True,False
CRWV,84.08000000000001,1.0988403071198733,0.7442,5.208333333333334,11.0,8.95,3.680981595092033,1157.0,50.0,False,False,True,,,,,athena,5.208333333333334,True,,True,False
CSCO,109.275,1.2818215143935845,0.3025,82.7906976744186,11.0,4.765,13.740458015267176,288.0,52.0,False,True,True,28.891603999999997,41.199999999999996,2026-09-21,251.0,ib,41.199999999999996,False,45.61722770832009,True,False
CSTM,25.585,0.5625394991489545,0.6649,,,,,,38.0,False,False,False,,,,,none,,False,,True,False
CVNA,66.16499999999999,1.163938300991916,0.5731,49.51456310679612,11.0,5.515000000000001,12.429378531073432,49.0,38.0,False,False,True,,,,,athena,49.51456310679612,False,41.779905725420626,True,False
CVS,87.265,1.0157460604321766,0.3085,43.04932735426009,11.0,3.8850000000000002,21.052631578947363,7.0,38.0,False,False,True,,,,,athena,43.04932735426009,False,,True,False
CVX,205.61,1.1074006016341356,0.2687,64.54545454545455,11.0,8.175,13.740458015267182,32.0,39.0,False,False,True,,,,,athena,64.54545454545455,False,49.11957528666503,True,False
DAL,80.07,0.8218598117746118,0.4431,41.66666666666667,,,,,18.0,False,False,False,,,,,athena,41.66666666666667,False,,True,False
DASH,192.38,1.13123352835936,0.4546,66.88311688311688,11.0,11.975,29.78723404255319,3.0,45.0,False,False,False,,,,,athena,66.88311688311688,False,34.364081684790904,True,False
DB,38.205,1.0999267660805492,0.3145,,,,,,37.0,False,False,False,,,,,none,,False,,True,False
DBX,36.504999999999995,1.0583288113297504,0.39,61.224489795918366,11.0,2.0,66.66666666666666,2.0,46.0,False,False,False,,,,,athena,61.224489795918366,False,,True,False
DE,687.335,1.1823205778001034,0.298,72.63157894736842,11.0,29.599999999999998,51.30111524163568,0.0,65.0,False,False,False,,,,,athena,72.63157894736842,False,62.454268575652144,True,False
DELL,571.2650000000001,1.1666017332709133,0.6032,76.44444444444444,11.0,48.775000000000006,9.286523216308042,46.0,65.0,False,False,True,,,,,athena,76.44444444444444,False,62.141305195277525,True,False
DHI,137.87,1.0384775039212026,0.3529,46.06060606060606,11.0,7.4,82.01438848920864,0.0,38.0,False,False,False,,,,,athena,46.06060606060606,False,,True,False
DIA,517.38,1.17068548758802,0.1227,31.313131313131315,11.0,8.350000000000001,3.680981595092033,51.0,,False,False,True,,,,,athena,31.313131313131315,False,41.08062457894618,True,False
DJT,9.094999999999999,1.0609784585449167,0.6859,67.54385964912281,11.0,0.755,75.0,109.0,46.0,False,False,False,,,,,athena,67.54385964912281,False,,True,False
DKS,121.28999999999999,1.3756668928540812,0.4033,63.86554621848739,11.0,7.625,32.62411347517729,0.0,65.0,False,True,False,,,,,athena,63.86554621848739,False,25.040914566299804,True,False
DVN,47.685,1.1034647793284285,0.3373,33.48623853211009,11.0,2.5100000000000002,12.499999999999991,105.0,45.0,False,False,True,,,,,athena,33.48623853211009,False,49.00488408918454,True,False
EBAY,110.005,1.1448213888395453,0.338,65.15151515151516,11.0,5.16,79.45205479452054,0.0,38.0,False,False,False,,,,,athena,65.15151515151516,False,55.11031460422832,True,False
ED,105.08500000000001,1.0016051701507285,0.1588,,,,,,46.0,False,False,False,,,,,none,,False,,True,False
ELF,95.705,1.2192674035133586,0.5353,21.463414634146343,11.0,7.135,50.0,1.0,45.0,False,True,False,,,,,athena,21.463414634146343,True,47.20510444913966,True,False
EOG,141.12,1.0214244467288018,0.3288,57.46268656716418,11.0,6.875,43.47826086956522,4.0,46.0,False,False,False,,,,,athena,57.46268656716418,False,,True,False
EOSE,4.015,1.0209638491426292,1.0903,41.48148148148148,11.0,0.53,7.692307692307699,824.0,45.0,False,False,True,,,,,athena,41.48148148148148,False,,True,False
EPD,38.835,1.1459132842211204,0.1798,60.204081632653065,11.0,0.71,96.77419354838712,45.0,39.0,False,False,False,,,,,athena,60.204081632653065,False,52.378857016532606,True,False
EQT,49.355000000000004,1.0791068049959136,0.3253,22.105263157894736,11.0,2.1799999999999997,15.38461538461538,14.0,30.0,False,False,True,,,,,athena,22.105263157894736,True,,True,False
ERX,104.92,1.0144326947983318,0.5203,,,,,,,False,False,False,,,,,none,,False,,True,False
ET,20.905,1.1165969567003227,0.189,33.82352941176471,11.0,0.5850000000000001,42.85714285714286,99.0,45.0,False,False,False,,,,,athena,33.82352941176471,False,43.80298655732055,True,False
ETHA,20.515,1.0742236482007403,0.556,7.096774193548387,11.0,1.54,3.973509933774838,4.0,,False,False,True,,,,,athena,7.096774193548387,True,,True,False
ETN,429.77,0.9995962117220879,0.3892,66.88311688311688,,,,,44.0,False,False,False,,,,,athena,66.88311688311688,False,,True,False
EW,88.11500000000001,1.0816317680738698,0.2742,,,,,,39.0,False,False,False,,,,,none,,False,,True,False
EWJ,97.545,1.003618428081296,0.217,,11.0,2.9,88.00000000000001,14.0,,False,False,False,,,,,none,,False,,True,False
EWU,47.595,1.1916915990070236,0.1398,,,,,,,False,False,False,,,,,none,,False,44.69204697848743,True,False
EWW,73.31,0.9190191787685549,0.2986,64.70588235294117,,,,,,False,False,False,,,,,athena,64.70588235294117,False,,True,False
EWY,186.26,0.9990037734377133,0.4733,,,,,,,False,False,False,,,,,none,,False,,True,False
EWZ,37.795,1.0733526531020785,0.4273,88.72549019607843,11.0,1.77,6.134969325153366,473.0,,False,False,True,,,,,athena,88.72549019607843,False,,True,False
