tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_pctile,ib_iv30,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
ASO,51.599999999999994,1.1367592889825666,0.3926,30.075187969924812,,,,,84.0,False,False,False,,,,,athena,30.075187969924812,False,56.88208106882159,True,False
ASPI,3.12,1.3020009827303327,0.7986,0.0,,,,,65.0,False,True,False,,,,,athena,0.0,True,32.106703020948984,True,False
ASTS,59.875,1.2101754319212332,0.7147,1.8867924528301887,9.0,5.46,10.344827586206891,139.0,55.0,False,True,True,,,,,athena,1.8867924528301887,True,43.804455649833756,True,True
AVGO,342.45500000000004,1.228764787680695,0.3552,10.822510822510822,,,,,86.0,False,True,False,,,,,athena,10.822510822510822,True,32.46166945501294,True,False
AVXL,2.5549999999999997,1.1196471467126101,2.8748,,,,,,70.0,False,False,False,,,,,none,,False,31.25254848815004,True,False
AXP,315.155,1.0901186936407918,0.2537,37.333333333333336,,,,,37.0,False,False,False,,,,,athena,37.333333333333336,False,,True,False
AZN,163.56,0.9268558610885039,0.2845,62.616822429906534,,,,,51.0,False,False,False,,,,,athena,62.616822429906534,False,,True,False
AZO,2855.0950000000003,0.8422359072857823,0.4305,,,,,,7.0,False,False,False,,,,,none,,False,,True,False
BAC,58.05,0.8652988083124236,0.2818,63.20346320346321,,,,,28.0,False,False,False,,,,,athena,63.20346320346321,False,,True,False
BBAI,2.755,1.2239502325331024,0.666,3.9215686274509802,,,,,55.0,False,True,False,,,,,athena,3.9215686274509802,True,36.329055491878165,True,False
BKNG,171.995,1.74871714840293,0.2611,48.484848484848484,,,,,42.0,False,True,False,,,,,athena,48.484848484848484,False,29.836705523327538,True,False
BP,45.57,1.0429908544618434,0.3172,75.12437810945273,,,,,48.0,False,False,False,,,,,athena,75.12437810945273,False,,True,False
BROS,41.545,1.2183371741669333,0.4696,46.15384615384615,,,,,50.0,False,True,False,,,,,athena,46.15384615384615,False,25.999420231140533,True,False
BSX,44.065,1.2198225101978113,0.3759,80.10752688172043,,,,,36.0,False,True,False,,,,,athena,80.10752688172043,False,39.447231893947944,True,False
BTDR,11.26,1.0772706089551454,0.9648,19.298245614035086,,,,,55.0,False,False,False,,,,,athena,19.298245614035086,True,,True,False
BTU,27.405,1.160482293079226,0.4836,5.9259259259259265,,,,,44.0,False,False,False,,,,,athena,5.9259259259259265,True,50.687792143408856,True,False
BURL,232.75,1.3267368894002718,0.3747,62.0,,,,,70.0,False,True,False,,,,,athena,62.0,False,19.862869146828416,True,False
C,133.37,0.9206831727277193,0.3245,61.23595505617978,,,,,27.0,False,False,False,,,,,athena,61.23595505617978,False,,True,False
CAH,231.03,1.3335661091927251,0.226,37.89473684210527,,,,,44.0,False,True,False,,,,,athena,37.89473684210527,False,44.53513875299627,True,False
CAT,786.71,1.173528952244377,0.3577,71.55963302752293,,,,,43.0,False,False,False,,,,,athena,71.55963302752293,False,39.19859028322489,True,False
CCJ,91.93,1.0686500308341935,0.4362,20.37037037037037,,,,,50.0,False,False,False,,,,,athena,20.37037037037037,True,,True,False
CEG,261.25,1.1301896522431698,0.3849,4.294478527607362,,,,,51.0,False,False,False,,,,,athena,4.294478527607362,True,37.991166340501714,True,False
CELH,28.535,1.1862757221887565,0.5002,36.25,,,,,51.0,False,False,False,,,,,athena,36.25,False,43.790115852253855,True,False
CF,132.565,1.099398399418813,0.4448,83.76623376623377,,,,,49.0,False,False,False,,,,,athena,83.76623376623377,False,,True,False
CI,282.5,1.1536957245672674,0.279,42.51497005988024,,,,,44.0,False,False,False,,,,,athena,42.51497005988024,False,49.7100207648783,True,False
CIEN,344.495,1.0012841227334484,0.6896,,,,,,86.0,False,False,False,,,,,none,,False,,True,False
CIFR,17.195,1.0902196862113305,0.9507,7.006369426751593,,,,,48.0,False,False,False,,,,,athena,7.006369426751593,True,,True,False
CLF,12.19,1.0719836224537447,0.6024,25.38860103626943,,,,,34.0,False,False,False,,,,,athena,25.38860103626943,True,,True,False
CLS,327.5,1.1423901129875942,0.6235,36.36363636363637,,,,,41.0,False,False,False,,,,,athena,36.36363636363637,False,51.353504344021005,True,False
CME,273.985,1.1277409258521869,0.2393,75.71428571428571,,,,,36.0,False,False,False,,,,,athena,75.71428571428571,False,49.312428495484596,True,False
CMG,33.8,1.1681210253593517,0.3626,61.142857142857146,,,,,43.0,False,False,False,,,,,athena,61.142857142857146,False,39.22658426885223,True,False
CMI,532.015,1.199338356493397,0.3212,,,,,,51.0,False,False,False,,,,,none,,False,27.217257543491627,True,False
COF,204.245,1.0687961797210803,0.3015,41.86046511627907,,,,,35.0,False,False,False,,,,,athena,41.86046511627907,False,,True,False
COHR,295.25,1.0423758294044718,0.7198,51.40845070422535,,,,,50.0,False,False,False,,,,,athena,51.40845070422535,False,,True,False
COP,132.95,1.0714656392654527,0.3126,48.0,,,,,51.0,False,False,False,,,,,athena,48.0,False,,True,False
CORZ,17.15,1.083968206880843,0.7273,19.680851063829788,,,,,37.0,False,False,False,,,,,athena,19.680851063829788,True,,True,False
COST,894.4449999999999,0.9496573745895458,0.2484,67.17948717948717,,,,,8.0,False,False,False,,,,,athena,67.17948717948717,False,,True,False
CRWD,242.15,1.164487968437178,0.5382,79.65367965367966,,,,,77.0,False,False,False,,,,,athena,79.65367965367966,False,63.91596679438453,True,False
CRWV,86.555,1.0969143379696389,0.7626,5.729166666666666,,,,,55.0,False,False,False,,,,,athena,5.729166666666666,True,,True,False
CSCO,108.15,1.2745161922351236,0.3064,83.25581395348837,,,,,57.0,False,True,False,,,,,athena,83.25581395348837,False,41.119412626228325,True,False
CSTM,25.895,1.3426245016122802,0.4788,,,,,,43.0,False,True,False,,,,,none,,False,40.85503463777946,True,False
CVNA,66.19999999999999,1.104445818198433,0.6039,53.883495145631066,,,,,43.0,False,False,False,,,,,athena,53.883495145631066,False,39.03265141262982,True,False
CVS,91.83500000000001,1.0221055397478713,0.2928,35.42600896860987,,,,,43.0,False,False,False,,,,,athena,35.42600896860987,False,,True,False
CVX,212.175,1.0755267075507,0.2705,65.45454545454545,,,,,44.0,False,False,False,,,,,athena,65.45454545454545,False,,True,False
DAL,78.12,0.9166927791924753,0.444,42.26190476190476,,,,,23.0,False,False,False,,,,,athena,42.26190476190476,False,,True,False
DASH,197.695,1.0882804630115106,0.4455,62.33766233766234,,,,,50.0,False,False,False,,,,,athena,62.33766233766234,False,,True,False
DB,38.345,1.1082770856318436,0.3178,,,,,,42.0,False,False,False,,,,,none,,False,43.82710179926316,True,False
DBX,37.975,0.7855437119595218,0.4565,73.46938775510205,,,,,51.0,False,False,False,,,,,athena,73.46938775510205,False,,True,False
DE,672.15,1.2220530444925493,0.2953,72.63157894736842,,,,,70.0,False,True,False,,,,,athena,72.63157894736842,False,56.33850599543066,True,False
DELL,569.875,1.139010142690535,0.6327,79.55555555555556,,,,,70.0,False,False,False,,,,,athena,79.55555555555556,False,63.28447503583193,True,False
DHI,138.25,1.1964413304463113,0.3319,32.72727272727273,,,,,43.0,False,False,False,,,,,athena,32.72727272727273,False,41.61876504759245,True,False
