date,sym,ret
2016-04-29,MNST,6.180438020945078
2016-05-19,DKS,1.5133738429948806
2016-05-19,URBN,1.75985825432583
2016-05-19,WMT,5.23733391205059
2016-06-02,CIEN,-4.783733713669247
2016-07-21,URI,-1.4170249499693255
2016-08-11,M,-4.261002780638224
2016-08-18,NTAP,2.303994368174256
2016-10-18,NFLX,-3.031070297762084
2016-10-20,AXP,16.299778210299753
2016-10-27,NOW,-1.4684556365600288
2016-10-28,RCL,6.273071484350012
2016-11-22,BURL,-0.4897821812572256
2016-12-02,ULTA,-1.0859853298026856
2017-01-26,EBAY,4.768205140777226
2017-01-26,NOW,-0.8913111329931778
2017-03-01,LOW,-1.486335765790181
2017-03-02,MNST,-2.180210857870213
2017-04-26,EW,4.4478028928618185
2017-04-27,NOW,8.25354834115335
2017-04-28,SRPT,-5.319162042787207
2017-05-02,THC,-7.634002661935202
2017-05-03,FSLR,7.864272822740337
2017-05-04,LITE,26.024291614017848
2017-05-05,AAOI,15.40512765113775
2017-05-19,MCK,6.551280512171176
2017-06-01,PANW,-5.19017503795437
2017-06-20,LEN,-1.3484483503763078
2017-07-20,SRPT,-5.929834783205578
2017-07-21,COF,-5.295973788806718
2017-07-28,FSLR,-3.4059857257728754
2017-08-16,URBN,-4.341304877514995
2017-08-18,ROST,7.294697294864272
2017-08-24,SIG,6.460120748386822
2017-09-01,PANW,-3.547565976082323
2017-10-18,IBM,-2.4831745414893858
2017-10-23,STX,-6.4134799951058525
2017-11-03,ANET,3.7577292063882606
2017-11-17,GAP,13.36322058925239
2017-11-21,PANW,-3.2058303603166194
2017-11-30,KR,13.230391035581235
2018-01-25,CLF,-3.488531550405649
2018-02-06,LITE,28.30074004346359
2018-02-28,BKNG,-0.4779923949969733
2018-03-02,GAP,-4.813146444686711
2018-03-06,CIEN,-1.0149675018047866
2018-03-08,BURL,8.248201294858347
2018-04-26,CMG,1.184409679210252
2018-05-22,AZO,3.130745803799728
2018-05-23,LOW,2.0767802336388863
2018-05-30,DKS,-8.006861875938442
2018-06-06,SIG,10.244183095717862
2018-06-21,KR,-2.874566258315736
2018-06-26,LEN,-0.8766089100027297
2018-07-27,CMG,-1.6430308253838288
2018-07-27,EXPE,-2.35819407929474
2018-07-31,KLAC,-3.982488876080703
2018-08-03,TTWO,-1.8899615102994427
2018-08-08,AAOI,-2.1997057970997047
2018-08-14,TPR,-5.324978024824933
2018-08-16,WMT,-0.9990837501102301
2018-08-21,TOL,-5.8312406668042716
2018-08-22,LOW,6.486970110017243
2018-08-22,URBN,0.0635225244401294
2018-08-30,SIG,-4.8152333385454105
2018-10-17,NFLX,-5.122765160355658
2018-10-17,UAL,-7.305019061486084
2018-10-18,AA,-0.8420000372556413
2018-10-31,TAP,-0.5636351791167282
2018-11-28,BURL,-6.01890017979062
2018-11-29,ANF,-5.5514126842781675
2018-12-13,CIEN,-5.660079982763588
2019-01-23,IBM,2.839592315875694
2019-01-24,LRCX,7.44001347566956
2019-01-25,WDC,11.269377502730539
2019-02-08,EXPE,-3.381522513389479
2019-02-15,ANET,20.278229317236107
2019-02-20,DVN,-1.5845521658236827
2019-02-27,SRPT,-5.095054967667001
2019-02-28,CVNA,48.521207446066185
2019-02-28,MNST,-2.0916774931081794
2019-03-01,GAP,-6.185763678792111
2019-03-05,CIEN,-2.013898365282296
2019-03-28,FIVE,-4.467068307924071
2019-04-18,URI,-1.6747598728459323
2019-04-25,META,-1.1138090813549328
2019-04-30,NXPI,-3.1856689236877345
2019-05-07,AIG,-0.8744239157030487
2019-05-09,TPR,-3.520489830494755
2019-05-30,BURL,0.1519937813930783
2019-06-06,CIEN,-9.765175358888223
2019-06-26,MU,17.475394964785472
2019-07-25,AZN,3.5278985111428796
2019-07-26,GOOG,-2.891933935099822
2019-08-02,FTNT,-6.21911648158362
2019-08-06,TTWO,2.8768890203745734
2019-08-08,CVNA,6.740902195171006
2019-08-08,LITE,-5.252349441453241
2019-08-15,WMT,2.837868780886277
2019-08-21,LOW,-1.6875492724887309
2019-08-29,NTNX,-4.896773598271153
2019-08-30,DELL,0.4199573670856882
2019-09-05,PANW,-2.6518655850221506
2019-10-17,NFLX,-6.340560600830491
2019-10-23,BSX,0.8457448492624975
2019-10-24,FFIV,-1.8341870205420552
2019-10-24,NOW,1.2440241421143972
2019-10-28,SPOT,-0.15709143756398314
2019-10-30,GE,8.487077916023967
2019-10-31,LITE,9.786591436905233
2019-11-01,FTNT,31.025834182651877
2019-11-26,NTNX,-4.851382006338245
2019-12-06,ULTA,-3.838591751472331
2019-12-10,MDB,-1.1114236049919457
2019-12-12,CIEN,-1.7218532986112867
2020-01-31,FLEX,-2.552500205820585
2020-02-07,NOV,-5.565429845743419
2020-02-12,TAP,-0.4515590503165745
2020-02-14,EXPE,-8.725074337641537
2020-02-21,DBX,-3.2671582764588147
2020-02-21,DE,-3.3327918735663653
2020-02-26,TJX,-6.235523681904354
2020-03-26,SIG,-17.18261251643941
2020-04-28,FFIV,-1.33341462632649
2020-04-29,SPOT,-2.896924295745229
2020-05-29,DELL,-6.331770584871954
2020-06-03,CRWD,-4.442069892974498
2020-06-10,FIVE,-6.582725590952599
2020-07-01,FDX,-0.9515433992434263
2020-08-27,NTAP,0.8456856454460926
2020-08-28,ULTA,-2.2377468527276623
2020-09-03,FIVE,-2.161899069846429
2020-10-27,FFIV,51.7950406753741
2020-11-03,ANET,26.485324863853045
2020-11-09,MAR,6.515419905901276
2020-12-02,NTAP,10.470129653317638
2021-01-28,AAL,-8.525674308346343
2021-01-29,WDC,12.286262769896105
2021-03-01,NRG,-2.8703737688058895
2021-03-19,FDX,-2.18454333028264
2021-05-21,PANW,-3.3167473080322973
2021-05-26,ANF,-3.849246763176961
2021-05-26,URBN,-3.650136676588689
2021-06-03,CIEN,-1.4819199065610356
2021-06-04,MDB,11.36711159187711
2021-07-27,FFIV,-1.443828185062046
2021-08-02,ON,-3.996049483876174
2021-08-12,PLTR,1.6045456078689568
2021-09-02,NTNX,-1.0891103850551365
2021-10-21,THC,7.194907924405869
2021-10-27,FFIV,-1.3594126021491904
2021-10-27,SPOT,-1.4457967608295985
2021-11-04,LUMN,-2.963948816880846
2021-11-05,EXPE,-5.092019868717057
2021-11-10,DASH,0.2706892092497304
2021-11-11,TPR,-4.759748451199874
2021-11-17,TJX,-0.8103820018081742
2021-12-02,KR,-1.943245480327327
2021-12-07,MDB,-1.1762005675097553
2021-12-17,FDX,-2.101550907526828
2021-12-21,MU,-0.8425859017791804
2022-01-26,GLW,2.3180477375103203
2022-01-27,NOW,6.79597562358738
2022-01-27,STX,2.1585141526775153
2022-02-02,GOOG,-3.830833250736565
2022-02-09,CMG,-6.333944919179646
