i,j,date,sym,ret,held,R,ext,stop_adr,adr,ext_terc,adr_terc,gate
562,499,2021-03-26,DRI,-3.7234091562327487,False,-1.0626692537683273,0.20551083443923912,1.0216993827197687,3.4294108384842965,mid ext,0,False
562,555,2021-03-26,EQT,-7.693667630376089,False,-1.3785672027601004,0.03325524487018889,0.9145818986964317,6.102149971130679,low ext,2,False
562,599,2021-03-26,FBIN,10.131689506875885,True,2.8511253704142434,0.22621914489384304,1.1277692131708483,3.1509776501954057,mid ext,0,False
562,763,2021-03-26,HPQ,5.884058281200821,False,1.1359106927772473,0.5347744957925862,1.5946150383321407,3.24845550514065,high ext,0,False
562,793,2021-03-26,ICLR,17.037085307908995,True,4.355643440215107,0.41401244061218045,1.1030472215565823,3.5460828035173564,mid ext,1,True
562,844,2021-03-26,JBHT,-0.27155609710109996,True,-0.0906454218974536,0.46803132705180434,0.9590897290264595,3.123593018118085,mid ext,0,True
562,884,2021-03-26,KNX,-2.727704644764939,False,-0.7445854407375153,0.5384130881762372,1.1632289831903204,3.1493257826656866,high ext,0,False
562,908,2021-03-26,LEN,-2.6342111020449033,False,-0.6528399453677429,0.25282727170679536,0.8071119646443664,4.999310035730298,mid ext,2,True
562,941,2021-03-26,LPX,-4.063628618528892,False,-1.1110559304150336,0.1050076859609878,0.7972360962142204,4.587659054184432,low ext,2,False
562,997,2021-03-26,MHK,-2.443988241390782,False,-1.221994120695391,0.4414015063379109,0.45279280731462235,3.5892388454591675,mid ext,1,True
562,1042,2021-03-26,MT,1.2520882791864585,False,0.1807389483545368,0.7628745818197044,1.7950000229899203,3.859390652836614,high ext,1,False
562,1097,2021-03-26,NTAP,0.37412925839319655,False,0.06534151878773614,1.059554219552436,1.6672541373177205,3.4342400160572604,high ext,1,False
562,1107,2021-03-26,NUE,-3.7446375767663964,True,-0.6122667991078451,2.2301008941196008,1.714103502359381,3.5680590964104364,high ext,1,False
562,1137,2021-03-26,OLED,-6.48408103554633,False,-0.8357264486004505,0.22217459213120172,1.604322535838711,4.836070274489215,mid ext,2,False
562,1185,2021-03-26,PCG,-4.830139617474572,False,-2.0103376337139904,0.35660707015963955,0.6894348971246304,3.484956964097017,mid ext,1,False
562,1207,2021-03-26,PHM,-0.4084150990342317,True,-0.08665647597486106,0.704377365304285,1.085012004607205,4.343764007978073,high ext,2,True
562,1310,2021-03-26,RH,12.789174047145613,True,1.7272704925496003,1.1073816119698559,1.257813771133636,5.886617246801988,high ext,2,False
562,1361,2021-03-26,SBAC,2.745786775296799,False,0.8149951653560162,0.3664428351861906,1.1039400483867379,3.0518718100343434,mid ext,0,False
562,1378,2021-03-26,SFM,-7.267194920468389,False,-1.0638260709721368,1.335808987029549,1.667579736613045,4.0964680360091,high ext,1,False
562,1405,2021-03-26,SLM,6.606072814677355,False,1.3584228013535624,0.5811476000698057,1.580015610819926,3.077846919042556,high ext,0,False
562,1409,2021-03-26,SMG,-0.6958614250535455,False,-0.2813983745592614,0.2482112940526549,0.5677410223088016,4.355629215559084,mid ext,2,True
562,1449,2021-03-26,STLD,19.91153009927631,False,4.092027587362017,0.20140113731385273,1.0964927270650897,4.437724389092538,mid ext,2,False
562,1479,2021-03-26,TAP,-2.8613926220862007,False,-1.3866988159413824,0.5915187954028888,0.6531327948794909,3.1593214589651675,high ext,0,True
562,1538,2021-03-26,TSCO,1.9977087820149064,False,0.534559449414763,0.2935711792167113,1.179563973347389,3.1682151625908386,mid ext,0,False
562,1666,2021-03-26,WHR,7.364950758362632,False,2.1733430797793636,0.03429273957381965,0.9600872872803715,3.5296434725831527,low ext,1,False
563,292,2021-03-29,CARR,1.9394307550506307,True,0.9697153775253153,0.4693953531187577,0.2801949620704659,3.2705522707234778,mid ext,1,False
563,484,2021-03-29,DLTR,-0.7171217341163882,False,-0.3585608670581941,0.3753074517796691,0.440702901589233,3.0385447979785662,mid ext,0,True
563,553,2021-03-29,EQIX,0.5488774900475946,False,0.27278842117674035,0.17324275806532644,0.6326186519151047,3.1805885835173617,low ext,1,True
563,770,2021-03-29,HSIC,11.033802325954213,False,2.7190774814658374,0.140036640041608,1.3210297551067824,3.071786420131606,low ext,0,True
563,793,2021-03-29,ICLR,15.433177930550258,False,6.3903955271725,0.3442687988333507,0.6783704525453482,3.56008773364397,mid ext,2,False
563,844,2021-03-29,JBHT,-0.5337773988517536,False,-0.2668886994258768,0.04337048780115601,0.2998354166895998,3.168935781546535,low ext,1,True
563,1358,2021-03-29,SAM,5.617781439417802,False,2.808890719708901,0.022194682337590074,0.21885356173602644,4.443775596763974,low ext,2,False
563,1409,2021-03-29,SMG,-1.3374664785721802,False,-0.6687332392860901,0.08686534993297274,0.3102480124163744,4.311078611971501,low ext,2,True
563,1479,2021-03-29,TAP,-5.688709264131653,False,-1.5676556944974391,0.9281236067462741,1.1801326458205719,3.074908732864324,high ext,0,True
564,290,2021-03-30,CAR,8.981817968111772,False,1.01298675644943,0.6540721668800166,1.6729166497201615,5.300125802833662,high ext,2,False
564,511,2021-03-30,DXC,21.433191510382187,True,4.069694017962986,1.3196560954236987,1.3697691743960763,3.8448349226709575,high ext,1,False
564,599,2021-03-30,FBIN,7.825829741729162,True,3.156638425202936,0.34454561792513544,0.7961515640433775,3.1139368704161274,mid ext,0,False
564,607,2021-03-30,FDX,-2.1474805860432267,False,-0.8068445086454072,0.3366626352601633,0.8568696381634405,3.1061658757054933,mid ext,0,True
564,793,2021-03-30,ICLR,13.352190028163701,False,3.9010550341007035,0.23517422278971553,1.0292743271846778,3.325364735918803,mid ext,1,False
564,844,2021-03-30,JBHT,-1.6200989829681323,False,-0.8100494914840661,0.1177020826460044,0.42528022665644405,3.1103652284680106,low ext,0,True
564,884,2021-03-30,KNX,-5.304682519289161,False,-2.6030076960265816,0.30757416603689297,0.6277087171261765,3.2465775776217525,mid ext,1,False
564,1042,2021-03-30,MT,0.7982037254703922,False,0.2600890327327654,0.09982649038180964,0.7403762176155945,4.145140456381102,low ext,2,False
564,1098,2021-03-30,NTLA,-5.490971266556155,False,-0.3792235060085902,0.23826963537638463,1.2715823122770376,11.387003229255928,mid ext,2,False
564,1409,2021-03-30,SMG,-2.1429252101349494,False,-1.0714626050674747,0.06707759882775707,0.4645765139121146,4.138242226817642,low ext,2,True
565,84,2021-03-31,AMAT,-2.224215517563244,False,-0.6459887226994718,0.7421592572879685,0.7389481290153052,4.659485623495846,high ext,1,False
565,172,2021-03-31,AYI,9.391965028541893,True,1.1865807958667607,2.4635562228250385,1.9666245809258482,4.024738687942701,high ext,0,False
565,352,2021-03-31,CLF,-10.125230012947783,False,-1.1066215481229627,1.5952431268979346,1.2597629583773688,7.2630149965476924,high ext,2,False
565,418,2021-03-31,CRUS,-12.417346946245999,False,-6.2086734731229996,0.2811221763084437,0.445606759841164,3.9435671053253496,mid ext,0,False
565,511,2021-03-31,DXC,-1.5726126136350715,False,-0.7863063068175358,0.007887769981600927,0.12620131082902447,4.055708432639083,low ext,1,False
565,516,2021-03-31,EBAY,0.6965292157982805,False,0.34826460789914027,0.027678581596546344,0.22605481663507845,3.539554539710852,low ext,0,False
565,545,2021-03-31,ENTG,1.00529868122885,False,0.502649340614425,0.12873614179045545,0.38973276822896075,5.072065524073702,low ext,2,False
565,548,2021-03-31,EPAM,10.988066849097367,True,3.6445312536941916,0.39731401595164634,0.8249764200267556,3.654585094430013,mid ext,0,False
565,651,2021-03-31,FRPT,9.34597967503763,False,2.6062108468686818,0.025560072400863325,0.808724071037387,4.43419629270399,low ext,1,False
565,655,2021-03-31,FSLR,-1.5144666149342845,False,-0.7572333074671422,0.04458230504409444,0.20264571669924905,5.6526007600594195,low ext,2,False
565,757,2021-03-31,HOG,12.19432562639453,True,6.097162813197265,0.5984547865207468,0.23017448626184742,4.333671297780075,high ext,1,False
565,872,2021-03-31,KLAC,-2.015142376544654,False,-0.7213464978421508,0.634761025549424,0.577227802292545,4.8396568263441155,high ext,1,False
565,943,2021-03-31,LRCX,2.78294323174868,True,1.39147161587434,0.35800289656852896,0.4014291513166891,4.91322909878222,mid ext,2,False
565,968,2021-03-31,MARA,-10.69523810161337,False,-0.9475740785434257,0.29011873906007996,0.7452339745700456,15.145535729072462,mid ext,2,False
