# 12-1 momentum screener -- 2026-09-24 -- PREVIEW (not a completed month-end; nothing logged)
universe 1324 eligible (px >= $5, ADDV >= $50M, 252 sessions); top decile 133, top quintile 265; excluded for a >45% day: 32
rank ticker      12-1     close  ADDV $M  bucket
 177 MAN       +66.3%     57.02       62  Q1
 178 ALB       +66.2%    108.25      296  Q1
 179 PLXS      +65.8%    261.61       67  Q1
 180 CLBK      +65.7%     11.26       80  Q1
 181 ROST      +65.6%    235.40      562  Q1
 182 SNX       +65.5%    259.47      200  Q1
 183 WHD       +65.4%     65.20       52  Q1
 184 IMAX      +65.2%     55.16       64  Q1
 185 AVT       +65.2%    100.91      114  Q1
 186 LLY       +65.2%   1181.89     3000  Q1
 187 LGND      +65.1%    299.04       71  Q1
 188 AMKR      +64.6%     52.69      259  Q1
 189 CENX      +64.6%     38.12       85  Q1
 190 CSCO      +64.5%    106.97     2226  Q1
 191 WT        +64.5%     23.99       60  Q1
 192 OUT       +63.3%     27.93       52  Q1
 193 SNEX      +62.9%     69.52       67  Q1
 194 SANM      +62.7%    221.88      140  Q1
 195 AA        +62.6%     42.68      228  Q1
 196 RIG       +62.4%      5.43      240  Q1
 197 DDOG      +62.2%    256.92     1041  Q1
 198 NE        +62.0%     43.74       59  Q1
 199 XMTR      +61.9%     97.38       70  Q1
 200 IESC      +61.7%    320.50      112  Q1
 201 ROKU      +61.4%    153.33      361  Q1
 202 MYRG      +61.4%    295.18       95  Q1
 203 WCC       +61.3%    361.33      197  Q1
 204 VAC       +60.7%    100.75       54  Q1
 205 LUNR      +60.2%     15.70      138  Q1
 206 NEM       +59.6%    121.30      901  Q1
 207 CYTK      +59.5%     65.66      141  Q1
 208 LTH       +59.5%     39.86      134  Q1
 209 TKR       +59.4%    117.19      120  Q1
 210 KEX       +59.3%    130.31       67  Q1
 211 BIIB      +58.5%    226.36      197  Q1
 212 RELY      +57.8%     21.16       88  Q1
 213 CROX      +57.2%    123.44      133  Q1
 214 JHX       +57.0%     26.10      264  Q1
 215 BBIO      +56.1%     66.28      178  Q1
 216 CXW       +56.1%     34.36       54  Q1
 217 LSCC      +56.1%    122.22      212  Q1
 218 EXPD      +56.1%    183.66      194  Q1
 219 AEIS      +56.0%    278.03      181  Q1
 220 TGTX      +55.8%     57.52      112  Q1
 221 ARMK      +55.6%     54.32      144  Q1
 222 INDV      +55.1%     36.00       81  Q1
 223 NVT       +55.0%    162.88      357  Q1
 224 PWR       +55.0%    643.50      676  Q1
 225 JNJ       +54.7%    270.68     1837  Q1
 226 SLB       +54.5%     51.43      676  Q1
 227 SU        +54.4%     68.65      292  Q1
 228 LFUS      +54.4%    421.16      114  Q1
 229 COCO      +54.3%     59.17       76  Q1
 230 CNQ       +54.3%     47.93      321  Q1
 231 ABNB      +54.3%    151.39      840  Q1
 232 ATKR      +54.2%     94.54       89  Q1
 233 FCFS      +54.2%    216.40       94  Q1
 234 AMGN      +54.2%    406.04     1125  Q1
 235 OVV       +53.9%     60.51      218  Q1
 236 CAH       +53.9%    222.62      434  Q1
 237 INCY      +53.4%    124.44      198  Q1
 238 CRWD      +53.2%    259.67     2154  Q1
 239 FRPT      +53.1%     58.31       82  Q1
 240 EXPE      +52.8%    261.75      547  Q1
 241 WAB       +52.7%    290.23      273  Q1
 242 NOV       +52.6%     19.90       68  Q1
 243 WPM       +52.1%    143.88      284  Q1
 244 NTAP      +51.8%    197.24      453  Q1
 245 ACA       +51.5%    146.52       97  Q1
 246 ADI       +51.4%    382.61     1391  Q1
 247 HXL       +51.3%     85.45       92  Q1
 248 BMY       +51.2%     61.50      697  Q1
 249 TD        +51.2%    119.26      247  Q1
 250 CSX       +51.2%     46.95      584  Q1
 251 MNST      +51.1%     42.67      492  Q1
 252 GEO       +51.1%     31.96       64  Q1
 253 DAVE      +51.0%    331.45      150  Q1
 254 AMG       +51.0%    370.71      100  Q1
 255 HUM       +50.9%    380.32      453  Q1
 256 HNGE      +50.7%     91.98      161  Q1
 257 LBRT      +50.7%     18.24       88  Q1
 258 ALSN      +50.6%    112.74      102  Q1
 259 VIK       +50.6%     79.52      317  Q1
 260 DHT       +50.4%     21.68       68  Q1
 261 IBKR      +49.9%     89.82      390  Q1
 262 CASY      +49.7%    598.85      340  Q1
 263 ASH       +49.4%     69.10       50  Q1
 264 BWA       +48.9%     58.48      144  Q1
 265 COMP      +48.6%      9.29      138  Q1
split-adjusted here (missed in the matrix): 100 -- RPGL 2026-09-24 1:16, KITT 2026-09-24 1:6, IBO 2026-09-22 1:12.62, WHLR 2026-09-21 1:9, UZX 2026-09-21 1:23, EPOW 2026-09-17 1:25, MGN 2026-09-16 1:30, JAGX 2026-09-16 1:15, MPU 2026-09-15 1:20, IZM 2026-09-14 1:5, OPTT 2026-09-14 1:30, NXXT 2026-09-14 1:10, NRSN 2026-09-14 1:20, IPDN 2026-09-14 1:30, HUBC 2026-09-14 1:25, CPOP 2026-09-14 1:15, GOSS 2026-09-10 1:80, GAUZ 2026-09-10 1:20, LGHL 2026-09-09 1:20, LFT 2026-09-09 1:10, UCAR 2026-09-08 1:20, ALP 2026-09-08 1:50, WCT 2026-09-08 1:5, TNMG 2026-09-08 1:8, LRHC 2026-09-08 1:6, GTBP 2026-09-08 1:25, CTSO 2026-09-08 1:20, BRTX 2026-09-08 1:20, CLGN 2026-09-03 1:10, APH 2026-09-02 2:1, RUSHB 2026-08-31 3:2, RUSHA 2026-08-31 3:2, NIVF 2026-08-31 1:3, LGCL 2026-08-31 1:125, KAPA 2026-08-31 1:7, FGL 2026-08-31 1:100, FEED 2026-08-31 1:12, VEEA 2026-08-31 1:20, TPET 2026-08-31 1:9, OMH 2026-08-31 1:50, NXL 2026-08-31 1:30, HCWC 2026-08-31 1:35, GCTK 2026-08-31 1:15, FTFT 2026-08-31 1:4, CALC 2026-08-31 1:5, ARTL 2026-08-31 1:9, CYCU 2026-08-27 1:8, WHLR 2026-08-26 1:4, LGVN 2026-08-26 1:10, IMCC 2026-08-26 1:30, VMAR 2026-08-25 1:10, REAX 2026-08-24 1:10, VCIG 2026-08-24 1:15, SKYE 2026-08-24 1:8, IESC 2026-08-24 2:1, GAME 2026-08-24 1:8, BRCC 2026-08-24 1:10, BIAF 2026-08-24 1:15, SFBS 2026-08-20 2:1, LIMN 2026-08-20 1:50, ELAB 2026-08-20 1:10, NRDY 2026-08-18 1:15, GLMD 2026-08-18 1:8, RCON 2026-08-17 1:200, YYAI 2026-08-17 1:20, HAO 2026-08-13 1:20, BYND 2026-08-13 1:30, SMXT 2026-08-12 1:12, MYSZ 2026-08-12 1:8, MBAI 2026-08-11 1:7, KIDZ 2026-08-12 1:15, BNRG 2026-08-12 1:6, MSGY 2026-08-10 1:8, MNST 2026-08-10 2:1, SXTC 2026-08-10 1:80, ONFO 2026-08-10 1:50, NXTT 2026-08-10 1:100, ELPW 2026-08-10 1:45, JUNS 2026-08-06 1:75, IPW 2026-08-06 1:9, SUGP 2026-08-05 1:5, GRNQ 2026-08-05 1:10, BYAH 2026-08-05 1:8, AEMD 2026-08-03 1:5, TOP 2026-08-03 1:5, SEGG 2026-08-03 1:7, MVIS 2026-08-03 1:15, LBGJ 2026-08-03 1:200, OFAL 2026-07-30 1:10, CSAI 2026-07-30 1:30, YAAS 2026-07-29 1:5, WHLR 2026-07-27 1:5, VYNE 2026-07-27 1:50, SGLY 2026-07-27 1:14, FFAI 2026-07-23 1:150, DBGI 2026-07-23 1:40, APUS 2026-07-23 1:10, MSS 2026-07-21 1:5, CLBK 2026-07-21 2.2:1, BVC 2026-01-05 1:10
excluded (>45% day in window): AAOI, AMLX, ASST, BAND, BFLY, CAR, COGT, CORT, CRML, DBRG, ELVN, ERAS, FSLY, INOD, KD, LRN, MRNA, MXL, NKTR, POET, PRAX, PRIM, QURE, SLAB, STRL, TNGX, UMAC, UTZ, VRNS, WGS, WOLF, XENE
equal weight across the top decile: 1/133 = 0.75% of the sleeve per name
