month,stop_share,n_prior,outcome,outcome_R,n
2020-10,0.5333333333333333,15,1.4037889473137626,-0.05562925728838703,17
2020-11,0.4230769230769231,26,8.035534572356793,2.0251548486223574,38
2020-12,0.36363636363636365,11,1.1266894247689156,0.08675525282393293,42
2021-01,0.3870967741935484,62,-2.5994336790714807,-0.7012680107361888,28
2021-02,0.4642857142857143,28,-2.4961677598911685,-0.33160098611394945,53
2021-03,0.5882352941176471,34,-4.093983100029909,-0.746265021530571,51
2021-04,0.5694444444444444,72,-1.189775644917328,-0.10050063464304294,22
2021-05,0.48,25,6.5882211185744355,0.8461042510502114,18
2021-06,0.5555555555555556,18,-1.9190470954952374,-0.5821025980648448,22
2021-08,0.75,12,0.8286305615519035,-0.2196567965108717,14
2021-09,0.8181818181818182,11,4.62860460336155,0.564149362084289,20
2021-10,0.6666666666666666,18,1.776368184296835,0.8245643855672958,11
2021-11,0.23076923076923078,13,-5.476389462942506,-1.1387827022076433,13
2021-12,0.5454545454545454,11,-5.0031486663145905,-1.1919224084495237,6
2022-01,0.875,8,-7.126270518995591,-1.48918970195416,11
2022-02,0.6666666666666666,15,2.244463149187475,0.7408380685863123,32
2022-03,0.5882352941176471,17,1.3229680896337181,0.2924208274565926,34
2022-04,0.47368421052631576,38,-1.0609568004923837,-0.6411495748555923,6
2022-05,0.47368421052631576,19,-1.9555596064505611,-0.271450976048558,16
2022-06,0.375,8,-8.306481974306433,-1.481175103279259,8
2022-07,0.42105263157894735,19,-6.431053516607743,-1.4957986379355843,3
2022-10,0.6,5,3.8564571260290017,0.5419024831510847,13
2022-11,0.3333333333333333,6,-4.184182009720874,-1.299540040170909,18
2022-12,0.5789473684210527,19,-5.340258195042857,-1.090370755254242,3
2023-01,0.6666666666666666,9,3.8057252959213486,0.9240623033938671,6
2023-03,0.6153846153846154,13,-3.8687108265867027,-1.0736442736685905,9
2023-04,0.5555555555555556,9,0.37490658087833995,-0.27855110746798495,5
2023-05,1.0,7,15.280298224759276,3.069238855843251,12
2023-06,0.4444444444444444,9,-1.9772593127908646,0.03867108061542419,18
2023-07,0.45454545454545453,22,-3.1415953774839913,-0.9193694524439998,6
2023-08,0.5555555555555556,9,-5.746462274569538,-1.209347422241639,7
2023-12,0.125,8,-2.2581544068840738,-0.31758614815366054,17
2024-01,0.2916666666666667,24,-3.5708362977730923,-0.6749171662624691,4
2024-02,0.6,5,4.494698301888929,1.2900204602682672,19
2024-03,0.5,16,-0.5387089377385784,0.11534569628695723,14
2024-04,0.23076923076923078,13,-3.2851168699700977,-0.7963781723926221,8
2024-05,0.7272727272727273,11,-2.3473545202858634,-0.5074171420931055,24
2024-06,0.47058823529411764,17,-2.483617259163039,-0.3972213971421096,8
2024-07,0.7058823529411765,17,-7.445942619327405,-1.7008225417426432,9
2024-08,0.6,10,-0.5026863699430609,0.27263662214898204,13
2024-09,0.7142857142857143,7,14.114431601515886,1.8846828899081216,20
2024-10,0.4166666666666667,12,27.249930266445517,6.0800232991500875,12
2024-11,0.34782608695652173,23,-0.4420538377176002,0.08930735306978686,24
2024-12,0.5,16,-4.121568532997163,-0.7888865038319384,8
2025-01,0.35,20,-7.142419513493403,-1.6371840524258403,14
2025-02,0.5,12,-6.939422562211425,-1.5267178320909955,11
2025-03,0.6666666666666666,18,-4.570204227952032,-1.1205502269523573,6
2025-05,0.5714285714285714,7,4.219361387954049,1.9448146785773583,34
2025-06,0.35,40,8.512443345560344,2.042842266063867,20
2025-07,0.5,10,11.730511549453492,1.0252676713693896,23
2025-08,0.3076923076923077,26,12.031846212930946,1.3550001044566646,35
2025-09,0.5,28,5.950029079716773,1.4493016981277775,41
2025-10,0.2682926829268293,41,1.0289472860010151,0.20201659023349153,43
2025-11,0.475,40,5.395217748660695,1.2585917984687256,35
2025-12,0.4594594594594595,37,1.9447307960553513,0.311421264825301,34
2026-01,0.4888888888888889,45,-2.364252302008865,-0.48011708975298883,47
2026-02,0.42857142857142855,35,-1.0631197831165455,-0.08797828789889212,68
2026-03,0.5373134328358209,67,-0.7826348136388092,-0.413544906411461,38
2026-04,0.6785714285714286,56,10.105425049098018,1.9897973739865453,52
2026-05,0.4857142857142857,35,3.611874041901085,0.5928813534517884,82
2026-06,0.49295774647887325,71,-4.006872790831887,-0.8246218960415913,93
2026-07,0.5652173913043478,69,-3.088625369949026,-0.38951066497567477,30
2026-08,0.5375,80,-1.935856776844173,-0.7135304808584219,44
2026-09,0.5135135135135135,37,3.233892470699264,0.8271167681277498,15
