date,sym,vcp,vcp_held,stop_pct,n_ctl,ctl,ctl_held
2020-04-27,MPWR,-0.6424943243063086,False,10.465767134534442,9,-0.6494727198801657,0.0
2020-04-27,NOW,21.28990687216863,False,8.758914351518786,8,-2.688317438673331,0.125
2020-04-27,SEDG,30.767908997047066,True,18.14881990344214,12,-3.277328502809189,0.0
2020-04-27,TSLA,98.95443361930765,False,15.6444424194909,14,18.146550762783455,0.5714285714285714
2020-04-27,Z,30.638256030730403,False,23.087646775161595,4,-0.9975178560032048,0.0
2020-04-27,ZG,33.13001435778815,False,22.32756216062507,1,-7.410797368577004,0.0
2020-04-28,ENPH,23.752247043954668,False,20.139534528865365,17,-3.2850078772226885,0.17647058823529413
2020-04-28,ROL,-3.129653557799561,False,9.808234687608374,3,-1.1045584324038793,0.0
2020-04-29,ADSK,-6.063523305378926,False,11.197442240324884,10,4.6226460608677336,0.4
2020-04-29,DVA,-8.113842142448767,False,12.121583323390217,1,-5.04127203430672,0.0
2020-04-29,GNRC,-10.20099630279735,False,9.57754656244929,10,4.32645205256903,0.2
2020-04-29,LITE,-8.428801864522061,False,13.955699440372504,4,-4.018669495618443,0.0
2020-04-29,MKTX,2.4458091077003363,False,10.671978464372822,11,-1.0757006276688506,0.18181818181818182
2020-04-29,NOW,16.2460463852931,True,12.553189724877157,8,-2.688317438673331,0.125
2020-04-29,TSLA,76.65848795956276,False,15.829905033093095,13,19.10029071487109,0.5384615384615384
2020-04-29,Z,23.164210963684994,False,27.48793817280345,4,-0.9975178560032048,0.0
2020-04-30,ADBE,22.416380370703415,False,8.039255179203176,3,9.536554786024132,0.0
2020-05-04,MKTX,2.365119495504686,True,10.742336085428217,11,-1.0757006276688506,0.18181818181818182
2020-05-04,MOH,-2.8471813064449347,False,10.549042575368029,7,-3.43417195293299,0.14285714285714285
2020-05-05,ADBE,21.56046936216347,False,8.68222643523363,3,9.536554786024132,0.0
2020-05-05,MDB,17.735921032817693,True,12.23632628166731,13,-1.5731355772453754,0.07692307692307693
2020-05-05,NYT,37.92618492720248,False,14.568381075518355,6,16.293708394325463,0.16666666666666666
2020-05-06,TYL,8.744788521795876,True,6.45299623233756,5,-0.7065026093794823,0.0
2020-05-06,ZS,78.64704148927176,False,10.532119235213688,11,28.638432422495136,0.18181818181818182
2020-05-07,BIO,0.543681717520772,False,7.692978670505546,9,2.7494424245696334,0.1111111111111111
2020-05-07,PODD,-9.53736489162199,False,11.368808807332165,7,-3.52850725484726,0.14285714285714285
2020-05-08,MRNA,-2.7937647409330024,False,24.033758107116952,10,7.6450064506521445,0.3
2020-05-08,ODFL,2.8253713382239365,False,6.978275170664938,9,-4.2299032243883765,0.0
2020-05-11,MSCI,-6.0679081765603,False,10.398837877589607,5,-0.5331900981841686,0.0
2020-05-14,NEM,-5.576183109332256,False,7.217881767462487,12,-2.5582440550617194,0.08333333333333333
2020-05-18,DT,1.3734309469130235,False,13.298938007505622,6,0.6256219754082248,0.0
2020-05-19,KGC,-12.212787018310134,False,10.714274629670417,15,3.1988855843942194,0.26666666666666666
2020-05-20,INTC,-5.577281132417422,False,11.09349852313245,1,-3.7354237783282396,0.0
2020-05-20,PYPL,12.27686338909415,False,7.506307658519629,23,8.33083755681405,0.34782608695652173
2020-05-22,QLYS,-3.28291269925447,False,10.660716465541299,6,-4.168855658604574,0.0
