date,sym,ret
2019-02-07,CMG,17.2513511467415
2019-02-27,PANW,-3.5711143549618907
2019-03-14,MDB,3.3977029016232896
2019-03-15,AVGO,8.072993556898101
2019-07-24,TXN,-2.7102599913951697
2019-08-29,BURL,-6.588525883466123
2019-10-24,LRCX,-0.8385755713245624
2019-10-29,NXPI,-0.8365708865540333
2019-11-15,AMAT,-3.743654377532224
2019-11-26,DKS,2.626658871360843
2019-12-10,AZO,-2.178241699706529
2020-01-16,MS,-1.8089097417807065
2020-01-24,INTC,-4.251868577310836
2020-01-29,GE,-3.978952546011938
2020-02-04,LITE,-4.0986029541143605
2020-02-14,NVDA,-5.8856504354307
2020-05-12,COHR,-1.4970883505188826
2020-08-07,FSLR,-0.7882290520025204
2020-08-26,DKS,1.8444116837379232
2020-09-16,FDX,-2.679873357735907
2020-10-28,FSLR,-6.45669690780335
2020-12-03,CRWD,28.03946467306291
2021-01-20,NFLX,-5.231166702183576
2021-02-04,EBAY,-3.040997266651302
2021-02-19,DE,8.11382217674652
2021-03-04,BURL,2.2103531408260046
2021-05-26,DKS,-4.699349847217926
2021-06-10,SIG,6.082531687263248
2021-07-20,HCA,-3.5037534214928057
2021-07-21,CMG,6.120154449916937
2021-08-24,PANW,6.0497177970486815
2021-08-25,DKS,3.660310191983296
2021-08-26,NTAP,2.0475947692984553
2021-09-03,MDB,-8.82249262246484
2021-10-15,AA,-10.910499826973519
2021-11-01,ON,10.417239238785015
2021-11-02,ANET,0.6868698352713754
2021-11-19,INTU,-4.626635512857325
2021-12-03,MRVL,0.43297715850043605
2021-12-09,CIEN,1.354161949670507
2021-12-10,AVGO,-2.8493100630999857
2022-02-24,LNG,-1.322535301992167
2022-03-03,KR,3.2415852111002286
2022-10-28,GILD,7.609765029180027
2023-01-26,URI,5.280555346377169
2023-01-31,PHM,-4.743348391883007
2023-03-01,FSLR,2.8246069896842085
2023-03-01,SRPT,-2.1597577825212877
2023-03-07,DKS,-4.2725235286890655
2023-04-21,HCA,-1.3141557563961404
2023-04-25,SPOT,-3.8682894105091625
2023-04-26,CMG,0.4482086424485665
2023-05-10,CELH,12.441509833016884
2023-05-18,TTWO,-5.474640392273744
2023-05-25,ELF,6.958218075875666
2023-05-25,NVDA,16.337898158675877
2023-05-26,MRVL,-10.894282081183137
2023-06-02,IOT,7.189771079470941
2023-07-26,UNP,-2.6738336384362182
2023-07-27,RCL,-4.276248045724607
2023-07-31,SYM,-29.50845122609158
2023-08-01,ANET,1.1336628048771447
2023-08-02,ELF,-3.976313831138212
2023-08-02,VRT,7.774903865534122
2023-08-08,LLY,5.484620976844301
2023-08-09,CELH,4.8517658148205856
2023-08-23,ANF,-1.3967758596655888
2023-09-01,DELL,-1.590164216928447
2023-10-31,ANET,14.259448934177875
2023-11-17,GAP,14.036729546744109
2023-11-17,ROST,4.675200162214455
2023-11-29,NTAP,-3.911372771105326
2023-11-30,NTNX,3.9923208968211332
2023-12-01,IOT,-9.46140005320858
2023-12-21,MU,-3.73710014446057
2024-01-24,NFLX,11.24058508156458
2024-01-25,IBM,-3.7478179380064036
2024-01-25,URI,1.9896485387019602
2024-02-02,META,1.822231653665729
2024-02-06,PLTR,7.192802034954782
2024-02-06,SPOT,8.768101726629762
2024-02-09,NET,-7.63487906727105
2024-02-23,CVNA,16.07557846931209
2024-02-29,NTNX,-1.621908057941368
2024-03-01,DELL,-6.880387461908111
2024-03-01,NTAP,-2.0761900583159076
2024-03-07,BURL,-3.2308834553999244
2024-03-08,IOT,-8.864785718846935
2024-03-14,DKS,-3.978972754042154
2024-03-21,MU,5.789399860622324
2024-03-22,FDX,-1.6705548791610236
2024-04-30,THC,18.233327538946643
2024-05-02,CVNA,-5.845145971350229
2024-05-16,WMT,7.876521461963537
2024-05-22,ADI,-4.246120992865798
2024-05-29,DKS,-6.270904180535641
2024-05-30,BURL,-2.9834471331510404
2024-05-31,GAP,-14.880342704721727
2024-06-13,AVGO,-5.057532082673877
2024-06-26,FDX,-1.5105426959682533
2024-07-18,DHI,7.8929933943043595
2024-07-19,ISRG,-4.207078194654656
2024-07-24,THC,-2.664932722375213
2024-07-25,NOW,-5.922003078454308
2024-07-30,FFIV,-4.5119079130300115
2024-08-01,AFL,-2.5659544310822846
2024-08-15,WMT,8.181154267256252
2024-09-06,IOT,3.4956661923122523
2024-10-18,NFLX,16.217347563912888
2024-10-24,CLS,35.583727040175496
2024-10-29,FFIV,-2.878246416422625
2024-10-29,GLW,-2.214929249466824
2024-10-31,CVNA,-7.5563871976720876
2024-11-05,PLTR,36.612861820877725
2024-11-07,BROS,14.289842240862471
2024-11-08,AAOI,18.96212533820765
2024-11-08,LITE,-4.139435545026626
2024-11-13,RKLB,-7.990890256802197
2024-11-13,SPOT,-4.197189594936068
2024-12-04,MRVL,-9.592751117221399
2024-12-12,CIEN,-3.258036857035962
2024-12-13,AVGO,-10.0237307448091
2025-01-22,NFLX,3.4072699634452253
2025-01-29,FFIV,-1.8273725348743386
2025-01-30,IBM,-1.495434665688844
2025-02-06,TPR,-2.409465363403407
2025-02-06,YUM,2.9316153090869435
2025-02-07,EXPE,-4.549440557738271
2025-02-07,NET,-9.002527910470693
2025-02-07,TTWO,-2.3222944360288045
2025-02-13,BROS,-9.08792232128689
2025-02-13,HOOD,-5.45573650468798
2025-02-18,WGS,-20.644855356116654
2025-02-27,NTNX,-6.953981794234487
2025-05-12,NRG,-1.4786875794671084
2025-05-22,URBN,-4.712003748726234
2025-05-23,INTU,3.788997882804579
2025-05-30,ULTA,-1.4317920096303727
2025-07-29,CLS,-8.732225333175958
2025-07-29,GLW,36.034836691415585
2025-07-31,CVNA,-5.92685504168331
2025-07-31,EBAY,1.888654114587185
2025-07-31,FFIV,-2.1071617027059397
2025-07-31,META,-3.2230683671841565
2025-08-07,CELH,10.791763254355157
2025-09-04,CIEN,59.61886465025859
2025-09-05,AVGO,-0.13628045060479765
2025-10-10,APLD,-4.45723940856243
2025-10-20,CLF,-17.408857578273263
2025-10-21,GM,1.7327027262313388
2025-10-30,CAH,4.9889318100937885
2025-10-31,NET,-8.233459846448755
2025-11-05,LITE,49.3294030377182
2025-11-07,EXPE,-5.644856549764099
2025-11-13,CSCO,-2.7018834355728827
2025-12-02,MDB,-1.5056709743284769
2025-12-05,ULTA,8.062957459029052
2026-01-28,STX,-10.769479110281877
2026-01-30,SNDK,-2.0771743360523565
2026-02-05,HSY,-0.2608064394995502
2026-02-11,VRT,1.3865258242020673
2026-02-19,DE,-5.987305977117419
2026-02-19,OXY,16.308563065543357
2026-02-27,AAOI,2.2883899811888986
2026-03-04,ROST,-2.2032282059393116
2026-04-23,TXN,4.20613126713929
2026-04-29,NXPI,2.11535417538109
2026-04-29,STX,26.590961747689402
2026-05-06,CORZ,-9.397783009253668
2026-05-06,FLEX,3.326140130673494
2026-05-06,HUT,-11.870950054577122
2026-05-08,RKLB,15.81062151571877
2026-05-14,CSCO,1.3551218061850445
2026-05-29,DELL,-6.487840632365249
2026-05-29,NTAP,-4.351220589371585
2026-06-02,HPE,-12.55263069386292
2026-08-07,FLR,-8.516483516483508
