sym,entry,exit,how,pct,R,stop10,trail,hot
TECK,2009-11-18,2009-12-07,ema,-2.7771416757476963,-0.9574499840779432,False,-1.3217807708888354,False
HL,2009-12-01,2009-12-04,stop,-3.4510712549139066,-1.0454522408341609,True,-1.5535785083184799,False
WPM,2009-12-01,2009-12-04,stop,-4.778861795491396,-1.5599978212988503,True,-1.5535785083184799,False
PSKY,2009-12-07,2010-01-06,ema,-0.9950938324765457,-0.1844789527773062,False,-2.2768050414892747,False
AMD,2009-12-08,2010-01-11,ema,5.2103635998375974,1.424243562696876,False,-2.1367716471839238,False
CENX,2009-12-10,2010-01-15,ema,35.70393264266289,9.604665914076032,False,-2.1367716471839238,False
UAL,2009-12-14,2010-01-26,ema,10.802474037858744,2.2280667705110853,False,-2.1367716471839238,False
DAL,2010-01-05,2010-01-29,ema,0.8723962907695837,0.1604882017230937,False,-0.8439311919082826,False
LEN,2010-01-11,2010-01-15,stop,-2.0411257826785434,-1.0714284010511037,True,-0.6449685474973231,False
ZION,2010-01-20,2010-02-04,ema,-2.5945393705848696,-0.40186590423132185,False,1.9949075669563687,True
GNW,2010-02-02,2010-02-04,stop,-9.581017965798843,-1.8076927309206996,True,1.5680402855888773,True
CMI,2010-02-16,2010-02-23,stop,-2.4697745383269187,-1.1198085254602712,True,1.1618873020689044,True
STX,2010-02-16,2010-03-03,ema,-0.7056502340430648,-0.10753116650722702,False,1.1618873020689044,True
GNW,2010-02-18,2010-03-19,ema,3.1334039939030056,0.9272710878992643,False,1.1618873020689044,True
CLF,2010-02-25,2010-04-16,ema,26.237435792339593,3.9436968400074615,False,1.3463556457211996,True
UAL,2010-03-01,2010-04-07,ema,4.892611776553291,1.1499984502814526,False,1.3463556457211996,True
AAL,2010-03-01,2010-03-04,stop,-5.001612612820017,-1.2758575310054359,True,1.3463556457211996,True
VECO,2010-03-11,2010-04-29,ema,18.689431283756374,6.990752874273705,False,1.714546891339974,True
ZION,2010-03-17,2010-03-19,stop,-4.847651805774245,-1.0693013851087882,True,1.714546891339974,True
MGM,2010-04-06,2010-05-05,ema,9.956836586410866,2.4642789178490245,False,1.9682812181780904,True
ZION,2010-04-06,2010-05-06,ema,8.762497377857725,1.7436034536831573,False,1.9682812181780904,True
CENX,2010-04-06,2010-04-16,stop,-7.585625444316923,-1.0999996532094598,True,1.9682812181780904,True
