date,sym,b5,adr,A,A_R,B,B_status,B_R,dec
2026-05-12,COCO,0.38930722891566266,5.70717980901434,-1.4036647135171054,-0.44376016121724327,-1.614645363434286,entered,-0.5104604254038203,8
2026-05-12,GTX,0.38930722891566266,4.146101784707278,13.645419876311715,5.942499075672034,10.615379040283601,entered,4.62293434035716,1
2026-05-12,HUM,0.38930722891566266,4.272156183970668,31.86348373151411,4.023460547601935,0.0,abandoned,0.0,2
2026-05-12,ILMN,0.38930722891566266,4.1767295265947375,-3.069828268257968,-1.339145089001174,-2.6018915482247995,entered,-1.1350179829102098,1
2026-05-12,LQDA,0.38930722891566266,6.502577073876566,-2.8270455799225935,-0.25808202301656863,-4.497498570416825,entered,-0.4105782863250054,9
2026-05-13,AXSM,0.39202407825432656,4.625970030595135,-5.781012820792264,-1.1757883475861122,-4.543796679473299,entered,-0.9241534926734518,4
2026-05-13,GTX,0.39202407825432656,4.24842284858382,7.192826637969141,1.259748617378479,8.473054751337838,entered,1.483967228074848,2
2026-05-13,HUM,0.39202407825432656,4.5814254076339616,27.75424356233671,6.620408550494651,29.238031902964146,entered,6.974346678743429,4
2026-05-13,LQDA,0.39202407825432656,6.917380520366848,-4.497498570416825,-0.6762684582979523,-7.251447847154314,entered,-1.0903673184644416,9
2026-05-13,MTSI,0.39202407825432656,4.921323143936544,-6.817396628740314,-1.5184947420323258,-7.305711218256339,entered,-1.6272610610567728,5
2026-05-14,ON,0.45899172310007524,5.07594978026547,-7.737301333231406,-1.5629083356201021,-3.446770085217443,entered,-0.696235737131687,6
2026-05-15,PANW,0.3258088788562829,4.071567943980687,33.830001660398935,6.5353497044599616,31.2782837714207,entered,6.042403563960054,0
2026-05-15,VAL,0.3258088788562829,4.164155802720718,-4.2323247479786,-0.9742659848854957,0.0,stopped before entry,0.0,1
2026-05-18,CRWD,0.436418359668924,4.153008093710623,4.00940540807635,0.7886645531768872,4.338188329530146,entered,0.8533373436405879,1
2026-05-18,PANW,0.436418359668924,4.2914363334574865,31.2782837714207,6.595345502672446,35.334772362596944,entered,7.450697541229679,2
2026-05-18,RIG,0.436418359668924,4.240621399170479,-10.206149522436736,-1.172161067987296,0.0,stopped before entry,0.0,2
2026-05-18,VAL,0.436418359668924,4.151072413370292,-10.706006222455432,-1.2228350139271393,0.0,stopped before entry,0.0,1
2026-05-19,DDOG,0.41578947368421054,5.140411768615592,3.4415300339370347,0.9198090541737983,0.0,abandoned,0.0,6
2026-05-19,LQDA,0.41578947368421054,6.63286706757705,-8.302949085065048,-1.2704365177175694,-11.333400287960416,entered,-1.7341266877855277,9
2026-05-20,CRWD,0.6403903903903904,4.149750489135998,-0.9949953447062954,-0.1794532364889815,0.0,abandoned,0.0,1
2026-05-20,FROG,0.6403903903903904,5.848877029408653,4.190162745012271,0.6574436572252118,5.135138588625021,entered,0.8057119733792247,8
2026-05-20,LQDA,0.6403903903903904,6.789360299626805,-5.0791372055946855,-1.537932189768289,-5.476997361820679,entered,-1.6584018515471055,9
2026-05-20,XMTR,0.6403903903903904,6.444581453909268,-7.582341231004575,-1.0450191078653503,-11.00485721594474,entered,-1.5167196673986247,9
2026-05-21,BB,0.6932330827067669,6.959282720507527,25.763259211004797,3.1150112144733444,0.0,abandoned,0.0,9
2026-05-21,FSLR,0.6932330827067669,4.984908589239226,5.1374723396844235,1.054092024973291,0.0,abandoned,0.0,6
2026-05-21,GH,0.6932330827067669,6.186464123265121,25.221727377947744,4.370651739004457,0.0,abandoned,0.0,9
2026-05-21,TXG,0.6932330827067669,6.519513949652538,124.95482791055363,19.768501581522663,0.0,abandoned,0.0,9
2026-05-21,VSH,0.6932330827067669,5.63211422189292,31.778629278325244,7.243815371876094,0.0,abandoned,0.0,8
2026-05-22,AMBA,0.7222222222222222,5.353361674749752,-17.720408898484962,-4.549619316775365,0.0,stopped before entry,0.0,7
2026-05-22,FSLR,0.7222222222222222,5.19806290173213,1.4799845254316546,0.24860838252582806,0.0,abandoned,0.0,6
2026-05-22,NAVN,0.7222222222222222,6.073398473906034,0.05121209461291798,0.01028380437680315,-2.1634028559308294,entered,-0.4344288576120445,8
2026-05-26,CORZ,0.7158920539730135,5.925476838362147,-2.773336952206018,-1.2609121961576948,-4.511465559024019,entered,-2.05116148666821,8
2026-05-26,CSTM,0.7158920539730135,4.319690096363852,-7.639546811104392,-1.8211032806326808,-5.138957190509242,entered,-1.2250166181407802,2
2026-05-26,F,0.7158920539730135,4.554223418727386,-6.844460530110497,-1.9417989007389624,-6.965915971990622,entered,-1.9762562611830858,4
2026-05-26,GFS,0.7158920539730135,5.507602076912765,-10.017850715901687,-1.2675186552288331,0.0,stopped before entry,0.0,7
2026-05-26,MTSI,0.7158920539730135,5.618426793021078,-4.728421030631758,-1.6035940781959945,0.0,stopped before entry,0.0,7
2026-05-26,NXPI,0.7158920539730135,4.177594689605733,-6.586752399791374,-1.493669395790164,-5.910779821189749,entered,-1.3403799609113625,1
2026-05-26,QRVO,0.7158920539730135,4.138355781460973,-4.183324354912754,-1.2170996247409085,0.0,stopped before entry,0.0,1
2026-05-26,SRRK,0.7158920539730135,4.732656306626346,-8.182264381066172,-1.1452957241278654,-5.067614681065324,entered,-0.7093290017836659,5
2026-05-26,ST,0.7158920539730135,4.073976949472378,-6.8742716858396395,-2.8392967168844145,-6.855791516890131,entered,-2.83166380893085,0
2026-05-26,STM,0.7158920539730135,4.143334070240662,-4.350498273919923,-1.9841040522853481,0.0,stopped before entry,0.0,1
2026-05-26,SWKS,0.7158920539730135,5.5677188771508455,-5.870535565901191,-1.4319307846566174,0.0,stopped before entry,0.0,7
2026-05-27,BRKR,0.6097378277153558,4.565160643962423,17.535211018822828,3.7557787184124907,0.0,abandoned,0.0,4
2026-05-27,BWA,0.6097378277153558,4.0385975996094965,-0.3725998061364977,-0.14265549577513525,-1.0431948963631976,entered,-0.39940301277630086,0
2026-05-27,CORZ,0.6097378277153558,5.932741902078935,-5.153120200606864,-1.1878376028652422,-7.066455992971187,entered,-1.6288776160228347,8
2026-05-27,F,0.6097378277153558,4.705664074620368,-3.5935081090301524,-1.164590527306227,-5.205256735851638,entered,-1.686928901464428,4
2026-05-27,GH,0.6097378277153558,6.146755100992339,15.892212907235548,2.3292126845081413,16.33013034227062,entered,2.393395240480983,9
2026-05-27,TXG,0.6097378277153558,6.655952920909038,154.76241578941426,20.0,0.0,abandoned,0.0,9
2026-05-28,CORZ,0.5833956619296934,6.015987204750367,-3.471347960646076,-1.2514878297856773,0.0,stopped before entry,0.0,8
2026-05-28,F,0.5833956619296934,4.808958231282055,-5.834167073103602,-1.229606129521418,-5.7209125073601435,entered,-1.2057366539836938,5
2026-05-28,GH,0.5833956619296934,6.257523325764032,10.92490752115074,1.6884173196822543,13.944144014111636,entered,2.155032819819223,9
2026-05-28,ILMN,0.5833956619296934,4.33950630676946,18.20067161443393,3.3586623309463084,18.69429904700457,entered,3.4497539070385854,2
2026-05-28,KNX,0.5833956619296934,4.2547859006278514,-2.6258632921553615,-0.8833750348931825,-3.4112411748750793,entered,-1.147586510267589,2
2026-05-28,VSH,0.5833956619296934,6.1938480786658845,6.376416119146144,0.7912203310655072,6.764734499648295,entered,0.83940498398632,9
2026-05-29,ATI,0.481371087928465,4.184256618171051,7.17297213445145,2.921899845687573,5.179396240052236,entered,2.109819582579595,1
2026-05-29,DNTH,0.481371087928465,5.704241174672156,-4.0197036606193,-1.2546047815393315,0.0,stopped before entry,0.0,8
2026-05-29,F,0.481371087928465,4.99069173083691,-4.835024505238216,-1.3600438034535116,0.0,stopped before entry,0.0,6
2026-05-29,ILMN,0.481371087928465,4.280649726232973,-3.2129218423987416,-1.0773203688354165,-4.060684355563238,entered,-1.3615824418540816,2
2026-05-29,MRCY,0.481371087928465,5.264165426516091,-6.1860226918664445,-1.3037345520859518,-5.831945596942678,entered,-1.2291110717419036,7
2026-05-29,NAVN,0.481371087928465,5.981116611081372,-6.924757399965653,-1.1043436910284048,-6.1783990144158025,entered,-0.9853162469287442,8
2026-05-29,RVTY,0.481371087928465,4.088540359054442,-6.099034762341549,-1.4459264705249357,-2.334395582924087,entered,-0.5534259923992548,0
2026-05-29,SNOW,0.481371087928465,4.810442723111027,-6.95208463229492,-1.1069189477845425,-1.4489589834288052,entered,-0.23070492350875255,5
2026-05-29,TXG,0.481371087928465,6.909323172882711,128.1953359214152,20.0,116.73406621446682,entered,20.0,9
2026-06-01,CORZ,0.43261355174981386,6.087273866691919,-9.637993980852567,-1.2798361377767864,-11.193278118414051,entered,-1.4863634346102,8
2026-06-01,CRS,0.43261355174981386,4.1569064207555,16.180445475356354,3.018675231552873,16.104139683515385,entered,3.0044393809883636,1
2026-06-01,CRWD,0.43261355174981386,4.742739150624989,-8.248424354645511,-1.3393548319379855,-4.006995946209457,entered,-0.6506441898917316,5
2026-06-01,FTNT,0.43261355174981386,4.0284119980908395,-6.134636083136369,-1.3100877060809994,-3.444139837110849,entered,-0.7355163692637312,0
2026-06-01,HBM,0.43261355174981386,5.1075770948872545,-16.283980486845696,-2.7369618082571088,-15.566333412612998,entered,-2.616341875337819,6
2026-06-01,NAVN,0.43261355174981386,6.221563089071708,-7.121850389315998,-1.5781690274665727,-7.487353114733586,entered,-1.6591627368505824,9
2026-06-01,PANW,0.43261355174981386,5.0375777381394995,-6.859131137728336,-1.23562885718397,-5.824853661851714,entered,-1.049310346884748,6
2026-06-01,TXG,0.43261355174981386,6.76744845338058,116.73406621446682,14.966032028393554,110.74708556511426,entered,14.198463939169583,9
2026-06-01,VSH,0.43261355174981386,6.748994667384943,-0.7482721377719326,-0.07363047499755755,-2.847826589247604,entered,-0.28022802653235523,9
2026-06-02,AA,0.5044977511244377,4.095029503832237,-7.0723083298837475,-1.0953573388244224,-3.7050309306739804,entered,-0.573834260496945,0
2026-06-02,BWA,0.5044977511244377,4.16446226146724,-4.968875411613071,-1.2108361471553255,-8.035196021557923,entered,-1.9580498576482763,1
2026-06-02,FTNT,0.5044977511244377,4.181779933778,-7.219202386083989,-1.5114632620904611,-5.711701308850936,entered,-1.1958421762774714,1
2026-06-02,HBM,0.5044977511244377,5.153192478871849,-5.0222757167284415,-1.3918236428831574,0.0,stopped before entry,0.0,6
2026-06-02,NOVT,0.5044977511244377,4.948266910656378,-7.481031522969794,-3.168915655698385,-6.566596809518099,entered,-2.7815671368913426,5
2026-06-02,TENB,0.5044977511244377,5.768922067744694,-10.987265788022228,-1.0642835480241504,-7.359602434518697,entered,-0.7128892612751354,8
2026-06-02,TXG,0.5044977511244377,6.955018037156037,110.74708556511426,17.99494177056485,92.84844593341022,entered,15.086648732411108,9
2026-06-03,SANM,0.41035258814703673,5.680709139375697,-11.015724251023606,-3.761311633865712,-10.193002856305055,entered,-3.48039396718596,8
2026-06-04,HNGE,0.5870052277819268,5.286023627679962,25.312798353494294,3.304040987849676,24.052186662078824,entered,3.1394952651668953,7
2026-06-04,MRCY,0.5870052277819268,5.308243521323538,-7.823308946433272,-1.0415168549199365,-2.397249578079541,entered,-0.3191457550909905,7
2026-06-08,DXCM,0.3823311061618411,4.013142627323611,-7.220460559067354,-1.5282632268433594,-9.083407790938235,entered,-1.92256961834391,0
2026-06-09,ATI,0.5705838876570584,4.02839499661797,0.31752098390434025,0.06069218734158804,2.3745361369107654,entered,0.4538780092536397,0
2026-06-09,HAE,0.5705838876570584,4.536873800683642,-5.626616846818844,-1.1937226850414164,-5.734408452922324,entered,-1.2165913624306584,4
2026-06-09,YETI,0.5705838876570584,4.994307282162945,-4.331133870615977,-1.88883885523905,-2.3293647946407203,entered,-1.015852860608435,6
2026-06-10,PENN,0.39127218934911245,4.424140717621718,-3.3171027220366356,-0.6187109696576749,-2.315201832686642,entered,-0.43183491464963975,3
2026-06-11,BROS,0.6720947446336047,4.718826917693009,1.7185490558046856,0.20100232387405303,0.0,abandoned,0.0,5
2026-06-11,CRS,0.6720947446336047,4.009228077030835,0.5809244041492745,0.10016584522201888,0.0,abandoned,0.0,0
2026-06-11,SNEX,0.6720947446336047,4.089747737680593,-10.884439615893681,-3.7757967355924538,0.0,abandoned,0.0,0
2026-06-11,TIGO,0.6720947446336047,4.31661662567997,-3.081879307689961,-1.2505346723625501,0.0,stopped before entry,0.0,2
2026-06-12,BIRK,0.7520355292376018,5.2525836922833395,-11.356952303443247,-2.0001846585434295,-11.755187513040156,entered,-2.0703217812014216,6
2026-06-12,BROS,0.7520355292376018,4.934582407336615,0.39091185619333224,0.14152300156551792,0.1780591128047515,entered,0.0644632791279647,5
2026-06-12,M,0.7520355292376018,4.750695496724035,-5.305163966466941,-2.40342293252901,-4.401496891168144,entered,-1.9940304640072581,5
2026-06-12,NVMI,0.7520355292376018,6.447603978798108,-5.738832994985222,-1.2369789344384734,0.0,stopped before entry,0.0,9
2026-06-12,ONTO,0.7520355292376018,6.027163034451482,-5.2224785362664505,-0.768494149633709,-2.9051250764669523,entered,-0.42749273352018397,8
2026-06-15,ACLS,0.6893491124260355,6.502869489586624,-7.88274853048887,-2.401164729376223,0.0,stopped before entry,0.0,9
2026-06-15,ETSY,0.6893491124260355,4.015305865305084,13.721628634436467,5.1324572434708475,11.93843821504592,entered,4.465470194898483,0
2026-06-15,HNGE,0.6893491124260355,5.486318107655917,15.467449292300927,4.498726902036434,16.386967513453676,entered,4.766169922552534,7
2026-06-15,SNEX,0.6893491124260355,4.2565544357218945,-3.0159366367789153,-1.1215147827259062,0.0,stopped before entry,0.0,2
