ticker,company,filed,first,entry,sp500,first20,ex60,ind60,ex120,ind120,ex250,ind250
VNT,Vontier Corp,2020-09-01,2020-09-24,2020-10-22,True,-12.176499229565675,-29.668005141409346,-21.517221999853817,-53.415770933544394,-31.85193610912126,-65.30664488406036,-24.077375351751396
OGN,Organon & Co.,2021-03-17,2021-05-14,2021-06-14,True,-8.932342934108107,13.15639890963546,15.978431246582328,2.9926937892851417,2.9677623824710886,71.51986092086527,14.008665574612863
DTM,"DT Midstream, Inc.",2021-05-07,2021-07-01,2021-07-30,False,0.9043676242308285,2.9192806546313648,2.062956190236701,30.77059451991797,7.102326280549351,53.149367911332824,1.6519877082261871
GXO,"GXO Logistics, Inc.",2021-06-09,2021-07-22,2021-08-19,False,40.97248042395356,-16.87281819541625,21.255446937065333,22.056052918035768,9.729704231306176,-11.600575523140233,-44.576828846370105
VSXY,Victoria's Secret & Co.,2021-06-21,2021-07-21,2021-08-18,False,68.68235868566177,-67.85776170533309,-28.10219933249458,4.659227381816386,3.5161740717307772,-11.905514841448195,-5.573275526327215
KD,"Kyndryl Holdings, Inc.",2021-09-28,2021-10-22,2021-11-19,False,-55.06748597314753,12.851799832551261,-10.572286132858281,7.675384224290738,-25.249966129990902,-2.7048662587608803,-31.851948820630746
CEG,Constellation Energy Corp,2021-12-08,2022-01-19,2022-02-16,True,12.380997041461427,50.09258154454539,,84.90505127406983,,110.53198598253262,
GEHC,GE Healthcare Holding LLC,2022-10-11,2022-12-15,2023-01-17,True,5.550003364146194,19.86452837450785,25.987170314266802,-15.844912478208322,20.12215267429888,-17.17785101414354,20.927312848479318
SOLV,Solventum Corp,2024-02-20,2024-03-26,2024-04-24,True,-20.57499885559082,-27.40363355299035,-9.230400367997547,2.8101773384134088,11.011081285464305,13.476265605345986,26.010934980242073
VLTO,Veralto Corp,2023-08-03,2023-10-04,2023-11-01,True,-13.226243853267194,-13.224721983306114,,10.207763490540806,,2.753100636717498,
GEV,GE Vernova LLC,2024-02-15,2024-03-27,2024-04-25,True,12.998115792099906,2.77448935058821,13.597073555628738,73.92317613440441,78.88324407086785,153.90713685614156,160.66596305029418
AMTM,Amazon Holdco Inc.,2024-07-15,2024-09-24,2024-10-22,True,-1.829891261738581,-50.18443546280036,-22.37169804781449,-20.728910906331254,-33.57870918185485,-127.58392643693986,-19.74711371186333
SNDK,Sandisk Corp,2024-11-25,2025-02-13,2025-03-14,True,52.277776930067276,-48.44906165406985,-55.04867686739989,-27.707780847908726,-32.634848109449194,1032.5430461547353,1010.8087979862977
AMRZ,Amrize Ltd,2025-02-28,2025-06-23,2025-07-22,False,-3.2890999330281723,-8.955675951137096,-8.11240624010535,-0.788080114317598,4.108808885624846,-29.274014502351374,-0.4805735134409128
RAL,Ralliant Corp,2025-05-05,2025-06-25,2025-07-24,False,-1.2210680685769137,-28.93129759610447,-33.55740752957677,-29.28257849560599,-27.950154302499612,-19.98422601653789,-32.11526478805189
Q,"Novus SpinCo 1, Inc.",2025-04-24,2025-10-27,2025-11-24,True,-22.833167323882165,41.27313935262822,-1.9470649725908729,55.91979401138521,23.09220136352853,,
SOLS,"Solstice Advanced Materials, LLC",2025-08-21,2025-10-20,2025-11-17,True,-14.090899962316882,73.73597409142606,62.18074898728338,52.543292251442566,82.13576958761948,,
VSNT,"Versant Media Group, Inc.",2025-09-18,2025-12-15,2026-01-14,False,-27.710842654032962,19.14577125941526,22.7311201622607,-17.35982745508559,7.742361838180495,,
VGNT,Cyprium Holdings Ltd,2025-11-14,2026-03-27,2026-04-27,False,15.695357377258468,18.27075213677161,20.577499876425552,,,,
FDXF,"FedEx Freight Holding Company, Inc.",2026-01-16,2026-05-27,2026-06-25,True,4.98675415847476,-25.412319448662082,-17.053519032075314,,,,
SUNB,"Sunbelt Rentals Holdings, Inc.",2026-01-27,2026-03-02,2026-03-30,False,-13.13185915264854,-4.604928555737615,-14.925370913153756,-7.48088588317802,-1.7990914709009633,,
