edate,pair,regime,credit,width,max_loss,pnl,pnl_gross,cost,exit,days,iv_pct,iv30,vix,vix_pct,roc,roc_gross,win,year,iv_b,vix_b
2018-08-10,0.30/0.15,Bullish_LowIV,0.45499999999999996,3.5,3.045,0.18899999999999995,0.22999999999999995,0.04100000000000001,profit_take,10,0.0196078431372549,0.11628292247329788,13.16,0.35570469798657717,0.062068965517241365,0.07553366174055828,True,2018,<30,30-60
2018-08-17,0.30/0.15,Bullish_LowIV,0.45499999999999996,3.5,3.045,0.2289999999999999,0.2699999999999999,0.04100000000000001,profit_take,4,0.08860759493670886,0.1236149018201442,12.64,0.2532467532467532,0.07520525451559931,0.08866995073891623,True,2018,<30,<30
2018-08-24,0.30/0.15,Bullish_LowIV,0.39999999999999997,3.0,2.6,0.37699999999999995,0.39999999999999997,0.023000000000000007,expiry_win,21,0.049079754601226995,0.11925671354268969,11.99,0.12578616352201258,0.14499999999999996,0.15384615384615383,True,2018,<30,<30
2018-08-31,0.30/0.15,Bullish_LowIV,0.465,3.5,3.035,0.4445,0.465,0.02049999999999999,expiry_win,21,0.39285714285714285,0.13720312924754682,12.86,0.32926829268292684,0.14645799011532123,0.15321252059308071,True,2018,30-60,30-60
2018-09-07,0.30/0.15,Bullish_LowIV,0.595,4.0,3.4050000000000002,0.5745,0.595,0.020500000000000004,expiry_win,21,0.6453488372093024,0.15293075155421548,14.88,0.5654761904761905,0.16872246696035242,0.17474302496328925,True,2018,60-80,30-60
2018-09-14,0.30/0.15,Bullish_LowIV,0.555,3.5,2.945,-2.9655,-2.945,0.020500000000000004,expiry_loss,21,0.13559322033898305,0.12496614717220748,12.07,0.12716763005780346,-1.006960950764007,-1.0,False,2018,<30,<30
2018-09-21,0.30/0.15,Bullish_LowIV,0.585,3.5,2.915,-2.9405,-2.915,0.02550000000000001,expiry_loss,21,0.21428571428571427,0.12829093633295688,11.68,0.10112359550561797,-1.0087478559176672,-1.0,False,2018,<30,<30
2018-09-28,0.30/0.15,Bearish_LowIV,0.515,3.5,2.985,-0.8310000000000002,-0.7900000000000001,0.04100000000000001,stop_loss,4,0.2727272727272727,0.13148111875831392,12.12,0.14754098360655737,-0.27839195979899506,-0.26465661641541044,False,2018,<30,<30
2018-10-05,0.30/0.15,Bearish_LowIV,0.63,5.0,4.37,-1.041,-0.995,0.04600000000000001,stop_loss,5,0.8177083333333334,0.17327064977787549,14.82,0.6063829787234043,-0.23821510297482834,-0.22768878718535468,False,2018,>=80,60-80
2018-10-12,0.30/0.15,Bearish_HighIV,0.7100000000000001,4.0,3.29,0.682,0.7100000000000001,0.02800000000000001,expiry_win,21,0.9796954314720813,0.22106846176370099,21.31,0.9119170984455959,0.20729483282674774,0.2158054711246201,True,2018,>=80,>=80
2018-10-19,0.30/0.15,Bearish_LowIV,0.78,4.0,3.2199999999999998,-0.851,-0.8049999999999999,0.04600000000000001,stop_loss,5,0.9702970297029703,0.21720803127375893,19.89,0.8585858585858586,-0.2642857142857143,-0.25,False,2018,>=80,>=80
2018-10-26,0.30/0.15,Bearish_HighIV,1.15,6.0,4.85,0.5389999999999998,0.5849999999999999,0.04600000000000001,profit_take,5,1.0,0.27149979920068806,24.16,0.9458128078817734,0.11113402061855666,0.1206185567010309,True,2018,>=80,>=80
2018-11-02,0.30/0.15,Bearish_LowIV,0.955,5.5,4.545,-0.6755000000000136,-0.6550000000000137,0.020500000000000004,expiry_loss,21,0.9575471698113207,0.2260812967254022,19.51,0.8125,-0.14862486248625162,-0.14411441144114712,False,2018,>=80,>=80
2018-11-09,0.30/0.15,Bearish_LowIV,0.8150000000000001,5.0,4.185,-0.8959999999999998,-0.8449999999999999,0.05099999999999996,stop_loss,5,0.8709677419354839,0.19427028790886153,17.36,0.7089201877934272,-0.2140979689366786,-0.2019115890083632,False,2018,>=80,60-80
2018-11-16,0.30/0.15,Bearish_LowIV,0.78,4.5,3.7199999999999998,-1.091,-1.035,0.05600000000000002,stop_loss,4,0.9009009009009009,0.20915287098130061,18.14,0.7339449541284404,-0.2932795698924731,-0.2782258064516129,False,2018,>=80,60-80
2018-11-23,0.30/0.15,Bearish_HighIV,0.82,4.5,3.68,-2.568000000000014,-2.540000000000014,0.02800000000000001,expiry_loss,21,0.9690265486725663,0.240269433785189,21.52,0.9009009009009009,-0.6978260869565255,-0.6902173913043516,False,2018,>=80,>=80
