sym,date,width,credit,cw,roc,win,iv,ivr,ivp,month,qcw,qivr,zcw,zivr,zivp,mstr,roc_dm,zcw_dm,zivr_dm
COST,2023-11-10,10.0,1.5370000000000004,0.15370000000000003,0.18161408483989136,True,0.1675499999999999,0.11749209694415122,0.07692307692307693,2023-11,0,1,-1.2776140303840262,-0.7954179029569145,-1.3099325815086431,2023-11,-0.057064275861105934,-1.222206855310105,-0.07116773120115794
COST,2023-11-17,10.0,1.8870000000000005,0.18870000000000003,0.23258967089855795,True,0.2138,0.36116965226554265,0.4423076923076923,2023-11,1,2,-0.3608695011128787,-0.010738417506295398,-0.1599161232997741,2023-11,-0.031330242623018395,-0.5055246288091891,0.7088703865117998
COST,2023-11-24,10.0,1.6369999999999996,0.16369999999999996,0.19574315437044118,True,0.19905,0.28345626975763966,0.28846153846153844,2023-11,0,2,-1.0156870220208432,-0.2609875507040597,-0.644133579387719,2023-11,-0.05641266579766993,-0.9563966021687966,0.8117350492691877
COST,2023-12-01,10.0,1.8370000000000002,0.18370000000000003,0.22503981379394833,True,0.1955,0.2647523709167545,0.2692307692307692,2023-12,1,2,-0.49183300529447127,-0.3212170031008098,-0.7046607613987121,2023-12,-0.038377094218252916,-0.6267559916548298,0.7309709619428252
COST,2023-12-08,10.0,1.787,0.1787,0.21758188238159012,True,0.19905,0.3069900142653353,0.3076923076923077,2023-12,1,2,-0.6227965094760646,-0.1852052468859294,-0.5836063973767258,2023-12,-0.043202316573627025,-0.7227993157534085,0.8513761125665703
COST,2023-12-15,10.0,1.5870000000000002,0.1587,0.18863663378105314,True,0.17415,0.16490727532097008,0.17307692307692307,2023-12,0,1,-1.1466505262024342,-0.6427336817031345,-1.0072966714536777,2023-12,0.061489099476200015,-1.2907946780564676,0.3154919439856292
COST,2023-12-22,10.0,1.6870000000000003,0.16870000000000002,0.20293516179477933,True,0.1770999999999999,0.20648298217179842,0.19230769230769232,2023-12,0,1,-0.8847235178392491,-0.5088534635766607,-0.9467694894426846,2023-12,0.13688370566760724,-0.8496375824570304,0.3087208525575279
COST,2023-12-29,10.0,1.6370000000000005,0.16370000000000004,0.1957431543704413,True,0.1719,0.17277147487844413,0.17307692307692307,2023-12,0,1,-1.015687022020841,-0.6174097405871757,-1.0072966714536777,2023-12,0.02765026785006977,-1.0109591419121116,0.13003768496487222
COST,2024-01-05,10.0,1.6869999999999998,0.1687,0.20293516179477922,True,0.1733,0.18184764991896285,0.19230769230769232,2024-01,0,1,-0.8847235178392499,-0.5881830506228054,-0.9467694894426846,2024-01,0.007304083962329622,-1.0862538863549909,-0.2726246896414734
COST,2024-01-12,10.0,1.3370000000000002,0.1337,0.15433452614567703,True,0.1584499999999999,0.08557536466774655,0.038461538461538464,2024-01,0,0,-1.8014680471103965,-0.8981947263163035,-1.4309869455306294,2024-01,-0.03866719558473669,-1.900233180650841,-0.4653577234601381
COST,2024-01-19,15.0,2.6870000000000003,0.17913333333333334,0.21822464062373106,True,0.1644499999999999,0.12447325769854076,0.09615384615384616,2024-01,1,1,-0.6114463391136598,-0.7729374836118607,-1.2494053994976502,2024-01,-0.01908055579901266,-0.982365682290764,-0.5188788372731059
COST,2024-01-26,10.0,1.8869999999999996,0.18869999999999995,0.23258967089855784,True,0.16775,0.14586709886547825,0.1346153846153846,2024-01,1,1,-0.36086950111288085,-0.704046000124415,-1.128351035475664,2024-01,0.015108356567557685,-0.6217168070439336,-0.4474603069010439
COST,2024-02-02,15.0,2.687,0.1791333333333333,0.21822464062373098,True,0.18095,0.23144246353322534,0.3269230769230769,2024-02,1,1,-0.6114463391136604,-0.42848006617464124,-0.5230792153657327,2024-02,0.033057425970303034,-0.616183615403727,0.13316225891119077
