date,sym,R,cnt5,cnt5_pct,cnt10,cnt10_pct,cnt20,cnt20_pct,breadth
2021-09-23,AMBA,-1.4193772112146306,4.0,36.254980079681275,14.0,66.13545816733067,15.0,28.68525896414343,35.76158940397351
2021-09-23,APA,3.8493734356962426,4.0,36.254980079681275,14.0,66.13545816733067,15.0,28.68525896414343,35.76158940397351
2021-09-23,DVN,3.3607403337940793,4.0,36.254980079681275,14.0,66.13545816733067,15.0,28.68525896414343,35.76158940397351
2021-09-23,UPST,-1.8853224749416972,4.0,36.254980079681275,14.0,66.13545816733067,15.0,28.68525896414343,35.76158940397351
2021-09-24,APA,7.616858223321467,6.0,54.980079681274894,17.0,75.69721115537848,19.0,40.23904382470119,51.12582781456953
2021-09-24,SNAP,-1.7537534881591768,6.0,54.980079681274894,17.0,75.69721115537848,19.0,40.23904382470119,51.12582781456953
2021-09-27,APA,-2.6541196562787985,7.0,62.94820717131474,16.0,73.30677290836654,21.0,47.808764940239044,50.3957783641161
2021-09-27,CZR,-1.098246030109091,7.0,62.94820717131474,16.0,73.30677290836654,21.0,47.808764940239044,50.3957783641161
2021-09-27,DVN,5.15017752695389,7.0,62.94820717131474,16.0,73.30677290836654,21.0,47.808764940239044,50.3957783641161
2021-09-27,FANG,3.048988970516777,7.0,62.94820717131474,16.0,73.30677290836654,21.0,47.808764940239044,50.3957783641161
2021-09-27,OXY,1.3436942609704292,7.0,62.94820717131474,16.0,73.30677290836654,21.0,47.808764940239044,50.3957783641161
2021-09-30,RRC,0.6352607563399146,11.0,76.89243027888446,15.0,68.12749003984064,26.0,62.15139442231076,31.836195508586524
2021-10-01,DVN,3.751293164891539,8.0,66.53386454183267,14.0,63.745019920318725,27.0,64.5418326693227,20.316622691292878
2021-10-01,FANG,2.1387198382614123,8.0,66.53386454183267,14.0,63.745019920318725,27.0,64.5418326693227,20.316622691292878
2021-10-01,OXY,0.4593609156085603,8.0,66.53386454183267,14.0,63.745019920318725,27.0,64.5418326693227,20.316622691292878
2021-10-04,AR,-1.0919015962519527,9.0,70.91633466135458,16.0,72.11155378486056,30.0,70.5179282868526,33.99209486166008
2021-10-04,DVN,1.3638824809312338,9.0,70.91633466135458,16.0,72.11155378486056,30.0,70.5179282868526,33.99209486166008
