i,j,date,R,pct,adr,sym,iss
1735,785,2025-11-25,-0.5890292552886859,-2.079017249043795,4.419220169185131,IBP,-0.0361162916340757
1735,1142,2025-11-25,-1.1497640788744319,-4.419410583433632,4.15588388203739,OPCH,-0.06727258618250265
1736,1,2025-11-26,8.391392002656568,40.56535904687294,4.3768417121842385,AA,0.44762335998229963
1736,398,2025-11-26,-0.8700353305066524,-3.0044943187996602,4.801769023129577,CPRI,0.010592874708753142
1736,668,2025-11-26,-1.2101453004391078,-3.897450065935896,4.188114238813641,GAP,-0.0137889908108485
1736,886,2025-11-26,-1.1617294318396805,-9.07314717394537,6.231297165460986,KSS,0.0075174363038392755
1738,39,2025-12-01,4.377901383062392,22.04771001484108,4.340982335872225,AEO,-0.1183188571726449
1738,748,2025-12-01,-2.262294302058123,-7.495134455779691,6.91472980586876,HL,0.05193474463937475
1738,1501,2025-12-01,-1.0445959515320369,-5.938871664021731,6.223659837566677,TMDX,0.018259246147902086
1740,1,2025-12-03,7.865445734496556,32.501173310462065,4.463838456092123,AA,0.44762335998229963
1740,1044,2025-12-03,-1.047313597559078,-4.644196485743284,4.934921131922279,MTSI,0.034990958864508315
1740,1585,2025-12-03,-1.8834596905533003,-10.5894557183296,4.016445461342198,VAL,-0.021669710675267906
1740,1698,2025-12-03,4.635440509577629,9.724700369743235,4.072637823303413,YETI,-0.08272678777418807
1741,622,2025-12-04,2.3403613256389613,13.310738244263046,4.19846711760097,FIVE,0.0026805488908132613
1741,1044,2025-12-04,-1.6798907404857217,-5.380272240443126,5.03505873581985,MTSI,0.034990958864508315
1742,622,2025-12-05,3.0582020858971233,10.183571962322173,4.181277171526422,FIVE,0.0026805488908132613
1742,647,2025-12-05,-0.875199685260231,-3.759136772813733,5.444064437047504,FROG,0.06050043683307038
1743,343,2025-12-08,-0.9313714670473972,-4.432156905610047,5.590455347537748,CIEN,-0.023342500581607917
1743,1549,2025-12-08,-1.2441861972330828,-7.9737954213102755,5.80222794360699,U,0.06223994628816709
1744,647,2025-12-09,-1.1356490802985866,-7.217568170326881,4.923898984573612,FROG,0.06050043683307038
1745,90,2025-12-10,-1.5506164662519175,-5.610526261379019,5.354066304996369,AMKR,0.002280235911892081
1745,154,2025-12-10,-3.8930057439330428,-13.01769052327257,4.1846344538388,AVGO,0.011088340727068324
1745,343,2025-12-10,-1.6217313896442695,-5.602555851077724,5.502682614870813,CIEN,-0.023342500581607917
1745,525,2025-12-10,4.234261022743937,16.29977401991763,4.020844266746595,EGO,0.00889872833515315
1745,635,2025-12-10,-1.4728170887302485,-9.035640397051715,5.89701664595559,FN,-0.01215063860349408
1745,794,2025-12-10,-2.9516158905407197,-15.575527416262256,5.538358211953382,IESC,-0.005862554308177503
1745,1648,2025-12-10,-1.0548584986225644,-3.047371847441785,4.023765616111223,WFRD,-0.012690126228603549
1746,1,2025-12-11,4.019818926199578,23.693931935227607,4.37552834179752,AA,0.44762335998229963
1746,48,2025-12-11,-0.8539054708416008,-4.652508546772018,6.676687139023793,AG,0.05142501107839603
1746,525,2025-12-11,2.285653889301514,11.293705984008056,4.150119651835235,EGO,0.00889872833515315
1746,794,2025-12-11,-1.156514788556425,-3.878306797070443,5.727708717064704,IESC,-0.005862554308177503
1746,1424,2025-12-11,-1.5580001583568088,-7.939241355134798,4.023526402338682,SPXC,0.07500026801895765
1747,135,2025-12-12,-1.373678528355295,-8.168598935743864,5.254185035844762,ASND,0.051675278814573566
1748,39,2025-12-15,-0.6454299633824807,-3.9794999533946447,4.634159646084873,AEO,-0.11759275029737748
1749,39,2025-12-16,-1.0891117081602393,-2.972027381242616,4.765910962203125,AEO,-0.11759275029737748
1751,737,2025-12-18,1.9916470282578498,4.45753489719931,4.025344886484474,HCC,0.0049439002294198175
1752,1,2025-12-19,2.6039644122490953,14.015631878993563,4.073578773855685,AA,0.44762335998229963
1752,782,2025-12-19,2.23311037696348,8.062392131635608,4.718786778564797,IAG,0.18714576322943177
1752,937,2025-12-19,5.835644496187016,21.53066023780494,4.269900605047656,LRCX,-0.023824790061281464
1752,1046,2025-12-19,7.8268461135338105,42.44695731608482,5.8198520390328925,MU,0.01017556507607309
1753,1,2025-12-22,2.3312129680699325,8.77329120824112,4.012026799774381,AA,0.44762335998229963
1753,652,2025-12-22,-1.0839708876292846,-7.315113221297848,4.230415962854184,FSLR,0.0023390090124457696
1753,1046,2025-12-22,10.0,30.97729452608296,5.373587037655109,MU,0.01017556507607309
1761,323,2026-01-05,0.5703058905624461,3.215675352250405,4.585587588257677,CENX,0.0005724603010026641
1762,264,2026-01-06,1.5630129681451035,5.7690472134434705,4.743738690895812,BTU,0.0008230452674897748
1762,487,2026-01-06,-1.0596859763187025,-7.554082033975467,4.354070801666272,DOCN,-0.008562249964202184
1764,308,2026-01-08,2.9117639938409727,8.349647117459531,4.081346078959632,CCJ,0.0026172143302927164
1764,1270,2026-01-08,-0.9953840955784713,-5.908452072727479,4.17081180298243,QXO,0.6471477757032551
1765,48,2026-01-09,1.9309749143760624,9.986041988311072,6.396543474085695,AG,0.05142501107839603
1765,94,2026-01-09,-2.2911073192209592,-11.912897922568527,5.042526311304311,AMR,-0.012137821037322527
1765,312,2026-01-09,-0.0011345128079712898,-0.004113496891777209,6.501870527312439,CDE,0.6085986528003009
1765,371,2026-01-09,-0.9284223256576677,-2.7574420081885784,4.148535267996023,CNR,0.7431672342678379
1765,995,2026-01-09,1.0803475463925987,6.279088548770419,4.557183657396792,MIRM,0.07059726090313623
1766,1,2026-01-12,-2.5842062098821166,-8.710251851373895,4.008962150745764,AA,0.44762335998229963
1766,323,2026-01-12,-1.167021804292727,-4.233413430307226,5.315481134330064,CENX,0.0005724603010026641
1766,487,2026-01-12,-1.838351178901772,-9.759557040621809,4.451620382474121,DOCN,-0.008562249964202184
1766,785,2026-01-12,-1.1187179048955573,-3.612441924300013,4.016526819515327,IBP,-0.0361162916340757
1766,888,2026-01-12,-1.219632587328382,-3.595345866884459,5.708696068929864,KTOS,0.11760352811736108
1766,995,2026-01-12,0.330497719080948,2.799783946740244,4.704636359616469,MIRM,0.07059726090313623
1766,1228,2026-01-12,5.500825978472913,35.25253964670942,4.618495198922624,POWL,0.006126831018447687
1767,785,2026-01-13,-1.146078276581526,-7.740284088098402,4.025771410543134,IBP,-0.0361162916340757
1767,812,2026-01-13,-1.0921326571258716,-4.884861758132978,4.683162856480275,INTC,0.10595872942267559
1767,888,2026-01-13,-2.31220086398046,-5.093113271662247,5.620547775972342,KTOS,0.11760352811736108
1767,1228,2026-01-13,9.897487341669798,30.98947278043702,4.816330827820474,POWL,0.006126831018447687
1768,264,2026-01-14,-0.8901217125676212,-5.295030429101418,4.662578839850138,BTU,0.0008230452674897748
1768,812,2026-01-14,-1.375880787710688,-3.8050662187579065,4.696777605544407,INTC,0.10595872942267559
1769,657,2026-01-15,-0.7149324220170247,-3.0945074557150356,4.852137394854439,FTAI,0.00022668037800488428
1769,840,2026-01-15,-1.0725983523881275,-4.157434503861364,4.36794772539608,JBL,-0.03282017228204903
1769,888,2026-01-15,-1.476609229979157,-8.780886177965291,5.737481608186652,KTOS,0.11760352811736108
1769,1019,2026-01-15,-1.0407881412346043,-5.8708155844987235,4.028508116014838,MRCY,0.007841762560664822
1769,1228,2026-01-15,10.0,24.770136389184035,4.550799732617645,POWL,0.006126831018447687
1770,48,2026-01-16,-0.3219526469206797,-3.2634326145082224,6.141097779490009,AG,0.05142501107839603
1770,312,2026-01-16,-1.0687561148383173,-9.658279548523595,5.822670575390486,CDE,0.6085986528003009
1770,582,2026-01-16,-0.6995227438352742,-6.926946295255874,6.967974180931997,EXK,0.2094688796510613
1770,640,2026-01-16,-2.0406819233686173,-6.712111498375434,4.157501471186781,FORM,0.0008581207888096465
1770,888,2026-01-16,-1.7743649862294295,-7.933708567615976,5.97033487818356,KTOS,0.11760352811736108
1770,1046,2026-01-16,1.436666989243728,4.380964901106121,4.890218710087317,MU,0.01017556507607309
1770,1051,2026-01-16,1.3761293006877395,3.997571700046712,4.0288335860337865,MYRG,-0.03715858322166843
1770,1620,2026-01-16,-2.078939554324682,-8.932862038606121,6.255019446625071,VSAT,0.05350378139205669
1771,657,2026-01-20,-1.3124806343064088,-7.724699428342857,5.091689565948408,FTAI,0.00022668037800488428
1771,1021,2026-01-20,-0.9448876602386643,-5.1433939712545795,6.338490142956467,MRNA,0.015232405653905712
1772,264,2026-01-21,-2.0967090786247042,-8.193072809421352,4.634049997135061,BTU,0.0008230452674897748
1772,640,2026-01-21,-2.426170118205248,-12.468554985070487,4.1319644886581335,FORM,0.0008581207888096465
1772,657,2026-01-21,-1.4374286412954105,-8.069076022984035,5.232882390665413,FTAI,0.00022668037800488428
1772,1046,2026-01-21,-0.46020676611336314,-2.6902467301706343,4.6293752672817305,MU,0.01017556507607309
1772,1446,2026-01-21,2.436726814563227,14.818644908319083,5.428086140183101,STX,0.009590170230102446
1773,37,2026-01-22,-1.5184842287027354,-5.04550258925697,4.048355873774016,AEIS,0.001922381312888577
1773,69,2026-01-22,-4.823709311808245,-11.401438273354277,4.141430220886651,ALHC,0.043796662042559165
1773,1046,2026-01-22,-0.9002439522681445,-4.763317445190318,4.673613409814968,MU,0.01017556507607309
