date,expiry,strike,S,ST,credit,pnl,roc,exit,ba_pct,month
2019-11-08,2019-11-29,27.0,26.89084857225526,26.889253272900884,0.277,0.16400000000000003,0.03049364536774189,take,0.12903225806451607,2019-11
2019-12-27,2020-01-17,26.0,26.089306545863554,26.292208385811954,0.22699999999999998,-0.06520838581195354,-0.012497148150971511,expiry,0.28571428571428564,2019-12
2020-01-03,2020-01-24,26.0,26.076690735687755,26.40227419776068,0.277,-0.12527419776067916,-0.024020340431700704,expiry,0.12903225806451607,2020-01
2020-02-28,2020-03-20,26.5,26.512114543338313,28.058345809097887,0.427,-1.1313458090978865,-0.2133639335422529,expiry,0.32380952380952377,2020-02
2020-03-06,2020-03-27,26.0,26.010506121779162,26.69009070344063,0.447,-0.2430907034406316,-0.046729329737472215,expiry,0.28037383177570085,2020-03
2020-03-27,2020-04-17,26.5,26.69009070344063,26.99750489141345,0.767,0.394,0.07381016504923478,take,0.14285714285714296,2020-03
2020-04-17,2020-05-08,27.0,26.99750489141345,26.98383266544703,0.507,0.22399999999999998,0.041485315198746965,take,0.14285714285714277,2020-04
2020-04-24,2020-05-15,27.0,27.1681173856443,27.16038518464326,0.45699999999999996,0.20399999999999996,0.03754400739371695,take,0.061855670103092834,2020-04
2020-05-08,2020-05-29,27.0,26.98383266544703,26.600037257543075,0.347,-0.05296274245692478,-0.00981379167177091,expiry,0.1298701298701299,2020-05
2020-05-22,2020-06-12,27.0,26.981288672996744,26.29789666337592,0.347,-0.3551033366240808,-0.06580548114802856,expiry,0.12987012987012983,2020-05
2020-05-29,2020-06-19,26.5,26.600037257543075,26.371539770956485,0.397,0.17400000000000002,0.03270672110631314,take,0.0705882352941177,2020-05
2020-06-12,2020-07-02,26.5,26.29789666337592,26.289233482911325,0.587,0.27399999999999997,0.052095421072512874,take,0.06451612903225803,2020-06
2020-06-19,2020-07-10,26.5,26.371539770956485,26.107566154069453,0.41700000000000004,0.024566154069452617,0.004657701879150004,expiry,0.1304347826086956,2020-06
2020-07-17,2020-08-07,26.0,25.91581348502738,25.245294775995937,0.297,-0.4577052240040628,-0.08830616570621982,expiry,0.20289855072463764,2020-07
2020-07-24,2020-08-14,25.5,25.505319088604047,25.149249897847923,0.347,-0.0037501021520767175,-0.0007351607990178583,expiry,0.15384615384615383,2020-07
2020-08-28,2020-09-18,25.0,24.94838091625763,25.107569575687016,0.33699999999999997,0.14399999999999996,0.028859588220044023,take,0.05555555555555553,2020-08
2020-09-04,2020-09-25,25.0,25.04691376125389,25.53501230055694,0.347,-0.1880123005569394,-0.03753202936478813,expiry,0.12987012987012983,2020-09
2020-09-18,2020-10-09,25.0,25.107569575687016,25.11901367905114,0.297,0.1779863209488604,0.035444753107687084,expiry,0.12121212121212123,2020-09
2020-09-25,2020-10-16,25.5,25.53501230055694,25.286805467622948,0.307,0.09380546762294767,0.01836800909253952,expiry,0.06060606060606057,2020-09
2020-10-23,2020-11-13,25.0,25.05041581462461,25.020994002630122,0.367,0.174,0.034729962426096245,take,0.1904761904761905,2020-10
2020-10-30,2020-11-20,25.5,25.35469722078984,24.929058957314616,0.44699999999999995,-0.12394104268538364,-0.024441436157982777,expiry,0.06315789473684216,2020-10
2020-11-06,2020-11-27,25.0,24.88192132451656,25.27780496958561,0.317,0.134,0.026927181034843883,take,0.0869565217391304,2020-11
2020-11-13,2020-12-04,25.0,25.020994002630122,25.018639609601085,0.267,0.24836039039891544,0.04963040044948027,expiry,0.1016949152542373,2020-11
2020-11-20,2020-12-11,25.0,24.929058957314616,25.053234210454917,0.257,0.20376578954508273,0.04086912985644296,expiry,0.10526315789473678,2020-11
2021-01-15,2021-02-05,24.5,24.471514054447532,24.531600840321488,0.33699999999999997,0.14399999999999996,0.029421963773800283,take,0.05555555555555561,2021-01
2021-01-29,2021-02-19,24.5,24.418615560181863,24.369905989331087,0.297,0.12399999999999997,0.025390464847278273,take,0.0923076923076923,2021-01
2021-02-05,2021-02-26,24.5,24.531600840321488,24.485862760464936,0.277,0.2628627604649364,0.05357635691529774,expiry,0.09836065573770492,2021-02
2021-02-26,2021-03-19,24.5,24.485862760464936,24.76631833041514,0.317,0.134,0.027362727895452684,take,0.08695652173913036,2021-02
2021-03-26,2021-04-16,25.0,24.983697409496255,24.650840324538265,0.267,-0.08215967546173475,-0.01644265740876809,expiry,0.13333333333333333,2021-03
2021-04-23,2021-05-14,24.5,24.460677119505753,24.313280047752976,0.217,0.030280047752975575,0.006189535883458692,expiry,0.2962962962962962,2021-04
2021-04-30,2021-05-21,24.5,24.58042696413581,24.219404265639383,0.277,-0.0035957343606166647,-0.0007314222746950323,expiry,0.09836065573770492,2021-04
2021-07-23,2021-08-13,25.0,24.974958074797563,24.86026196587399,0.207,0.06399999999999997,0.01281283432154845,take,0.30769230769230776,2021-07
2021-09-17,2021-10-08,25.0,25.01393764299982,25.26955846216694,0.207,-0.06255846216694114,-0.01250472097991501,expiry,0.2400000000000001,2021-09
2021-09-24,2021-10-15,25.0,25.04003366471359,25.21710429665085,0.227,0.00989570334915127,0.001975976446688307,expiry,0.11764705882352935,2021-09
2021-11-12,2021-12-03,25.5,25.500234318840054,25.767587668262717,0.267,-0.0005876682627169449,-0.00011522801229374677,expiry,0.22222222222222224,2021-11
2022-01-14,2022-02-04,25.5,25.49281422522901,25.559578358169304,0.267,0.10400000000000001,0.020397904892170794,take,0.16393442622950805,2022-01
2022-01-28,2022-02-18,26.0,26.051699571301363,25.713291624746056,0.327,0.04029162474605569,0.007733012703409391,expiry,0.1621621621621621,2022-01
2022-02-04,2022-02-25,25.5,25.559578358169304,25.858167262045615,0.297,-0.061167262045615345,-0.011965624234576854,expiry,0.2285714285714286,2022-02
2022-02-25,2022-03-18,26.0,25.858167262045615,26.263986972476502,0.407,0.14301302752349793,0.027653357268945186,expiry,0.1538461538461539,2022-02
2022-03-04,2022-03-25,26.5,26.382599895173882,26.410946105237365,0.577,0.24399999999999994,0.04624259947266121,take,0.21212121212121213,2022-03
2022-03-11,2022-04-01,26.5,26.52295027234716,26.35490211775955,0.577,0.23399999999999999,0.04411273964570383,take,0.14173228346456695,2022-03
2022-03-25,2022-04-14,26.5,26.410946105237365,26.824411265416735,0.387,0.06258873458326475,0.011849014104582422,expiry,0.29787234042553196,2022-03
2022-04-01,2022-04-22,26.5,26.35490211775955,27.024888771245664,0.377,-0.14788877124566358,-0.0280571657190878,expiry,0.22727272727272727,2022-04
2022-04-08,2022-04-29,26.5,26.667424952944344,27.54515247727808,0.427,-0.61815247727808,-0.1159002937795518,expiry,0.14736842105263165,2022-04
2022-04-22,2022-05-13,27.0,27.024888771245664,27.965178177938554,0.46699999999999997,-0.49817817793855446,-0.09217025501111652,expiry,0.1359223300970874,2022-04
2022-04-29,2022-05-20,27.5,27.54515247727808,27.55214131905719,0.497,0.21399999999999997,0.03884531047278245,take,0.19469026548672563,2022-04
2022-05-06,2022-05-27,27.5,27.70113919507373,27.186576172656306,0.527,0.2135761726563058,0.03855007029716081,expiry,0.13793103448275854,2022-05
2022-05-13,2022-06-03,28.0,27.965178177938554,27.310010266569826,0.487,-0.20298973343017412,-0.036293302359559194,expiry,0.16513761467889906,2022-05
2022-05-20,2022-06-10,27.5,27.55214131905719,27.833943218766727,0.437,0.24399999999999997,0.044279679966513295,take,0.19999999999999996,2022-05
2022-06-03,2022-06-24,27.5,27.310010266569826,27.79440105316697,0.46699999999999997,0.17259894683303167,0.031599941770126316,expiry,0.11764705882352935,2022-06
2022-06-10,2022-07-01,28.0,27.833943218766727,28.060777489186833,0.507,0.22399999999999998,0.04023863924694839,take,0.1592920353982301,2022-06
2022-06-17,2022-07-08,28.0,27.951765855811452,28.56781369034219,0.547,-0.020813690342191493,-0.0037231440849852635,expiry,0.16393442622950813,2022-06
2022-07-01,2022-07-22,28.0,28.060777489186833,28.496927632307823,0.547,0.05007236769217671,0.00892212764088094,expiry,0.11764705882352942,2022-07
2022-07-08,2022-07-29,28.5,28.56781369034219,28.304767834119353,0.6469999999999999,0.3139999999999999,0.05495695319977402,take,0.10071942446043165,2022-07
2022-07-15,2022-08-05,29.0,28.865594563812927,28.477678692101804,0.767,0.24467869210180437,0.042382409889547785,expiry,0.10909090909090906,2022-07
2022-07-22,2022-08-12,28.5,28.496927632307823,28.23825343439619,0.6769999999999999,0.29399999999999993,0.05158450830093755,take,0.09655172413793103,2022-07
2022-07-29,2022-08-19,28.5,28.304767834119353,28.924705652368942,0.637,0.33399999999999996,0.059000660587893446,take,0.10218978102189781,2022-07
2022-08-05,2022-08-26,28.5,28.477678692101804,29.124169840001777,0.557,-0.06716984000177673,-0.011793419106945341,expiry,0.11570247933884299,2022-08
2022-08-19,2022-09-09,29.0,28.924705652368942,29.17315397202899,0.607,0.43384602797100835,0.07499575504504334,expiry,0.13533834586466167,2022-08
2022-08-26,2022-09-16,29.0,29.124169840001777,29.405072998275198,0.6369999999999999,0.23192700172480174,0.0398169292032922,expiry,0.07407407407407415,2022-08
2022-09-02,2022-09-23,29.5,29.374704842632113,30.289328610856707,0.6569999999999999,-0.13232861085670689,-0.02252424519082412,expiry,0.09929078014184399,2022-09
2022-09-09,2022-09-30,29.0,29.17315397202899,30.157832401050413,0.637,-0.5208324010504133,-0.08926569981939278,expiry,0.08823529411764702,2022-09
2022-09-16,2022-10-07,29.5,29.405072998275198,30.295797521856485,0.6269999999999999,-0.16879752185648556,-0.028702108963712936,expiry,0.10370370370370378,2022-09
2022-09-23,2022-10-14,30.5,30.289328610856707,30.44162594755671,0.777,0.384,0.06338866155362083,take,0.07317073170731714,2022-09
2022-09-30,2022-10-21,30.0,30.157832401050413,30.08814144741585,0.927,0.464,0.0769286057813357,take,0.0518134715025906,2022-09
2022-10-07,2022-10-28,30.5,30.295797521856485,29.77516341984426,0.857,0.1321634198442616,0.02181217044194234,expiry,0.06666666666666672,2022-10
2022-10-14,2022-11-04,30.5,30.44162594755671,29.79696627312076,0.837,0.564,0.09263631334469954,take,0.0571428571428572,2022-10
2022-10-21,2022-11-11,30.0,30.08814144741585,28.64361175168901,0.817,0.3739999999999999,0.06215073148563007,take,0.06976744186046517,2022-10
2022-10-28,2022-11-18,30.0,29.77516341984426,28.787979420428037,0.8170000000000001,-0.3950205795719627,-0.06633390621606013,expiry,0.047058823529411806,2022-10
2022-11-04,2022-11-25,30.0,29.79696627312076,28.567312749986087,0.727,-0.7056872500139132,-0.11841595609860782,expiry,0.065359477124183,2022-11
2022-11-11,2022-12-02,28.5,28.64361175168901,28.16021925775729,0.6869999999999999,0.3439999999999999,0.060048293312681744,take,0.12080536912751674,2022-11
2022-11-18,2022-12-09,29.0,28.787979420428037,28.18629546808624,0.6769999999999999,-0.13670453191376064,-0.023743335702254027,expiry,0.10958904109589043,2022-11
2022-11-25,2022-12-16,28.5,28.567312749986087,28.105835950765222,0.757,0.42400000000000004,0.07421069032826802,take,0.09876543209876537,2022-11
2022-12-02,2022-12-23,28.0,28.16021925775729,27.990012625137364,0.807,0.36400000000000005,0.06463017859843706,take,0.0930232558139535,2022-12
2022-12-23,2023-01-13,28.0,27.990012625137364,27.462656350552944,0.547,0.009656350552944004,0.0017249635936697999,expiry,0.11764705882352942,2022-12
2022-12-30,2023-01-20,28.0,27.79679380071997,27.441255494886114,0.607,0.04825549488611425,0.00868004692053088,expiry,0.062499999999999965,2022-12
2023-01-06,2023-01-27,28.0,27.915480396204586,27.446731537831887,0.597,0.04373153783188721,0.007832847081835102,expiry,0.06349206349206354,2023-01
2023-01-13,2023-02-03,27.5,27.462656350552944,27.73670865771627,0.527,0.28400000000000003,0.05170657863078162,take,0.10526315789473673,2023-01
2023-01-20,2023-02-10,27.5,27.441255494886114,27.954230728435856,0.517,0.06276927156414358,0.01143702619142938,expiry,0.12389380530973441,2023-01
2023-01-27,2023-02-17,27.5,27.446731537831887,28.061428457520982,0.537,-0.024428457520982216,-0.004450157842530474,expiry,0.10344827586206885,2023-01
2023-02-10,2023-03-03,28.0,27.954230728435856,28.288116572389505,0.507,0.21888342761049484,0.03915032213493184,expiry,0.14285714285714277,2023-02
2023-02-17,2023-03-10,28.0,28.061428457520982,28.331695589717373,0.477,0.14530441028262653,0.025890415825157727,expiry,0.1851851851851851,2023-02
2023-02-24,2023-03-17,28.5,28.47011565131038,28.17501825319715,0.527,0.274,0.0481206334663043,take,0.13793103448275854,2023-02
2023-03-03,2023-03-24,28.5,28.288116572389505,27.998619375532684,0.527,0.025619375532683786,0.004528292908282459,expiry,0.16949152542372875,2023-03
2023-03-10,2023-03-31,28.5,28.331695589717373,27.878547534022818,0.557,-0.0644524659771818,-0.011374622068255947,expiry,0.1463414634146342,2023-03
2023-03-24,2023-04-14,28.0,27.998619375532684,27.669958382564296,0.537,0.23400000000000004,0.04178777475800949,take,0.10344827586206899,2023-03
2023-03-31,2023-04-21,28.0,27.878547534022818,27.766478896928717,0.427,0.19347889692871728,0.03470031871147461,expiry,0.14736842105263154,2023-03
2023-05-26,2023-06-16,28.5,28.5348428273018,28.142548716338773,0.347,-0.010451283661227162,-0.0018313196474359927,expiry,0.22222222222222215,2023-05
2023-06-02,2023-06-23,28.5,28.514886853007358,28.33676622563879,0.317,0.15376622563879022,0.026962447094994006,expiry,0.26315789473684215,2023-06
2023-06-09,2023-06-30,28.5,28.479308432924302,28.37547066545613,0.307,0.184,0.032304155213839676,take,0.2222222222222222,2023-06
2023-07-21,2023-08-11,28.0,27.929174976734785,28.552231071996008,0.347,-0.2052310719960082,-0.03674134165562843,expiry,0.12987012987012983,2023-07
2023-08-25,2023-09-15,29.0,28.94287025130621,29.361939000654125,0.347,-0.014939000654125234,-0.0025807738701124545,expiry,0.07999999999999999,2023-08
2023-09-15,2023-10-06,29.5,29.361939000654125,29.68680908746228,0.317,0.13019091253772058,0.02217001277313807,expiry,0.16666666666666666,2023-09
2023-09-22,2023-10-13,29.5,29.48818841088196,29.741485754668346,0.307,0.06551424533165356,0.011108557165125306,expiry,0.19718309859154937,2023-09
2023-10-13,2023-11-03,30.0,29.741485754668346,29.552466371424394,0.317,0.144,0.024208609009621712,take,0.2857142857142857,2023-10
2023-10-27,2023-11-17,30.0,29.93509141128902,29.344872138611557,0.31699999999999995,-0.33812786138844353,-0.05647683795963454,expiry,0.1142857142857143,2023-10
2024-01-12,2024-02-02,27.5,27.42092726782034,27.92826854986633,0.277,-0.1512685498663312,-0.027582683180056328,expiry,0.21538461538461534,2024-01
2024-02-09,2024-03-01,28.0,28.000389461115237,28.01783118644683,0.257,0.08399999999999999,0.014999791363018834,take,0.25806451612903225,2024-02
2024-02-23,2024-03-15,28.0,28.007768593535037,27.99240061503979,0.277,0.16400000000000003,0.029277591224788922,take,0.1875,2024-02
2024-03-01,2024-03-22,28.0,28.01783118644683,28.341143169797416,0.277,0.10400000000000001,0.018559609290941175,take,0.2153846153846154,2024-03
2024-03-15,2024-04-05,28.0,27.99240061503979,28.3349300869926,0.237,-0.09793008699259975,-0.01749226305013364,expiry,0.30508474576271183,2024-03
2024-04-19,2024-05-17,29.0,28.964953748686135,28.536529348435387,0.377,-0.08647065156461298,-0.014926771904225002,expiry,0.24719101123595508,2024-04
2024-06-21,2024-07-19,29.0,29.05532600654891,28.76172303534443,0.447,0.174,0.02994287518246764,take,0.19607843137254896,2024-06
2024-08-23,2024-09-20,28.0,27.960646390244207,28.083239297833032,0.387,0.204,0.036479843339955464,take,0.048780487804878085,2024-08
2024-09-27,2024-10-18,28.0,28.02368177463142,29.033404344340422,0.28700000000000003,-0.7464043443404219,-0.133173854588962,expiry,0.1818181818181818,2024-09
2024-10-18,2024-11-15,29.0,29.033404344340422,31.681816638885067,0.46699999999999997,-2.214816638885067,-0.3814255835480086,expiry,0.13592233009708735,2024-10
2024-12-20,2025-01-17,31.0,30.48031532158255,29.643924447245855,1.8270000000000002,0.4709244472458549,0.07725058653057995,expiry,0.10796915167095113,2024-12
2025-02-21,2025-03-21,29.0,29.06523316699274,28.450753792735664,0.517,-0.03224620726433558,-0.005547212898494005,expiry,0.1724137931034483,2025-02
2025-06-27,2025-07-18,27.0,26.988091281437143,27.393600656376663,0.437,0.04339934362333747,0.008040461841254454,expiry,0.19999999999999996,2025-06
2026-01-23,2026-02-20,27.0,26.928307529631617,27.082944352761555,0.437,0.35405564723844546,0.06574041960283736,expiry,0.28571428571428564,2026-01
