sym,date,expiry,cw,credit,width,roc,win,iv,stock_roc,S,ST,month,rank,n_quotes
MSFT,2023-02-17,2023-03-17,0.18539999999999998,0.9269999999999999,5.0,0.22759636631475566,True,0.29915,0.3307579080465326,257.730184538427,278.0495956918739,2023-02,0.2222222222222222,18
MSFT,2023-02-24,2023-03-24,0.22269999999999998,2.227,10.0,0.2865045670912132,True,0.31405,0.5609887946524618,249.016070619614,280.22985659551654,2023-02,0.6,20
MSFT,2023-03-03,2023-03-31,0.11939999999999998,0.5969999999999999,5.0,0.1355893708834885,True,0.2788,0.5658915364806787,255.5355254666481,288.1483583871249,2023-03,0.05,20
MSFT,2023-03-17,2023-04-14,0.18739999999999996,0.9369999999999997,5.0,0.23061777012060045,True,0.3247,0.12448012439198992,278.0495956918739,286.6218456139867,2023-03,0.35,20
MSFT,2023-03-24,2023-04-21,0.19970000000000004,1.9970000000000003,10.0,0.24953142571535677,True,0.30185,0.08608008141512023,280.22985659551654,285.8627175240955,2023-03,0.4,20
MSFT,2023-03-31,2023-04-28,0.18740000000000004,0.9370000000000002,5.0,0.23061777012060058,True,0.31,0.26374189127393,288.1483583871249,306.28005558248833,2023-03,0.4,20
MSFT,2023-04-14,2023-05-12,0.1947,1.947,10.0,0.2417732522041475,True,0.3017999999999999,0.32284281185092495,286.6218456139867,308.5615347602778,2023-04,0.55,20
MSFT,2023-04-21,2023-05-19,0.20770000000000005,2.0770000000000004,10.0,0.26214817619588543,True,0.29485,0.5021685997869025,285.8627175240955,318.4481541834864,2023-04,0.625,16
MSFT,2023-04-28,2023-05-26,0.17340000000000005,0.8670000000000003,5.0,0.20977498185337534,True,0.23155,0.45312201357406495,306.28005558248833,333.2649731920216,2023-04,0.25,20
MSFT,2023-05-05,2023-06-02,0.17140000000000002,0.8570000000000001,5.0,0.20685493603668842,True,0.23235,0.40671880501644847,311.23938895547644,335.62485942122385,2023-05,0.35,20
MSFT,2023-05-12,2023-06-09,0.18170000000000003,1.8170000000000002,10.0,0.22204570450934868,True,0.2224,0.35429292097865867,308.5615347602778,328.9352450369353,2023-05,0.42105263157894735,19
MSFT,2023-05-19,2023-06-16,0.1637,1.637,10.0,0.19574315437044124,True,0.208,0.4401022892722307,318.4481541834864,344.62578892874717,2023-05,0.35294117647058826,17
MSFT,2023-05-26,2023-06-23,0.16740000000000002,0.8370000000000001,5.0,0.20105693009848669,True,0.24895,0.04419598035045348,333.2649731920216,336.2762312312841,2023-05,0.25,20
MSFT,2023-06-02,2023-06-30,0.17540000000000003,0.8770000000000001,5.0,0.21270919233567792,True,0.21295,0.11565010340458563,335.62485942122385,342.2108452822336,2023-06,0.3,20
MSFT,2023-06-09,2023-07-07,0.18570000000000003,1.8570000000000002,10.0,0.22804863072577675,True,0.2012,0.1937975480458178,328.9352450369353,339.26984512689666,2023-06,0.3684210526315789,19
MSFT,2023-06-16,2023-07-14,0.19570000000000004,1.9570000000000003,10.0,0.24331717021012067,True,0.22095,0.02157214499043015,344.62578892874717,345.88034252352685,2023-06,0.5,20
MSFT,2023-06-23,2023-07-21,0.18539999999999998,0.9269999999999999,5.0,0.22759636631475566,True,0.22335,0.10439714254944403,336.2762312312841,342.35065353991104,2023-06,0.3,20
MSFT,2023-06-30,2023-07-28,0.22370000000000007,2.2370000000000005,10.0,0.2881617931212161,True,0.28235,-0.052603841090329,342.2108452822336,338.7025667737781,2023-06,0.7,20
MSFT,2023-07-07,2023-08-04,0.20870000000000005,2.0870000000000006,10.0,0.2637432073802604,True,0.29905,-0.14988609719393783,339.26984512689666,328.2368340841466,2023-07,0.6,20
MSFT,2023-07-14,2023-08-11,0.20869999999999997,2.0869999999999997,10.0,-0.8172473347538893,False,0.3139,-0.31063851898818373,345.88034252352685,321.4461218400925,2023-07,0.55,20
MSFT,2023-07-21,2023-08-18,0.21370000000000006,2.1370000000000005,10.0,-0.6416098711716473,False,0.3378,-0.29328086022532984,342.35065353991104,317.81802158297734,2023-07,0.6470588235294118,17
MSFT,2023-07-28,2023-08-25,0.18939999999999999,0.947,5.0,-0.139325977237123,False,0.2424,-0.2372417748437386,338.7025667737781,323.48831181425794,2023-07,0.5,20
MSFT,2023-08-04,2023-09-01,0.19740000000000008,0.9870000000000004,5.0,0.2459506603538501,True,0.26775,0.004663659370533078,328.2368340841466,328.5391808540004,2023-08,0.45,20
MSFT,2023-08-11,2023-09-08,0.19370000000000004,1.9370000000000003,10.0,0.240233163834801,True,0.256,0.20114249621860997,321.4461218400925,334.5888442631934,2023-08,0.42105263157894735,19
MSFT,2023-08-18,2023-09-15,0.1974,0.987,5.0,0.24595066035385,True,0.2683,0.2025943233723365,317.81802158297734,330.74347499622354,2023-08,0.47368421052631576,19
MSFT,2023-08-25,2023-09-22,0.21370000000000006,2.1370000000000005,10.0,0.27177921912755953,True,0.24025,-0.0883365198026787,323.48831181425794,318.53049557436884,2023-08,0.631578947368421,19
MSFT,2023-09-01,2023-09-29,0.19770000000000001,1.977,10.0,-0.23145143548720024,False,0.2098,-0.23441525483970566,328.5391808540004,316.1660651330862,2023-09,0.42105263157894735,19
MSFT,2023-09-08,2023-10-06,0.19470000000000004,1.9470000000000003,10.0,0.24177325220414758,True,0.2208999999999999,-0.10340115764563845,334.5888442631934,328.61117360619176,2023-09,0.5,18
MSFT,2023-09-15,2023-10-13,0.18340000000000004,0.9170000000000001,5.0,0.22458976242958612,True,0.21915,-0.053538660066190784,330.74347499622354,327.7324784528316,2023-09,0.3684210526315789,19
MSFT,2023-09-22,2023-10-20,0.20626666666666668,1.5470000000000002,7.5,0.2598689736267429,True,0.25615,0.14264218316962243,318.53049557436884,327.03900175080935,2023-09,0.55,20
MSFT,2023-09-29,2023-10-27,0.21870000000000003,2.1870000000000003,10.0,0.2799180852425445,True,0.3007499999999999,0.1910568782323393,316.1660651330862,329.0789318253809,2023-09,0.6842105263157895,19
MSFT,2023-10-06,2023-11-03,0.20370000000000005,2.0370000000000004,10.0,0.25580811252040697,True,0.3054,0.32980856222889643,328.61117360619176,353.3173408783338,2023-10,0.5789473684210527,19
MSFT,2023-10-13,2023-11-10,0.21870000000000003,2.1870000000000003,10.0,0.2799180852425445,True,0.31855,0.5780272441252988,327.7324784528316,369.8212655763261,2023-10,0.65,20
MSFT,2023-10-20,2023-11-17,0.19370000000000004,1.9370000000000003,10.0,0.240233163834801,True,0.351,0.46224356343894923,327.03900175080935,368.6822403207339,2023-10,0.3888888888888889,18
MSFT,2023-10-27,2023-11-24,0.1974,0.987,5.0,0.24595066035385,True,0.28785,0.6780656196511811,329.0789318253809,376.56719241281877,2023-10,0.4,20
MSFT,2023-11-03,2023-12-01,0.20070000000000002,2.007,10.0,0.2510947078693857,True,0.20515,0.37733604302483975,353.3173408783338,374.4233380224734,2023-11,0.8,20
MSFT,2023-11-10,2023-12-08,0.19770000000000004,1.9770000000000003,10.0,0.24641655241181606,True,0.2066,0.07724683347119982,369.8212655763261,374.41201627958117,2023-11,0.5555555555555556,18
MSFT,2023-11-17,2023-12-15,0.20570000000000005,2.0570000000000004,10.0,0.25897016240715104,True,0.21305,0.03526054796011352,368.6822403207339,370.72807328236416,2023-11,0.5882352941176471,17
MSFT,2023-11-24,2023-12-22,0.17739999999999997,0.8869999999999999,5.0,0.2156576707999027,True,0.19465,-0.012080767373621768,376.56719241281877,375.8543058101257,2023-11,0.21052631578947367,19
MSFT,2023-12-01,2023-12-29,0.1974,0.987,5.0,0.24595066035385,True,0.189,0.05919999142491682,374.4233380224734,377.484801496548,2023-12,0.3333333333333333,18
MSFT,2023-12-08,2024-01-05,0.1837,1.837,10.0,0.2250398137939483,True,0.1851,-0.1222581297879997,374.41201627958117,367.5293051522747,2023-12,0.2222222222222222,18
MSFT,2023-12-15,2024-01-12,0.18939999999999999,0.947,5.0,0.23365408339501603,True,0.19465,0.34707725645220683,370.72807328236416,389.61000778438824,2023-12,0.3157894736842105,19
MSFT,2023-12-22,2024-01-19,0.20360000000000003,1.5270000000000001,7.5,0.2556504269211452,True,0.2006,0.40491494168806635,375.8543058101257,398.1657167575687,2023-12,0.45,20
MSFT,2023-12-29,2024-01-26,0.22070000000000004,2.2070000000000003,10.0,0.28320287437443864,True,0.2528,0.3966409826264483,377.484801496548,403.74668066059144,2023-12,0.7777777777777778,18
MSFT,2024-01-05,2024-02-02,0.21870000000000003,2.1870000000000003,10.0,0.2799180852425445,True,0.28025,0.6201543189283049,367.5293051522747,411.65740801007837,2024-01,0.631578947368421,19
MSFT,2024-01-12,2024-02-09,0.2287,2.287,10.0,0.2965123816932452,True,0.27175,0.44031438821647073,389.61000778438824,420.99766837878417,2024-01,0.6842105263157895,19
