sym,entry,expiry,credit,a_pnl,b_pnl,b_date,b_resolved,mark_cov,month,roc_a,roc_b
GDX,2023-11-10,2023-12-22,0.6369999999999999,-1.4729999999999999,-1.4060000000000001,2023-12-04,True,0.5172413793103449,2023-11,-2.3124018838304554,-2.2072213500784934
GDX,2023-11-17,2023-12-29,0.717,0.6869999999999999,0.304,2023-12-08,True,0.6785714285714286,2023-11,0.9581589958158996,0.42398884239888424
GDX,2023-12-15,2024-01-26,0.627,0.247,0.19399999999999995,2024-01-05,True,0.7037037037037037,2023-12,0.3939393939393939,0.3094098883572567
GDX,2023-12-22,2024-02-02,0.597,-0.44300000000000006,0.013999999999999901,2024-01-12,True,0.4444444444444444,2023-12,-0.7420435510887774,0.023450586264656452
GDX,2023-12-29,2024-02-09,0.627,-0.933,,,False,0.39285714285714285,2023-12,-1.4880382775119618,
GDX,2024-01-05,2024-02-16,0.597,0.45699999999999996,0.21399999999999997,2024-01-26,True,0.7241379310344828,2024-01,0.7654941373534339,0.35845896147403683
GDX,2024-01-12,2024-02-23,0.577,-0.2330000000000001,-0.006000000000000116,2024-02-02,True,0.6428571428571429,2024-01,-0.40381282495667264,-0.010398613518197776
GDX,2024-02-16,2024-03-28,0.547,-1.0430000000000001,-0.366,2024-03-07,True,0.5714285714285714,2024-02,-1.9067641681901282,-0.6691042047531992
GDX,2024-02-23,2024-04-05,0.46699999999999997,-3.403,,,False,0.4482758620689655,2024-02,-7.28693790149893,
GDX,2024-03-01,2024-04-12,0.41700000000000004,-2.253,0.0040000000000000036,2024-03-22,True,0.41379310344827586,2024-03,-5.402877697841727,0.009592326139088737
GDX,2024-03-08,2024-04-19,0.6669999999999999,-0.3630000000000001,0.013999999999999901,2024-04-01,True,0.7586206896551724,2024-03,-0.5442278860569717,0.020989505247376167
GDX,2024-03-15,2024-04-26,0.607,-0.45300000000000007,-0.946,2024-04-05,True,0.5517241379310345,2024-03,-0.7462932454695224,-1.558484349258649
GDX,2024-03-22,2024-05-03,0.547,0.537,-0.9259999999999998,2024-04-12,True,0.6206896551724138,2024-03,0.9817184643510055,-1.6928702010968917
GDX,2024-05-17,2024-06-28,0.6769999999999999,0.567,-0.7059999999999998,2024-06-07,True,0.6785714285714286,2024-05,0.8375184638109305,-1.0428360413589364
GDX,2024-06-07,2024-07-19,0.807,0.30700000000000005,0.544,2024-06-28,True,0.8214285714285714,2024-06,0.3804213135068154,0.6741016109045849
GDX,2024-08-09,2024-09-20,0.897,0.397,0.2639999999999999,2024-08-30,True,0.7931034482758621,2024-08,0.44258639910813824,0.29431438127090287
GDX,2024-09-06,2024-10-18,0.717,-1.533,-0.616,2024-09-27,True,0.8,2024-09,-2.1380753138075312,-0.8591352859135286
GDX,2024-10-04,2024-11-15,1.0270000000000001,0.4770000000000001,0.16400000000000015,2024-10-25,True,0.8333333333333334,2024-10,0.46445959104186957,0.15968841285296995
GDX,2024-10-25,2024-12-06,0.997,-0.16299999999999992,,,False,0.20689655172413793,2024-10,-0.16349047141424264,
GDX,2024-11-08,2024-12-20,0.8969999999999999,-0.30300000000000005,0.33399999999999996,2024-11-29,True,0.7586206896551724,2024-11,-0.33779264214046834,0.37235228539576365
GDX,2024-11-22,2025-01-03,0.867,0.407,,,False,0.2222222222222222,2024-11,0.46943483275663206,
GDX,2024-12-20,2025-01-31,0.717,-0.253,0.21399999999999997,2025-01-10,True,0.6538461538461539,2024-12,-0.35285913528591356,0.29846582984658293
GDX,2024-12-27,2025-02-07,0.507,-2.883,,,False,0.3333333333333333,2024-12,-5.686390532544379,
GDX,2025-01-03,2025-02-14,0.8470000000000001,-2.203,,,False,0.17857142857142858,2025-01,-2.6009445100354185,
GDX,2025-01-10,2025-02-21,0.8170000000000001,-0.06299999999999994,0.02400000000000002,2025-01-31,True,0.6785714285714286,2025-01,-0.07711138310893506,0.029375764993880074
GDX,2025-01-24,2025-03-07,0.777,0.457,-0.376,2025-02-14,True,0.3103448275862069,2025-01,0.5881595881595881,-0.4839124839124839
GDX,2025-01-31,2025-03-14,0.8069999999999999,0.32699999999999996,0.15399999999999991,2025-02-21,True,0.6206896551724138,2025-01,0.4052044609665427,0.19083023543990077
GDX,2025-02-14,2025-03-28,0.707,0.11699999999999999,0.16399999999999992,2025-03-07,True,0.6896551724137931,2025-02,0.16548797736916548,0.23196605374823187
GDX,2025-02-28,2025-04-11,0.8170000000000001,-5.5329999999999995,0.08400000000000007,2025-04-04,True,0.4,2025-02,-6.772337821297429,0.10281517747858025
