tk,entry,expiry,S0,S1,K,implied,ba_pct,credit,maxrisk,pnl_usd,ret_risk,gex_own,earnings_skip,gex_spy,half
AMD,2017-02-09,2017-02-10,13.42,13.56,13.5,3.502235469448584,4.255319148936174,0.39399999999999996,0.6060000000000001,33.39999999999995,55.115511551155016,4226465.251360881,False,7692822751.761203,2010-2017
AMD,2017-02-16,2017-02-17,12.98,13.075,13.0,1.7719568567026194,8.695652173913045,0.16400000000000003,0.33599999999999997,8.900000000000075,26.48809523809546,3245600.88259484,False,7610344765.299128,2010-2017
AMD,2017-02-23,2017-02-24,14.31,14.13,14.5,2.375960866526904,5.882352941176471,0.234,0.266,-13.59999999999992,-51.12781954887188,5579725.26850281,False,3023726110.4135466,2010-2017
AMD,2017-03-02,2017-03-03,13.92,13.03,14.0,3.089080459770115,4.651162790697672,0.3539999999999999,0.6460000000000001,-61.60000000000008,-95.35603715170289,3365960.3518924797,False,2706321409.26256,2010-2017
AMD,2017-03-09,2017-03-10,13.33,13.83,13.5,2.4006001500375094,6.250000000000002,0.224,0.276,-10.600000000000007,-38.405797101449295,5032474.640998101,False,-1293480660.721575,2010-2017
AMD,2017-03-16,2017-03-17,13.69,13.49,13.5,2.3374726077428782,6.250000000000005,0.224,0.276,21.400000000000023,77.53623188405805,5551632.5923882015,False,4284646198.4893703,2010-2017
AMD,2017-03-23,2017-03-24,13.83,13.71,14.0,2.458423716558207,5.882352941176473,0.24399999999999997,0.256,-4.599999999999918,-17.96874999999968,7972271.0067330925,False,-4823770124.10958,2010-2017
AMD,2017-03-30,2017-03-31,14.01,14.585,14.0,1.8558172733761602,7.692307692307699,0.19400000000000003,0.30599999999999994,-30.599999999999994,-100.0,9319422.368878024,False,-960441222.7687129,2010-2017
AMD,2017-04-06,2017-04-07,13.26,13.5,13.5,3.092006033182504,4.878048780487806,0.3515,0.6485000000000001,35.15,54.20200462606013,409086.6305432399,False,-4775473339.646549,2010-2017
AMD,2017-04-12,2017-04-13,12.76,12.35,13.0,2.7429467084639496,5.714285714285715,0.25399999999999995,0.24600000000000005,-24.600000000000005,-100.0,525697.8470163187,False,-8961524793.520933,2010-2017
AMD,2017-04-20,2017-04-21,13.07,13.02,13.0,1.9892884468247896,7.692307692307699,0.1915,0.3085,17.15000000000004,55.5915721231768,5465188.69214222,False,-1450483688.2468548,2010-2017
AMD,2017-04-27,2017-04-28,13.62,13.325,13.5,1.8355359765051396,8.000000000000007,0.17400000000000002,0.32599999999999996,-0.10000000000006948,-0.3067484662578819,5162807.293264438,False,5539615266.633806,2010-2017
AMD,2017-05-04,2017-05-05,10.105,10.185,10.0,2.523503216229589,11.764705882352935,0.17650000000000002,0.3235,-0.8500000000000479,-2.627511591963054,205169.7832674337,False,3400939953.8651586,2010-2017
AMD,2017-05-11,2017-05-12,11.085,11.18,11.0,2.3004059539918806,11.764705882352935,0.17399999999999996,0.32600000000000007,-0.5999999999999756,-1.8404907975459368,6124388.466083963,False,4921084622.925814,2010-2017
AMD,2017-05-18,2017-05-19,11.3,11.38,11.5,2.920353982300885,6.060606060606066,0.24400000000000002,0.256,12.40000000000008,48.43750000000031,6805131.124403003,False,-5349507027.231923,2010-2017
AMD,2017-05-25,2017-05-26,10.97,10.99,11.0,2.0054694621695535,9.090909090909099,0.15400000000000003,0.346,14.400000000000023,41.61849710982666,2941521.6208569007,False,6414161693.702593,2010-2017
AMD,2017-06-01,2017-06-02,10.93,10.89,11.0,2.0128087831655996,9.09090909090908,0.16150000000000003,0.33849999999999997,5.15000000000006,15.214180206794861,2986755.28523635,False,7642361017.5410595,2010-2017
AMD,2017-06-08,2017-06-09,12.83,12.185,13.0,3.117692907248636,4.999999999999987,0.349,0.651,-46.59999999999995,-71.58218125960055,11474375.40713084,False,4646826778.472505,2010-2017
AMD,2017-06-15,2017-06-16,11.46,11.435,11.5,2.7050610820244327,6.451612903225803,0.21399999999999997,0.28600000000000003,14.900000000000047,52.097902097902264,3603909.3228867603,False,7098259876.61745,2010-2017
AMD,2017-06-22,2017-06-23,14.315,14.375,14.5,3.7373384561648617,5.607476635514019,0.4364999999999999,0.5635000000000001,31.149999999999988,55.27950310559003,13034931.533511754,False,-900933326.6062008,2010-2017
AMD,2017-06-29,2017-06-30,12.65,12.545,12.5,3.320158102766799,4.761904761904753,0.354,0.646,30.900000000000006,47.83281733746131,5527206.738160252,False,-5574521676.306796,2010-2017
AMD,2017-07-06,2017-07-07,12.995,13.315,13.0,2.8857252789534438,8.000000000000007,0.27399999999999997,0.726,-4.0999999999999535,-5.647382920110129,9336928.26345648,False,-7744861192.709624,2010-2017
AMD,2017-07-13,2017-07-14,13.62,13.895,13.5,3.450807635829662,4.255319148936168,0.3889999999999999,0.6110000000000001,-0.5999999999999672,-0.981996726677524,8069744.662593119,False,4705703959.897854,2010-2017
AMD,2017-07-20,2017-07-21,13.775,13.84,14.0,2.722323049001815,8.000000000000004,0.31399999999999995,0.686,15.39999999999998,22.448979591836704,10380585.754515065,False,14152794742.628239,2010-2017
AMD,2017-07-27,2017-07-28,14.11,13.97,14.0,2.693125442948264,5.263157894736847,0.31399999999999995,0.686,28.40000000000006,41.399416909621074,7915845.791846219,False,4062803317.863679,2010-2017
AMD,2017-08-03,2017-08-04,13.245,13.095,13.5,2.831257078142696,8.000000000000007,0.30649999999999994,0.6935,-9.849999999999943,-14.203316510454133,5077085.214890992,False,575762213.1764153,2010-2017
AMD,2017-08-10,2017-08-11,12.17,12.185,12.0,4.108463434675431,4.0000000000000036,0.424,0.5760000000000001,23.89999999999995,41.493055555555465,-620880.1956519113,False,-9213031082.024107,2010-2017
AMD,2017-08-17,2017-08-18,12.365,12.425,12.5,2.4666397088556407,9.836065573770496,0.22649999999999995,0.2735000000000001,15.150000000000066,55.39305301645361,1560637.4428604443,False,-10956261702.790928,2010-2017
AMD,2017-08-24,2017-08-25,12.5,12.415,12.5,1.8399999999999999,8.695652173913041,0.1565,0.3435,7.149999999999915,20.81513828238694,8573791.71875,False,-7381341076.2362,2010-2017
AMD,2017-08-31,2017-09-01,12.98,13.14,13.0,1.9260400616332818,8.000000000000002,0.18400000000000002,0.31599999999999995,4.399999999999945,13.924050632911221,12363072.174577523,False,2858474881.440852,2010-2017
AMD,2017-09-07,2017-09-08,12.665,12.235,12.5,2.171338333991315,10.909090909090914,0.20650000000000002,0.2935,-5.850000000000055,-19.931856899489116,8382469.6928911675,False,-599469968.9044513,2010-2017
AMD,2017-09-14,2017-09-15,12.26,12.5,12.5,2.528548123980425,6.451612903225809,0.23150000000000007,0.26849999999999996,23.150000000000006,86.21973929236503,2705961.0882932795,False,12598427497.976772,2010-2017
AMD,2017-09-21,2017-09-22,13.415,13.305,13.5,2.4226612001490873,9.230769230769226,0.2265,0.27349999999999997,3.1499999999999724,11.517367458866445,15331122.39027039,False,1664293881.813341,2010-2017
AMD,2017-09-28,2017-09-29,12.68,12.725,12.5,2.1293375394321767,7.407407407407411,0.2015,0.2985,-2.3499999999999632,-7.872696817420313,7213517.1679808,False,5085448390.025902,2010-2017
AMD,2017-10-05,2017-10-06,13.35,13.225,13.5,2.0973782771535583,7.142857142857148,0.20400000000000001,0.296,-7.100000000000034,-23.9864864864866,15558144.4737405,False,11735021748.04727,2010-2017
AMD,2017-10-12,2017-10-13,14.19,14.215,14.0,2.255109231853418,6.250000000000005,0.224,0.276,0.9000000000000147,3.260869565217444,17666600.50981584,False,5595229004.238186,2010-2017
AMD,2017-10-19,2017-10-20,13.95,13.825,14.0,1.5770609318996418,9.090909090909092,0.14400000000000002,0.356,-3.1000000000000694,-8.70786516853952,15589763.299757253,False,5443909514.501665,2010-2017
AMD,2017-10-26,2017-10-27,12.02,11.84,12.0,2.246256239600666,7.407407407407403,0.18400000000000002,0.31599999999999995,2.3999999999999884,7.594936708860724,-1629496.2138240803,False,-236032154.93867928,2010-2017
AMD,2017-11-02,2017-11-03,10.845,11.095,11.0,3.3656062701705856,8.219178082191785,0.269,0.23099999999999998,17.399999999999938,75.32467532467506,316207.2821281192,False,3211294175.869662,2010-2017
AMD,2017-11-09,2017-11-10,11.145,11.24,11.0,3.1852848811126067,8.450704225352117,0.23650000000000002,0.26349999999999996,-0.35000000000001974,-1.3282732447818588,1657731.4813789423,False,1989544313.5288267,2010-2017
AMD,2017-11-16,2017-11-17,11.25,11.37,11.5,3.0666666666666664,8.69565217391305,0.25649999999999995,0.24350000000000005,12.649999999999917,51.95071868583126,2636955.417656252,False,8112533892.734979,2010-2017
AMD,2017-11-30,2017-12-01,10.895,10.71,11.0,2.5240936209270313,10.909090909090914,0.19649999999999998,0.3035,-9.349999999999916,-30.807248764414886,-365347.7126187448,False,17789493905.91641,2010-2017
AMD,2017-12-07,2017-12-08,10.06,9.955,10.0,2.0874751491053676,9.523809523809526,0.15150000000000002,0.3485,10.65000000000001,30.55954088952657,-3434932.85722084,False,15653498571.590414,2010-2017
AMD,2017-12-14,2017-12-15,10.12,10.275,10.0,1.8774703557312256,10.526315789473689,0.1315,0.3685,-14.350000000000035,-38.9416553595659,-2948662.6409011176,False,17524571587.138653,2010-2017
AMD,2017-12-21,2017-12-22,10.885,10.525,11.0,1.6995865870463942,16.21621621621621,0.12400000000000003,0.376,-35.099999999999966,-93.35106382978714,2427006.601285122,False,15616928475.011902,2010-2017
AMD,2017-12-28,2017-12-29,10.54,10.305,10.5,1.4231499051233398,13.333333333333336,0.099,0.401,-9.600000000000028,-23.94014962593523,-1658397.6120108394,False,12260566520.288214,2010-2017
AMD,2018-01-04,2018-01-05,12.075,11.89,12.0,2.857142857142857,8.695652173913041,0.23650000000000002,0.26349999999999996,12.650000000000059,48.00759013282755,8678297.478882939,False,8156807732.822628,2018-2026
AMD,2018-01-11,2018-01-12,12.14,12.01,12.0,1.729818780889621,9.523809523809517,0.1415,0.35850000000000004,13.15000000000002,36.68061366806142,8125381.43515213,False,9615907485.160883,2018-2026
AMD,2018-01-18,2018-01-19,12.47,12.575,12.5,1.9246190858059342,8.333333333333334,0.17400000000000004,0.32599999999999996,9.900000000000075,30.368098159509437,7986146.164250309,False,6290461040.78052,2018-2026
AMD,2018-01-25,2018-01-26,12.41,12.935,12.5,2.5785656728444803,6.249999999999992,0.23399999999999996,0.266,-20.100000000000055,-75.56390977443628,660760.6798676107,False,7415782889.58133,2018-2026
AMD,2018-02-01,2018-02-02,13.235,12.485,13.0,2.757839063090291,8.219178082191789,0.24649999999999997,0.25350000000000006,-25.350000000000005,-100.0,8699633.992204696,False,951024226.0670621,2018-2026
AMD,2018-02-15,2018-02-16,12.16,11.87,12.0,2.713815789473684,6.060606060606063,0.23399999999999996,0.266,10.399999999999917,39.09774436090194,-780375.1800422391,False,752123771.0167047,2018-2026
AMD,2018-02-22,2018-02-23,11.825,12.045,12.0,2.4101479915433406,10.52631578947368,0.19649999999999995,0.30350000000000005,15.150000000000002,49.9176276771005,-5005594.922596812,False,-4784616308.471777,2018-2026
AMD,2018-03-01,2018-03-02,11.9,11.86,12.0,2.7731092436974785,6.060606060606063,0.22399999999999995,0.276,8.399999999999938,30.434782608695425,-5371363.778892999,False,-9060741498.305319,2018-2026
AMD,2018-03-08,2018-03-09,11.935,11.675,12.0,3.309593632174277,7.594936708860758,0.3164999999999999,0.6835000000000001,-0.8499999999999397,-1.2435991221652372,-12965018.184915341,False,418083509.324797,2018-2026
AMD,2018-03-15,2018-03-16,11.45,11.495,11.5,2.2707423580786026,7.692307692307694,0.13650000000000004,0.36349999999999993,13.149999999999926,36.17606602475909,-29863480.119426496,False,-2331531220.562499,2018-2026
AMD,2018-03-22,2018-03-23,10.95,10.635,11.0,2.7397260273972606,6.666666666666663,0.21399999999999997,0.28600000000000003,-15.100000000000025,-52.79720279720288,-33421079.34395775,False,-8781701422.718637,2018-2026
AMD,2018-03-28,2018-03-29,9.82,10.025,10.0,3.462321792260693,11.764705882352942,0.23900000000000002,0.261,21.399999999999967,81.99233716475082,-16067207.094088439,False,-8140290869.812756,2018-2026
AMD,2018-04-05,2018-04-06,10.04,9.59,10.0,2.8884462151394428,6.896551724137937,0.20400000000000004,0.29599999999999993,-20.60000000000001,-69.59459459459465,-12892330.576759677,False,-2191156648.4075565,2018-2026
AMD,2018-04-12,2018-04-13,10.08,9.94,10.0,2.281746031746032,8.695652173913045,0.1715,0.3285,11.149999999999952,33.94216133942147,-12706081.61243904,False,-1098916100.1275003,2018-2026
AMD,2018-04-19,2018-04-20,10.16,9.99,10.0,2.65748031496063,7.407407407407408,0.1915,0.3085,18.15000000000002,58.83306320907624,-15840869.871745285,False,-856071675.6786835,2018-2026
AMD,2018-04-26,2018-04-27,11.01,11.115,11.0,2.5431425976385107,7.142857142857138,0.19400000000000003,0.30599999999999994,7.899999999999982,25.816993464052235,5834540.336368948,False,-1574124568.9148042,2018-2026
AMD,2018-05-03,2018-05-04,10.935,11.265,11.0,1.7832647462277091,15.384615384615397,0.1415,0.35850000000000004,-12.350000000000058,-34.4490934449095,1989255.0899990045,False,-6661544473.685488,2018-2026
AMD,2018-05-10,2018-05-11,12.13,11.925,12.0,2.4732069249793898,6.666666666666668,0.22149999999999995,0.2785000000000001,14.650000000000066,52.60323159784582,9088785.121951463,False,6120867779.635249,2018-2026
AMD,2018-05-17,2018-05-18,12.79,13.055,13.0,2.1892103205629403,7.142857142857147,0.21150000000000002,0.2885,15.65000000000003,54.246100519930785,13044195.67596452,False,2098157717.0668492,2018-2026
AMD,2018-05-24,2018-05-25,13.34,13.525,13.5,1.8740629685157422,7.999999999999993,0.1815,0.3185,15.649999999999963,49.136577708006165,13682586.251148479,False,2123893723.9507527,2018-2026
AMD,2018-05-31,2018-06-01,13.73,14.315,13.5,2.184996358339403,6.66666666666667,0.22150000000000006,0.27849999999999997,-27.849999999999998,-100.0,12126521.932250392,False,-1930685934.0854816,2018-2026
AMD,2018-06-07,2018-06-08,14.96,15.285,15.0,2.606951871657754,5.128205128205125,0.32399999999999995,0.676,3.8999999999999813,5.769230769230741,11987037.654261123,False,8207900287.995727,2018-2026
AMD,2018-06-14,2018-06-15,16.1,16.345,16.0,2.919254658385093,4.255319148936162,0.37399999999999994,0.6260000000000001,2.900000000000108,4.632587859425092,14651311.147795005,False,7608450097.56669,2018-2026
AMD,2018-06-21,2018-06-22,15.6,15.765,15.5,2.6282051282051286,4.878048780487808,0.344,0.656,7.89999999999994,12.042682926829176,6694872.829631998,False,-4834695525.878149,2018-2026
AMD,2018-06-28,2018-06-29,15.29,15.02,15.5,2.2236756049705693,5.8823529411764754,0.234,0.266,-24.60000000000004,-92.48120300751894,9841130.32759274,False,-5482867424.912329,2018-2026
AMD,2018-07-05,2018-07-06,15.45,16.355,15.5,1.9417475728155342,6.666666666666663,0.21399999999999997,0.28600000000000003,-28.6,-100.0,12348059.892066,False,-3360727698.995144,2018-2026
AMD,2018-07-12,2018-07-13,16.54,16.3,16.5,1.8742442563482467,6.451612903225803,0.21399999999999997,0.28600000000000003,1.4000000000000679,4.895104895105132,14533803.094266836,False,7845903622.4886465,2018-2026
AMD,2018-07-19,2018-07-20,16.67,16.52,16.5,1.9196160767846429,6.250000000000002,0.224,0.276,20.400000000000045,73.91304347826102,14632245.948533574,False,6122170022.446313,2018-2026
AMD,2018-07-26,2018-07-27,18.32,18.905,18.5,2.8930131004366815,3.773584905660375,0.43399999999999983,0.5660000000000002,2.8999999999998693,5.123674911660546,25640887.196832642,False,6801517946.973139,2018-2026
