ticker,edate,year,ivp,credit,pnl,days,exit,mark_cov,roc,win
XLF,2022-05-27,2022,44.84126984126984,0.53,0.53,21,expiry_win,0.047619047619047616,1.0,1
XLP,2022-05-27,2022,84.12698412698413,1.04,1.04,21,expiry_win,0.09523809523809523,1.0,1
XLU,2022-05-27,2022,81.74603174603175,1.11,1.11,21,expiry_win,0.14285714285714285,1.0,1
XOP,2022-05-27,2022,17.063492063492063,4.45,4.45,21,expiry_win,0.14285714285714285,1.0,1
DIA,2022-06-03,2022,73.80952380952381,4.574999999999999,-10.43,10,stop_loss,0.6,-2.2797814207650275,0
EEM,2022-06-03,2022,74.60317460317461,0.745,0.39500152587890625,21,expiry_win,0.14285714285714285,0.5302033904414849,1
EFA,2022-06-03,2022,85.71428571428571,1.255,-2.4749995422363282,21,expiry_loss,0.14285714285714285,-1.972111189032931,0
EWZ,2022-06-03,2022,50.0,0.965,-4.4350000000000005,21,expiry_loss,0.19047619047619047,-4.595854922279793,0
FXI,2022-06-03,2022,89.68253968253968,0.9650000000000001,0.6249998474121095,21,expiry_win,0.0,0.647668235660217,1
GDX,2022-06-03,2022,82.14285714285714,0.8999999999999999,-0.4400001525878907,21,expiry_loss,0.14285714285714285,-0.48888905843098973,0
GLD,2022-06-03,2022,30.555555555555557,1.685,1.685,21,expiry_win,0.19047619047619047,1.0,1
IEF,2022-06-03,2022,66.66666666666666,0.595,0.595,21,expiry_win,0.14285714285714285,1.0,1
IWM,2022-06-03,2022,72.22222222222221,3.8249999999999997,0.9149963378906247,21,expiry_win,0.14285714285714285,0.23921472886029407,1
LQD,2022-06-03,2022,77.38095238095238,0.925,0.014996337890625044,21,expiry_win,0.14285714285714285,0.016212257179054102,1
QQQ,2022-06-03,2022,78.57142857142857,6.795,-10.749999999999998,10,stop_loss,0.6,-1.5820456217807208,0
SLV,2022-06-03,2022,79.36507936507937,0.42,0.24,14,profit_take,0.7142857142857143,0.5714285714285714,1
SPY,2022-06-03,2022,73.80952380952381,7.335,-15.614999999999998,10,stop_loss,0.6,-2.1288343558282206,0
TLT,2022-06-03,2022,67.46031746031747,1.475,1.475,21,expiry_win,0.19047619047619047,1.0,1
TQQQ,2022-06-03,2022,78.57142857142857,2.135,-3.3100000000000005,10,stop_loss,0.6,-1.5503512880562065,0
UNG,2022-06-03,2022,74.60317460317461,1.6800000000000002,1.6800000000000002,21,expiry_win,0.09523809523809523,1.0,1
UPRO,2022-06-03,2022,73.80952380952381,2.3499999999999996,-0.4250000000000007,21,expiry_loss,0.23809523809523808,-0.18085106382978755,0
USO,2022-06-03,2022,77.77777777777779,3.015,0.2849966430664064,21,expiry_win,0.14285714285714285,0.09452624977326911,1
XBI,2022-06-03,2022,83.73015873015873,2.4699999999999998,2.4100024414062498,21,expiry_win,0.14285714285714285,0.9757094904478745,1
XLB,2022-06-03,2022,70.23809523809523,1.475,1.475,21,expiry_win,0.14285714285714285,1.0,1
XLE,2022-06-03,2022,76.5873015873016,2.275,2.275,21,expiry_win,0.09523809523809523,1.0,1
XLF,2022-06-03,2022,80.55555555555556,0.675,-0.48499984741210933,21,expiry_loss,0.14285714285714285,-0.7185182924623842,0
XLP,2022-06-03,2022,92.06349206349206,1.1849999999999998,1.1849999999999998,21,expiry_win,0.14285714285714285,1.0,1
XLU,2022-06-03,2022,87.6984126984127,1.165,1.165,21,expiry_win,0.14285714285714285,1.0,1
XOP,2022-06-03,2022,50.0,5.1899999999999995,5.1899999999999995,21,expiry_win,0.047619047619047616,1.0,1
DIA,2022-06-10,2022,81.34920634920636,5.02,3.9999999999999996,14,profit_take,0.6428571428571429,0.796812749003984,1
EEM,2022-06-10,2022,70.23809523809523,0.6949999999999998,0.6949999999999998,20,expiry_win,0.0,1.0,1
EFA,2022-06-10,2022,69.84126984126983,0.89,0.89,20,expiry_win,0.0,1.0,1
EWZ,2022-06-10,2022,77.77777777777779,0.76,-0.8599999999999999,6,stop_loss,0.6666666666666666,-1.1315789473684208,0
FXI,2022-06-10,2022,84.12698412698413,0.9299999999999999,0.9299999999999999,21,expiry_win,0.09523809523809523,1.0,1
GDX,2022-06-10,2022,72.22222222222221,0.855,-1.4850001525878906,21,expiry_loss,0.0,-1.7368422837285271,0
GLD,2022-06-10,2022,63.888888888888886,1.895,-0.6449932861328125,20,expiry_loss,0.0,-0.3403658502020119,0
