date,ticker,close,k,ext21,adr20,rv20,breach,model
2023-05-03,HUBB,261.0215759277344,239.39801259602592,3.5539985594389463,2.541496257093983,0.44009221114027725,0.0,0.1969872739229056
2023-05-26,HUBB,277.8708801269531,260.59157211538354,3.0811659882015934,2.1520427043515666,0.2546028800212596,0.0,0.12970411678414234
2023-06-14,HUBB,302.4754943847656,281.3439821418579,3.6362331376558217,2.0655762302759615,0.2497378255381434,0.0,0.0965152952966572
2023-12-12,HUBB,308.2334899902344,291.10556124939615,3.134128988645333,1.8773164204075177,0.2230155997204902,0.0,0.12498079629114534
2024-02-29,HUBB,369.0126037597656,346.45483770344816,3.262284546405286,1.9958487185743756,0.2298550233965045,0.0,0.10888093235455865
2024-03-21,HUBB,402.29119873046875,376.5047360282457,3.5785935871503254,1.9138546352855645,0.21577997868640336,0.0,0.08328169340518465
2024-10-09,HUBB,438.3643493652344,411.89343319433294,3.1438401225585517,2.044201263557313,0.14921977955287605,0.0,0.0289450364105176
2026-06-22,HUBB,537.7236938476562,491.96894801186994,3.171870467132314,2.932128586024244,0.3248845239141281,1.0,0.11143709238847993
2021-03-11,HUBG,32.057437896728516,29.064134794276544,3.3862793662409945,3.041378786683736,0.27836946245705946,0.0,0.056673859148521494
2021-10-22,HUBG,37.68954086303711,35.04328078022431,3.4396278514634733,2.1954133992842984,0.19537059273408738,0.0,0.045875112173514115
2023-02-02,HUBG,44.5382194519043,40.45320131723655,3.226658632026235,3.1295945146623025,0.36752401972127285,0.0,0.12314249960823148
2024-07-16,HUBG,45.69023513793945,42.26718714194182,3.406835537993192,2.3771603236362453,0.2682159799528251,0.0,0.09658897005435252
2024-11-06,HUBG,48.104801177978516,43.300917331208375,3.643399468051656,3.045009209425266,0.36692447455900856,0.0,0.10134480183986766
2026-01-12,HUBG,46.85636520385742,43.553341086280284,3.2214014471192574,2.354211185873182,0.21713983678185458,0.0,0.06437634945632102
2026-07-16,HUBG,51.40999984741211,45.98880804336725,3.649224941693718,3.230293511459428,0.3624470465333841,0.0,0.08544175874070975
2020-08-13,HUBS,275.6199951171875,243.0726362234024,3.0966058002625303,4.324080383552779,0.514540535212444,0.0,0.14388402181145077
2020-09-01,HUBS,314.25,279.19477339561934,3.3349914831658527,3.7648767707535002,0.44444747303416615,1.0,0.12078912259946428
