strategy,cell,n,cell_z,rest_z,t
EQ earnings drift good+muted,VIXlo|SPY>200,11,0.2331494796334219,-0.05575313643407926,0.7741578269159949
EQ all breakouts,VIXmid|SPY>200,32,0.10805116333721981,-0.06649302359213526,0.7493276391252736
EQ counter-trend long,VIXhi|SPY<200,15,0.20937658023310052,-0.045516647876760956,0.7354001538298839
OPT ASHR Bear Call Spread,VIXmid|SPY>200,19,-0.13134799346516188,0.08605558192545094,-0.7315491262373159
EQ in-play up mover,VIXlo|SPY>200,19,-0.1337402607536097,0.03909330698951668,-0.7153060285669983
OPT USO Bull Put Spread,VIXhi|SPY<200,10,-0.22755909341435254,0.044619430081245616,-0.6735149551681933
EQ earnings drift good+muted,VIXmid|SPY>200,28,0.08929917835972763,-0.08621989634732341,0.6592724723209816
OPT UVXY combined,VIXlo|SPY>200,22,-0.12635507752096828,0.042118359173656056,-0.6474721545109839
OPT XOP Bull Put Spread,VIXhi|SPY>200,18,0.13910187925227435,-0.035265265162548416,0.6365767097398486
EQ VCP damped sine,VIXlo|SPY>200,14,-0.09855880844425594,0.022620054397042413,-0.6203815425312399
EQ in-play down mover (short),VIXmid|SPY>200,32,0.07890526028098314,-0.04855708324983579,0.6116669347084566
OPT TMF Bear Call Spread,VIXmid|SPY>200,13,0.11889371452611766,-0.1104013063456807,0.5921151226117114
EQ in-play up mover,VIXhi|SPY<200,15,0.14932089786876407,-0.03246106475407913,0.5884405267196019
OPT ASHR Bull Put Spread,VIXmid|SPY>200,22,0.08316003545056948,-0.038925974040692105,0.5587415386337093
OPT SPY 1-day iron fly (all days),VIXhi|SPY>200,19,0.055909973393508686,-0.03769544044981077,0.5567989388959937
EQ precision-tier breakout,VIXlo|SPY>200,18,-0.11244572984437874,0.03318070716719372,-0.5215105902202772
OPT SPY 1-day iron fly (all days),VIXmid|SPY<200,6,0.27992891641946066,-0.038435226950930296,0.5155728854863144
OPT ETF 45-DTE put-spread roster,VIXhi|SPY>200,17,-0.1295824207522129,0.029372015370501603,-0.4886274287011773
EQ all breakouts,VIXlo|SPY>200,19,-0.08743942927823192,0.025559217789021642,-0.4827805729105596
OPT SPY 1-day iron fly (all days),VIXlo|SPY>200,89,0.007607939895036828,-0.06301564255844407,0.4742546433151186
OPT ASHR Bull Put Spread,VIXlo|SPY>200,17,0.10811896145545923,-0.03534658355274629,0.4648217291262636
EQ DR-EP catalyst+retrace,VIXhi|SPY>200,17,-0.099702000748776,0.025297522578047682,-0.44532124429565945
OPT ETF 45-DTE put-spread roster,VIXmid|SPY>200,34,0.05650107615222855,-0.03312132050303053,0.43753411015948435
EQ all breakouts,VIXhi|SPY<200,15,-0.11590205871613066,0.02519609972089798,-0.43447162986504134
EQ in-play up mover,VIXmid|SPY>200,32,-0.05899101086804989,0.036302160534184565,-0.42422985223237675
OPT SQQQ Bear Call Spread,VIXlo|SPY>200,10,-0.1124200734093563,0.023420848626949247,-0.422963250023267
OPT USO Bull Put Spread,VIXmid|SPY>200,24,0.06310535988666031,-0.04093320641296883,0.41959179397152885
OPT ETF 7-DTE long straddle,VIXhi|SPY>200,18,-0.12745613794757846,0.02979494133839496,-0.4001899136138456
