entry_date,ticker,close,pivot,state,iv_pct,row_id,expiry,dte,ks,kl,credit,ba_s,ba_l,ba_pct_s,width,max_loss,break_date,spot_expiry,spot_break,broke,mark_s_break,mark_l_break,val_expiry,pnl_hold,pnl_hold_net,pnl_conv,pnl_conv_net,days_conv,roc_hold,roc_hold_net,roc_conv,roc_conv_net,stock_to_exit,year,iv_gate
2020-10-23,HUBS,315.6000061035156,330.71600341796875,up/B-,,630,2020-11-20,28,300.0,270.0,7.424999999999999,1.0999999999999996,0.5499999999999998,0.1032863849765258,30.0,22.575000000000003,2020-11-05,371.42999267578125,336.2099914550781,True,4.65,2.1500000000000004,0.0,7.424999999999999,6.999499999999999,4.924999999999999,4.073999999999999,13.0,0.32890365448504977,0.3100553709856035,0.21816168327796226,0.1804651162790697,0.06530413483199515,2020,unknown
2020-10-23,MOH,212.5500030517578,213.77999877929688,up/B-,,632,2020-11-20,28,200.0,185.0,3.9250000000000003,1.4000000000000004,1.6500000000000001,0.20895522388059706,15.0,11.075,2020-11-04,207.25999450683594,216.94000244140625,True,2.5,1.4,0.0,3.9250000000000003,3.1495,2.825,1.2739999999999998,12.0,0.35440180586907455,0.2843792325056434,0.25507900677200906,0.11503386004514672,0.020653960605116595,2020,unknown
2020-10-23,PAYC,378.2440185546875,386.8667432867135,up/B-,,634,2020-11-20,28,360.0,330.0,6.450000000000001,2.0999999999999996,1.3999999999999995,0.185022026431718,30.0,23.549999999999997,2020-11-09,382.19525146484375,394.204833984375,True,1.9,0.725,0.0,6.450000000000001,5.562000000000001,5.275000000000001,3.4990000000000014,17.0,0.27388535031847144,0.23617834394904466,0.22399150743099797,0.14857749469214446,0.04219713900744693,2020,unknown
2020-10-23,PODD,249.38999938964844,255.38999938964844,up/B-,,635,2020-11-20,28,230.0,220.0,3.35,3.1000000000000005,1.7999999999999998,0.4275862068965518,10.0,6.65,2020-11-05,265.239990234375,255.67999267578125,True,2.625,2.0,0.0,3.35,2.112,2.725,0.2490000000000001,13.0,0.5037593984962406,0.31759398496240604,0.40977443609022557,0.037443609022556404,0.02522151369953418,2020,unknown
2020-10-23,ULTA,235.11000061035156,245.69000244140625,up/B-,0.8127490039840638,638,2020-11-27,35,220.0,195.0,2.3999999999999995,2.5999999999999996,4.6,0.4126984126984127,25.0,22.6,2020-11-09,281.2900085449219,247.1999969482422,True,1.6,1.75,0.0,2.3999999999999995,0.5869999999999997,2.5499999999999994,-1.076,17.0,0.1061946902654867,0.025973451327433617,0.11283185840707961,-0.04761061946902655,0.05142272258306613,2020,IV>=60pct
2020-10-23,URBN,24.690000534057617,24.889999389648438,up/B-,0.7091633466135459,639,2020-11-27,35,23.0,20.0,0.6749999999999999,0.40000000000000013,0.25,0.3478260869565219,3.0,2.325,2020-11-09,29.049999237060547,26.450000762939453,True,0.575,1.6,0.0,0.6749999999999999,0.4994999999999999,1.7000000000000002,1.3490000000000002,17.0,0.29032258064516125,0.2148387096774193,0.7311827956989247,0.5802150537634408,0.07128392834394948,2020,IV>=60pct
2020-10-30,LITE,82.69000244140625,86.27999877929688,chop/B-,0.852589641434263,641,2020-12-04,35,76.0,70.0,1.5500000000000003,0.75,0.5499999999999998,0.22556390977443608,6.0,4.449999999999999,2020-11-05,89.30999755859375,89.5199966430664,True,0.875,0.30000000000000004,0.0,1.5500000000000003,1.2120000000000002,0.9750000000000003,0.2990000000000004,6.0,0.34831460674157316,0.27235955056179784,0.2191011235955057,0.06719101123595515,0.0825975813279225,2020,IV>=60pct
2020-11-06,MAT,14.239999771118164,14.819999694824219,up/B+,,643,2020-12-11,35,13.5,12.5,0.22500000000000003,0.10000000000000003,0.15,0.25000000000000006,1.0,0.7749999999999999,2020-11-19,15.949999809265137,14.979999542236328,True,0.15000000000000002,0.075,0.0,0.22500000000000003,0.14950000000000002,0.15000000000000002,-0.0009999999999999731,13.0,0.29032258064516137,0.19290322580645167,0.19354838709677424,-0.0012903225806451268,0.05196627689693134,2020,unknown
2020-11-20,CRSP,109.69999694824219,110.3550033569336,up/B+,,647,2020-12-24,34,100.0,89.0,2.75,1.9000000000000004,1.8000000000000003,0.3762376237623763,11.0,8.25,2020-11-27,168.5,121.55000305175781,True,2.05,1.025,0.0,2.75,1.8119999999999998,1.725,-0.15100000000000025,7.0,0.3333333333333333,0.21963636363636363,0.2090909090909091,-0.01830303030303033,0.10802193649200009,2020,unknown
2020-11-20,LAD,271.260986328125,276.36562528147,up/B+,,648,2020-12-18,28,270.0,250.0,4.7749999999999995,2.4000000000000004,1.75,0.2926829268292684,20.0,15.225000000000001,2020-11-23,273.8902893066406,282.26007080078125,True,5.800000000000001,2.0999999999999996,0.0,4.7749999999999995,3.7244999999999995,1.0749999999999984,-1.0260000000000016,3.0,0.31362889983579634,0.24463054187192113,0.07060755336617394,-0.06738916256157645,0.04054797787748021,2020,unknown
