day,w,gex,credit,maxrisk,width_c,width_p,straddle_mid,pnl_usd,ret_risk,ret_credit,NEG,half,yr
2019-10-25,2.0,201224522.3743206,1.284,1.716,3.0,3.0,1.4300000000000002,-32.60000000000136,-18.99766899766979,-25.389408099689533,False,2018-2026,2019
2019-11-01,1.0,341725939.9300194,0.9989999999999999,0.5010000000000001,1.5,1.5,1.51,-50.10000000000001,-100.0,-50.15015015015016,False,2018-2026,2019
2019-11-01,2.0,341725939.9300194,1.339,1.661,3.0,3.0,1.51,-103.10000000000046,-62.07104154124049,-76.9977595220317,False,2018-2026,2019
2019-11-08,1.0,1111826114.1225898,0.6865000000000001,0.3134999999999999,1.0,1.0,1.165,-31.349999999999987,-100.0,-45.6664238892935,False,2018-2026,2019
2019-11-08,2.0,1111826114.1225898,1.0365,1.4635,2.5,2.5,1.165,-21.35,-14.588315681585243,-20.598166907863003,False,2018-2026,2019
2019-11-15,1.0,245353075.26187262,0.7889999999999998,0.7110000000000002,1.0,1.5,1.315,-21.10000000000002,-29.676511954992986,-26.742712294043123,False,2018-2026,2019
2019-11-15,2.0,245353075.26187262,1.1664999999999999,1.8335000000000001,3.0,2.5,1.315,-55.3499999999999,-30.188164712298825,-47.449635662237384,False,2018-2026,2019
2019-11-22,1.0,-389804158.6685068,0.6890000000000001,0.31099999999999994,1.0,1.0,1.28,50.899999999999324,163.6655948553033,73.87518142235024,True,2018-2026,2019
2019-11-22,2.0,-389804158.6685068,1.079,1.421,2.0,2.5,1.28,89.89999999999931,63.26530612244849,83.31788693234414,True,2018-2026,2019
2019-12-06,1.0,-134505328.97858626,0.6965,0.3035,1.0,1.0,1.2149999999999999,-30.349999999999998,-100.0,-43.575017946877246,True,2018-2026,2019
2019-12-06,2.0,-134505328.97858626,1.0265,1.4735,2.0,2.5,1.2149999999999999,-89.34999999999876,-60.63793688496691,-87.04335119337433,True,2018-2026,2019
2019-12-13,1.0,913330872.6423713,0.9840000000000002,0.5159999999999998,1.5,1.5,1.55,29.400000000000247,56.976744186047014,29.878048780488054,False,2018-2026,2019
2019-12-13,2.0,913330872.6423713,1.344,1.656,3.0,3.0,1.55,65.40000000000023,39.49275362318855,48.660714285714455,False,2018-2026,2019
2019-12-20,1.0,1656114110.8868213,0.6539999999999999,0.3460000000000001,1.0,1.0,1.12,-34.60000000000001,-100.0,-52.90519877675843,False,2018-2026,2019
2019-12-20,2.0,1656114110.8868213,0.9139999999999998,1.0860000000000003,2.0,2.0,1.12,-35.60000000000104,-32.78084714548898,-38.94967177243004,False,2018-2026,2019
2019-12-27,1.0,846378174.2385892,0.32899999999999996,0.17100000000000004,0.5,0.5,0.675,22.900000000000563,133.91812865497403,69.60486322188622,False,2018-2026,2019
2019-12-27,2.0,846378174.2385892,0.5765,0.9235,1.5,1.5,0.675,47.65000000000057,51.59718462371475,82.65394622723429,False,2018-2026,2019
2019-12-31,1.0,-32492202.28540403,0.6964999999999999,0.3035000000000001,1.0,1.0,1.295,11.64999999999874,38.385502471165516,16.72648959080939,True,2018-2026,2019
2019-12-31,2.0,-32492202.28540403,1.1415,1.8585,3.0,3.0,1.295,56.14999999999875,30.212536992197332,49.18966272448423,True,2018-2026,2019
2020-01-03,1.0,1022953812.5368276,0.6864999999999999,0.3135000000000001,1.0,1.0,1.145,-31.350000000000012,-100.0,-45.66642388929354,False,2018-2026,2020
2020-01-03,2.0,1022953812.5368276,1.0165,1.4835,2.5,2.5,1.145,-28.350000000001142,-19.11021233569339,-27.889818002952428,False,2018-2026,2020
2020-01-10,1.0,1019153229.7116126,0.8864999999999998,0.6135000000000002,1.5,1.5,1.3050000000000002,33.64999999999885,54.849225753869334,37.958262831357985,False,2018-2026,2020
2020-01-10,2.0,1019153229.7116126,1.0964999999999998,1.9035000000000002,3.0,2.5,1.3050000000000002,54.64999999999884,28.710270554241575,49.84040127678874,False,2018-2026,2020
2020-01-17,1.0,730205576.9130334,0.6739999999999999,0.32600000000000007,1.0,1.0,1.15,-32.60000000000001,-100.0,-48.36795252225521,False,2018-2026,2020
