date,sym,ext10,arm,entry,legs,pnl,post,xname,day_ret,e_post,e_x
2026-05-29,APH,0.1337673362821663,09:30,10:22,1,0.4849023803155999,-1.0403812185004964,-0.11910137890252408,-0.12085403518196092,1.5252835988160962,0.604003759218124
2026-05-29,DELL,0.18234297392375276,09:30,09:46,2,-4.2600547149898,-3.321036401947727,-1.8208598193439909,0.8899521531100518,-0.9390183130420731,-2.439194895645809
2026-05-29,HOOD,0.10234783780075474,09:30,10:07,1,-2.065574896930835,-1.3247728601001358,-0.5681339720272783,10.144758346953076,-0.7408020368306993,-1.497440924903557
2026-05-29,MU,0.17289510155109133,09:30,10:25,1,-0.7016176485822994,-0.7529089150986165,-0.8061087576305358,1.5235109717868456,0.0512912665163171,0.10449110904823644
2026-05-29,QCOM,0.11579931586878112,09:33,10:07,1,1.7340375586854468,0.2500419990199295,-0.3393782448246533,0.33974179623486034,1.4839955596655172,2.0734158035101
2026-06-01,APP,0.17558745918890306,09:30,09:45,1,-2.5467016817248194,-1.3709911996764406,-0.09384922568331722,-0.23732119635890836,-1.1757104820483788,-2.4528524560415024
2026-06-01,BBY,0.22243823514389738,09:30,09:45,2,-0.18903055498862997,0.9646307819815864,-1.5683465166516026,-2.0766718913270643,-1.1536613369702162,1.3793159616629727
2026-06-01,CDW,0.14495738070385666,09:30,10:30,1,-2.007421423511428,-0.6016820374550305,-1.0345957410000859,9.852875196291034,-1.4057393860563976,-0.9728256825113422
2026-06-01,DELL,0.4745179651294953,09:31,09:52,2,-5.640844276845816,-2.9719387345987665,-1.2634624475723524,9.353514020884667,-2.6689055422470496,-4.377381829273464
2026-06-01,HPE,0.1936324890150405,09:31,09:45,2,-4.869260750987205,-2.5724315977499783,-2.771811861955171,6.450882752376641,-2.2968291532372263,-2.0974488890320337
2026-06-01,IBM,0.20855475227564324,09:30,09:45,2,-3.471570185770687,-1.676590547748302,-2.7104662712561485,-0.7068671523794867,-1.794979638022385,-0.7611039145145386
2026-06-01,MU,0.20339482179334167,09:30,09:54,2,-2.8990354957733286,-0.8325451950225533,-0.3235924763359878,2.4868280315334834,-2.0664903007507753,-2.575443019437341
2026-06-01,NET,0.12911363112699514,09:32,10:03,1,-1.2720902373713974,-0.5090315290127869,-1.5029196432975547,10.973360655737686,-0.7630587083586104,0.2308294059261573
2026-06-01,NOW,0.19519884694949186,09:30,10:02,1,-0.0702455229786711,-0.16353182683967507,-2.595245156148353,0.06628857626869156,0.09328630386100398,2.5249996331696822
2026-06-01,PLTR,0.13039550380697063,09:30,09:57,1,-1.6992130181225282,-0.903952925935662,-0.4064091059821874,0.4063007875984459,-0.7952600921868662,-1.2928039121403407
2026-06-01,SNDK,0.12596994280348572,09:30,09:45,1,-0.6272228217117939,-0.8191218736064352,-0.7380138269394468,1.758946365132985,0.1918990518946413,0.11079100522765295
2026-06-01,TEAM,0.2060723972578833,09:30,09:47,1,-3.1235796336541477,-1.2546555196099582,-1.513202219337924,1.4713610089332585,-1.8689241140441895,-1.6103774143162237
2026-06-01,ZETA,0.19193915371107595,09:30,10:01,1,-2.0010170195101655,-0.20043431675069406,-0.943100675507455,6.59480025364616,-1.8005827027594714,-1.0579163440027104
2026-06-02,ANET,0.11984458608875248,09:31,09:45,1,-1.5700208460001739,-0.6327050963323362,-0.9431309710423623,2.706502636203867,-0.9373157496678377,-0.6268898749578116
2026-06-02,CDW,0.24191141225204094,09:30,09:45,1,-0.8397299051602891,-0.7276232015524339,-1.9194432173507798,-0.5054819877545302,-0.11210670360785524,1.0797133121904907
2026-06-02,CRWV,0.16730572449039527,09:30,09:45,1,5.485756711808026,1.3824623171076544,-0.1802852374715509,-8.217913204062787,4.103294394700372,5.6660419492795775
2026-06-02,DELL,0.5135795350111685,09:30,09:45,1,4.474618927513981,2.1399912112930695,-0.5587850025106097,-6.605736843234434,2.3346277162209113,5.0334039300245905
2026-06-02,HPE,0.25507364896495566,09:30,09:45,1,3.7444325481798777,2.0250825801795234,-0.8323124373061376,-10.941960038058996,1.7193499680003543,4.576744985486015
