sym,date,expiry,wing,width,credit,cw,roc,win,iv,S,ST,month
AMD,2023-04-14,2023-05-12,0.2,4.0,0.947,0.23675,0.3101867016049787,True,0.5086999999999999,92.09512984119854,95.40778935006183,2023-04
AMD,2023-04-14,2023-05-12,0.15,6.0,1.3070000000000002,0.21783333333333335,0.27849989345834225,True,0.5086999999999999,92.09512984119854,95.40778935006183,2023-04
AMD,2023-04-14,2023-05-12,0.1,9.0,1.697,0.18855555555555556,0.23237025879775436,True,0.5086999999999999,92.09512984119854,95.40778935006183,2023-04
AMD,2023-04-28,2023-05-26,0.25,2.0,0.497,0.2485,0.33067198935462405,True,0.49955,89.75978705068586,127.03205698686531,2023-04
AMD,2023-04-28,2023-05-26,0.2,4.0,0.947,0.23675,0.3101867016049787,True,0.49955,89.75978705068586,127.03205698686531,2023-04
AMD,2023-04-28,2023-05-26,0.15,6.0,1.287,0.2145,0.2730744748567791,True,0.49955,89.75978705068586,127.03205698686531,2023-04
AMD,2023-04-28,2023-05-26,0.1,9.0,1.667,0.18522222222222223,0.22732851493249692,True,0.49955,89.75978705068586,127.03205698686531,2023-04
AMD,2023-05-05,2023-06-02,0.25,1.0,0.22699999999999998,0.22699999999999998,0.29366106080206983,True,0.40905,90.10841626708304,118.54710076086985,2023-05
AMD,2023-05-05,2023-06-02,0.2,3.0,0.6770000000000002,0.2256666666666667,0.29143349117520456,True,0.40905,90.10841626708304,118.54710076086985,2023-05
AMD,2023-05-05,2023-06-02,0.15,5.0,0.9970000000000002,0.19940000000000005,0.2490632025980515,True,0.40905,90.10841626708304,118.54710076086985,2023-05
AMD,2023-05-05,2023-06-02,0.1,7.0,1.237,0.17671428571428574,0.21464515009543642,True,0.40905,90.10841626708304,118.54710076086985,2023-05
AMD,2023-05-12,2023-06-09,0.25,1.0,0.22699999999999998,0.22699999999999998,0.29366106080206983,True,0.4116999999999999,95.40778935006183,124.8177583832817,2023-05
AMD,2023-05-12,2023-06-09,0.2,3.0,0.6869999999999999,0.22899999999999998,0.2970168612191958,True,0.4116999999999999,95.40778935006183,124.8177583832817,2023-05
AMD,2023-05-12,2023-06-09,0.15,6.0,1.177,0.19616666666666668,0.2440389798880365,True,0.4116999999999999,95.40778935006183,124.8177583832817,2023-05
AMD,2023-05-12,2023-06-09,0.1,8.0,1.3970000000000002,0.17462500000000003,0.21157049825836746,True,0.4116999999999999,95.40778935006183,124.8177583832817,2023-05
AMD,2023-05-19,2023-06-16,0.2,5.0,1.1569999999999998,0.23139999999999997,0.3010668748373666,True,0.44205,105.79097250899062,120.8521744208144,2023-05
AMD,2023-05-19,2023-06-16,0.15,5.0,1.1569999999999998,0.23139999999999997,0.3010668748373666,True,0.44205,105.79097250899062,120.8521744208144,2023-05
AMD,2023-05-19,2023-06-16,0.1,10.0,1.807,0.1807,0.2205541315757354,True,0.44205,105.79097250899062,120.8521744208144,2023-05
