date,sym,follows,B_pct,A_pct,B_R,A_R,early_pct,late_pct,early_ext,late_ext,lag
2020-11-13,ALB,True,37.956405084325205,31.06500632096223,9.472911141249485,6.62747510847425,37.956405084325205,31.06500632096223,3.349759373013658,3.8860110623835946,1.0
2022-08-25,ALB,True,-7.340419244456998,-4.602435143460881,-3.498933173191177,-2.1938274183830186,-2.737984100996116,-4.602435143460881,2.633115894289707,2.288531112079074,10.0
2026-04-14,ALB,False,-1.755729093021574,0.0,-0.6284089904467048,0.0,-1.755729093021574,,1.4478550792286824,,
2023-02-14,ALGM,True,-4.1130949672324,-6.806776030649575,-1.0412997228349143,-1.2977617983017709,-4.1130949672324,-6.806776030649575,2.7738730365408535,2.958301075078096,1.0
2025-06-06,ALGM,False,18.055919992332402,0.0,8.60665519634516,0.0,18.055919992332402,,2.554063707118958,,
2026-02-09,ALGM,False,-8.280791341501159,0.0,-2.8884685391775236,0.0,-8.280791341501159,,2.7605384030899196,,
2020-06-08,ALGN,False,-3.6579360368283798,0.0,-1.7436161775548646,0.0,-3.6579360368283798,,3.0880793362559604,,
2026-07-06,ALGN,False,-7.4627197482844965,0.0,-1.528287808978058,0.0,-7.4627197482844965,,1.560973059781196,,
2026-01-21,ALHC,True,-10.22265386536242,-11.40143827335427,-2.810637002914725,-4.823709311808245,-10.22265386536242,-11.40143827335427,2.3438279259732964,2.3362667488359765,1.0
2026-07-01,ALHC,False,-16.743104895069973,0.0,-4.451316675273372,0.0,-16.743104895069973,,2.171027724804907,,
2021-03-17,ALK,False,-6.525932514903232,0.0,-1.3610857479237992,0.0,-6.525932514903232,,2.1313783221867455,,
2020-07-20,ALNY,False,-4.698622701715749,0.0,-1.4189281755695273,0.0,-4.698622701715749,,1.7618302672473594,,
2022-08-10,ALNY,False,-4.01543504860239,0.0,-1.1906432399081597,0.0,-4.01543504860239,,4.237890955767919,,
2022-12-02,ALNY,True,-3.91250449478614,-3.8226466569297513,-0.5138760071638145,-1.251356866449784,-3.91250449478614,-3.8226466569297513,2.2512908813503114,1.866133007808208,4.0
2025-05-19,ALNY,True,7.692307086451677,3.2015872756920194,3.3333943729406683,0.5525477553996712,7.692307086451677,3.2015872756920194,2.094806638527102,2.000659292370058,8.0
2025-12-03,AMAT,False,-3.6994829862927348,0.0,-1.0826254518410818,0.0,-3.6994829862927348,,2.425188708932522,,
2026-04-09,AMAT,False,-4.389401651658254,0.0,-1.3365349301021416,0.0,-4.389401651658254,,2.5134159084888834,,
2021-10-21,AMBA,False,2.322573504789749,0.0,0.6167532886483779,0.0,2.322573504789749,,2.3739957827668263,,
2026-05-21,AMBA,True,-13.87400161881679,-17.720408898484962,-6.0700068839268875,-4.4401699692643755,-13.87400161881679,-17.720408898484962,1.9959799588803708,2.5208286179690207,1.0
2020-08-06,AMD,False,-5.344616479854725,0.0,-2.300256614870118,0.0,-5.344616479854725,,3.577966933771255,,
2021-11-29,AMD,False,-8.089633027390619,0.0,-2.1954497653137963,0.0,-8.089633027390619,,2.0333684707300477,,
2026-04-15,AMD,True,80.322402567036,67.27095535332937,31.79106070168436,11.003787527033344,80.322402567036,67.27095535332937,2.9505555900237055,3.9757337123276115,1.0
2024-07-10,AMKR,False,-3.6015554561128704,0.0,-1.1074983326786063,0.0,-3.6015554561128704,,2.5320984891727583,,
2025-12-08,AMKR,True,-10.088305674621555,-5.610526261379023,-2.587816820078153,-1.5506164662519175,-10.088305674621555,-5.610526261379023,3.149881867065211,3.266640116126062,2.0
2026-04-20,AMKR,False,1.1080696010903335,0.0,0.30692594823044106,0.0,1.1080696010903335,,3.051109541514845,,
2022-10-27,AMR,False,-2.3283372401248337,0.0,-1.1098407511261732,0.0,-2.3283372401248337,,1.8253775988242202,,
2022-11-04,AMR,False,-4.153052325522088,0.0,-1.3000011078910636,0.0,-4.153052325522088,,1.7681243311127353,,
2023-12-01,AMR,False,29.305011521581715,0.0,6.2192577703133,0.0,29.305011521581715,,3.059125700367883,,
2021-03-26,AN,False,4.886379205813141,0.0,1.179440173746354,0.0,4.886379205813141,,1.913858813144559,,
2025-05-08,AN,False,0.33355913003885185,0.0,0.14958267451934562,0.0,0.33355913003885185,,0.9266516683258885,,
2022-03-29,ANET,False,-6.43023052661057,0.0,-3.065076551017712,0.0,-6.43023052661057,,1.8629967287627285,,
2026-04-20,ANET,True,-12.037059621927638,-4.570321088255902,-5.737665086452205,-1.360459076537747,-12.037059621927638,-4.570321088255902,3.0853709305114885,3.572722319843476,1.0
2021-05-17,ANF,True,-12.784373886343847,-7.292667777549678,-2.441114624041344,-1.1429367322539876,-5.49170610879417,-7.292667777549678,1.811149938303852,1.9160393978702568,8.0
2023-06-14,ANF,False,-0.9569257832627298,0.0,-0.36437959101353307,0.0,-0.9569257832627298,,2.605867127151689,,
2022-02-01,APA,False,-7.589202393036842,0.0,-1.235225477539524,0.0,-7.589202393036842,,1.6379225196327085,,
2022-04-04,APA,False,-3.195196900534225,0.0,-1.5230438559213113,0.0,-3.195196900534225,,1.5102082712795488,,
