t,start,end,days,excess,sig_day,left
OIH,2010-06-01,2011-03-29,209,49.66521770821875,30.0,65.45437490704654
OIH,2016-09-27,2017-01-06,70,26.234612843580308,3.0,56.11926622135657
OIH,2018-02-28,2018-05-17,55,23.383753618162693,29.0,45.85584141055855
OIH,2020-10-28,2021-01-14,53,79.50369071364098,8.0,60.216644035136625
OIH,2021-08-20,2021-10-18,40,32.12897062318123,17.0,48.1410461457188
OIH,2021-12-01,2022-03-08,66,81.31408605578004,22.0,85.32568993986365
OIH,2023-05-31,2023-09-27,82,41.04251214370203,20.0,72.06041244566615
OIH,2025-08-11,2026-03-27,158,80.24672944888852,15.0,82.78589961018795
XME,2006-10-04,2006-12-07,45,27.31977641408161,7.0,51.19467992346598
XME,2007-01-09,2007-05-09,83,30.909851117410025,12.0,66.16413135443582
XME,2007-08-17,2008-03-05,137,52.48318045140002,21.0,77.01232078535573
XME,2008-05-01,2008-06-30,41,38.29482626403413,8.0,57.5183377172479
XME,2009-03-02,2009-06-11,71,53.431792637407625,16.0,70.69531628659367
XME,2009-07-08,2009-09-16,49,23.744800645379627,19.0,46.94225066071458
XME,2009-10-28,2010-01-08,49,26.06238593366519,20.0,50.47820703990708
XME,2010-07-19,2011-04-05,181,32.02114610960407,12.0,72.81327545236542
XME,2016-01-19,2016-04-29,71,87.31055807811549,13.0,56.4501406352549
XME,2016-05-18,2016-07-29,50,33.35268798254924,14.0,47.895371444020014
XME,2016-09-14,2016-12-05,57,31.653965689703067,37.0,64.58093262262419
XME,2020-03-18,2020-06-08,56,21.367338207925958,28.0,52.346108305663705
XME,2020-09-30,2021-01-06,67,43.564120130951544,23.0,71.30612543570567
XME,2021-03-23,2021-06-01,48,20.78073855538527,29.0,38.79933766324312
XME,2021-12-15,2022-04-14,83,69.60308172340753,11.0,85.04351265146472
XME,2022-09-26,2023-03-03,109,30.394257427061213,19.0,45.67480447308604
XME,2023-05-31,2023-12-27,145,20.55638126466013,20.0,54.672259710937624
XME,2024-12-24,2025-10-14,200,71.85352284595395,30.0,81.13897982185131
XME,2025-11-04,2026-01-23,54,42.70686414044147,20.0,71.71721175117634
GDX,2006-06-13,2006-09-05,58,21.15396299026171,48.0,15.45969639904354
GDX,2007-08-16,2007-11-08,59,43.22501042080196,14.0,59.571196293775316
GDX,2007-12-20,2008-03-14,57,50.771288996892494,7.0,55.39585199665503
GDX,2008-05-01,2008-07-14,50,36.393229556526244,16.0,51.716575222691155
GDX,2010-03-25,2010-06-30,67,36.19781276791927,20.0,73.44958573270975
GDX,2012-07-18,2012-09-21,46,24.859174654709527,21.0,65.37420314118829
GDX,2013-12-23,2014-03-14,55,34.42931447392763,13.0,59.42371203588909
GDX,2014-05-28,2014-08-12,53,22.485986493320965,16.0,27.704399114261946
GDX,2016-02-16,2016-04-29,52,37.34018376784458,0.0,100.0
GDX,2018-09-11,2018-12-24,72,47.31018580222284,22.0,49.05296082427672
GDX,2019-05-03,2019-08-27,80,53.62804747860217,19.0,65.573708815835
GDX,2021-03-01,2021-05-18,55,20.894965721919668,47.0,46.29526737129759
GDX,2021-12-15,2022-03-08,56,48.86633046414373,23.0,56.60184778721155
GDX,2022-11-03,2023-01-25,55,37.611491963173684,4.0,53.02069525885623
GDX,2023-03-08,2023-05-04,40,30.58302701331621,7.0,40.377638173288965
GDX,2024-02-28,2024-05-20,57,37.539676199294014,7.0,55.72270807033695
GDX,2024-06-17,2024-10-22,88,23.775000575111747,15.0,59.57108599228134
GDX,2024-12-24,2025-04-21,78,75.14377885950623,16.0,80.78943243474463
GDX,2025-07-18,2025-10-16,63,56.44954318257596,12.0,73.99221462793116
GDX,2025-11-04,2026-01-28,57,60.183179276089135,11.0,67.30022696326223
XAR,2011-09-29,2014-03-04,608,30.291736217549236,71.0,87.1031193511477
XAR,2016-02-12,2018-09-18,654,36.694597564709966,188.0,55.877471198082894
XAR,2020-09-01,2021-02-11,112,25.403648613635845,49.0,55.1557734902344
XAR,2024-07-10,2025-10-14,317,45.9318268975655,11.0,75.43464844132079
IYT,2008-01-09,2008-09-18,175,41.57855268910462,12.0,61.829906598108586
IYT,2009-03-09,2009-09-15,132,21.49892722789759,18.0,43.782957426755544
IYT,2009-11-02,2010-12-03,274,20.4346762261681,21.0,67.0267605450333
IYT,2012-09-21,2014-11-12,538,30.361541394102055,22.0,73.02245965740258
IYT,2020-05-15,2021-05-13,250,38.10001534206005,12.0,61.754273864055
JETS,2016-06-27,2017-07-07,259,33.32313575898485,21.0,80.26344137760381
JETS,2021-12-16,2022-02-15,41,24.511387479364856,17.0,44.015916702020164
JETS,2022-09-26,2023-01-19,79,23.465519980479122,20.0,60.33764672144486
JETS,2024-08-14,2025-01-10,102,41.96199818443485,16.0,72.57166963807433
JETS,2025-11-04,2026-02-06,64,27.657839493224778,16.0,62.87375673723483
TAN,2010-06-08,2010-10-14,90,34.27760672776303,20.0,35.85279879853937
TAN,2012-11-21,2013-02-19,59,61.21204943003693,14.0,44.84522015912564
TAN,2013-04-03,2013-06-10,47,59.65427320039931,13.0,60.87447681874597
TAN,2013-06-24,2013-10-22,84,65.75127662888625,14.0,63.646038364197686
TAN,2013-12-24,2014-03-06,48,43.13705591515111,9.0,52.34856259835148
TAN,2015-01-22,2015-04-23,63,48.74771649519973,8.0,65.38640677638831
TAN,2017-04-21,2017-11-24,151,32.99544066336901,23.0,78.33567924477748
TAN,2018-10-29,2019-08-21,203,60.39137396256544,5.0,72.00696259302521
TAN,2019-11-21,2020-03-05,70,43.592271596543355,15.0,80.60200661387117
TAN,2020-04-03,2020-10-20,138,133.89136863016267,17.0,82.92207383714587
TAN,2020-11-04,2021-01-07,43,62.0698974627572,12.0,73.3763189939823
TAN,2021-08-17,2021-11-01,53,23.230626576235647,22.0,56.75915162388839
TAN,2022-05-12,2022-09-14,85,51.87732939911507,10.0,57.05905909720934
TAN,2025-08-14,2025-11-10,61,36.24007002485457,2.0,53.43670816448547
TAN,2025-12-03,2026-02-24,55,26.736746891122554,13.0,64.82055302803016
URA,2010-11-16,2011-02-02,53,23.80818124852391,42.0,16.05920747575892
URA,2013-11-14,2014-03-04,73,27.311616592079503,43.0,56.33508983947622
URA,2015-12-07,2016-04-14,88,21.768555370961586,18.0,46.786893557816875
URA,2016-11-09,2017-01-24,50,53.715044225914376,19.0,80.35969470209746
URA,2020-10-16,2021-01-07,56,45.13208853626614,18.0,80.45832981788926
URA,2023-07-06,2023-09-28,59,40.59744747625926,21.0,75.48720918366485
URA,2023-10-16,2024-01-12,61,22.3018241927347,11.0,38.95902547035236
URA,2025-04-09,2025-07-24,72,64.33431998266602,12.0,71.03925386932661
KWEB,2013-08-01,2013-10-21,56,23.94939029162444,49.0,20.4776425352845
KWEB,2013-11-07,2014-03-06,80,35.04806859557406,19.0,65.2954992536938
KWEB,2014-05-08,2014-08-13,67,25.397812017238074,20.0,71.08301363929878
KWEB,2015-03-03,2015-06-12,71,39.41414249692292,18.0,72.1638991549143
KWEB,2015-09-14,2015-12-18,68,30.360473656083474,15.0,62.961115996941686
KWEB,2016-07-06,2016-10-10,67,25.498147805880844,26.0,57.395344832896214
KWEB,2016-12-22,2017-09-18,184,53.04706125148917,16.0,79.62929938442801
KWEB,2018-11-12,2019-03-05,75,21.279273806857102,20.0,45.907568299010656
KWEB,2019-08-06,2020-01-13,110,22.728844469726205,20.0,62.96116615063747
KWEB,2020-05-01,2020-07-09,47,38.21148632425944,8.0,66.9486879151474
KWEB,2024-02-02,2024-05-17,73,29.82279830056718,12.0,63.54640468920615
