sym,entry,expiry,strike,entry_px,delta,dte,mark_cov,dark,ret_A,ret_B_day1p5,ret_C_day1p5,ret_B_day2p0,ret_C_day2p0,ret_B_day2p5,ret_C_day2p5,ret_B_day3p0,ret_C_day3p0,ret_B_cum1p5,ret_C_cum1p5,ret_B_cum2p0,ret_C_cum2p0,ret_B_cum2p5,ret_C_cum2p5,ret_B_cum3p0,ret_C_cum3p0,month
TSLA,2020-12-18,2021-01-22,750.0,22.0065,0.2825999855995178,35,0.9090909090909091,False,3.6415150762674164,2.573648691177368,2.573648691177368,3.6415150762674164,3.6415150762674164,3.6415150762674164,3.6415150762674164,3.6415150762674164,3.6415150762674164,0.9014153480529785,0.9014153480529785,2.573648691177368,2.573648691177368,2.573648691177368,2.573648691177368,2.573648691177368,2.573648691177368,2020-12
TSLA,2020-12-31,2021-02-05,830.0,24.606500381469726,0.2775999903678894,36,0.9583333333333334,False,-0.29719793796539307,1.5214271545410156,1.5214271545410156,-0.29719793796539307,-0.15292706974429315,-0.29719793796539307,-0.15292706974429315,-0.29719793796539307,-0.15292706974429315,1.5214271545410156,1.5214271545410156,1.5214271545410156,1.5214271545410156,1.5214271545410156,1.5214271545410156,3.427427291870117,3.427427291870117,2020-12
TSLA,2021-01-07,2021-02-12,970.0,30.456500762939452,0.2770000100135803,36,0.84,False,-0.8606701493263245,0.9813010692596436,0.9813010692596436,-0.8606701493263245,-0.9647530078628856,-0.8606701493263245,-0.9647530078628856,-0.8606701493263245,-0.9647530078628856,0.9813010692596436,0.9813010692596436,-0.8606701493263245,-0.9647530078628856,-0.8606701493263245,-0.9647530078628856,-0.8606701493263245,-0.9647530078628856,2021-01
TSLA,2021-01-08,2021-02-12,1080.0,36.356498474121096,0.2759999930858612,35,0.7083333333333334,False,-0.9613961577415466,-0.9613961577415466,-0.9663471436902983,-0.9613961577415466,-0.9663471436902983,-0.9613961577415466,-0.9663471436902983,-0.9613961577415466,-0.9663471436902983,-0.9613961577415466,-0.9663471436902983,-0.9613961577415466,-0.9663471436902983,-0.9613961577415466,-0.9663471436902983,-0.9613961577415466,-0.9663471436902983,2021-01
TSLA,2021-10-29,2021-12-03,1250.0,31.056499237060546,0.2680000066757202,35,0.9166666666666666,False,-0.5011188983917236,1.012251853942871,1.012251853942871,1.012251853942871,1.012251853942871,1.012251853942871,1.012251853942871,-0.5011188983917236,-0.9824996369432277,1.012251853942871,1.012251853942871,1.012251853942871,1.012251853942871,1.012251853942871,1.012251853942871,1.8268961906433105,1.8268961906433105,2021-10
TSLA,2021-11-03,2021-12-10,1390.0,43.956500762939456,0.2736999988555908,37,0.7307692307692307,False,-0.7817501425743103,-0.7817501425743103,-0.9764881202116892,-0.7817501425743103,-0.9764881202116892,-0.7817501425743103,-0.9764881202116892,-0.7817501425743103,-0.9764881202116892,-0.7817501425743103,-0.9764881202116892,-0.7817501425743103,-0.9764881202116892,-0.7817501425743103,-0.9764881202116892,-0.7817501425743103,-0.9764881202116892,2021-11
TSLA,2023-06-08,2023-07-14,265.0,6.206499809265137,0.273499995470047,36,0.9583333333333334,False,1.2465963486295633,1.8266334533691406,1.8266334533691406,1.2465963486295633,1.2465963486295633,1.2465963486295633,1.2465963486295633,1.2465963486295633,1.2465963486295633,0.7068397998809814,0.7068397998809814,1.2788207530975342,1.2788207530975342,1.4721665382385254,1.4721665382385254,2.5275115966796875,2.5275115966796875,2023-06
TSLA,2023-06-13,2023-07-21,300.0,7.606499904632568,0.26759999990463257,38,0.9230769230769231,False,-1.0,0.004864335060119629,0.004864335060119629,-1.0,-0.0017090646372167617,-1.0,-0.0017090646372167617,-1.0,-0.0017090646372167617,0.5701702833175659,0.5701702833175659,0.004864335060119629,0.004864335060119629,-0.008282303810119629,-0.008282303810119629,-0.008282303810119629,-0.008282303810119629,2023-06
TSLA,2023-06-20,2023-07-28,320.0,9.5065,0.28029999136924744,38,0.7777777777777778,False,-0.9670225381851196,-0.44843000173568726,-0.44843000173568726,-0.9670225381851196,-0.967022564261564,-0.9670225381851196,-0.967022564261564,-0.9670225381851196,-0.967022564261564,-0.34323883056640625,-0.34323883056640625,-0.9670225381851196,-0.967022564261564,-0.9670225381851196,-0.967022564261564,-0.9670225381851196,-0.967022564261564,2023-06
TSLA,2024-06-26,2024-08-02,220.0,5.606499904632568,0.28760001063346863,37,0.9615384615384616,False,0.22063684463500977,0.8716669082641602,0.8716669082641602,2.690984010696411,2.690984010696411,2.690984010696411,2.690984010696411,0.22063684463500977,-0.7550164953901586,0.8716669082641602,0.8716669082641602,2.690984010696411,2.690984010696411,2.690984010696411,2.690984010696411,2.690984010696411,2.690984010696411,2024-06
TSLA,2024-07-01,2024-08-02,240.0,5.406500095367432,0.25839999318122864,32,0.9130434782608695,False,-0.7404050827026367,1.153611421585083,1.153611421585083,1.153611421585083,1.153611421585083,1.153611421585083,1.153611421585083,-0.7404050827026367,-0.7681494555900739,1.153611421585083,1.153611421585083,1.153611421585083,1.153611421585083,1.153611421585083,1.153611421585083,2.587071180343628,2.587071180343628,2024-07
TSLA,2024-07-03,2024-08-09,285.0,8.156499618530274,0.27410000562667847,37,0.5,False,-1.0,-1.0,-0.4613498067987283,-1.0,-0.4613498067987283,-1.0,-0.4613498067987283,-1.0,-0.4613498067987283,0.7033653259277344,0.7033653259277344,-1.0,-0.4613498067987283,-1.0,-0.4613498067987283,-1.0,-0.4613498067987283,2024-07
TSLA,2024-07-05,2024-08-09,290.0,8.556500190734864,0.28279998898506165,35,0.48,False,-1.0,-1.0,-0.5683398626364661,-1.0,-0.5683398626364661,-1.0,-0.5683398626364661,-1.0,-0.5683398626364661,-1.0,-0.5683398626364661,-1.0,-0.5683398626364661,-1.0,-0.5683398626364661,-1.0,-0.5683398626364661,2024-07
TSLA,2024-07-08,2024-08-09,295.0,8.156499618530274,0.26989999413490295,32,0.4583333333333333,False,-1.0,-1.0,-0.6207319255425909,-1.0,-0.6207319255425909,-1.0,-0.6207319255425909,-1.0,-0.6207319255425909,-1.0,-0.6207319255425909,-1.0,-0.6207319255425909,-1.0,-0.6207319255425909,-1.0,-0.6207319255425909,2024-07
TSLA,2024-07-09,2024-08-16,310.0,9.2565,0.2777999937534332,38,0.35714285714285715,False,-1.0,-1.0,-0.7317020461797934,-1.0,-0.7317020461797934,-1.0,-0.7317020461797934,-1.0,-0.7317020461797934,-1.0,-0.7317020461797934,-1.0,-0.7317020461797934,-1.0,-0.7317020461797934,-1.0,-0.7317020461797934,2024-07
TSLA,2024-11-07,2024-12-13,335.0,8.106500381469727,0.2809999883174896,36,0.84,False,5.33978894805913,1.2319741249084473,1.2319741249084473,1.2319741249084473,1.2319741249084473,5.33978894805913,5.33978894805913,5.33978894805913,5.33978894805913,1.2319741249084473,1.2319741249084473,1.2319741249084473,1.2319741249084473,3.1316843032836914,3.1316843032836914,3.1316843032836914,3.1316843032836914,2024-11
TSLA,2024-12-11,2025-01-17,490.0,13.806500190734864,0.27730000019073486,37,0.75,False,-0.7650744318962097,-0.7650744318962097,-0.9526672207150232,-0.7650744318962097,-0.9526672207150232,-0.7650744318962097,-0.9526672207150232,-0.7650744318962097,-0.9526672207150232,0.9297792911529541,0.9297792911529541,1.759098768234253,1.759098768234253,1.759098768234253,1.759098768234253,-0.7650744318962097,-0.9526672207150232,2024-12
TSLA,2024-12-16,2025-01-17,535.0,15.306500190734864,0.2802000045776367,32,0.5714285714285714,False,-0.9122268557548523,-0.9122268557548523,-0.9566524020238851,-0.9122268557548523,-0.9566524020238851,-0.9122268557548523,-0.9566524020238851,-0.9122268557548523,-0.9566524020238851,-0.9122268557548523,-0.9566524020238851,-0.9122268557548523,-0.9566524020238851,-0.9122268557548523,-0.9566524020238851,-0.9122268557548523,-0.9566524020238851,2024-12
TSLA,2024-12-17,2025-01-24,580.0,17.856500381469726,0.27549999952316284,38,0.375,False,-0.9113208055496216,-0.9113208055496216,-0.9113208075742629,-0.9113208055496216,-0.9113208075742629,-0.9113208055496216,-0.9113208075742629,-0.9113208055496216,-0.9113208075742629,-0.9113208055496216,-0.9113208075742629,-0.9113208055496216,-0.9113208075742629,-0.9113208055496216,-0.9113208075742629,-0.9113208055496216,-0.9113208075742629,2024-12
TSLA,2025-09-11,2025-10-17,415.0,9.606500381469727,0.27079999446868896,36,0.9615384615384616,False,0.2588871717453003,1.0656325817108154,1.0656325817108154,1.0656325817108154,1.0656325817108154,0.2588871717453003,1.508041370397946,0.2588871717453003,1.508041370397946,1.0656325817108154,1.0656325817108154,1.0656325817108154,1.0656325817108154,1.711028814315796,1.711028814315796,1.711028814315796,1.711028814315796,2025-09
TSLA,2025-09-12,2025-10-17,450.0,11.0065,0.27079999446868896,35,0.96,False,-0.7916231155395508,-0.7916231155395508,-0.97151683161337,-0.7916231155395508,-0.97151683161337,-0.7916231155395508,-0.97151683161337,-0.7916231155395508,-0.97151683161337,0.5893789529800415,0.5893789529800415,0.6711487770080566,0.6711487770080566,0.757461428642273,0.757461428642273,0.9573432207107544,0.9573432207107544,2025-09
TSLA,2025-09-17,2025-10-24,495.0,13.206499809265138,0.2694000005722046,37,0.9259259259259259,False,-0.765759289264679,-0.765759289264679,-0.8937265750280963,-0.765759289264679,-0.8937265750280963,-0.765759289264679,-0.8937265750280963,-0.765759289264679,-0.8937265750280963,0.2753946781158447,0.2753946781158447,0.2753946781158447,0.2753946781158447,-0.765759289264679,-0.8937265750280963,-0.765759289264679,-0.8937265750280963,2025-09
TSLA,2025-10-01,2025-11-07,535.0,14.556500190734864,0.2703999876976013,37,0.8518518518518519,False,-0.7428296804428101,-0.7428296804428101,-0.9695325124674298,-0.7428296804428101,-0.9695325124674298,-0.7428296804428101,-0.9695325124674298,-0.7428296804428101,-0.9695325124674298,-0.7428296804428101,-0.9695325124674298,-0.7428296804428101,-0.9695325124674298,-0.7428296804428101,-0.9695325124674298,-0.7428296804428101,-0.9695325124674298,2025-10
MOS,2019-11-04,2019-12-13,23.5,0.45649998807907105,0.2653999924659729,39,0.32142857142857145,False,-1.014238715171814,-1.014238715171814,-0.9485213582845105,-1.014238715171814,-0.9485213582845105,-1.014238715171814,-0.9485213582845105,-1.014238715171814,-0.9485213582845105,-1.014238715171814,-0.9485213582845105,-1.014238715171814,-0.9485213582845105,-1.014238715171814,-0.9485213582845105,-1.014238715171814,-0.9485213582845105,2019-11
MOS,2020-06-05,2020-07-10,16.0,0.39649998569488526,0.26409998536109924,35,0.625,False,-1.0163934230804443,-1.0163934230804443,-1.0,-1.0163934230804443,-1.0,-1.0163934230804443,-1.0,-1.0163934230804443,-1.0,-1.0163934230804443,-1.0,-1.0163934230804443,-1.0,-1.0163934230804443,-1.0,-1.0163934230804443,-1.0,2020-06
MOS,2020-08-05,2020-09-11,18.0,0.5264999809265136,0.2919999957084656,37,1.0,False,-0.6134853363037109,0.31718897819519043,0.31718897819519043,-0.6134853363037109,-0.6704653116088646,-0.6134853363037109,-0.6704653116088646,-0.6134853363037109,-0.6704653116088646,1.475783348083496,1.475783348083496,1.475783348083496,1.475783348083496,1.475783348083496,1.475783348083496,0.7730294466018677,0.7730294466018677,2020-08
MOS,2020-08-07,2020-09-11,19.0,0.5164999904632568,0.28110000491142273,35,0.9166666666666666,False,-0.9351403713226318,0.7299128770828247,0.7299128770828247,-0.9351403713226318,-0.9738625366849343,-0.9351403713226318,-0.9738625366849343,-0.9351403713226318,-0.9738625366849343,0.7299128770828247,0.7299128770828247,0.12971925735473633,0.12971925735473633,-0.9351403713226318,-0.9738625366849343,-0.9351403713226318,-0.9738625366849343,2020-08
MOS,2020-08-10,2020-09-11,20.5,0.5065,0.27379998564720154,32,0.8260869565217391,False,-1.0,-1.0,-0.9733464964403452,-1.0,-0.9733464964403452,-1.0,-0.9733464964403452,-1.0,-0.9733464964403452,-1.0,-0.9733464964403452,-1.0,-0.9733464964403452,-1.0,-0.9733464964403452,-1.0,-0.9733464964403452,2020-08
MOS,2020-09-17,2020-10-23,21.5,0.5764999928474426,0.27900001406669617,36,0.8076923076923077,False,-0.7163920402526855,-0.7163920402526855,-1.0,-0.7163920402526855,-1.0,-0.7163920402526855,-1.0,-0.7163920402526855,-1.0,-0.7163920402526855,-1.0,-0.7163920402526855,-1.0,-0.7163920402526855,-1.0,-0.7163920402526855,-1.0,2020-09
MOS,2021-01-05,2021-02-12,27.5,0.7164999785423278,0.2773999869823456,38,0.9629629629629629,False,0.23307740688323975,0.31681787967681885,0.31681787967681885,0.23307740688323975,-0.3112351503429305,0.23307740688323975,-0.3112351503429305,0.23307740688323975,-0.3112351503429305,0.31681787967681885,0.31681787967681885,1.028611421585083,1.028611421585083,1.028611421585083,1.028611421585083,2.047452926635742,2.047452926635742,2021-01
MOS,2021-01-06,2021-02-12,29.0,0.7864999713897705,0.27459999918937683,37,1.0,False,-0.41068023443222046,0.7972028255462646,0.7972028255462646,-0.41068023443222046,-0.9446916690051594,-0.41068023443222046,-0.9446916690051594,-0.41068023443222046,-0.9446916690051594,0.7972028255462646,0.7972028255462646,0.7972028255462646,0.7972028255462646,0.7972028255462646,0.7972028255462646,1.0896377563476562,1.0896377563476562,2021-01
MOS,2021-01-12,2021-02-12,31.5,0.9765000286102294,0.2770000100135803,31,0.7727272727272727,False,-0.8735278844833374,-0.8735278844833374,-0.9554531495437149,-0.8735278844833374,-0.9554531495437149,-0.8735278844833374,-0.9554531495437149,-0.8735278844833374,-0.9554531495437149,-0.8735278844833374,-0.9554531495437149,-0.8735278844833374,-0.9554531495437149,-0.8735278844833374,-0.9554531495437149,-0.8735278844833374,-0.9554531495437149,2021-01
MOS,2021-04-27,2021-06-04,40.0,1.0865000429153442,0.2793000042438507,38,0.8888888888888888,False,-0.8863322734832764,-0.8863322734832764,-0.9691670522018189,-0.8863322734832764,-0.9691670522018189,-0.8863322734832764,-0.9691670522018189,-0.8863322734832764,-0.9691670522018189,-0.8863322734832764,-0.9691670522018189,-0.8863322734832764,-0.9691670522018189,-0.8863322734832764,-0.9691670522018189,-0.8863322734832764,-0.9691670522018189,2021-04
MOS,2021-09-23,2021-10-29,38.0,0.6265000047683715,0.263700008392334,36,0.8076923076923077,False,5.37430162746203,1.60734224319458,1.60734224319458,5.37430162746203,5.37430162746203,5.37430162746203,5.37430162746203,5.37430162746203,5.37430162746203,0.9050279855728149,0.9050279855728149,1.60734224319458,1.60734224319458,1.60734224319458,1.60734224319458,2.086193084716797,2.086193084716797,2021-09
MOS,2021-09-24,2021-11-05,40.0,0.8565000238418579,0.2653000056743622,42,0.9666666666666667,False,-0.8791593909263611,0.6269701719284058,0.6269701719284058,-0.8791593909263611,-0.925861064179319,-0.8791593909263611,-0.925861064179319,-0.8791593909263611,-0.925861064179319,0.6269701719284058,0.6269701719284058,0.7670751810073853,0.7670751810073853,1.2340919971466064,1.2340919971466064,1.2340919971466064,1.2340919971466064,2021-09
MOS,2021-10-01,2021-10-29,41.0,0.7864999713897705,0.2800999879837036,28,0.95,False,0.12333123691500303,0.12333123691500303,0.12333123691500303,0.12333123691500303,0.12333123691500303,0.12333123691500303,0.12333123691500303,0.12333123691500303,0.12333123691500303,0.5047680139541626,0.5047680139541626,0.5047680139541626,0.5047680139541626,1.649078130722046,1.649078130722046,1.649078130722046,1.649078130722046,2021-10
MOS,2021-10-07,2021-11-19,44.0,1.0065,0.2721000015735626,43,0.7096774193548387,False,-0.8872330188751221,-0.8872330188751221,-0.7779433727264404,-0.8872330188751221,-0.9170392413549143,-0.8872330188751221,-0.9170392413549143,-0.8872330188751221,-0.9170392413549143,0.742175817489624,0.742175817489624,0.4639841318130493,0.4639841318130493,-0.8872330188751221,-0.9170392413549143,-0.8872330188751221,-0.9170392413549143,2021-10
MOS,2021-10-08,2021-11-12,45.0,0.8765000047683715,0.2558000087738037,35,0.72,False,-1.0,-1.0,-0.9275527596473694,-1.0,-0.9617798072747493,-1.0,-0.9617798072747493,-1.0,-0.9617798072747493,0.11066746711730957,0.11066746711730957,-1.0,-0.9617798072747493,-1.0,-0.9617798072747493,-1.0,-0.9617798072747493,2021-10
MOS,2021-10-11,2021-11-19,47.0,1.0065,0.263700008392334,39,0.6206896551724138,False,-0.9766517877578735,-0.9766517877578735,-0.9170392155647278,-0.9766517877578735,-0.946845505554997,-0.9766517877578735,-0.946845505554997,-0.9766517877578735,-0.946845505554997,-0.9766517877578735,-0.946845505554997,-0.9766517877578735,-0.946845505554997,-0.9766517877578735,-0.946845505554997,-0.9766517877578735,-0.946845505554997,2021-10
MOS,2021-10-20,2021-11-19,46.0,0.9464999976158142,0.28679999709129333,30,0.5,False,-0.9329107403755188,-0.9329107403755188,-0.8800845146179199,-0.9329107403755188,-0.9223454850533508,-0.9329107403755188,-0.9223454850533508,-0.9329107403755188,-0.9223454850533508,-0.9329107403755188,-0.9223454850533508,-0.9329107403755188,-0.9223454850533508,-0.9329107403755188,-0.9223454850533508,-0.9329107403755188,-0.9223454850533508,2021-10
MOS,2022-01-12,2022-02-18,46.0,0.9464999976158142,0.2736999988555908,37,1.0,False,-0.5419968366622925,-0.5419968366622925,-0.1827787160873413,-0.5419968366622925,-0.1827787160873413,-0.5419968366622925,-0.9963021661011106,-0.5419968366622925,-0.9963021661011106,-0.5419968366622925,0.10248279571533203,-0.5419968366622925,-0.03486526012420654,-0.5419968366622925,0.1870046854019165,-0.5419968366622925,0.1870046854019165,2022-01
MOS,2022-01-14,2022-02-18,47.0,1.0765000524520874,0.29260000586509705,35,0.9583333333333334,False,-0.6901997327804565,-0.6901997327804565,-0.4672550559043884,-0.6901997327804565,-0.4672550559043884,-0.6901997327804565,-0.820250818809092,-0.6901997327804565,-0.820250818809092,-0.6901997327804565,-0.3093358278274536,-0.6901997327804565,-0.3093358278274536,-0.6901997327804565,0.32234084606170654,-0.6901997327804565,-0.820250818809092,2022-01
MOS,2022-02-02,2022-03-11,50.0,1.1065000238418579,0.2624000012874603,37,0.9230769230769231,False,5.817442411382169,0.3407139778137207,0.3407139778137207,5.817442411382169,5.817442411382169,5.817442411382169,5.817442411382169,5.817442411382169,5.817442411382169,0.3407139778137207,0.3407139778137207,0.3407139778137207,0.3407139778137207,0.3407139778137207,0.3407139778137207,2.066877603530884,2.066877603530884,2022-02
MOS,2022-02-08,2022-03-18,50.0,1.2565,0.2849999964237213,38,0.9259259259259259,False,4.764822920811779,0.5785913467407227,0.5785913467407227,4.764822920811779,4.764822920811779,4.764822920811779,4.764822920811779,4.764822920811779,4.764822920811779,0.5785913467407227,0.5785913467407227,0.5785913467407227,0.5785913467407227,2.098686933517456,2.098686933517456,2.098686933517456,2.098686933517456,2022-02
MOS,2022-02-10,2022-03-11,51.0,1.1764999570846557,0.26570001244544983,29,0.9,False,4.6043350149974795,-0.05354863405227661,-0.05354863405227661,4.6043350149974795,4.6043350149974795,4.6043350149974795,4.6043350149974795,4.6043350149974795,4.6043350149974795,-0.05354863405227661,-0.05354863405227661,1.2809181213378906,1.2809181213378906,1.2809181213378906,1.2809181213378906,1.2809181213378906,1.2809181213378906,2022-02
MOS,2022-02-28,2022-04-08,60.0,1.3665000143051147,0.2535000145435333,39,0.9310344827586207,False,5.43505312746483,5.43505312746483,5.43505312746483,5.43505312746483,5.43505312746483,5.43505312746483,5.43505312746483,5.43505312746483,5.43505312746483,2.1053788661956787,2.1053788661956787,2.1053788661956787,2.1053788661956787,2.1053788661956787,2.1053788661956787,2.873765230178833,2.873765230178833,2022-02
MOS,2022-03-04,2022-04-08,70.0,1.5564999523162841,0.23649999499320984,35,0.96,False,0.46064891811046493,0.46064891811046493,0.46064891811046493,0.46064891811046493,0.46064891811046493,0.46064891811046493,0.46064891811046493,0.46064891811046493,0.46064891811046493,0.7626084089279175,0.7626084089279175,0.7626084089279175,0.7626084089279175,0.46064889430999756,0.46064889430999756,1.56569242477417,1.56569242477417,2022-03
MOS,2022-08-24,2022-09-30,70.0,1.1764999570846557,0.2687999904155731,37,0.4230769230769231,False,-0.8015299439430237,-0.8015299439430237,-0.8950276245333157,-0.8015299439430237,-0.8950276245333157,-0.8015299439430237,-0.8950276245333157,-0.8015299439430237,-0.8950276245333157,-0.8015299439430237,-0.8950276245333157,-0.8015299439430237,-0.8950276245333157,-0.8015299439430237,-0.8950276245333157,-0.8015299439430237,-0.8950276245333157,2022-08
MOS,2023-07-20,2023-08-25,42.0,0.9765000286102294,0.3010999858379364,36,0.8846153846153846,False,-0.8120839595794678,-0.8120839595794678,-0.986175116070218,-0.8120839595794678,-0.986175116070218,-0.8120839595794678,-0.986175116070218,-0.8120839595794678,-0.986175116070218,0.34511005878448486,0.34511005878448486,0.19150018692016602,0.19150018692016602,0.28366613388061523,0.28366613388061523,0.5294418334960938,0.5294418334960938,2023-07
MOS,2025-05-07,2025-06-13,34.0,0.6665000262260437,0.26980000734329224,37,0.8846153846153846,False,0.25056254863739014,0.25056254863739014,-0.31957990922742197,0.25056254863739014,-0.31957990922742197,0.25056254863739014,-0.31957990922742197,0.25056254863739014,-0.31957990922742197,0.7606899738311768,0.7606899738311768,0.7606899738311768,0.7606899738311768,1.3758440017700195,1.3758440017700195,1.8559637069702148,1.8559637069702148,2025-05
MOS,2025-05-13,2025-06-13,36.0,0.49650000953674317,0.2800000011920929,31,1.0,False,-0.9123867154121399,-0.9123867154121399,-1.0,-0.9123867154121399,-1.0,-0.9123867154121399,-1.0,-0.9123867154121399,-1.0,0.6384692192077637,0.6384692192077637,0.9808659553527832,0.9808659553527832,-0.9123867154121399,-1.0,-0.9123867154121399,-1.0,2025-05
