feature,dir,N,dates,sel_meanR,day_meanR,delta,t,h1,h2,both_halves,passes,ext_vs_day
gap_ADR,asc,1,1442,0.08887726383520325,0.05027404553340273,0.03860321830180054,1.1469812458170032,0.020299149867654125,0.056907286735946964,True,False,-0.13893851579461325
adr_pct,asc,5,1100,0.06786431385112886,0.05137487641622964,0.016489437434899216,1.014810365339933,0.052158085607392844,-0.019179210737594415,False,False,-0.005873285682857721
adr_pct,desc,5,1100,0.06939861334034039,0.05137487641622964,0.01802373692411073,0.98964581987962,0.0075356340665756446,0.028511839781645818,True,False,0.016278224161690114
adr_pct,asc,2,1442,0.07300447243299417,0.05027404553340273,0.02273042689959143,0.9722964471832173,0.08965743753767673,-0.04419658373849386,False,False,-0.029994682580862186
gap_ADR,desc,5,1100,0.06691831264401125,0.05137487641622964,0.015543436227781614,0.92838179786245,0.028442479686528126,0.0026443927690350997,True,False,0.5106999684040359
gap_ADR,asc,2,1442,0.07131692797611071,0.05027404553340273,0.021042882442707977,0.9085373205847467,0.01131126090666805,0.03077450397874789,True,False,-0.15819326324278238
pct_off_52w_high,asc,3,1344,0.06698827097606379,0.049356489444877936,0.017631781531185838,0.8637018973703671,0.04101287162143172,-0.00574930855906004,False,False,-0.016412751427476113
sma_stacked,asc,3,1359,0.06149089191974796,0.04857608704379682,0.012914804875951143,0.7138233523817543,0.029786575804013584,-0.0039321546242759055,False,False,0.011849241351775008
adr_pct,asc,3,1359,0.06194402203711222,0.04857608704379682,0.0133679349933154,0.6999489883335323,0.0548844699406326,-0.028087546226138075,False,False,-0.024542996031985287
gap_ADR,asc,5,1100,0.06274269165448691,0.05137487641622964,0.01136781523825727,0.6957667650754004,0.01635684440899419,0.006378786067520343,True,False,-0.1612001370974649
rvol20,desc,5,1100,0.06293758149193313,0.05137487641622964,0.011562705075703485,0.6611055729185432,0.013602713800264475,0.009522696351142492,True,False,0.6456777334689239
ext_above_level_ADR,desc,5,1100,0.0623524148825906,0.05137487641622964,0.010977538466360938,0.6425110433160018,0.017797474211278363,0.004157602721443516,True,False,0.9546389023265498
