ticker,date,index,kind,ext,adr,r1,r3,r5,r10,overnight
AXON,2024-12-20,NDX,rebalance,0.1781485686779622,3.8528793206058856,-1.1952045724625937,-1.2490326929258888,-4.332820689168059,-11.027556693204543,0.46700314958758593
PLTR,2024-12-20,NDX,rebalance,2.286833569085101,6.010962019088921,0.17380432569131798,1.973924615333611,-4.183740060713115,-13.109875590200659,0.124144593833031
MSTR,2024-12-20,NDX,rebalance,-0.15690515610587147,12.124401082272293,-8.778143917944082,-6.356404074171962,-16.81494198224819,-6.252064461301076,-1.7023646346027044
WDAY,2024-12-20,SP500,rebalance,0.5297451158238237,3.3852233054751864,-2.8017849608387158,-1.340464235118577,-4.04336661273782,-8.55552854456394,-1.073111302982288
LII,2024-12-20,SP500,replacement,-1.0336571983688525,2.6828141685911744,-0.512495264232371,0.21647953283967514,-2.2744527379034762,-2.521606708267332,0.6557781165572152
APO,2024-12-20,SP500,rebalance,-0.10475232496002136,2.883086823048535,0.3508132584948864,1.9528702440751111,-2.64282558303901,-5.016664408467775,-0.22803573959974122
TPL,2024-11-25,SP500,replacement,4.161362658414829,4.093084852162513,-2.6164824498180583,-0.8618486663647174,-2.63313259447695,-19.616647344772396,0.0495625932402044
APP,2024-11-15,NDX,rebalance,5.499705870934468,5.810034040167405,2.373837558501468,11.724897905180898,14.504105861369121,17.005050198475914,0.6905114538157564
PLTR,2024-09-20,SP500,rebalance,2.543864991435996,3.754116282647282,2.0161289909090163,-0.21505868122021488,-0.9677435563663073,7.553756723019256,-0.9139788860612508
DELL,2024-09-20,SP500,rebalance,1.2110037618290352,3.746620234961183,0.05956889581013591,2.27232204938963,2.314877956073813,2.485094887419348,0.042550477082725635
ERIE,2024-09-20,SP500,rebalance,1.2111842154642674,2.5366657279850857,3.31475341736045,3.4433281248475334,3.4529163772867077,4.193781612216774,1.063348424434185
SMCI,2024-07-19,NDX,rebalance,-0.9776200412700106,6.659548449384829,-1.3178079686466893,-10.695553381966194,-10.616480690722652,-21.603204081368844,1.207357073333748
GDDY,2024-06-21,SP500,rebalance,-0.003898442457542252,1.8056279922156682,0.5448205579311916,1.569085867098452,1.4891784085591109,4.351293095326092,-0.46491309939183934
CRWD,2024-06-21,SP500,rebalance,1.1561728296157803,4.299992785644512,-0.7093534856408734,-0.06831037025182285,0.6725685116132363,2.6482375122710122,-1.4528541387585636
KKR,2024-06-21,SP500,rebalance,0.6789001188347625,2.9933264951029104,-1.2405740436232882,-2.7936115545990847,-3.2898369054618293,-3.4460650836492746,-0.27568203662995394
VST,2024-05-07,SP500,replacement,1.863801898656089,5.205512156763117,9.126508857454962,14.289204432369873,11.903612732136203,15.292401685485068,0.048946933595872544
CPAY,2024-03-22,SP500,other,1.5649002333158526,1.9935456750092582,1.450898158278413,0.7452282448297431,0.8705348696980142,1.1870920892997905,5.500228232753934
SMCI,2024-03-15,SP500,rebalance,0.6466733205636409,11.088042537665576,-6.376133000708317,-16.12604393531215,-8.990205054917178,-2.963995023615984,3.5711886809463023
DECK,2024-03-15,SP500,rebalance,0.777110160651899,2.364815741824877,-0.10331632627390563,0.5913393003954104,1.3893213162904594,2.2752233421840407,0.6814731597930335
LIN,2024-03-15,NDX,replacement,2.2913208243580763,1.3324842586805075,-0.45279415143524293,-0.3075601967948982,0.002134011477750164,-1.0315555671344234,0.08754472808683023
CCEP,2023-12-15,NDX,rebalance,2.1442026433341814,1.599517298453158,0.7110838970298738,-0.3400767654322734,1.9323018136945258,2.7825000177706505,0.06183647049760044
ROP,2023-12-15,NDX,rebalance,1.2688454212149893,1.2423512586874108,0.26219603158479377,-1.220576445399979,0.24003150348883562,-1.3036761994426271,0.5336449482262529
MDB,2023-12-15,NDX,rebalance,1.1947106407593107,3.865736290231375,-1.7683373291552784,-4.402979605583357,-3.0202065915845844,-8.682202399149164,-2.6108481971881314
DASH,2023-12-15,NDX,rebalance,1.7904542049604386,2.672823499307114,1.1223780575698283,-2.8059451439245486,-1.0239252915744013,-5.031013710450916,0.9943902129222248
CDW,2023-12-15,NDX,rebalance,2.356895654719265,1.6561328322427626,0.2060561767379676,-0.3673224915681339,1.5230905532243044,-1.146792980303013,0.7928937086576937
BLDR,2023-12-15,SP500,rebalance,3.6672778920207763,3.3943384272743993,-1.4706784015969587,-0.6584161599886618,2.9105969763165263,1.766051610970809,1.6122149187977275
JBL,2023-12-15,SP500,rebalance,2.644624725091826,2.7150353819678887,-2.0314389414943235,-3.2503288472707337,-3.7845102117189056,-3.5888923879256573,1.075919324305108
UBER,2023-12-15,SP500,rebalance,2.4749512802584674,2.3588052166706275,-0.21015368062166084,-1.9075336138589027,-0.24248549046054224,-5.6256054120600645,0.24247932379835024
TTWO,2023-12-13,NDX,replacement,3.025114856575776,1.773620967042182,0.4720477535005818,-2.7893501282292066,-3.163308336058568,-1.0115215460244409,0.10421663440045581
HUBB,2023-10-17,SP500,rebalance,-0.9348460362650742,2.826929036830801,-3.2437714596124767,-6.601013316047444,-5.803428626591156,-9.86149837235607,-0.3403796385772151
LULU,2023-10-17,SP500,other,3.2117402369130112,2.3606035306394957,-1.7750804103518258,-4.145879550532705,-2.317529730139589,-4.712546941450501,-0.22279590795152293
BX,2023-09-15,SP500,rebalance,2.626582217944792,2.152711866449347,0.5097162117560616,0.3778877127121216,-2.293700826601719,-5.844101773607379,-0.21090925507308844
ABNB,2023-09-15,SP500,rebalance,0.9506752312770995,2.6316538385095,-0.14010294097526188,-3.320494215876746,-7.39054504501423,-3.8809059797778045,-0.5744359539185617
KVUE,2023-08-24,SP500,other,0.10727926108977438,2.7862320751277703,-2.0886521850845274,-2.5575430611720518,-1.7476531972051124,-9.20717528104995,-1.1082537261627112
TTD,2023-07-14,NDX,replacement,3.975575371236741,2.880126796716196,3.056820956143458,0.3522699529474371,-4.3636322021484375,2.784087441184302,-0.29545697298917206
ON,2023-06-16,NDX,rebalance,0.7547439423773928,3.7340055628002897,-0.8541367270414213,-1.331119863921737,-1.697169998225312,7.409872647931337,-0.665555700460918
PANW,2023-06-16,SP500,rebalance,3.588998269580627,3.1729289555222016,-1.99975366089008,1.0627490082993907,-1.1073685722049031,3.28966075143331,-0.9410587258821268
GEHC,2023-06-06,NDX,other,1.820628299215328,2.4579697935678513,-2.9542907542977503,-7.03001193949987,-6.1979751511124785,-3.9912954329609063,-1.736402717993235
AXON,2023-05-03,SP500,other,0.22228385268295597,2.3089787293694664,-0.8058668688645021,0.44367788205139647,-12.744480502075495,-10.50344607667859,-0.6247758295481076
FICO,2023-03-17,SP500,rebalance,-1.529111906328896,2.501630803393906,4.215651089968753,3.6278147123484983,5.496686698904263,7.2907441631299585,-0.0671820990878702
BG,2023-03-14,SP500,other,3.850556939669282,2.030315231505103,-7.484221101023403,-11.957568482972746,-7.092329038115286,-7.665843380044457,-2.7241407281659913
PODD,2023-03-14,SP500,other,1.769212519234803,4.174189807904089,-1.5602438010831832,-1.176581131516552,4.239540311217449,-0.4731849348517003,-1.0135188865635358
STLD,2022-12-21,SP500,replacement,0.1454211854908854,3.531448919972143,-1.8794093990886607,-1.8317065100282415,-5.794592357513617,-1.6974476306324204,-0.16217687461409502
GFS,2022-12-16,NDX,rebalance,-1.1931430543866708,3.9993311644046887,-3.265035024178342,-4.214559899003801,-8.81225929289553,-13.876394079901056,-0.6663320966666997
FANG,2022-12-16,NDX,rebalance,-1.3233199959072008,3.65357224441441,-0.550916320737993,1.9952108129108748,2.017563933001676,-2.188811231863219,0.2605759350719161
BKR,2022-12-16,NDX,rebalance,-0.27851252896961765,2.933583989809222,-0.38773773574789505,3.4543615571224207,2.5731467253078177,1.3394357479281638,1.1631981538479108
FSLR,2022-12-16,SP500,rebalance,-0.4474828374195053,4.015908861780371,1.089761685228341,4.50089995171854,1.0768623608636618,-5.893731804056602,0.58034168549006
WBD,2022-12-16,NDX,rebalance,-1.736775252832302,5.313447004804363,-6.659938017904832,-8.77901008027031,-7.467202648962779,-3.7336013244813837,-1.0090759771456903
RIVN,2022-12-16,NDX,rebalance,-3.1916204122633394,5.904645427121321,-2.00177430940488,-6.450172976500756,-14.857652226871998,-22.864766433785732,0.2224250241430692
CSGP,2022-12-16,NDX,rebalance,-1.2352253844494128,2.4689126467352818,-1.0515512432987206,-0.0512963757442364,-1.397799333626526,-0.42318776205252373,-1.102847619042957
ENPH,2022-11-18,NDX,rebalance,1.0134922185197788,6.5718849517155355,-1.2310047790718759,1.2310047790718759,0.08655158413759523,7.655319835838648,-1.1668957555776238
ACGL,2022-10-31,SP500,replacement,5.178705048257142,3.0608997955447794,-3.582615417674817,-1.6869622609389734,0.8869502607938617,-1.9826123478702495,0.0347789085242356
TRGP,2022-10-11,SP500,replacement,0.4251902761227252,4.133117268068025,-1.5338187781771984,-1.3515635369873324,1.958986152180886,1.3211845016076973,-0.820073744462757
PCG,2022-09-30,SP500,replacement,-0.40258099650274926,3.432268027848142,4.8799850525176325,17.999987114239335,19.43998639387874,10.639982171075246,0.959987339593571
EQT,2022-09-30,SP500,replacement,-1.3610662978006796,5.217566650457423,2.4539608142084557,11.263805800148297,5.938625668390807,0.9325162264989917,0.12267121086313448
CSGP,2022-09-16,SP500,rebalance,-1.6454699971043956,2.5075479081838004,2.2995071919906573,-1.1355506841980612,-1.2491090014730255,-1.1355506841980612,-0.7664915678130324
INVH,2022-09-16,SP500,rebalance,-1.311323068883959,2.271172642061301,-0.3526822557804232,-5.398828393332822,-4.964741895625147,-8.383094923430711,-1.4378632936196345
