entry,month,year,n,ex,n_deep,ex_deep,ex_10d
2021-10-29,11,2021,75,-2.3874737278481764,,,
2021-11-30,12,2021,76,2.3950528503786472,,,
2021-12-31,1,2022,77,2.6406139137067774,21.0,-1.3830474489917663,1.7081439358923716
2022-01-31,2,2022,80,-6.039505769720752,,,
2022-02-28,3,2022,82,-1.4617685307093673,,,
2022-03-31,4,2022,85,-5.846598953560133,,,
2022-04-29,5,2022,83,-2.6960036191546797,,,
2022-05-31,6,2022,81,-1.0178345192568425,,,
2022-06-30,7,2022,82,1.568126163249617,,,
2022-07-29,8,2022,79,-5.1171608825554715,,,
2022-08-31,9,2022,75,-0.028222001131587054,,,
2022-09-30,10,2022,76,-0.6813644986186347,,,
2022-10-31,11,2022,76,-8.492267948071138,,,
2022-11-30,12,2022,79,1.5274538010034286,,,
2022-12-30,1,2023,78,7.762858074125311,139.0,8.984700299328452,2.433973972975681
2023-01-31,2,2023,76,-3.13931826246279,,,
2023-02-28,3,2023,80,0.04285265369017015,,,
2023-03-31,4,2023,84,-3.277353756646756,,,
2023-04-28,5,2023,82,1.6949235195338848,,,
2023-05-31,6,2023,80,1.2735327510858245,,,
2023-06-30,7,2023,83,4.7945683252215385,,,
2023-07-31,8,2023,83,0.5184438562355471,,,
2023-08-31,9,2023,83,-0.7801070538771784,,,
2023-09-29,10,2023,84,-2.1705609021581944,,,
2023-10-31,11,2023,82,-1.8447336761094921,,,
2023-11-30,12,2023,82,2.8697365026210324,,,
2023-12-29,1,2024,86,-2.711819670026188,9.0,-0.5103393844968783,-0.9946310973327137
2024-01-31,2,2024,85,-8.10027512971213,,,
2024-02-29,3,2024,87,2.5708020516030303,,,
2024-03-28,4,2024,91,-0.03170339609701498,,,
2024-04-30,5,2024,91,1.457256362064652,,,
2024-05-31,6,2024,89,-0.1528780451506179,,,
2024-06-28,7,2024,92,1.2254867995494405,,,
2024-07-31,8,2024,93,-2.0162629330155135,,,
2024-08-30,9,2024,94,-2.546843190358291,,,
2024-09-30,10,2024,96,-3.0925661776921594,,,
2024-10-31,11,2024,93,-3.0791989650945526,,,
2024-11-29,12,2024,100,1.1276041374120498,,,
2024-12-31,1,2025,101,-3.4893487140990795,34.0,-1.59902940902188,-2.04269654912687
2025-01-31,2,2025,100,2.0125855422690075,,,
2025-02-28,3,2025,105,3.0910867961699404,,,
2025-03-31,4,2025,109,-5.155787414254141,,,
2025-04-30,5,2025,111,-4.301749603439962,,,
2025-05-30,6,2025,110,-2.3765581107732463,,,
2025-06-30,7,2025,109,2.0818463461350225,,,
2025-07-31,8,2025,112,-0.9290550621723126,,,
2025-08-29,9,2025,117,-5.2992315051392005,,,
2025-09-30,10,2025,118,-3.2163242427823655,,,
2025-10-31,11,2025,119,-0.37994943091288724,,,
2025-11-28,12,2025,121,3.1711293300645167,,,
2025-12-31,1,2026,121,-2.593110973127857,44.0,-2.003332899067041,-0.4305688177483707
2026-01-30,2,2026,122,-9.021993675851299,,,
2026-02-27,3,2026,128,2.4679824380335456,,,
2026-03-31,4,2026,132,-6.510330872289174,,,
2026-04-30,5,2026,130,-2.1763069857396147,,,
2026-05-29,6,2026,132,-5.089226690720829,,,
2026-06-30,7,2026,138,14.646079653018077,,,
2026-07-31,8,2026,139,9.407423791563135,,,
2026-08-31,9,2026,139,-3.3788933172111726,,,
