ticker,entry,expiry,S,ks,kl,credit,width,maxloss,cost,ba_s,ba_l,iv30,rv21,log_ivrv,put_skew,ff,trend_z,vix,ST,roc_hold,ivp,skew_z,roc_mgd
TLT,2020-01-31,2020-02-28,145.76,143.0,140.5,0.59,2.5,1.9100000000000001,0.038000000000000006,0.050000000000000044,0.04999999999999999,0.15424519178296028,0.12113340337204649,0.24165104522530217,-0.06412892434331507,-0.02354479082203124,0.8700705874304169,18.84,155.16097052775874,0.2890052356020942,0.8846153846153846,-0.6731607179301387,-0.3643979057591623
TLT,2020-02-07,2020-03-06,144.325,142.0,139.5,0.5800000000000001,2.5,1.92,0.038000000000000006,0.050000000000000044,0.04999999999999999,0.13942846931227285,0.1283922079673225,0.08246200116436385,-0.0546459426157998,0.09939728273340359,0.5973512715407446,15.47,166.64875891435295,0.2822916666666667,0.75,-0.3334578295238169,0.1114583333333334
TLT,2020-02-14,2020-03-13,144.5,142.5,140.0,0.595,2.5,1.905,0.0455,0.07999999999999996,0.050000000000000044,0.12788935986265987,0.1288212558197887,-0.007260315652863769,-0.04649929608295855,-0.06425744561709064,0.5625044284916196,13.68,153.88675198893114,0.2884514435695538,0.6153846153846154,-0.04583380169694618,0.11233595800524933
TLT,2020-02-21,2020-03-20,148.135,145.0,142.0,0.6199999999999999,3.0,2.38,0.023000000000000007,0.030000000000000027,0.010000000000000009,0.15447814188242326,0.12359813979781686,0.22301711510902766,-0.03291232557225865,0.030329537895455567,0.9422674356762538,17.08,159.53230917319644,0.2508403361344537,0.9038461538461539,0.3997573347274858,0.11932773109243693
TLT,2020-02-28,2020-03-27,155.8,151.5,146.5,1.2149999999999999,5.0,3.785,0.06050000000000001,0.10000000000000009,0.08999999999999997,0.23768991529632036,0.13748735430102718,0.5474350031257725,-0.05121329408927611,0.2741028813790489,1.4771402930885056,40.11,168.2290902066834,0.30501981505944514,1.0,-0.24700257331901876,0.14768824306472914
TLT,2020-03-06,2020-04-03,166.1,158.0,150.0,2.285,8.0,5.715,0.6255,1.7399999999999998,0.71,0.42601567888853203,0.21679368954970193,0.6755299885959491,-0.06669402187367046,0.843991988086506,1.519570045720193,41.94,167.82304970918028,0.29037620297462824,1.0,-0.7822293094162863,-0.8470691163604548
TLT,2020-03-13,2020-04-09,155.275,148.0,140.0,1.7349999999999999,8.0,6.265000000000001,1.4255,3.4200000000000004,2.23,0.38725676598123326,0.35383707174404977,0.09025139313729386,0.07271711376189227,0.5871624364654168,0.3198643733959219,57.83,166.82429680394958,0.04940143655227452,0.9807692307692307,4.027165999603875,-0.8405426975259377
TLT,2020-03-20,2020-04-17,156.2,148.0,138.0,1.985,10.0,8.015,0.0805,0.10000000000000009,0.16999999999999993,0.4130051454584802,0.5913690130094753,-0.358980158431548,0.0408452950569036,-0.0018189714151847802,0.2830916811016029,66.04,164.4102239227247,0.23761696818465378,0.9807692307692307,2.5082530884071916,0.1414847161572052
TLT,2020-03-27,2020-04-24,167.35,162.0,155.5,1.1300000000000001,6.5,5.37,0.32299999999999995,0.42999999999999994,0.8099999999999999,0.2425438144151642,0.6132513547831097,-0.9275925202639136,0.021985940094303658,-0.06951807225863335,0.39415006281167736,65.54,170.4834466308885,0.15027932960893858,0.9423076923076923,1.7840836778177087,0.03240223463687154
TLT,2020-04-03,2020-05-01,168.85,164.0,158.0,1.15,6.0,4.85,0.12799999999999997,0.2999999999999998,0.16000000000000003,0.22439470470784745,0.6038596636889481,-0.9899352502412102,0.004769171180360798,-0.01858741905926487,0.35077310134204986,46.8,168.29885756676558,0.2107216494845361,0.9038461538461539,1.215350897592723,0.10288659793814431
