ticker,edate,year,ivp,credit,pnl,days,exit,mark_cov,roc,win
TLT,2020-06-19,2020,73.01587301587301,4.8950000000000005,2.6900000000000004,17,profit_take,0.5882352941176471,0.5495403472931563,1
TQQQ,2020-06-19,2020,76.5873015873016,14.100000000000001,-7.625,21,expiry_loss,0.6190476190476191,-0.5407801418439716,0
UNG,2020-06-19,2020,75.0,1.135,0.585,17,profit_take,0.5882352941176471,0.5154185022026432,1
UPRO,2020-06-19,2020,82.53968253968253,6.825,3.6750000000000003,13,profit_take,0.6923076923076923,0.5384615384615384,1
USO,2020-06-19,2020,86.11111111111111,2.65,1.335,13,profit_take,0.6923076923076923,0.5037735849056604,1
XBI,2020-06-19,2020,71.42857142857143,7.425000000000001,0.9250000000000007,21,expiry_win,0.5714285714285714,0.12457912457912466,1
XLB,2020-06-19,2020,80.15873015873017,3.55,2.175,19,profit_take,0.631578947368421,0.6126760563380281,1
XLE,2020-06-19,2020,78.57142857142857,3.67,-0.9550000000000001,21,expiry_loss,0.5714285714285714,-0.26021798365122617,0
XLF,2020-06-19,2020,81.34920634920636,1.9100000000000001,1.0950000000000002,17,profit_take,0.5882352941176471,0.5732984293193718,1
XLI,2020-06-19,2020,90.07936507936508,4.619999999999999,2.439999999999999,13,profit_take,0.6923076923076923,0.528138528138528,1
XLP,2020-06-19,2020,79.76190476190477,2.195,1.17,13,profit_take,0.6923076923076923,0.5330296127562643,1
XLU,2020-06-19,2020,80.95238095238095,2.895,1.6600000000000001,13,profit_take,0.6923076923076923,0.5734024179620035,1
XOP,2020-06-19,2020,86.90476190476191,7.0249999999999995,-0.8750000000000009,21,expiry_loss,0.5714285714285714,-0.1245551601423489,0
XRT,2020-06-19,2020,92.06349206349206,3.585,1.825,18,profit_take,0.6111111111111112,0.509065550906555,1
DIA,2020-06-26,2020,82.14285714285714,16.200000000000003,1.1500000000000021,21,expiry_win,0.6190476190476191,0.07098765432098778,1
EEM,2020-06-26,2020,75.39682539682539,2.16,-0.5350000000000001,21,expiry_loss,0.5238095238095238,-0.24768518518518523,0
EFA,2020-06-26,2020,78.57142857142857,3.1,0.10000000000000009,21,expiry_win,0.5714285714285714,0.03225806451612906,1
EWZ,2020-06-26,2020,85.71428571428571,3.2,0.40000000000000036,21,expiry_win,0.6190476190476191,0.1250000000000001,1
FXI,2020-06-26,2020,69.44444444444444,1.91,-3.455,10,stop_loss,0.5,-1.8089005235602096,0
GDX,2020-06-26,2020,72.61904761904762,2.8550000000000004,-0.8699999999999997,21,expiry_loss,0.6190476190476191,-0.3047285464098072,0
GLD,2020-06-26,2020,72.61904761904762,5.48,2.9850000000000008,20,profit_take,0.65,0.5447080291970804,1
IEF,2020-06-26,2020,22.22222222222222,1.275,0.6799999999999999,14,profit_take,0.6428571428571429,0.5333333333333333,1
IWM,2020-06-26,2020,80.15873015873017,11.190000000000001,5.8450000000000015,18,profit_take,0.6111111111111112,0.5223413762287757,1
IYR,2020-06-26,2020,88.09523809523809,5.335,2.915,17,profit_take,0.5882352941176471,0.5463917525773196,1
JETS,2020-06-26,2020,85.3211009174312,2.45,1.4250000000000003,17,profit_take,0.5882352941176471,0.5816326530612246,1
LQD,2020-06-26,2020,68.99563318777294,2.275,-1.5,21,expiry_loss,0.5238095238095238,-0.6593406593406593,0
QQQ,2020-06-26,2020,80.15873015873017,13.925,-3.754999999999999,21,expiry_loss,0.6190476190476191,-0.2696588868940753,0
SLV,2020-06-26,2020,70.63492063492063,0.915,-0.625,21,expiry_loss,0.42857142857142855,-0.6830601092896175,0
SPY,2020-06-26,2020,82.14285714285714,16.924999999999997,-3.1700000000000017,21,expiry_loss,0.6190476190476191,-0.1872968980797638,0
TLT,2020-06-26,2020,71.42857142857143,4.9,2.9300000000000006,19,profit_take,0.631578947368421,0.5979591836734695,1
TQQQ,2020-06-26,2020,80.15873015873017,15.3,-3.849999999999998,21,expiry_loss,0.6190476190476191,-0.2516339869281044,0
UNG,2020-06-26,2020,78.17460317460318,1.0499999999999998,0.03499999999999992,21,expiry_win,0.47619047619047616,0.033333333333333263,1
UPRO,2020-06-26,2020,82.14285714285714,6.9,-1.3499999999999996,21,expiry_loss,0.5714285714285714,-0.1956521739130434,0
USO,2020-06-26,2020,89.28571428571429,2.925,1.3199999999999998,21,expiry_win,0.6190476190476191,0.45128205128205123,1
XBI,2020-06-26,2020,80.55555555555556,8.6,1.875,21,expiry_win,0.6190476190476191,0.2180232558139535,1
XLB,2020-06-26,2020,80.95238095238095,3.65,-3.0499999999999994,21,expiry_loss,0.47619047619047616,-0.8356164383561643,0
XLE,2020-06-26,2020,82.53968253968253,3.755,2.355,18,profit_take,0.6111111111111112,0.6271637816245007,1
XLF,2020-06-26,2020,81.74603174603175,1.83,0.33499999999999996,21,expiry_win,0.5714285714285714,0.18306010928961747,1
XLI,2020-06-26,2020,89.28571428571429,4.795,-0.7800000000000002,21,expiry_loss,0.5714285714285714,-0.16266944734098024,0
XLP,2020-06-26,2020,80.15873015873017,2.39,-1.7600000000000002,21,expiry_loss,0.6190476190476191,-0.7364016736401674,0
XLU,2020-06-26,2020,82.14285714285714,3.15,-1.6,21,expiry_loss,0.5714285714285714,-0.507936507936508,0
XOP,2020-06-26,2020,89.28571428571429,6.449999999999999,3.839999999999999,18,profit_take,0.6111111111111112,0.5953488372093022,1
XRT,2020-06-26,2020,88.09523809523809,3.3499999999999996,-0.35000000000000053,21,expiry_loss,0.5714285714285714,-0.10447761194029868,0
DIA,2020-07-10,2020,64.28571428571429,12.8,6.965000000000001,18,profit_take,0.6666666666666666,0.544140625,1
EEM,2020-07-10,2020,69.84126984126983,2.17,1.21,18,profit_take,0.6666666666666666,0.5576036866359447,1
EFA,2020-07-10,2020,65.07936507936508,2.465,1.3199999999999998,20,profit_take,0.7,0.5354969574036511,1
EWY,2020-07-10,2020,90.5,3.36,1.815,21,expiry_win,0.6666666666666666,0.5401785714285714,1
EWZ,2020-07-10,2020,75.79365079365078,2.61,1.1549999999999998,21,expiry_win,0.6666666666666666,0.44252873563218387,1
FXI,2020-07-10,2020,82.53968253968253,2.505,-0.6950000000000003,21,expiry_loss,0.5714285714285714,-0.27744510978043924,0
GDX,2020-07-10,2020,68.25396825396825,2.92,-1.38,21,expiry_loss,0.6666666666666666,-0.4726027397260274,0
GLD,2020-07-10,2020,47.22222222222222,4.52,-5.35,14,stop_loss,0.7142857142857143,-1.1836283185840708,0
IEF,2020-07-10,2020,4.761904761904762,1.0699999999999998,0.1349999999999998,21,expiry_win,0.6190476190476191,0.12616822429906524,1
IWM,2020-07-10,2020,66.66666666666666,9.420000000000002,4.210000000000002,21,expiry_win,0.6666666666666666,0.4469214437367305,1
LQD,2020-07-10,2020,61.34453781512605,1.9849999999999999,-0.3900000000000001,21,expiry_loss,0.6190476190476191,-0.19647355163727967,0
QQQ,2020-07-10,2020,74.60317460317461,14.635000000000002,8.315000000000001,19,profit_take,0.6842105263157895,0.568158524086095,1
SLV,2020-07-10,2020,79.76190476190477,0.9750000000000001,-1.3449999999999998,11,stop_loss,0.6363636363636364,-1.379487179487179,0
SPY,2020-07-10,2020,64.28571428571429,13.395000000000001,6.850000000000002,18,profit_take,0.6666666666666666,0.5113848450914521,1
TLT,2020-07-10,2020,52.77777777777778,4.67,0.04499999999999993,21,expiry_win,0.6666666666666666,0.009635974304068507,1
TNA,2020-07-10,2020,91.26984126984127,5.140000000000001,3.1650000000000005,21,expiry_win,0.6666666666666666,0.6157587548638133,1
TQQQ,2020-07-10,2020,74.60317460317461,19.2,10.51,20,profit_take,0.7,0.5473958333333333,1
UNG,2020-07-10,2020,72.22222222222221,1.175,0.65,18,profit_take,0.6666666666666666,0.5531914893617021,1
