day,struct,gex,credit,maxrisk,pnl_usd,ret_risk,NEG,half
2020-11-25,put spread 16/5,8075480967.408778,0.262,3.738,26.200000000000003,7.009095773140716,False,2018-2026
2020-11-25,iron condor 16/5,8075480967.408778,0.494,3.5060000000000002,49.4,14.090131203650882,False,2018-2026
2020-12-02,put spread 16/5,4054426860.179301,0.362,4.638,36.199999999999996,7.8050884001724885,False,2018-2026
2020-12-02,iron condor 16/5,4054426860.179301,0.6539999999999999,4.346,-9.600000000000009,-2.208927749654857,False,2018-2026
2020-12-04,put spread 16/5,7388187821.85291,0.21199999999999997,3.7880000000000003,21.199999999999996,5.596620908130938,False,2018-2026
2020-12-04,iron condor 16/5,7388187821.85291,0.3539999999999999,3.646,35.39999999999999,9.709270433351616,False,2018-2026
2020-12-07,put spread 16/5,15064178664.504593,0.162,3.838,16.2,4.220948410630537,False,2018-2026
2020-12-07,iron condor 16/5,15064178664.504593,0.4039999999999999,3.596,40.39999999999999,11.234705228031142,False,2018-2026
2020-12-09,put spread 16/5,7027172712.072068,0.142,2.858,2.199999999999544,0.7697690692790566,False,2018-2026
2020-12-09,iron condor 16/5,7027172712.072068,0.19399999999999998,2.806,7.399999999999543,2.6372059871701863,False,2018-2026
2020-12-11,put spread 16/5,4261000666.2100987,0.24449999999999994,3.7555,24.449999999999996,6.510451338037543,False,2018-2026
2020-12-11,iron condor 16/5,4261000666.2100987,0.4564999999999999,3.5435,45.64999999999999,12.882743050656128,False,2018-2026
2020-12-14,put spread 16/5,2074989478.343001,0.31199999999999994,5.688,31.199999999999996,5.485232067510548,False,2018-2026
2020-12-14,iron condor 16/5,2074989478.343001,0.564,5.436,56.39999999999999,10.375275938189844,False,2018-2026
2020-12-16,put spread 16/5,4952085136.943949,0.20199999999999996,4.798,20.199999999999996,4.21008753647353,False,2018-2026
2020-12-16,iron condor 16/5,4952085136.943949,0.44400000000000006,4.556,44.400000000000006,9.74539069359087,False,2018-2026
2020-12-18,put spread 16/5,7811684274.95179,0.43200000000000005,4.568,43.2,9.457092819614713,False,2018-2026
2020-12-18,iron condor 16/5,7811684274.95179,0.6040000000000001,4.396,60.400000000000006,13.739763421292087,False,2018-2026
2020-12-21,put spread 16/5,-2036597888.6455905,0.36449999999999994,6.6355,36.449999999999996,5.493180619395673,True,2018-2026
2020-12-21,iron condor 16/5,-2036597888.6455905,0.5664999999999999,6.4335,56.64999999999999,8.805471360845573,True,2018-2026
2020-12-23,put spread 16/5,-79380923.25720473,0.242,3.758,24.2,6.439595529536987,True,2018-2026
2020-12-23,iron condor 16/5,-79380923.25720473,0.4139999999999999,3.5860000000000003,41.39999999999999,11.544896820970438,True,2018-2026
2020-12-30,put spread 16/5,3240486543.806144,0.152,3.848,15.2,3.9501039501039505,False,2018-2026
2020-12-30,iron condor 16/5,3240486543.806144,0.30399999999999994,3.696,30.399999999999995,8.225108225108222,False,2018-2026
2020-12-31,put spread 16/5,370277241.0039624,0.142,3.858,14.2,3.68066355624676,False,2018-2026
2020-12-31,iron condor 16/5,370277241.0039624,0.224,3.776,22.400000000000002,5.932203389830509,False,2018-2026
2021-01-04,put spread 16/5,3869166380.411912,0.282,7.718,28.199999999999996,3.6537963202902306,False,2018-2026
2021-01-04,iron condor 16/5,3869166380.411912,0.4939999999999999,7.506,49.39999999999999,6.581401545430321,False,2018-2026
2021-01-06,put spread 16/5,950929339.0677247,0.41200000000000003,6.588,41.2,6.253794778384942,False,2018-2026
2021-01-06,iron condor 16/5,950929339.0677247,0.7140000000000001,6.286,71.4,11.358574610244991,False,2018-2026
2021-01-08,put spread 16/5,5270641495.632746,0.262,4.7379999999999995,26.200000000000003,5.529759392148587,False,2018-2026
2021-01-08,iron condor 16/5,5270641495.632746,0.3939999999999999,4.606,39.39999999999999,8.554059921841075,False,2018-2026
2021-01-11,put spread 16/5,7420595066.436499,0.22199999999999998,4.7780000000000005,22.199999999999996,4.64629552113855,False,2018-2026
2021-01-11,iron condor 16/5,7420595066.436499,0.4840000000000001,4.516,48.40000000000001,10.71744906997343,False,2018-2026
2021-01-13,put spread 16/5,3879355886.528879,0.19199999999999998,3.808,19.2,5.042016806722689,False,2018-2026
