date,sym,control,close_pct,close_R,close_risk,ORB_close-judged_pct,ORB_close-judged_R,ORB_close-judged_stopped,ORB_close-judged_n,ORB_intraday_pct,ORB_intraday_R,ORB_intraday_stopped,ORB_intraday_n,ORB_intraday+re_pct,ORB_intraday+re_R,ORB_intraday+re_stopped,ORB_intraday+re_n,ORB_disaster:0.5_pct,ORB_disaster:0.5_R,ORB_disaster:0.5_stopped,ORB_disaster:0.5_n,ORB_disaster:1.0_pct,ORB_disaster:1.0_R,ORB_disaster:1.0_stopped,ORB_disaster:1.0_n,ORB_disaster:1.0+pdl_pct,ORB_disaster:1.0+pdl_R,ORB_disaster:1.0+pdl_stopped,ORB_disaster:1.0+pdl_n,ORB_disaster:1.5+pdl_pct,ORB_disaster:1.5+pdl_R,ORB_disaster:1.5+pdl_stopped,ORB_disaster:1.5+pdl_n,ORB_risk,RECLAIM_close-judged_pct,RECLAIM_close-judged_R,RECLAIM_close-judged_stopped,RECLAIM_close-judged_n,RECLAIM_intraday_pct,RECLAIM_intraday_R,RECLAIM_intraday_stopped,RECLAIM_intraday_n,RECLAIM_intraday+re_pct,RECLAIM_intraday+re_R,RECLAIM_intraday+re_stopped,RECLAIM_intraday+re_n,RECLAIM_disaster:0.5_pct,RECLAIM_disaster:0.5_R,RECLAIM_disaster:0.5_stopped,RECLAIM_disaster:0.5_n,RECLAIM_disaster:1.0_pct,RECLAIM_disaster:1.0_R,RECLAIM_disaster:1.0_stopped,RECLAIM_disaster:1.0_n,RECLAIM_disaster:1.0+pdl_pct,RECLAIM_disaster:1.0+pdl_R,RECLAIM_disaster:1.0+pdl_stopped,RECLAIM_disaster:1.0+pdl_n,RECLAIM_disaster:1.5+pdl_pct,RECLAIM_disaster:1.5+pdl_R,RECLAIM_disaster:1.5+pdl_stopped,RECLAIM_disaster:1.5+pdl_n
2026-07-01,TGTX,False,-0.5118324431852561,-13.704540606523112,0.037384033203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.96989736198806,-2.828498796081515,0.0,1.0,-1.1090209985506916,-1.592399999999985,1.0,1.0,-2.9016911638167553,-2.810261314775673,1.0,2.0,-1.96989736198806,-2.828498796081515,0.0,1.0,-1.96989736198806,-2.828498796081515,0.0,1.0,-1.96989736198806,-2.828498796081515,0.0,1.0,-1.96989736198806,-2.828498796081515,0.0,1.0
2026-07-02,TGTX,False,1.0978888109279161,0.27112766309156616,4.222873476004252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5014947004067922,3.655764125061057,0.0,1.0,-1.12670701116796,-1.6466055555555459,1.0,1.0,-1.4103570891763062,-3.9108363247863505,1.0,2.0,-2.8173358442142638,-4.117344444444435,1.0,1.0,2.5014947004067922,3.655764125061057,0.0,1.0,1.2667701251958041,1.8512982568529097,0.0,1.0,1.2667701251958041,1.8512982568529097,0.0,1.0
2026-07-06,TGTX,False,-2.8388593340097246,-0.662041777007003,4.482955474241446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07,TGTX,False,-7.173123254063507,-1.180513095424636,6.473505727152817,-3.725065623673407,-1.4687915493298802,0.0,1.0,-3.725065623673407,-1.4687915493298802,0.0,1.0,-3.725065623673407,-1.4687915493298802,0.0,1.0,-3.725065623673407,-1.4687915493298802,0.0,1.0,-3.725065623673407,-1.4687915493298802,0.0,1.0,-3.725065623673407,-1.4687915493298802,0.0,1.0,-3.725065623673407,-1.4687915493298802,0.0,1.0,2.603739002932559,-1.66888174881612,-22.881572874451226,0.0,1.0,-0.2748232469020784,-3.7680250000001885,1.0,1.0,-1.7819761828050562,-8.11122981567407,1.0,2.0,-1.66888174881612,-22.881572874451226,0.0,1.0,-1.66888174881612,-22.881572874451226,0.0,1.0,-1.66888174881612,-22.881572874451226,0.0,1.0,-1.66888174881612,-22.881572874451226,0.0,1.0
2026-07-08,TGTX,False,-3.9943624908701403,-1.773134570595503,2.3060438812943174,-2.065923895108246,-1.0704231710883252,0.0,1.0,-2.0744947246740697,-1.0748639999999972,1.0,1.0,-2.0744947246740697,-1.0748639999999972,1.0,1.0,-2.8031708997946825,-1.4524151111111097,1.0,1.0,-5.683587834527359,-2.9448539355197454,0.0,1.0,-1.8773243091978697,-0.9727035177680123,0.0,1.0,-1.8773243091978697,-0.9727035177680123,0.0,1.0,1.969193068440389,-1.686203627598326,-1.0878789638604065,0.0,1.0,-1.6948076888831265,-1.0934299999999966,1.0,1.0,-2.5832603349453143,-4.5073418203309386,1.0,3.0,-2.882421847942418,-1.8596366666666706,1.0,1.0,-5.3178943529276435,-3.430917419399685,0.0,1.0,-5.3178943529276435,-3.430917419399685,0.0,1.0,-5.3178943529276435,-3.430917419399685,0.0,1.0
2026-07-09,TGTX,False,-3.400787828790397,-1.0793291990362868,3.2553576193536715,-2.2421246831653696,-1.1262701655693468,0.0,1.0,-2.2421246831653696,-1.1262701655693468,0.0,1.0,-2.2421246831653696,-1.1262701655693468,0.0,1.0,-2.2421246831653696,-1.1262701655693468,0.0,1.0,-2.2421246831653696,-1.1262701655693468,0.0,1.0,-2.2421246831653696,-1.1262701655693468,0.0,1.0,-2.2421246831653696,-1.1262701655693468,0.0,1.0,2.032431487390185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,TGTX,False,-3.80947665542416,-3.819789077913554,1.0079570336239074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8317468539810746,-2.992444171714734,0.0,1.0,-0.6754924969579301,-2.430274999999937,1.0,1.0,-1.5358152133741254,-6.063830614973156,1.0,3.0,-0.8317468539810746,-2.992444171714734,0.0,1.0,-0.8317468539810746,-2.992444171714734,0.0,1.0,-0.8317468539810746,-2.992444171714734,0.0,1.0,-0.8317468539810746,-2.992444171714734,0.0,1.0
2026-07-13,TGTX,False,-2.0263814616823472,-1.1043396921798596,1.8703672620985268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.932791860121208,-1.1100275874444112,0.0,1.0,-1.932791860121208,-1.1100275874444112,0.0,1.0,-1.932791860121208,-1.1100275874444112,0.0,1.0,-1.932791860121208,-1.1100275874444112,0.0,1.0,-1.932791860121208,-1.1100275874444112,0.0,1.0,-0.02451729609955766,-0.014080603091085333,0.0,1.0,-0.02451729609955766,-0.014080603091085333,0.0,1.0
2026-07-14,TGTX,False,-1.8121943655225015,-11.058984631034592,0.16423385737389662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7405908596647368,-31.84289716593296,0.0,1.0,-1.7405908596647368,-31.84289716593296,0.0,1.0,-1.7405908596647368,-31.84289716593296,0.0,1.0,-1.7405908596647368,-31.84289716593296,0.0,1.0,-1.7405908596647368,-31.84289716593296,0.0,1.0,-1.7405908596647368,-31.84289716593296,0.0,1.0,-1.7405908596647368,-31.84289716593296,0.0,1.0
2026-07-15,TGTX,False,-4.457922249141055,-0.822294651323113,5.735710329542654,-2.2928101641154885,-1.0458453842793605,0.0,1.0,-2.2928101641154885,-1.0458453842793605,0.0,1.0,-2.2928101641154885,-1.0458453842793605,0.0,1.0,-2.2928101641154885,-1.0458453842793605,0.0,1.0,-2.2928101641154885,-1.0458453842793605,0.0,1.0,-2.2928101641154885,-1.0458453842793605,0.0,1.0,-2.2928101641154885,-1.0458453842793605,0.0,1.0,2.242817423540311,-0.867647813059591,-1.1318875658945557,0.0,1.0,-1.0673438120805012,-1.392400431654683,1.0,1.0,-1.053459804355683,-2.638916665905845,1.0,3.0,-0.867647813059591,-1.1318875658945557,0.0,1.0,-0.867647813059591,-1.1318875658945557,0.0,1.0,-0.867647813059591,-1.1318875658945557,0.0,1.0,-0.867647813059591,-1.1318875658945557,0.0,1.0
