date,sym,kind,grade_shown,in_state,brk,px,alert_risk,R_alert,pct_alert,R_close,pct_close,close_risk,intraday_R
2026-08-17,ANF,UR,True,False,False,107.14,1.4871649142748966,-1.261144164261539,-1.8480458632542662,-7.739045344478721,-1.6926648409130496,0.21919694678800283,-1.0
2026-08-17,AXTI,ORB9,False,False,False,89.61,1.806407634628493,-4.591196504029078,-8.146414955257509,-1.2003513006167874,-14.233618306094776,13.453133201892609,3.99
2026-08-17,CBRS,ORB9,True,False,False,254.98,0.9022556390977376,-1.3157913475705816,-1.176564543282188,-1.1201825067084688,-12.687515581701836,12.773000794079836,-1.0
2026-08-17,COHR,ORB9,True,False,False,343.31,0.3361000701426198,-32.06957158627781,-10.742479777524327,-2.1348896611212367,-12.752693009865423,6.352958940992703,-1.0
2026-08-17,COST,UR,False,False,False,955.19,0.4416450225554369,-5.161902436755909,-2.269704481241952,-4.899486887968046,-2.096485604024645,0.4297378571428201,-1.0
2026-08-17,CRM,UR,False,False,False,191.85,1.021536517297661,26.28866293995654,26.58327135966414,48.94351356020038,27.1665730487455,0.5581578316852243,-0.43
2026-08-17,CRWD,UR,False,True,False,216.28,1.5351391953429383,-1.0275234957353756,-1.5535425518100054,-1.1011195501225848,-0.4581560334280921,0.4178204838270583,-0.73
2026-08-17,CRWV,UR,False,False,False,104.54,3.279984192847274,-3.424699346703213,-10.876221380385209,-2.6841014869342597,-12.103775312315745,4.722385617121683,0.44
2026-08-17,CVNA,UR,False,False,False,73.7,0.8621869440262886,-5.7301645430306705,-4.898241061206754,-35.10423572744015,-7.262086751086006,0.20730094173855296,-1.0
2026-08-17,DDS,ORB9,False,False,False,587.98,1.772423581541882,-0.8105475902557384,-1.4116138855435167,0.21541113278640336,0.848741197267433,4.101710494716415,-1.0
2026-08-17,DE,UR,True,False,False,607.51,0.6411105957192964,-1.9612447260578119,-1.249364963513977,-25.454431960049938,-1.866917676704316,0.07339735366345135,-1.0
2026-08-17,DK,ORB9,True,True,False,66.74,0.9682299546142303,-4.218748569488514,-4.045548523333309,4.144510913785614,21.336116891270862,5.427449544270835,-1.0
