entry,roc,roc_net,strategy
2024-10-04,0.14556962025316458,0.09164556962025318,GEV Bull Put Spread
2024-10-11,0.1188118811881188,0.07168316831683172,GEV Bull Put Spread
2024-10-18,0.14873417721518986,0.10746835443037972,GEV Bull Put Spread
2024-10-25,0.14467005076142134,0.10649746192893407,GEV Bull Put Spread
2024-11-01,0.1981424148606811,0.11752321981424149,GEV Bull Put Spread
2024-11-08,0.13569937369519824,0.09803757828810014,GEV Bull Put Spread
2024-11-15,0.14516129032258074,0.07083870967741944,GEV Bull Put Spread
2024-11-22,0.29347826086956524,0.23034782608695656,GEV Bull Put Spread
2024-11-29,0.2670940170940171,0.205042735042735,GEV Bull Put Spread
2024-12-06,0.13829787234042554,0.1062978723404255,GEV Bull Put Spread
2024-12-13,0.14953271028037382,0.10579439252336442,GEV Bull Put Spread
2024-12-20,0.2168421052631579,0.16202105263157898,GEV Bull Put Spread
2024-12-27,0.18209876543209882,0.14185185185185192,GEV Bull Put Spread
2025-01-03,0.20920502092050208,0.14426778242677826,GEV Bull Put Spread
2025-01-10,0.14644351464435143,0.10661087866108784,GEV Bull Put Spread
2025-01-17,0.23275862068965517,0.1443103448275862,GEV Bull Put Spread
2025-01-24,-1.0,-1.0327051671732523,GEV Bull Put Spread
2025-01-31,0.189873417721519,0.14126582278481012,GEV Bull Put Spread
2025-02-07,-0.9752136752136752,-1.001965811965812,GEV Bull Put Spread
2025-02-14,-1.0,-1.0269565217391303,GEV Bull Put Spread
2025-02-21,0.2952586206896552,0.2068103448275862,GEV Bull Put Spread
2025-02-28,0.20754716981132076,0.160251572327044,GEV Bull Put Spread
2025-03-07,0.2097457627118644,0.17364406779661018,GEV Bull Put Spread
2025-03-14,0.14495798319327732,0.10915966386554622,GEV Bull Put Spread
2025-03-21,0.14375,0.10824999999999999,GEV Bull Put Spread
2025-03-28,0.22096774193548388,0.19348387096774192,GEV Bull Put Spread
2025-04-04,0.20654911838790932,0.09188916876574313,GEV Bull Put Spread
2025-04-11,0.16834170854271355,0.03638190954773866,GEV Bull Put Spread
2025-04-25,0.16842105263157894,0.14203508771929824,GEV Bull Put Spread
2025-05-02,0.19598765432098766,0.16969135802469135,GEV Bull Put Spread
2025-05-09,0.11728395061728399,0.07246913580246918,GEV Bull Put Spread
2025-05-16,0.13949843260188086,0.097115987460815,GEV Bull Put Spread
