date,sym,t,brk,rt_vwap,rt_mid,rnd
2026-05-18,ADBE,10:24,0.9516288252714666,1.966258525106701,,1.8427700311106854
2026-05-19,CRM,09:54,-2.081037867422264,-2.097525313725168,-2.1091218969593095,-1.4761096819547628
2026-05-20,GH,10:04,8.996014423989385,,,7.45967058507276
2026-05-20,TIGO,11:04,0.3758949880668272,0.8029240817304828,,0.12727181589134626
2026-05-20,BE,11:19,-1.6794425087108045,,,-1.2703549617915422
2026-05-21,QBTS,09:54,6.63305707687778,9.098621420996821,,3.693866262368795
2026-05-21,BE,09:59,1.1414473684210558,,,-2.837065653610645
2026-05-22,IOVA,09:59,4.187817258883264,,,3.578084224592633
2026-05-26,AAOI,09:54,-6.822244503593266,-4.444444444444439,-3.833292990860948,-2.4854835758400378
2026-05-27,AAOI,09:59,-1.5277625670791717,1.4212396367943247,,-0.5321786214405377
2026-05-27,PLTR,10:04,-0.9047405413488918,,,-1.20942508103552
2026-05-27,TIGO,10:09,-0.44107268877910943,,,-1.1100514240467763
2026-05-27,NOW,10:39,-2.86122237726375,,,-1.637599391390654
2026-05-27,HALO,11:24,-1.752879730986634,-1.3859964093357324,,-1.4181511823553243
2026-05-28,CRM,09:54,-1.5285734246192617,-0.9222290952032974,,-2.1040479771777107
2026-05-28,HOOD,09:59,9.117798353909446,,,8.768115442112283
2026-05-28,ORCL,10:24,2.9515819266147547,3.8490950802956725,,2.5797297093472484
2026-05-28,NTRA,10:44,4.267802799756537,,,4.469054378868575
2026-05-28,ANF,11:04,1.9736842105263275,,,3.170085924950287
2026-05-29,BE,09:54,1.1977963390794377,2.943090606696086,2.943090606696086,3.958160650284381
2026-06-01,AAOI,10:29,7.398195279962971,,,7.470654153911727
2026-06-01,TIGO,10:34,-2.6704104008664853,-2.6977533182455438,-0.5331478905887921,-2.6806543167287074
2026-06-01,AXTI,11:54,-0.30040964952207094,,,3.4614203495941798
2026-06-02,COHR,09:54,3.847089741094023,,,0.6199627071253877
2026-06-02,BE,10:24,1.5362449950578894,,,2.8082181988853705
2026-06-02,LITE,10:34,2.994970850952039,,,4.116999529802297
2026-06-02,AMZN,10:39,-0.9958698421276058,,,-0.741351889434605
2026-06-02,DE,11:19,1.6879858223228128,,,2.5995222116796355
2026-06-02,AAOI,11:44,-0.9834621782953246,,,1.6302004553012301
2026-06-03,TGTX,09:54,-0.9632007903185968,,,-0.044652058891059276
2026-06-04,HOOD,10:24,3.6737089201877904,4.917448628103105,,2.2579301470164292
2026-06-04,OSCR,10:24,1.899827288428324,,,0.6231748376618921
2026-06-04,PTEN,10:24,0.040766408479409044,,,0.712941307579488
2026-06-04,IOVA,10:34,2.459016393442637,,,5.678340443042688
2026-06-04,HTFL,10:54,-4.27861896683186,-4.3255118349505794,,-4.298626511305659
2026-06-05,AAOI,10:04,-9.023705829997365,,,-8.750739714787377
2026-06-05,LITE,10:49,-5.591260942636323,-5.798615775286309,,-5.069064811891273
2026-06-08,AAOI,10:24,2.161825079249602,,,0.8201252715510495
