entry,h,expiry,K,mid,ratio,short,fly,vix,episode,direction,POST,DOWN,UP,vdec,cl,half
2019-08-30,5,2019-09-09,293.0,5.78,0.8910034602076085,10.543685947542526,-1.1330013711478233,18.979999542236328,,,0,0,0,6,d20190830,2018-2026
2019-08-30,10,2019-09-16,293.0,7.635,0.9377865094957466,5.907089821932778,-6.844106463878617,18.979999542236328,,,0,0,0,6,d20190830,2018-2026
2019-09-03,1,2019-09-04,291.0,2.24,1.3258928571428692,-33.96481732070485,-49.534541891231115,19.65999984741211,,,0,0,0,7,d20190903,2018-2026
2019-09-03,5,2019-09-11,291.0,5.86,1.5853242320819148,-59.15710125064278,-59.79824951787599,19.65999984741211,,,0,0,0,7,d20190903,2018-2026
2019-09-03,10,2019-09-18,291.0,8.204999999999998,1.230956733698967,-23.479430283024925,-32.48269153744948,19.65999984741211,,,0,0,0,7,d20190903,2018-2026
2019-09-04,5,2019-09-11,294.0,4.34,1.4493087557603734,-45.703034514709756,-52.88850991259903,17.329999923706055,,,0,0,0,5,d20190904,2018-2026
2019-09-04,10,2019-09-18,294.0,6.67,1.064467766116945,-6.895513399578777,-16.268725060509233,17.329999923706055,,,0,0,0,5,d20190904,2018-2026
2019-09-05,1,2019-09-06,298.0,1.8900000000000001,0.03703703703703343,96.26068376068413,68.23630136986334,16.270000457763672,,,0,0,0,4,d20190905,2018-2026
2019-09-05,5,2019-09-13,298.0,4.24,0.7193396226415121,27.759355755565817,12.463887742467811,16.270000457763672,,,0,0,0,4,d20190905,2018-2026
2019-09-05,10,2019-09-20,298.0,6.665,0.01950487621905408,98.04349461961027,72.66094143475176,16.270000457763672,,,0,0,0,4,d20190905,2018-2026
2019-09-06,1,2019-09-09,298.5,1.525,0.22950819672132639,76.7364572947808,42.30856110232562,15.0,,,0,0,0,3,d20190906,2018-2026
2019-09-06,5,2019-09-13,298.5,3.375,0.755555555555559,23.98270979281529,9.242666012028698,15.0,,,0,0,0,3,d20190906,2018-2026
2019-09-06,10,2019-09-20,298.0,5.895,0.02205258693808235,97.78704570601761,72.94383332119187,15.0,,,0,0,0,3,d20190906,2018-2026
2019-09-09,5,2019-09-16,298.0,3.34,0.6467065868263548,34.88091649080419,18.598382749325538,15.270000457763672,,,0,0,0,3,d20190909,2018-2026
2019-09-09,10,2019-09-23,298.0,5.715,0.04549431321084706,95.43017839880498,75.60497056899948,15.270000457763672,,,0,0,0,3,d20190909,2018-2026
2019-09-10,1,2019-09-11,297.5,1.38,2.021739130434798,-104.84581497797505,-72.76688453159042,15.199999809265137,,,0,0,0,3,d20190910,2018-2026
2019-09-10,5,2019-09-18,297.5,4.18,0.8612440191387615,13.399085879239289,0.5953602956267054,15.199999809265137,,,0,0,0,3,d20190910,2018-2026
2019-09-10,10,2019-09-25,297.0,6.0,0.1000000000000038,89.95311453449392,67.00849692352733,15.199999809265137,,,0,0,0,3,d20190910,2018-2026
2019-09-11,5,2019-09-18,300.0,3.76,0.29255319148936776,70.56462402996996,46.15547553484384,14.609999656677246,,,0,0,0,3,d20190911,2018-2026
2019-09-11,10,2019-09-25,299.0,5.615,0.24933214603739576,74.9530369442709,56.199153921249966,14.609999656677246,,,0,0,0,3,d20190911,2018-2026
2019-09-12,1,2019-09-13,302.0,1.375,0.6909090909090826,29.8634182355121,11.808017452959461,14.220000267028809,,,0,0,0,3,d20190912,2018-2026
2019-09-12,5,2019-09-20,302.0,4.54,0.8524229074889877,14.323666150099529,1.1634786038255736,14.220000267028809,,,0,0,0,3,d20190912,2018-2026
2019-09-12,10,2019-09-27,301.0,5.52,1.0217391304347803,-2.6014189557938234,-14.527188646148733,14.220000267028809,,,0,0,0,3,d20190912,2018-2026
2019-09-13,1,2019-09-16,301.0,1.46,0.5753424657534075,41.74757281553572,23.711340206187014,13.739999771118164,,,0,0,0,2,d20190913,2018-2026
2019-09-13,5,2019-09-20,301.0,4.26,0.6737089201877945,32.343234323432235,18.12840956777163,13.739999771118164,,,0,0,0,2,d20190913,2018-2026
2019-09-13,10,2019-09-27,301.0,5.125,1.1004878048780462,-10.49074346165122,-23.555711405277222,13.739999771118164,,,0,0,0,2,d20190913,2018-2026
2019-09-16,5,2019-09-23,300.0,4.32,0.40277777777777984,59.506632534326066,39.320667818076984,14.670000076293945,,,0,0,0,3,d20190916,2018-2026
2019-09-16,10,2019-09-30,299.0,5.515000000000001,0.39709882139619174,60.14196014196018,40.65618264548578,14.670000076293945,,,0,0,0,3,d20190916,2018-2026
2019-09-17,1,2019-09-18,301.0,2.19,0.04566210045663139,95.39594843462143,72.14397496087548,14.4399995803833,,,0,0,0,3,d20190917,2018-2026
2019-09-17,5,2019-09-25,300.0,4.49,0.5345211581291709,46.2726662189394,28.88107791447027,14.4399995803833,,,0,0,0,3,d20190917,2018-2026
2019-09-17,10,2019-10-02,300.0,5.66,2.113074204946993,-112.35795454545416,-100.0,14.4399995803833,,,0,0,0,3,d20190917,2018-2026
2019-09-18,5,2019-09-25,300.0,4.039999999999999,0.5940594059405886,40.10481657100131,23.04987914744062,13.949999809265137,,,0,0,0,2,d20190918,2018-2026
2019-09-18,10,2019-10-04,300.0,5.775,0.974891774891774,2.0784416036177897,-10.136135994921307,13.949999809265137,,,0,0,0,2,d20190918,2018-2026
2019-09-19,1,2019-09-20,301.0,1.92,1.4947916666666692,-51.69133192389032,-52.640402347024505,14.050000190734863,,,0,0,0,2,d20190919,2018-2026
2019-09-19,5,2019-09-27,301.0,3.725,1.51409395973154,-52.247266837629525,-65.94466007261765,14.050000190734863,,,0,0,0,2,d20190919,2018-2026
2019-09-19,10,2019-10-04,301.0,5.18,1.279922779922779,-28.563118091913815,-41.705587268638574,14.050000190734863,,,0,0,0,2,d20190919,2018-2026
2019-09-20,1,2019-09-23,298.0,2.175,0.1195402298850533,87.90416375901414,74.0749360018622,15.319999694824219,,,0,0,0,4,d20190920,2018-2026
2019-09-20,5,2019-09-27,299.0,3.865,0.9417852522639033,5.319287293536587,-8.084747549277665,15.319999694824219,,,0,0,0,4,d20190920,2018-2026
2019-09-20,10,2019-10-07,299.0,6.07,0.9703459637561757,2.434984263707378,-11.17249400305278,15.319999694824219,,,0,0,0,4,d20190920,2018-2026
2019-09-23,5,2019-09-30,299.0,3.3550000000000004,0.6527570789865864,34.322986954565984,14.975498984104284,14.90999984741211,,,0,0,0,3,d20190923,2018-2026
2019-09-23,10,2019-10-09,299.0,5.82,1.3350515463917494,-34.03484560979784,-39.666238767650576,14.90999984741211,,,0,0,0,3,d20190923,2018-2026
2019-09-24,1,2019-09-25,296.0,2.255,0.7095343680709636,28.395614231370658,13.126584747414787,17.049999237060547,,,0,0,0,5,d20190924,2018-2026
2019-09-24,5,2019-10-02,296.0,5.1850000000000005,1.5351976856316256,-54.2785153600151,-63.36535871419555,17.049999237060547,,,0,0,0,5,d20190924,2018-2026
2019-09-24,10,2019-10-09,296.0,7.065,0.6751592356687872,32.19134266827804,16.93165262557823,17.049999237060547,,,0,0,0,5,d20190924,2018-2026
2019-09-25,5,2019-10-04,298.0,4.765,0.7618048268625385,23.490357255769926,8.268887566924516,15.960000038146973,,,0,0,0,4,d20190925,2018-2026
2019-09-25,10,2019-10-11,298.0,6.55,0.26564885496183344,73.36191059399863,53.072321914083595,15.960000038146973,,,0,0,0,4,d20190925,2018-2026
2019-09-26,1,2019-09-27,297.0,1.8600000000000003,0.8817204301075194,10.966340933768409,0.21551724138007627,16.06999969482422,,,0,0,0,4,d20190926,2018-2026
2019-09-26,5,2019-10-04,297.5,4.48,0.6986607142857132,29.85208426714489,13.867684478371581,16.06999969482422,,,0,0,0,4,d20190926,2018-2026
2019-09-26,10,2019-10-11,297.5,6.35,0.19527559055118254,80.40145408566447,59.92046584291988,16.06999969482422,,,0,0,0,4,d20190926,2018-2026
2019-09-27,1,2019-09-30,295.0,2.53,0.7154150197628468,27.945859872611372,14.913544668587821,17.219999313354492,,,0,0,0,5,d20190927,2018-2026
2019-09-27,5,2019-10-07,295.0,5.66,0.33392226148409654,66.44176136363662,50.678134303672074,17.219999313354492,,,0,0,0,5,d20190927,2018-2026
2019-09-27,10,2019-10-14,295.0,7.66,0.13054830287206265,86.89727463312369,69.5736434108527,17.219999313354492,,,0,0,0,5,d20190927,2018-2026
2019-09-30,1,2019-10-02,297.0,2.3899999999999997,3.7489539748953895,-277.7403035413145,-100.0,16.239999771118164,,,0,0,0,4,d20190930,2018-2026
2019-09-30,5,2019-10-09,297.0,4.93,1.1703853955375216,-17.587120440187114,-25.1459918598475,16.239999771118164,,,0,0,0,4,d20190930,2018-2026
2019-09-30,10,2019-10-14,297.0,6.29,0.1589825119236884,84.04340194670496,61.10626300597437,16.239999771118164,,,0,0,0,4,d20190930,2018-2026
2019-10-02,5,2019-10-09,288.0,6.175,0.523076923076926,47.475404504430955,37.70903666483443,20.559999465942383,101.0,DOWN,1,1,0,7,e101,2018-2026
2019-10-02,10,2019-10-16,289.0,8.67,1.085351787773936,-8.886831751909577,-13.259768451519772,20.559999465942383,101.0,DOWN,1,1,0,7,e101,2018-2026
2019-10-03,1,2019-10-04,289.5,2.63,1.8517110266159713,-86.4471669218991,-79.65116279069781,19.1200008392334,101.0,DOWN,1,1,0,6,e101,2018-2026
2019-10-03,5,2019-10-11,290.0,6.475,0.9667953667953655,3.0134015028276178,-5.64849163575266,19.1200008392334,101.0,DOWN,1,1,0,6,e101,2018-2026
2019-10-03,10,2019-10-18,290.0,8.68,0.9193548387096796,7.873470330177568,-1.3776514323203282,19.1200008392334,101.0,DOWN,1,1,0,6,e101,2018-2026
2019-10-04,1,2019-10-07,294.0,2.125,0.41882352941175827,57.70966975528694,35.028988217692664,17.040000915527344,101.0,DOWN,1,1,0,5,e101,2018-2026
2019-10-04,5,2019-10-11,294.0,5.075,0.4453201970443332,55.287367692155684,43.240492273526584,17.040000915527344,101.0,DOWN,1,1,0,5,e101,2018-2026
2019-10-04,10,2019-10-18,294.0,7.175,0.5547038327526158,44.370675798448275,31.781416452949067,17.040000915527344,101.0,DOWN,1,1,0,5,e101,2018-2026
2019-10-07,5,2019-10-14,294.0,5.205,0.38424591738712777,61.38623419248962,49.29551180367642,17.860000610351562,101.0,DOWN,1,1,0,6,e101,2018-2026
2019-10-07,10,2019-10-21,294.0,7.145,0.8467459762071395,14.962400730901514,3.637074696910278,17.860000610351562,101.0,DOWN,1,1,0,6,e101,2018-2026
2019-10-08,1,2019-10-09,289.0,2.705,0.8243992606284725,16.930527100017958,9.33491217682977,20.280000686645508,101.0,DOWN,1,1,0,7,e101,2018-2026
2019-10-08,5,2019-10-14,289.0,5.825,1.2017167381974247,-20.70006035003017,-23.64663663434374,20.280000686645508,101.0,DOWN,1,1,0,7,e101,2018-2026
2019-10-08,10,2019-10-23,290.0,8.68,1.1359447004608312,-14.027986584942909,-22.20951135806518,20.280000686645508,101.0,DOWN,1,1,0,7,e101,2018-2026
2019-10-09,5,2019-10-16,292.0,5.7700000000000005,1.1109185441941116,-11.633577150818947,-16.734937067103957,18.639999389648438,,,0,0,0,6,d20191009,2018-2026
2019-10-09,10,2019-10-23,292.0,7.74,1.015503875968994,-1.919087136929629,-11.808300395257097,18.639999389648438,,,0,0,0,6,d20191009,2018-2026
2019-10-10,1,2019-10-11,293.0,3.385,0.9630723781388453,3.1059592807254908,-3.446495417580752,17.56999969482422,,,0,0,0,5,d20191010,2018-2026
2019-10-10,5,2019-10-16,293.0,5.465,0.9899359560841766,0.6336670033974592,-6.263100528213713,17.56999969482422,,,0,0,0,5,d20191010,2018-2026
2019-10-10,10,2019-10-25,293.0,8.015,1.077978789769181,-8.14193629138225,-15.943353129282634,17.56999969482422,,,0,0,0,5,d20191010,2018-2026
2019-10-11,1,2019-10-14,297.5,2.935,0.5110732538330494,48.35599931141333,32.998374464312114,15.579999923706055,,,0,0,0,4,d20191011,2018-2026
2019-10-11,5,2019-10-18,297.5,4.96,0.09677419354839077,90.27749645533689,69.0641093944234,15.579999923706055,,,0,0,0,4,d20191011,2018-2026
2019-10-11,10,2019-10-25,297.5,6.66,0.6216216216216196,37.57539203860094,23.75223110993605,15.579999923706055,,,0,0,0,4,d20191011,2018-2026
2019-10-14,5,2019-10-21,296.0,3.9749999999999996,1.0188679245283048,-2.544625902013212,-11.997326501058508,14.569999694824219,,,0,0,0,3,d20191014,2018-2026
2019-10-14,10,2019-10-28,296.0,5.800000000000001,1.2672413793103485,-27.338877338877708,-31.977764774722406,14.569999694824219,,,0,0,0,3,d20191014,2018-2026
2019-10-15,1,2019-10-16,299.0,1.515,0.38943894389437295,60.52191368350787,39.83173774296636,13.539999961853027,,,0,0,0,2,d20191015,2018-2026
2019-10-15,5,2019-10-23,299.0,3.7249999999999996,0.23087248322148018,76.75361535342576,60.79612413251242,13.539999961853027,,,0,0,0,2,d20191015,2018-2026
2019-10-15,10,2019-10-30,299.0,5.515000000000001,0.9320036264732522,6.366700063758341,-5.001215854745677,13.539999961853027,,,0,0,0,2,d20191015,2018-2026
2019-10-16,5,2019-10-23,298.0,3.48,0.5344827586206936,46.19612380676848,31.089007906146033,13.680000305175781,,,0,0,0,2,d20191016,2018-2026
