entry_date,sp_gross,sp_net,pu_gross,pu_net,entry,comb_net,comb_gross
2023-02-17,0.18333333333333332,0.06599999999999989,,,2023-02-17,0.06599999999999989,0.18333333333333332
2023-02-24,0.20779220779220794,0.07740259740259751,,,2023-02-24,0.07740259740259751,0.20779220779220794
2023-03-03,-1.0,-1.1417391304347826,,,2023-03-03,-1.1417391304347826,-1.0
2023-03-10,0.19512195121951223,-0.22585365853658532,,,2023-03-10,-0.22585365853658532,0.19512195121951223
2023-03-17,0.12574850299401202,-0.0541317365269461,,,2023-03-17,-0.0541317365269461,0.12574850299401202
2023-03-24,0.11111111111111101,-0.07726495726495734,,,2023-03-24,-0.07726495726495734,0.11111111111111101
2023-03-31,0.1071428571428571,-0.0004761904761905168,,,2023-03-31,-0.0004761904761905168,0.1071428571428571
2023-04-14,0.12499999999999997,-0.2825000000000001,,,2023-04-14,-0.2825000000000001,0.12499999999999997
2023-04-21,0.14285714285714277,-0.14367346938775508,,,2023-04-21,-0.14367346938775508,0.14285714285714277
2023-04-28,0.18749999999999994,-0.09500000000000011,,,2023-04-28,-0.09500000000000011,0.18749999999999994
2023-05-05,0.12,-0.10080000000000001,,,2023-05-05,-0.10080000000000001,0.12
2023-05-12,0.19999999999999996,-0.06755555555555573,,,2023-05-12,-0.06755555555555573,0.19999999999999996
2023-05-19,0.2888888888888888,0.0657777777777777,,,2023-05-19,0.0657777777777777,0.2888888888888888
2023-05-26,0.12121212121212126,-0.06181818181818177,,,2023-05-26,-0.06181818181818177,0.12121212121212126
2023-06-02,0.3571428571428573,0.14000000000000012,,,2023-06-02,0.14000000000000012,0.3571428571428573
2023-06-16,0.35714285714285726,-0.0028571428571427457,,,2023-06-16,-0.0028571428571427457,0.35714285714285726
2023-06-23,0.2,-0.03466666666666664,,,2023-06-23,-0.03466666666666664,0.2
2023-06-30,0.21428571428571425,-0.0028571428571428723,,,2023-06-30,-0.0028571428571428723,0.21428571428571425
2023-07-07,0.2857142857142857,-0.07428571428571427,,,2023-07-07,-0.07428571428571427,0.2857142857142857
2023-07-21,0.2142857142857143,-0.14571428571428577,,,2023-07-21,-0.14571428571428577,0.2142857142857143
2023-08-04,0.0882352941176471,-0.11882352941176463,,,2023-08-04,-0.11882352941176463,0.0882352941176471
2023-08-11,0.17647058823529413,-0.061176470588235304,,,2023-08-11,-0.061176470588235304,0.17647058823529413
2023-08-18,0.18750000000000003,0.030000000000000047,,,2023-08-18,0.030000000000000047,0.18750000000000003
2023-10-13,0.1507936507936506,-0.06380952380952395,,,2023-10-13,-0.06380952380952395,0.1507936507936506
2023-10-20,0.10179640718562866,0.04479041916167661,,,2023-10-20,0.04479041916167661,0.10179640718562866
2023-10-27,0.12500000000000006,0.07406250000000002,,,2023-10-27,0.07406250000000002,0.12500000000000006
2023-11-03,0.12499999999999997,0.014999999999999902,,,2023-11-03,0.014999999999999902,0.12499999999999997
2023-11-10,0.16393442622950818,0.06491803278688518,,,2023-11-10,0.06491803278688518,0.16393442622950818
2023-11-17,0.16393442622950827,0.06491803278688532,,,2023-11-17,0.06491803278688532,0.16393442622950827
2023-11-24,0.18750000000000022,0.030000000000000387,,,2023-11-24,0.030000000000000387,0.18750000000000022
2023-12-01,0.16666666666666666,-0.0013333333333331392,,,2023-12-01,-0.0013333333333331392,0.16666666666666666
2023-12-08,0.24999999999999994,0.09249999999999999,,,2023-12-08,0.09249999999999999,0.24999999999999994
