entry,expiry,dte,spot,strike,credit,settle,iv30,rv30,ivp,ff,ret_gross,ret,fly_ret,log_ivrv
2020-04-24,2020-05-22,28,213.84,214.0,15.525,15.66,0.32765748443170833,0.4606332730552333,0.8446215139442231,-0.02509150244585206,-0.0086956521739128,-0.011626409017713122,-0.9490157480314952,-0.3406334152932718
2020-05-01,2020-05-29,28,212.74,212.5,15.765,20.86,0.3344431072602343,0.393379245006712,0.852589641434263,0.011753902541580262,-0.32318426895020697,-0.3263875673961315,-0.9162859980139026,-0.16230736439965504
2020-05-08,2020-06-05,28,224.86,225.0,12.68,14.69,0.25449806038574696,0.30993569563737483,0.7928286852589641,-0.11552502104546863,-0.15851735015772855,-0.16072555205047304,-1.0141414141414142,-0.19707162784662302
2020-05-15,2020-06-12,28,223.27,223.0,14.585,12.88,0.29481765716032504,0.288610636760216,0.8207171314741036,-0.005921894650401391,0.11690092560850225,0.11446691806650706,-0.5815869786368251,0.021278551837735315
2020-05-22,2020-06-19,28,229.66,230.0,13.245,14.24,0.26028193798681587,0.24372716798049043,0.7928286852589641,-0.04617416365156001,-0.07512268780672027,-0.07704794261985731,-1.010998735777497,0.06571598470894462
2020-05-29,2020-06-26,28,233.36,233.0,12.695,7.22,0.24551821539174745,0.20231132349924544,0.7729083665338645,-0.011106473875535617,0.4312721543914928,0.42808192201654205,0.36030989272944053,0.1935634251923859
2020-06-05,2020-07-02,27,239.69,240.0,11.355,12.19,0.21772674818837429,0.17550400263756155,0.7131474103585658,-0.05146862540653339,-0.07353588727432825,-0.07666226332012305,-1.0178621659634317,0.21557897819057445
2020-06-12,2020-07-10,28,235.88,236.0,16.125,27.97,0.30852192593709016,0.23668110150369304,0.8446215139442231,-0.01749715516925543,-0.7345736434108544,-0.7398759689922497,-1.0269717624148003,0.2650792417730994
2020-06-19,2020-07-17,28,244.24,244.0,14.47,15.42,0.26738015418787225,0.22741856031294191,0.7649402390438247,-0.0957368956360511,-0.06565307532826656,-0.06827919834139717,-1.0145142857142855,0.1618792465610995
2020-06-26,2020-07-24,28,240.22,240.0,16.82,15.56,0.3160052212579003,0.25728357951957476,0.7649402390438247,0.040381742852501255,0.07491082045184293,0.07146254458977395,-0.7407729468599038,0.20557983759096027
2020-07-10,2020-08-07,28,263.97,264.0,16.715,7.47,0.28577829318566145,0.26890430654066216,0.7569721115537849,0.03784067421864685,0.5530960215375395,0.5488782530661066,0.6653097345132694,0.06086073300137905
2020-07-17,2020-08-14,28,259.42,259.0,15.945,13.16,0.2773949165996898,0.20155738291247102,0.701195219123506,0.008939638765318027,0.17466290373157575,0.1714957666980229,-0.45676209279368707,0.31936806298256976
2020-07-24,2020-08-21,28,255.56,256.0,16.635,25.87,0.29376994050841476,0.23503960669417487,0.7768924302788844,0.009936356195331736,-0.5551547941088072,-0.556988277727683,-1.0103321033210333,0.2230429066691033
2020-07-31,2020-08-28,28,265.79,266.0,14.675,26.53,0.24918213486986118,0.22401055891471403,0.6653386454183267,-0.0941052167645448,-0.8078364565587715,-0.8109369676320254,-1.0155419222903885,0.10649090565893157
2020-08-07,2020-09-04,28,271.47,271.0,15.395,12.58,0.2559382993703082,0.21518615619588946,0.5896414342629482,-0.11503672767091792,0.18285157518674997,0.1792465086066915,-0.49805825242718105,0.17343290107168444
2020-08-14,2020-09-11,28,272.16,272.0,15.055,1.55,0.24965133521653118,0.22580152799253214,0.6254980079681275,-0.14563760394658212,0.8970441713716366,0.8943540352042504,1.741598360655735,0.10040886657605615
2020-08-21,2020-09-18,28,281.87,282.0,14.965,15.13,0.23961019647233295,0.18411254303694602,0.5776892430278885,-0.15367651523769274,-0.011025726695622826,-0.013397928499832647,-1.0113702623906704,0.2634662039950785
2020-08-28,2020-09-25,28,292.53,292.5,18.02,20.94,0.27801088807609964,0.17037476487347275,0.7051792828685259,-0.13539025509037247,-0.16204217536071022,-0.1644284128745837,-1.0109567901234568,0.4896597687022852
2020-09-04,2020-10-02,28,283.58,284.0,23.71,9.69,0.37734046940537525,0.2634939106415743,0.8446215139442231,0.007161045922660056,0.5913116828342473,0.584436946436103,0.8589947089947095,0.35911762357314714
