kind,ticker,date,beaten,n_buyers,value,officer,ex20,ex60,ex120
SINGLE,AES,2011-09-08,False,1,199200.6,False,0.7544745997138564,7.972907891879574,6.14010794743497
SINGLE,AES,2018-12-31,False,1,481250.0,False,7.527381995876935,13.700321013067931,-2.387719309941854
SINGLE,AES,2019-05-14,False,1,41581020.0,False,1.2934248419893892,-5.625778946148799,1.4145195495699348
SINGLE,AES,2019-08-15,False,1,3050000.0,False,0.10864174765832413,10.448933160143838,25.652861432189532
SINGLE,AES,2021-09-17,False,1,416425.0,False,-2.027152996679602,-6.87488618613811,-6.4629739662014325
SINGLE,AES,2022-03-08,False,1,1001100.0,True,15.664352070637062,2.579053692739045,24.22951761695144
SINGLE,AFL,2012-05-23,False,1,63995.0,True,4.544510329631534,10.712957102576297,23.44797683131716
SINGLE,AFL,2015-05-13,False,1,64030.0,False,-1.1052863265519237,1.1164040727277236,2.1596126293975964
SINGLE,AFL,2017-06-14,False,1,77010.0,False,-0.6810737969714524,3.3684569203997823,4.859977140545038
SINGLE,AFL,2019-03-27,False,1,89694.0,False,-5.049782194035862,3.9077570854196404,-4.286699308665762
SINGLE,AFL,2019-11-11,False,1,54080.0,False,-2.794381097828234,-7.457012338693898,-19.086400630436945
SINGLE,AFL,2020-03-25,True,1,657250.0,True,-15.665539087394313,-31.881502622670745,-44.41999488958993
SINGLE,AFL,2020-08-19,True,1,38130.0,False,1.6713847961255983,2.308895523410059,8.390676722810156
SINGLE,AFL,2021-08-03,False,1,55215.0,False,1.1044462003053788,0.5476155160328277,11.03633887992479
SINGLE,AFL,2022-05-02,False,1,59360.0,False,5.575058176224525,-0.1346027929248773,15.672479384392963
CLUSTER,AFRM,2022-05-02,True,3,126219306.91,False,5.867677570236069,-3.093957302906462,-16.513934310338563
CLUSTER,AGCO,2014-10-10,True,3,87269587.05,False,0.10736056540172889,-8.762260354566088,-2.8253002633296607
SINGLE,AGCO,2010-12-02,False,1,74953.0,False,5.207076585376321,6.131598059700046,-3.6366440957421533
SINGLE,AGCO,2011-05-23,False,1,75049.35,False,1.6445887593351016,-4.955723203510551,8.904507427826575
SINGLE,AGCO,2011-08-12,True,1,50406.3,False,1.9255256941366965,11.424635839010445,17.43934437989939
SINGLE,AGCO,2024-11-18,False,1,251532.0,False,2.6288928653198074,6.447377782582341,13.423704991130037
SINGLE,AGCO,2025-05-08,False,1,250382.34,False,-4.115301635907694,2.3387509575165684,-14.079061212885842
SINGLE,AGNC,2023-05-26,False,1,98010.0,False,8.865120329260279,3.50699039004832,-2.192350243077163
SINGLE,AGNC,2023-07-31,False,1,50010.560000000005,False,3.024710713990317,-12.021179801250067,-1.8656463753449923
SINGLE,AGO,2010-05-26,True,1,283800.0,False,-15.712234630508444,11.99888821214991,-6.3439375909735745
SINGLE,AI,2021-06-14,False,1,645100.0,False,-3.7720140934993607,-18.955204167333882,-46.62058765100807
CLUSTER,AIG,2010-11-26,False,3,182777584.0,False,37.076424958324374,4.163093307503388,-26.843064554117987
CLUSTER,AIG,2011-11-22,True,3,723139.0,False,11.970023177324714,9.681206916022347,34.14433894163287
CLUSTER,AIG,2012-05-11,False,3,664984.5,False,1.3252693582652944,2.189222942000513,0.4735568044908489
SINGLE,AIG,2011-05-26,True,1,58000.0,False,7.040172951045596,0.9914531338435353,-2.6706666966484285
SINGLE,AIG,2012-02-29,False,1,407239.22,False,0.2128676332836148,9.025124378423241,20.786835978569236
SINGLE,AIG,2013-05-21,False,1,452000.0,False,1.5538912718517115,3.003306221916625,-2.0978909030703576
SINGLE,AIG,2014-05-12,False,1,262950.0,False,0.923827518696823,-1.7110820400105704,-5.890671693658353
SINGLE,AIG,2014-08-12,False,1,249924.0,False,0.6784665358685285,-4.533531626585492,-12.617548217237053
SINGLE,AIG,2015-05-06,False,1,248197.2,False,3.2000259783803138,8.640868078241681,5.331568914179366
SINGLE,AIG,2017-05-22,False,1,4918400.0,True,1.4194238472520375,-0.27222098733077127,-6.565428953913508
SINGLE,AIG,2019-05-24,False,1,51710.0,False,-2.9153038158488105,0.21844564298560432,-5.775372740239468
SINGLE,AIG,2020-05-11,True,1,482000.0,False,2.8543264612608397,-24.0816576567671,-21.561994492896396
SINGLE,AIG,2023-07-27,False,1,115977.15,False,-0.6717898445317334,6.487523759675462,9.208241145656432
SINGLE,AIG,2024-03-19,False,1,49682.01,False,-0.47373528514716456,-1.0417539833168754,-10.039833324672372
SINGLE,AIG,2024-11-27,False,1,50001.600000000006,False,0.6628905720774156,9.601869359606354,14.212908615387278
SINGLE,AIG,2025-08-11,False,1,50307.12,False,-1.6822587441500236,3.2165445387243756,-11.087413156354398
SINGLE,AJG,2018-06-22,False,1,600939.9,True,4.562163003172278,7.5461612217153515,17.210116289582892
SINGLE,AJG,2018-12-24,False,1,292800.0,True,-4.644402757440887,-4.88144590132398,-2.0754872846740966
SINGLE,AJG,2024-12-24,False,1,316816.1,False,-0.9939279274999278,18.66857077424112,10.822803794509449
SINGLE,AJG,2025-06-23,False,1,18783.83,True,-7.840556688929192,-16.427678775592454,-34.95720546265795
SINGLE,AJG,2025-11-04,False,1,988489.6399999999,True,-5.2503523635845415,-8.39093568393857,-20.829218057432932
CLUSTER,AKAM,2010-08-16,False,3,3561815.0,True,7.4229226575618,-6.758814190232414,-38.47349230915574
SINGLE,AKAM,2011-05-20,True,1,1632999.9999999998,False,-8.571126787680718,-17.57551506496756,-2.6390181349448945
SINGLE,AKAM,2014-05-13,False,1,496660.0,False,4.875413304790412,0.555602376780409,5.771503285592663
SINGLE,AKAM,2014-11-14,False,1,100400.8,False,-0.20322762534541372,3.551177294369133,14.948046181934712
SINGLE,AKAM,2024-05-15,False,1,2038960.0000000002,True,-5.847728952123623,2.7517659785167563,-3.3802964037712906
SINGLE,AKAM,2025-02-28,False,1,2998015.2,True,5.545820506251422,-2.208714601289827,-10.958158087356715
CLUSTER,ALB,2015-02-04,True,3,644049.56,False,8.541093005140898,17.308612394538546,2.6264795318572345
CLUSTER,ALB,2023-05-16,True,3,1489774.1999999997,True,-6.98534164969351,-28.785984798622792,-48.44801100256389
SINGLE,ALB,2012-07-25,False,1,57260.0,False,-3.587023604382929,-11.656976502889517,-1.1712594136971681
SINGLE,ALB,2015-09-02,True,1,195071.67,True,10.467322321922836,21.12456813539712,38.899623094034894
SINGLE,ALB,2019-05-16,True,1,70850.0,False,6.463958725082026,1.2615321248180416,-5.905416661597867
SINGLE,ALB,2019-08-21,True,1,199789.56,True,0.7220129605137506,-8.713310489078069,13.46596869769012
SINGLE,ALB,2023-11-08,True,1,167313.78,False,-9.288364492791318,-25.98776646450686,-17.138627826016318
CLUSTER,ALGN,2019-08-15,True,3,1304922.4100000001,True,-6.88053559089922,36.107503781793724,30.826126311116074
