day,gross,cost,net,trades,oc,cc
2018-07-30,0.0026880000000001018,0.0002,0.0024880000000001017,1,-0.014071822582460869,-0.011456628477905073
2018-07-31,-0.0001679999999998472,0.0002,-0.0003679999999998472,1,0.002218808670421568,0.005709065996802876
2018-08-02,0.015512000000000057,0.0002,0.015312000000000056,1,0.020812009553053512,0.019073569482289
2018-08-03,0.0,0.0,0.0,0,0.0016129929362034279,0.003119429590017875
2018-08-06,0.0,0.0,0.0,0,0.006667777962993782,0.006052865393158413
2018-08-07,0.0,0.0,0.0,0,0.0007157407917193215,0.0032566098139867883
2018-08-08,0.0,0.0,0.0,0,0.002038006058936892,0.0008802816901407606
2018-08-09,0.0,0.0,0.0,0,-0.0005496015388842812,-0.00038478452066836866
2018-08-10,0.0,0.0,0.0,0,-0.0009962364401151502,-0.007423700852350779
2018-08-13,-0.003464999999999975,0.0002,-0.003664999999999975,1,-0.002599269992257458,-0.0008310249307479367
2018-08-14,0.0,0.0,0.0,0,0.0025412960609911828,0.00621014693651234
2018-08-15,0.0016500000000002188,0.0004,0.0012500000000002188,2,-0.004386939138160906,-0.012013004904391944
2018-08-16,0.0,0.0,0.0,0,-0.004153513872736325,0.002956104634948886
2018-08-17,-0.0015399999999998499,0.0002,-0.00173999999999985,1,0.002955445268499446,0.00022244466688925435
2018-08-20,-0.0015949999999999563,0.0004,-0.0019949999999999564,2,-0.0032172176614156944,-0.0008895807850551884
2018-08-21,-0.0009349999999999312,0.0004,-0.0013349999999999313,2,0.0004992788194830844,0.0036171396772399778
2018-08-22,-0.0017050000000000125,0.0004,-0.0021050000000000127,2,0.006001667129758248,0.003770446354311119
2018-08-23,-0.0013199999999998937,0.0002,-0.0015199999999998936,1,0.0,-0.0014362260398828042
2018-08-24,0.0006049999999999188,0.0002,0.0004049999999999187,1,0.0060091515519047345,0.009459534214747878
2018-08-27,0.0007560000000000799,0.0002,0.0005560000000000798,1,0.004742953715313858,0.009973695747479194
2018-08-28,0.0,0.0,0.0,0,-0.0010823096487904138,0.0015735214324470448
2018-08-29,0.0056160000000001105,0.0002,0.005416000000000111,1,0.009896706505867714,0.011647434855625916
2018-08-30,-0.0010599999999999397,0.0002,-0.0012599999999999398,1,-0.0003754961913957633,-0.0020884652457964226
2018-08-31,0.0,0.0,0.0,0,0.00230959286711796,0.001395224040783516
2018-09-04,-0.004027999999999801,0.0004,-0.004427999999999801,2,-0.0012358946802794035,-0.0039654895236054255
2018-09-05,0.003604000000000036,0.0002,0.0034040000000000363,1,-0.01131709420133642,-0.012966051541399848
2018-09-06,0.0029160000000001103,0.0002,0.0027160000000001107,1,-0.009425738258690197,-0.008993786111413993
2018-09-07,0.0,0.0,0.0,0,0.003988035892322994,-0.003025136131125983
2018-09-10,0.0,0.0,0.0,0,-0.0021963540522732528,0.0025377910184265495
2018-09-11,-0.0018699999999998624,0.0004,-0.0022699999999998624,2,0.011881735285990569,0.007594100814439786
2018-09-12,-0.006911999999999852,0.0004,-0.0073119999999998525,2,-0.0015311423415541592,-0.002785363189513834
2018-09-13,0.0,0.0,0.0,0,0.004301660767764837,0.010131989703707767
2018-09-14,0.0,0.0,0.0,0,-0.003574136250406146,-0.002385599653003667
2018-09-18,0.00038499999999996247,0.0002,0.00018499999999996248,1,0.0072172332102915515,0.008161464652034711
2018-09-19,0.00021599999999995703,0.0002,1.5999999999957028e-05,1,-0.0008749863283387116,-0.0006563833278635522
2018-09-20,-0.0012420000000000983,0.0002,-0.0014420000000000982,1,0.0038055887789496534,0.010618500273672726
2018-09-21,0.0,0.0,0.0,0,-0.00858160621761661,-0.005145147313691423
2018-09-24,0.0,0.0,0.0,0,0.009666080843585112,0.0008165931732810883
2018-09-25,0.0,0.0,0.0,0,0.0019044509739905013,0.0015774586597041562
2018-09-26,-0.009827999999999656,0.0006,-0.010427999999999656,3,-0.00016282225237451708,0.0004887850974855112
2018-09-27,-0.00043199999999991406,0.0002,-0.0006319999999999141,1,0.0042153047989623715,0.008685267614808367
2018-09-28,0.0,0.0,0.0,0,0.0029152944987314022,-0.0002690776019803609
2018-10-02,0.0004240000000000663,0.0002,0.00022400000000006627,1,-0.0010755579456842579,-0.00010766000968942535
2018-10-03,0.0,0.0,0.0,0,-0.0027879047823290426,0.0013458950201883368
2018-10-04,0.009752000000000018,0.0002,0.009552000000000019,1,-0.015009178274484447,-0.019139784946236582
2018-10-05,0.0037260000000002946,0.0004,0.003326000000000295,2,-0.01206140350877205,-0.012278009208506968
2018-10-08,-0.0022000000000000314,0.0002,-0.0024000000000000314,1,-0.0014496793978254763,-0.0061598224195337226
2018-10-09,-0.000714999999999975,0.0002,-0.000914999999999975,1,0.0021767036892337277,0.0026243788039532756
2018-10-10,0.0252,0.0002,0.025,1,-0.03830645161290325,-0.04366228558699048
2018-10-11,-0.019024000000000006,0.0004,-0.019424000000000007,2,-0.008417606827614388,-0.012170976007453982
2018-10-12,0.0,0.0,0.0,0,0.0018966607276278413,0.02764841124801043
2018-10-15,-0.006555000000000032,0.0002,-0.006755000000000033,1,-0.009153186345057907,-0.01262046810463513
2018-10-16,0.012710999999999941,0.0002,0.012510999999999942,1,0.01804597701149424,0.029165698349988167
2018-10-17,-0.003975999999999885,0.0002,-0.0041759999999998855,1,-0.004827121688369962,0.0009032403748447937
2018-10-18,0.007168000000000006,0.0002,0.006968000000000006,1,-0.018459796149490337,-0.02233502538071075
2018-10-19,-0.004559999999999903,0.0002,-0.004759999999999903,1,-0.007741269568209197,-0.001730702665282191
2018-10-22,0.0,0.0,0.0,0,-0.0006320749296099271,0.005085529357373941
2018-10-23,-0.0010439999999998747,0.0002,-0.0012439999999998748,1,0.015222482435597096,-0.0029898804047836514
2018-10-24,0.03682200000000005,0.0002,0.03662200000000005,1,-0.04493992606284658,-0.046482122260668945
2018-10-25,0.011033000000000027,0.0002,0.010833000000000027,1,0.017619047619047645,0.033990564896576814
2018-10-26,0.0,0.0,0.0,0,0.009137670196671666,-0.02456715021057565
2018-10-29,0.005251000000000087,0.0002,0.0050510000000000875,1,-0.032166508987701015,-0.01846965699208436
2018-10-30,-0.0035379999999999028,0.0002,-0.003737999999999903,1,0.018546950807590612,0.01325757575757569
2018-10-31,-5.899999999977865e-05,0.0004,-0.00045899999999977865,2,0.006645701062125475,0.02291227012360575
2018-11-01,-0.0015079999999999473,0.0002,-0.0017079999999999472,1,0.011874669331608745,0.014618331859711065
2018-11-02,0.0006380000000000792,0.0002,0.0004380000000000791,1,-0.011718066810470384,-0.015162958229245294
2018-11-05,0.0013340000000001055,0.0002,0.0011340000000001054,1,-0.0037738074178902403,-0.003362435110901507
2018-11-06,-0.005722999999999994,0.0002,-0.005922999999999993,1,0.007873083525720581,0.0077537733057118086
2018-11-07,0.00858399999999994,0.0002,0.00838399999999994,1,0.018751814223512353,0.030658992129684037
2018-11-08,0.0,0.0,0.0,0,-0.0015449759670403962,-0.005641668566218283
2018-11-09,-0.00273599999999978,0.0004,-0.0031359999999997796,2,-0.007520971940989218,-0.01684910310046417
2018-11-12,0.012934000000000105,0.0002,0.012734000000000106,1,-0.02243100411039356,-0.02955406587000886
2018-11-13,0.0,0.0,0.0,0,-0.0038887227041579653,0.00012013455069692647
2018-11-14,0.0,0.0,0.0,0,-0.01749167063303203,-0.008168168168168233
2018-11-15,0.00036000000000001363,0.0002,0.00016000000000001365,1,0.019777953042528607,0.01786363085866549
2018-11-16,0.0,0.0,0.0,0,0.006186557751216348,-0.0033910405140102906
2018-11-19,0.02023700000000004,0.0002,0.02003700000000004,1,-0.028129310861872425,-0.032712511938873035
2018-11-20,0.0,0.0,0.0,0,0.005494158509630642,-0.01740311034312514
2018-11-21,0.0,0.0,0.0,0,-0.005456687542630512,0.007348323074990448
2018-11-26,-0.003171999999999889,0.0002,-0.003371999999999889,1,0.009292528806839284,0.023174024995289866
2018-11-27,0.0,0.0,0.0,0,0.009074074074074012,0.0033758900073657117
2018-11-28,0.01038000000000011,0.0002,0.010180000000000109,1,0.024480622038634436,0.03168777145653645
2018-11-29,0.0,0.0,0.0,0,0.0007736713682080509,-0.0029054254372962163
2018-11-30,0.0,0.0,0.0,0,0.006296406296406376,0.007433396764985778
