ticker,entry_date,roc_net,roc,credit_pct_of_width,vix_on_entry,max_loss,entry,month,cw
QQQ,2020-03-27,0.16639757820383452,0.17709384460141273,0.17416666666666666,65.54,991.0,2020-03-27,2020-03,0.17416666666666666
QQQ,2020-04-03,0.1208182912154031,0.13116726835138387,0.16899999999999998,46.8,831.0,2020-04-03,2020-04,0.16899999999999998
QQQ,2020-09-11,0.10854408749145586,0.1250854408749145,0.18722222222222218,26.87,731.5,2020-09-11,2020-09,0.18722222222222218
QQQ,2020-09-18,0.11221001221001219,0.12148962148962143,0.18099999999999997,25.83,819.0000000000001,2020-09-18,2020-09,0.18099999999999997
QQQ,2020-09-25,0.09565217391304347,0.1033396345305608,0.16473684210526318,26.38,793.5,2020-09-25,2020-09,0.16473684210526318
QQQ,2020-10-02,0.1178305084745763,0.12881355932203392,0.18055555555555558,27.63,737.5,2020-10-02,2020-10,0.18055555555555558
QQQ,2020-10-30,0.18196078431372545,0.18879551820728285,0.1886363636363636,38.02,892.5000000000001,2020-10-30,2020-10,0.1886363636363636
QQQ,2021-02-26,0.08389513108614223,0.08935259497057241,0.1504545454545454,27.95,934.5000000000001,2021-02-26,2021-02,0.1504545454545454
QQQ,2021-03-05,0.09766913018760665,0.1057418988061399,0.16238095238095243,24.66,879.5,2021-03-05,2021-03,0.16238095238095243
QQQ,2021-03-12,0.10287425149700596,0.10958083832335327,0.16499999999999998,20.69,835.0,2021-03-12,2021-03,0.16499999999999998
QQQ,2021-03-19,0.14511904761904762,0.1529761904761905,0.16,20.95,840.0,2021-03-19,2021-03,0.16
QQQ,2021-05-21,0.09136531365313653,0.10184501845018448,0.15312499999999998,20.15,677.5,2021-05-21,2021-05,0.15312499999999998
QQQ,2021-10-01,0.1129761904761905,0.12202380952380956,0.16000000000000003,21.15,840.0,2021-10-01,2021-10,0.16000000000000003
QQQ,2021-12-17,0.10910158543746327,0.11978860833822666,0.1485,21.57,851.5,2021-12-17,2021-12,0.1485
QQQ,2022-01-21,0.15221130221130214,0.16277641277641275,0.186,28.85,814.0,2022-01-21,2022-01,0.186
QQQ,2022-01-28,0.11527472527472535,0.12362637362637367,0.17272727272727276,27.66,910.0,2022-01-28,2022-01,0.17272727272727276
QQQ,2022-02-04,0.10249110320284695,0.10913404507710556,0.15699999999999997,23.22,843.0,2022-02-04,2022-02,0.15699999999999997
QQQ,2022-02-11,0.09035785288270382,0.10288270377733605,0.1616666666666667,27.36,1005.9999999999999,2022-02-11,2022-02,0.1616666666666667
QQQ,2022-02-18,0.13323308270676698,0.14135338345864668,0.16875000000000004,27.75,997.5,2022-02-18,2022-02,0.16875000000000004
QQQ,2022-02-25,0.17776679841897225,0.18527667984189722,0.15666666666666665,27.59,1012.0000000000001,2022-02-25,2022-02,0.15666666666666665
QQQ,2022-03-04,0.13376865671641788,0.14179104477611937,0.17538461538461536,31.98,1072.0,2022-03-04,2022-03,0.17538461538461536
QQQ,2022-03-11,0.13452320244773075,0.14278429372768997,0.1829166666666667,30.75,980.5,2022-03-11,2022-03,0.1829166666666667
QQQ,2022-03-18,0.08732394366197185,0.09624413145539906,0.148,23.87,852.0,2022-03-18,2022-03,0.148
QQQ,2022-04-08,-1.0040531561461796,-1.0000000000000002,0.1638888888888889,21.16,752.5,2022-04-08,2022-04,0.1638888888888889
QQQ,2022-04-22,-1.0052247873633045,-0.9999999999999996,0.17700000000000005,28.21,823.0,2022-04-22,2022-04,0.17700000000000005
QQQ,2022-04-29,0.18319755600814666,0.19093686354378822,0.18166666666666667,33.4,982.0,2022-04-29,2022-04,0.18166666666666667
QQQ,2022-05-06,0.06482164821648218,0.07011070110701109,0.187,30.19,812.9999999999999,2022-05-06,2022-05,0.187
QQQ,2022-05-13,0.14856794637416207,0.15843997562461914,0.1795,28.87,820.5,2022-05-13,2022-05,0.1795
QQQ,2022-05-20,0.14525547445255463,0.15450121654501206,0.17799999999999994,29.43,822.0000000000001,2022-05-20,2022-05,0.17799999999999994
QQQ,2022-05-27,0.10766101694915255,0.11593220338983051,0.18055555555555555,25.72,737.5,2022-05-27,2022-05,0.18055555555555555
QQQ,2022-06-03,-0.9891763104152484,-0.9850238257317904,0.1838888888888889,24.79,734.5,2022-06-03,2022-06,0.1838888888888889
QQQ,2022-06-10,0.18287122612446086,0.1916204559457794,0.18849999999999997,27.75,811.5,2022-06-10,2022-06,0.18849999999999997
QQQ,2022-06-17,0.1037433155080214,0.11459129106187932,0.181875,31.13,654.5,2022-06-17,2022-06,0.181875
QQQ,2022-06-24,0.14299575500303216,0.14918132201334144,0.17550000000000002,27.23,824.4999999999999,2022-06-24,2022-06,0.17550000000000002
QQQ,2022-07-01,0.10324528301886796,0.1109433962264151,0.171875,26.7,662.5,2022-07-01,2022-07,0.171875
QQQ,2022-07-08,0.15842185128983305,0.1684370257966616,0.17625,24.64,659.0,2022-07-08,2022-07,0.17625
QQQ,2022-07-15,0.13788343558282212,0.14647239263803682,0.18500000000000003,24.23,652.0,2022-07-15,2022-07,0.18500000000000003
QQQ,2022-09-02,0.17315436241610743,0.17937766931055524,0.18050000000000002,25.47,819.5,2022-09-02,2022-09,0.18050000000000002
QQQ,2022-09-16,0.1850746268656717,0.19267299864314794,0.1811111111111111,26.3,737.0,2022-09-16,2022-09,0.1811111111111111
QQQ,2022-09-23,0.17426356589147296,0.1813953488372094,0.19375000000000003,29.92,644.9999999999999,2022-09-23,2022-09,0.19375000000000003
QQQ,2022-09-30,0.1491479209270621,0.1561008861622359,0.18500000000000003,31.62,733.5,2022-09-30,2022-09,0.18500000000000003
QQQ,2022-10-07,0.1313455657492355,0.139908256880734,0.18250000000000002,31.36,654.0,2022-10-07,2022-10,0.18250000000000002
QQQ,2022-10-14,0.1131888544891641,0.11950464396284834,0.1925,32.02,807.4999999999999,2022-10-14,2022-10,0.1925
