entry,day,gap,POS,fly,straddle,ratio,WKND,half
2011-01-27,2011-01-28,1,0,-100.0,-270.0159489633164,3.5151515151515054,0,2010-2017
2011-02-03,2011-02-04,1,0,51.82601559294169,83.77501352082145,0.15873015873016474,0,2010-2017
2011-02-10,2011-02-11,1,0,-26.79355783308931,-39.27227101631287,1.3214285714285876,0,2010-2017
2011-02-24,2011-02-25,1,0,-37.09528214616033,-17.38550466874105,1.142857142857137,0,2010-2017
2011-03-03,2011-03-04,1,0,40.69369809477261,49.640287769783974,0.4912280701754405,0,2010-2017
2011-03-10,2011-03-11,1,0,25.87412587412566,41.94885970974406,0.5675675675675699,0,2010-2017
2011-03-24,2011-03-25,1,0,31.952435749904005,65.19577377252938,0.33532934131736664,0,2010-2017
2011-03-30,2011-03-31,1,1,15.781710914453766,43.19682959048787,0.544303797468363,0,2010-2017
2011-03-31,2011-04-01,1,0,52.25486139842809,83.4966477565759,0.1592039800994991,0,2010-2017
2011-04-07,2011-04-08,1,0,56.316011829319336,83.18385650224151,0.1648351648351711,0,2010-2017
2011-04-20,2011-04-21,1,0,-5.9089198343997,0.9247027741083231,0.9493670886075949,0,2010-2017
2011-04-28,2011-04-29,1,1,2.6615969581733876,30.513595166161934,0.6666666666666783,0,2010-2017
2011-05-05,2011-05-06,1,0,72.07334273624939,85.33850797757762,0.14225941422593094,0,2010-2017
2011-05-12,2011-05-13,1,0,-16.497770571544297,-14.86086441681456,1.1213872832369929,0,2010-2017
2011-05-26,2011-05-27,1,0,8.544187752107781,33.503836317134244,0.6419753086419879,0,2010-2017
2011-06-02,2011-06-03,1,0,-57.884427032320595,-31.711409395972563,1.2868852459016338,0,2010-2017
2011-06-09,2011-06-10,1,0,-52.93072824156295,-51.23456790123445,1.4554455445544543,0,2010-2017
2011-06-23,2011-06-24,1,0,-26.840420667581444,-13.260972156677935,1.0859728506787356,0,2010-2017
2011-06-29,2011-06-30,1,0,-20.524691358024604,-19.827053736874472,1.147928994082839,0,2010-2017
2011-06-30,2011-07-01,1,0,-92.7331449333869,-116.553287981859,2.0760869565217352,0,2010-2017
2011-07-07,2011-07-08,1,1,-64.22338568935459,-57.89473684210559,1.5436893203883528,0,2010-2017
2011-07-21,2011-07-22,1,0,35.50600343053282,57.97898949474863,0.40579710144926323,0,2010-2017
2011-07-28,2011-07-29,1,0,34.22042233150089,52.43091990206319,0.4641638225256019,0,2010-2017
2011-08-11,2011-08-12,1,0,46.50896604349498,56.423741547708616,0.4249084249084237,0,2010-2017
2011-08-25,2011-08-26,1,0,13.653413353338362,24.794808169498037,0.728280961182994,0,2010-2017
2011-09-01,2011-09-02,1,0,-66.23430100885349,-77.95187465025218,1.7377049180327906,0,2010-2017
2011-09-08,2011-09-09,1,0,-100.0,-83.26458456098992,1.78735632183908,0,2010-2017
2011-09-22,2011-09-23,1,0,55.97742432016428,80.44009779951111,0.1884368308351168,0,2010-2017
2011-09-29,2011-09-30,1,0,-44.605009633911095,-35.10310500118484,1.3225058004640344,0,2010-2017
2011-10-06,2011-10-07,1,0,58.55234812580815,82.90598290598327,0.16666666666666313,0,2010-2017
2011-10-13,2011-10-14,1,0,-76.58210203512675,-95.15885022692872,1.8832116788321154,0,2010-2017
2011-10-27,2011-10-28,1,1,44.31849599115365,71.52245345016529,0.2775800711743675,0,2010-2017
2011-11-03,2011-11-04,1,0,55.737704918032705,67.47468548634544,0.3145400593471817,0,2010-2017
