day,entry,K,S_prev,S_t,mid,ba_pct,implied_pct,ratio,gex,vix,long_mid,long_fill,short_fill,short_usd,NEG,half,yr
2011-09-30,2011-09-29,116.0,116.01,113.15,2.1550000000000002,6.0324825986078885,1.857598482889406,1.3225058004640344,-2772313468.8571258,38.84000015258789,32.250580046403435,29.516019086570957,-35.10310500118484,-74.04999999999941,1.0,2010-2017,2011
2011-10-07,2011-10-06,116.0,116.52,115.68,1.92,7.291666666666662,1.6477857878475797,0.16666666666666313,-1548080915.3153193,36.27000045776367,-83.3333333333337,-83.73983739837433,82.90598290598327,155.2000000000007,1.0,2010-2017,2011
2011-10-14,2011-10-13,120.0,120.48,122.58,1.37,10.218978102189782,1.1371181938911024,1.8832116788321154,-1523770008.6931434,30.700000762939453,88.32116788321154,81.94640338504925,-95.15885022692872,-125.7999999999998,1.0,2010-2017,2011
2011-10-28,2011-10-27,129.0,128.6,128.61,1.405,6.405693950177933,1.0925349922239502,0.2775800711743675,504054398.5245161,25.459999084472656,-72.24199288256324,-72.9260673377309,71.52245345016529,97.95000000000138,0.0,2010-2017,2011
2011-11-04,2011-11-03,126.0,126.26,125.47,1.6849999999999998,10.08902077151335,1.3345477585933785,0.3145400593471817,-1003816846.4997873,30.5,-68.54599406528182,-69.54898017810966,67.47468548634544,109.94999999999987,1.0,2010-2017,2011
2011-11-11,2011-11-10,124.0,124.25,126.68,1.705,5.278592375366573,1.3722334004024144,1.5718475073313822,-2039169348.316144,32.810001373291016,57.18475073313822,53.97874174087946,-60.52710392333073,-101.05000000000067,1.0,2010-2017,2011
2011-12-02,2011-12-01,125.0,124.97,124.83,1.5299999999999998,6.5359477124183,1.2242938305193245,0.11111111111111224,-648288982.6656256,27.40999984741211,-88.88888888888877,-89.15816326530602,88.60589812332428,132.19999999999982,1.0,2010-2017,2011
2011-12-09,2011-12-08,124.0,123.97,126.03,2.045,3.422982885085572,1.6495926433814632,0.9926650366748172,-1580790934.272609,30.59000015258789,-0.7334963325182784,-2.192242833052217,-0.7694216927277826,-1.550000000000118,1.0,2010-2017,2011
2011-12-23,2011-12-22,125.0,125.31,126.38,0.97,14.432989690721646,0.7740802809033596,1.4226804123711294,132798829.03402983,21.15999984741211,42.26804123711293,35.55992141453789,-49.67462039045505,-45.79999999999955,0.0,2010-2017,2011
2011-12-30,2011-12-29,126.0,126.16,125.59,0.9500000000000001,8.421052631578943,0.7530120481927711,0.43157894736841745,-83208568.16389154,22.649999618530273,-56.84210526315826,-58.29094608341846,55.28898582333734,50.700000000000344,1.0,2010-2017,2011
2012-01-06,2012-01-05,128.0,128.06,127.79,1.08,3.703703703703707,0.8433546774949243,0.19444444444443865,-253481479.94037127,21.479999542236328,-80.55555555555614,-80.9610154125119,80.13245033112642,84.70000000000064,1.0,2010-2017,2012
2012-01-13,2012-01-12,130.0,129.53,128.95,0.865,5.780346820809254,0.6677989654906199,1.2138728323699552,336929984.3568373,20.469999313354492,21.387283236995536,17.911285794498756,-25.0744490768328,-21.050000000001134,0.0,2010-2017,2012
2012-01-27,2012-01-26,132.0,131.88,131.71,0.8,7.5,0.6066120715802246,0.36249999999999005,-873100449.8003899,18.56999969482422,-63.750000000000995,-64.97584541062899,62.43523316062279,48.2000000000008,1.0,2010-2017,2012
2012-02-03,2012-02-02,133.0,132.67,134.55,0.9199999999999999,8.695652173913052,0.6934499133187608,1.6847826086956648,-333148022.7494343,17.979999542236328,68.47826086956647,62.64428121721002,-74.74633596392464,-66.30000000000115,1.0,2010-2017,2012
2012-02-10,2012-02-09,135.0,135.35,134.37,0.8400000000000001,4.761904761904746,0.6206132249722942,0.7499999999999946,165108937.44843173,18.6299991607666,-25.00000000000055,-26.99884125144897,22.888616891065432,18.70000000000046,0.0,2010-2017,2012
2012-02-24,2012-02-23,137.0,136.63,136.87,0.745,9.395973154362409,0.5452682426992608,0.1744966442952959,-570259285.0520607,16.799999237060547,-82.55033557047041,-83.23662153449446,81.80545836249189,58.45000000000046,1.0,2010-2017,2012
