date,exit_date,sym,dec_entry,dec_exit,base,exit_gain,entry_gain
2020-12-03,2021-01-26,CRSP,9.0,10.0,20.696277001216814,-5.318240683214801,-0.6905780404026556
2020-12-03,2020-12-29,DECK,9.0,9.0,2.6387200792938437,-0.11426112176454935,0.0035714262363999764
2020-12-03,2021-01-14,RNG,8.0,8.0,11.592181960533132,1.097240417902341,0.062283335847673434
2020-12-03,2020-12-04,ULTA,10.0,10.0,-3.450416287256708,-0.49735863208562925,3.2051942176709773
2020-12-04,2020-12-14,AA,9.0,9.0,-8.301726590907476,1.4959996784687657,0.9270994803534222
2020-12-04,2020-12-30,BILL,5.0,5.0,8.730092965224578,0.42778521094220634,-1.3467455462511557
2020-12-04,2020-12-28,BKR,3.0,1.0,-4.176255631092019,1.0096551066525725,1.055543539920745
2020-12-04,2021-01-26,CRWD,10.0,10.0,23.639848047051014,-4.065528682939121,-0.4424282658539836
2020-12-04,2020-12-29,DECK,9.0,9.0,-0.40537668517049985,-0.11087232355273592,0.9216256938937352
2020-12-04,2020-12-07,DRI,9.0,9.0,-2.3515268460905125,-0.5835060776451694,1.1670639506571356
2020-12-04,2021-01-04,MGM,10.0,10.0,-3.3106106118607426,-0.585991773721329,0.26041592410766695
2020-12-04,2021-01-04,XPO,10.0,10.0,-2.8271258749395733,-0.575433025815748,-0.9090127227563166
2020-12-04,2020-12-07,ZION,4.0,4.0,-2.521578401341096,-2.294395525259924,0.18173557655814118
2020-12-07,2020-12-30,BILL,6.0,5.0,5.6338087715317675,0.41560326065766523,-0.053880803636648905
2020-12-07,2021-01-26,CRWD,10.0,10.0,21.134021539990066,-3.98313203089011,-0.33387538739108497
2020-12-07,2020-12-28,CVNA,7.0,8.0,-2.854605633869234,0.5832782229829612,-0.19313672789515005
2020-12-07,2020-12-31,IOVA,1.0,1.0,-0.21505048198084964,0.7526848905829973,-0.4516109343497984
2020-12-07,2020-12-16,SPOT,1.0,1.0,-6.8625734563459435,1.3450310244197734,1.4619883040935673
2020-12-07,2021-01-29,TSLA,10.0,10.0,23.649033297357146,3.2348461898784837,2.5321016264462664
2020-12-08,2020-12-30,BILL,6.0,5.0,4.325024739280692,0.4104540104542888,-0.26604295379356513
2020-12-08,2020-12-31,CHWY,9.0,9.0,13.56916949680409,1.1370833967509673,1.4529393603396223
2020-12-08,2020-12-09,CRWD,10.0,10.0,-6.372547797418504,-0.46201943045373406,1.1494215321396204
2020-12-08,2021-01-04,FND,6.0,7.0,5.415574107377785,-0.7296766575405619,-1.9154034006519474
2020-12-08,2020-12-09,TSLA,10.0,10.0,-6.985904262531573,-4.63316321337593,-0.5862640607825189
2020-12-08,2020-12-29,YETI,9.0,9.0,2.488819980509227,0.20865428051681134,-0.6855426153997115
2020-12-09,2020-12-29,YETI,9.0,9.0,-1.2209222493277716,0.20110171433430796,1.2496448035902206
2020-12-10,2021-01-04,FND,7.0,7.0,2.3013962096309237,-0.7081206119689655,0.25447636039883215
2020-12-10,2020-12-31,IOVA,1.0,1.0,-6.224733316192377,0.7073534303943023,-0.060628091298319274
2020-12-10,2020-12-31,TWLO,6.0,7.0,1.1927864990260106,0.14947235819649338,0.4065695582902055
2020-12-11,2020-12-30,BILL,6.0,5.0,-4.308717138228491,0.376485612289927,-0.013947063712229629
2020-12-11,2021-01-06,MDB,1.0,1.0,-1.382356531479778,0.7911771886488971,-0.6499974867876839
2020-12-11,2021-01-04,SRPT,8.0,4.0,-1.1659962586589079,-0.08371166290960208,-2.2422864606718047
2020-12-11,2021-01-26,Z,10.0,10.0,10.120979622211346,-2.3009438080348557,-1.6612618838662225
2020-12-14,2021-01-26,Z,10.0,10.0,3.801152398536778,-2.1688929729619075,-1.1627022284292046
2020-12-14,2021-01-26,ZG,10.0,10.0,5.833635405269688,-2.157636101420791,-0.5375993650392472
2020-12-15,2021-01-04,FND,7.0,7.0,-2.4374777254598023,-0.6753185737242098,-0.9496692600598002
2020-12-16,2020-12-31,CHWY,9.0,9.0,-4.494266078936349,0.9562276876490952,-2.1993196285785177
2020-12-16,2021-01-04,ETSY,9.0,9.0,-5.626848038223797,-1.0365248588390432,-1.0858895613110608
2020-12-16,2021-01-04,PENN,10.0,10.0,-8.835798118644522,-0.7100160369471451,-0.07889067077190502
2020-12-17,2020-12-22,AG,10.0,10.0,-3.7066316600902094,0.9463710075209805,0.23658223410736842
2020-12-17,2020-12-28,CHWY,9.0,9.0,-7.556398155084764,0.38929865088879245,-1.6869658976422826
2020-12-17,2020-12-28,CVNA,8.0,8.0,-7.537039162884374,0.555164059405156,-0.18750908565986418
2020-12-17,2020-12-28,ETSY,9.0,9.0,-5.30569413210753,0.8107438095638291,-1.3237587206694204
2020-12-17,2020-12-29,OKTA,5.0,6.0,-3.544973759178216,0.025797739425288443,-1.2451626427141291
2020-12-17,2020-12-31,PENN,10.0,10.0,-5.647802181820117,-1.2125853170745164,-0.9176276267090815
2020-12-17,2020-12-28,SHOP,10.0,10.0,-2.791524337509932,1.7745777712029926,-0.15593059992386124
2020-12-17,2021-01-29,TSLA,10.0,10.0,20.98338720553665,3.1651088464173904,-1.9820071447145988
2020-12-18,2020-12-28,BILL,5.0,5.0,-4.7812005291114845,1.33036277440806,2.3298196282968098
2020-12-18,2021-01-04,BL,8.0,8.0,-5.0968677298321,-0.2608036379137028,0.9836006672479863
2020-12-18,2020-12-31,ESTC,8.0,8.0,-4.8323008931782425,0.560078536801903,1.1331849290667555
2020-12-18,2020-12-28,FND,7.0,7.0,-5.723911880118326,0.8120416593033467,1.9211748632537984
2020-12-18,2021-01-29,TSLA,10.0,10.0,14.176980125877758,2.9870429172204562,4.138130810675734
2020-12-18,2020-12-24,UPWK,10.0,10.0,-5.993533703766596,1.865207702254381,1.5419023775212721
2020-12-18,2021-01-06,ZS,9.0,8.0,-5.850524008677283,1.8761501736516832,-0.39309219648658367
2020-12-21,2020-12-22,AG,10.0,10.0,-7.006854576515897,0.9139364241191748,-5.108820687271116e-07
2020-12-21,2020-12-28,CHWY,9.0,9.0,-13.843145919750178,0.3628238881748925,-0.790769830694725
2020-12-21,2021-01-04,CRWD,10.0,10.0,-4.823161024306999,-0.11631159889658634,-1.1227180449510248
2020-12-21,2020-12-30,NTRA,3.0,3.0,-6.400910990590292,0.2745960740946334,0.12783082610572039
2020-12-21,2020-12-28,OKTA,5.0,5.0,-4.641797252044688,1.0996583745851514,-0.6115255521301333
2020-12-21,2021-01-15,P,3.0,3.0,0.3071509083464985,0.6143018166930074,-0.17551121795461933
2020-12-21,2020-12-28,ROKU,9.0,9.0,-3.8389820163532873,-0.12712209238170905,-0.6581882972501766
2020-12-21,2021-01-05,ZS,9.0,9.0,-3.0758438732772952,-2.980661804319364,-1.3074845577565284
2020-12-22,2020-12-29,CRWD,10.0,10.0,-8.434860709438041,0.8181465747511746,-0.32459359988428016
2020-12-22,2020-12-23,MDB,1.0,1.0,-4.994949186691134,1.0555537060053661,-0.3207042963817866
2020-12-22,2020-12-29,NTRA,3.0,3.0,-10.71685262116513,0.044918300300837474,0.4401705579525918
2020-12-22,2020-12-23,OKTA,5.0,5.0,-4.57983781873692,1.2745149056888248,-0.49019393087020724
2020-12-22,2020-12-31,P,3.0,3.0,-3.6231820430192463,0.895136797390786,-0.9803983740868548
