trade_date,expiry,year,short_delta,settle,sp,sc,put_cr,call_cr,net_cr,put_w,call_w,pnl_A,max_loss_A,win_A,pnl_B,win_B,roc_A
2021-12-09,2021-12-10,2021,0.12,4712.02001953125,4620.0,4720.0,2.2,2.075,4.275,50.0,50.0,3.9750000000000005,45.725,True,3.9750000000000005,True,0.08693275013668672
2021-12-09,2021-12-10,2021,0.15,4712.02001953125,4630.0,4715.0,2.8749999999999996,2.7750000000000004,5.65,50.0,50.0,5.3500000000000005,44.35,True,5.3500000000000005,True,0.12063134160090193
2021-12-09,2021-12-10,2021,0.2,4712.02001953125,4640.0,4710.0,3.9000000000000004,3.625,7.525,50.0,50.0,5.2049804687500005,42.475,True,5.2049804687500005,True,0.12254221233078282
2021-12-14,2021-12-15,2021,0.1,4709.85009765625,4550.0,4695.0,2.2500000000000004,2.2750000000000004,4.525,50.0,50.0,-10.62509765625,45.475,False,-0.32500000000000034,False,-0.2336470072842221
2021-12-14,2021-12-15,2021,0.12,4709.85009765625,4560.0,4690.0,2.9749999999999996,2.85,5.824999999999999,50.0,50.0,-14.325097656250001,44.175,False,-0.17500000000000088,False,-0.3242806486983589
2021-12-14,2021-12-15,2021,0.15,4709.85009765625,4570.0,4685.0,3.875000000000001,3.575,7.450000000000001,50.0,50.0,-17.700097656249998,42.55,False,7.216449660063518e-16,True,-0.41598349368390125
2021-12-14,2021-12-15,2021,0.2,4709.85009765625,4580.0,4675.0,4.950000000000001,5.3500000000000005,10.3,50.0,50.0,-24.85009765625,39.7,False,-0.7000000000000004,False,-0.6259470442380353
2021-12-16,2021-12-17,2021,0.1,4620.64013671875,4580.0,4725.0,2.875,1.425,4.3,50.0,50.0,4.0,45.7,True,4.0,True,0.087527352297593
2021-12-16,2021-12-17,2021,0.12,4620.64013671875,4590.0,4720.0,3.4499999999999993,1.775,5.225,50.0,50.0,4.925,44.775,True,4.925,True,0.10999441652707985
2021-12-16,2021-12-17,2021,0.15,4620.64013671875,4600.0,4715.0,4.324999999999999,2.175,6.499999999999999,50.0,50.0,6.199999999999999,43.5,True,6.199999999999999,True,0.14252873563218388
2021-12-16,2021-12-17,2021,0.2,4620.64013671875,4620.0,4705.0,6.3999999999999995,3.4749999999999996,9.875,50.0,50.0,9.575,40.125,True,9.575,True,0.23862928348909657
2021-12-21,2021-12-22,2021,0.1,4696.56005859375,4565.0,4685.0,1.8749999999999996,1.8,3.675,50.0,50.0,-8.18505859375,46.325,False,-0.22500000000000026,False,-0.17668771923907176
2021-12-21,2021-12-22,2021,0.12,4696.56005859375,4575.0,4680.0,2.6249999999999996,2.375,5.0,50.0,50.0,-11.86005859375,45.0,False,-0.04999999999999999,False,-0.2635568576388889
2021-12-21,2021-12-22,2021,0.15,4696.56005859375,4580.0,4675.0,3.05,3.1249999999999996,6.174999999999999,50.0,50.0,-15.685058593750002,43.825,False,-0.37500000000000017,False,-0.3579020785795779
2021-12-21,2021-12-22,2021,0.2,4696.56005859375,4590.0,4670.0,4.15,4.000000000000001,8.150000000000002,50.0,50.0,-18.71005859375,41.849999999999994,False,-0.14999999999999963,False,-0.4470742794205496
2021-12-22,2021-12-23,2021,0.1,4725.7900390625,4635.0,4725.0,1.8,1.4,3.2,50.0,50.0,2.1099609375000004,46.8,True,2.1099609375000004,True,0.04508463541666668
2021-12-22,2021-12-23,2021,0.12,4725.7900390625,4640.0,4725.0,2.1750000000000003,1.4,3.575,50.0,50.0,2.4849609375000004,46.425,True,2.4849609375000004,True,0.05352635298869145
2021-12-22,2021-12-23,2021,0.15,4725.7900390625,4645.0,4720.0,2.625,2.0250000000000004,4.65,50.0,50.0,-1.4400390624999997,45.35,False,0.29999999999999966,True,-0.03175389332965821
2021-12-22,2021-12-23,2021,0.2,4725.7900390625,4655.0,4715.0,3.7500000000000004,2.85,6.6000000000000005,50.0,50.0,-4.490039062499999,43.4,False,0.6000000000000003,True,-0.10345712125576036
2021-12-28,2021-12-29,2021,0.1,4793.06005859375,4745.0,4835.0,1.275,1.125,2.4,50.0,50.0,2.1,47.6,True,2.1,True,0.04411764705882353
2021-12-28,2021-12-29,2021,0.12,4793.06005859375,4750.0,4830.0,1.5749999999999997,1.55,3.125,50.0,50.0,2.825,46.875,True,2.825,True,0.06026666666666667
2021-12-28,2021-12-29,2021,0.15,4793.06005859375,4760.0,4825.0,2.275,2.0999999999999996,4.375,50.0,50.0,4.075,45.625,True,4.075,True,0.08931506849315068
2021-12-28,2021-12-29,2021,0.2,4793.06005859375,4765.0,4820.0,2.8,2.9250000000000003,5.725,50.0,50.0,5.425,44.275,True,5.425,True,0.1225296442687747
2021-12-30,2021-12-31,2021,0.1,4766.18017578125,4740.0,4820.0,1.2,1.125,2.325,50.0,50.0,2.0250000000000004,47.675,True,2.0250000000000004,True,0.04247509176717358
2021-12-30,2021-12-31,2021,0.12,4766.18017578125,4745.0,4815.0,1.45,1.625,3.075,50.0,50.0,2.7750000000000004,46.925,True,2.7750000000000004,True,0.05913692061800747
2021-12-30,2021-12-31,2021,0.15,4766.18017578125,4750.0,4810.0,1.8249999999999997,2.425,4.25,50.0,50.0,3.95,45.75,True,3.95,True,0.08633879781420765
2021-12-30,2021-12-31,2021,0.2,4766.18017578125,4760.0,4810.0,2.8,2.425,5.225,50.0,50.0,4.925,44.775,True,4.925,True,0.10999441652707985
2022-01-04,2022-01-05,2022,0.1,4700.580078125,4755.0,4840.0,1.4,1.0999999999999999,2.5,50.0,50.0,-47.8,47.5,False,-0.5999999999999999,False,-1.006315789473684
2022-01-04,2022-01-05,2022,0.12,4700.580078125,4760.0,4835.0,1.725,1.575,3.3,50.0,50.0,-47.0,46.7,False,-0.45000000000000034,False,-1.006423982869379
2022-01-04,2022-01-05,2022,0.15,4700.580078125,4765.0,4830.0,2.15,2.2749999999999995,4.424999999999999,50.0,50.0,-45.875,45.575,False,-0.17500000000000088,False,-1.0065825562260011
2022-01-04,2022-01-05,2022,0.2,4700.580078125,4775.0,4825.0,3.3499999999999996,3.2499999999999996,6.6,50.0,50.0,-43.699999999999996,43.4,False,-0.39999999999999963,False,-1.0069124423963134
2022-01-06,2022-01-07,2022,0.1,4677.02978515625,4630.0,4750.0,1.8000000000000003,1.8,3.6000000000000005,50.0,50.0,3.3000000000000007,46.4,True,3.3000000000000007,True,0.07112068965517243
2022-01-06,2022-01-07,2022,0.12,4677.02978515625,4640.0,4745.0,2.6,2.3,4.9,50.0,50.0,4.6000000000000005,45.1,True,4.6000000000000005,True,0.10199556541019957
2022-01-06,2022-01-07,2022,0.15,4677.02978515625,4645.0,4740.0,3.05,2.95,6.0,50.0,50.0,5.7,44.0,True,5.7,True,0.12954545454545455
2022-01-06,2022-01-07,2022,0.2,4677.02978515625,4655.0,4735.0,4.199999999999999,3.849999999999999,8.049999999999999,50.0,50.0,7.749999999999999,41.95,True,7.749999999999999,True,0.1847437425506555
2022-01-11,2022-01-12,2022,0.1,4726.35009765625,4635.0,4760.0,1.8750000000000002,1.45,3.325,50.0,50.0,3.0250000000000004,46.675,True,3.0250000000000004,True,0.06480985538296734
2022-01-11,2022-01-12,2022,0.12,4726.35009765625,4645.0,4755.0,2.5,1.9249999999999998,4.425,50.0,50.0,4.125,45.575,True,4.125,True,0.09051014810751508
2022-01-11,2022-01-12,2022,0.15,4726.35009765625,4655.0,4750.0,3.2,2.5250000000000004,5.7250000000000005,50.0,50.0,5.425000000000001,44.275,True,5.425000000000001,True,0.12252964426877472
2022-01-11,2022-01-12,2022,0.2,4726.35009765625,4665.0,4740.0,4.200000000000001,4.324999999999999,8.525,50.0,50.0,8.225,41.475,True,8.225,True,0.19831223628691982
2022-01-13,2022-01-14,2022,0.1,4662.85009765625,4590.0,4730.0,2.0000000000000004,1.5,3.5000000000000004,50.0,50.0,3.2000000000000006,46.5,True,3.2000000000000006,True,0.06881720430107528
2022-01-13,2022-01-14,2022,0.12,4662.85009765625,4600.0,4725.0,2.65,1.9250000000000003,4.575,50.0,50.0,4.275,45.425,True,4.275,True,0.0941111722619703
2022-01-13,2022-01-14,2022,0.15,4662.85009765625,4610.0,4720.0,3.4500000000000006,2.45,5.9,50.0,50.0,5.6000000000000005,44.1,True,5.6000000000000005,True,0.126984126984127
2022-01-13,2022-01-14,2022,0.2,4662.85009765625,4620.0,4710.0,4.449999999999999,3.9000000000000004,8.35,50.0,50.0,8.049999999999999,41.65,True,8.049999999999999,True,0.19327731092436973
2022-01-18,2022-01-19,2022,0.1,4532.759765625,4485.0,4645.0,2.25,2.2250000000000005,4.4750000000000005,50.0,50.0,4.175000000000001,45.525,True,4.175000000000001,True,0.09170785282811644
2022-01-18,2022-01-19,2022,0.12,4532.759765625,4495.0,4640.0,3.0,2.725,5.725,50.0,50.0,5.425,44.275,True,5.425,True,0.1225296442687747
2022-01-18,2022-01-19,2022,0.15,4532.759765625,4505.0,4635.0,3.9500000000000006,3.3499999999999996,7.300000000000001,50.0,50.0,7.000000000000001,42.7,True,7.000000000000001,True,0.1639344262295082
2022-01-18,2022-01-19,2022,0.2,4532.759765625,4520.0,4620.0,5.75,5.75,11.5,50.0,50.0,11.2,38.5,True,11.2,True,0.2909090909090909
2022-01-20,2022-01-21,2022,0.1,4397.93994140625,4100.0,4580.0,0.024999999999999994,1.9750000000000003,2.0000000000000004,50.0,50.0,1.7000000000000004,48.0,True,1.7000000000000004,True,0.03541666666666667
2022-01-20,2022-01-21,2022,0.12,4397.93994140625,4415.0,4575.0,2.874999999999999,2.825,5.699999999999999,50.0,50.0,-11.660058593750001,44.3,False,-0.3499999999999989,False,-0.26320674026523705
2022-01-20,2022-01-21,2022,0.15,4397.93994140625,4430.0,4570.0,4.9,2.875,7.775,50.0,50.0,-24.585058593750002,42.225,False,-2.325,False,-0.5822393983126111
2022-01-20,2022-01-21,2022,0.2,4397.93994140625,4445.0,4540.0,5.450000000000001,3.0749999999999997,8.525,50.0,50.0,-38.83505859375,41.475,False,-2.6750000000000016,False,-0.9363486098553345
2022-01-25,2022-01-26,2022,0.1,4349.93017578125,4225.0,4500.0,3.2749999999999995,3.400000000000001,6.675000000000001,50.0,50.0,6.375000000000001,43.325,True,6.375000000000001,True,0.14714368147720716
2022-01-25,2022-01-26,2022,0.12,4349.93017578125,4240.0,4490.0,4.1,4.275,8.375,50.0,50.0,8.075,41.625,True,8.075,True,0.19399399399399397
2022-01-25,2022-01-26,2022,0.15,4349.93017578125,4255.0,4480.0,5.249999999999999,5.324999999999999,10.575,50.0,50.0,10.274999999999999,39.425,True,10.274999999999999,True,0.2606214331008243
2022-01-25,2022-01-26,2022,0.2,4349.93017578125,4280.0,4460.0,7.35,7.7,15.05,50.0,50.0,14.75,34.95,True,14.75,True,0.4220314735336194
2022-01-27,2022-01-28,2022,0.1,4431.85009765625,4225.0,4460.0,3.349999999999999,2.7499999999999996,6.099999999999999,50.0,50.0,5.799999999999999,43.9,True,5.799999999999999,True,0.13211845102505693
2022-01-27,2022-01-28,2022,0.12,4431.85009765625,4235.0,4450.0,4.025,3.3999999999999995,7.425,50.0,50.0,7.125,42.575,True,7.125,True,0.1673517322372284
2022-01-27,2022-01-28,2022,0.15,4431.85009765625,4250.0,4440.0,5.325,4.225,9.55,50.0,50.0,9.25,40.45,True,9.25,True,0.22867737948084052
2022-01-27,2022-01-28,2022,0.2,4431.85009765625,4265.0,4420.0,6.8,6.45,13.25,50.0,50.0,1.09990234375,36.75,True,1.09990234375,True,0.029929315476190474
2022-02-01,2022-02-02,2022,0.1,4589.3798828125,4470.0,4605.0,1.8000000000000003,2.1999999999999997,4.0,50.0,50.0,3.7,46.0,True,3.7,True,0.08043478260869566
2022-02-01,2022-02-02,2022,0.12,4589.3798828125,4480.0,4600.0,2.55,2.6750000000000003,5.225,50.0,50.0,4.925,44.775,True,4.925,True,0.10999441652707985
2022-02-01,2022-02-02,2022,0.15,4589.3798828125,4485.0,4595.0,2.95,3.2,6.15,50.0,50.0,5.8500000000000005,43.85,True,5.8500000000000005,True,0.13340935005701254
2022-02-01,2022-02-02,2022,0.2,4589.3798828125,4500.0,4585.0,4.699999999999999,4.625,9.325,50.0,50.0,4.6451171874999995,40.675,True,4.6451171874999995,True,0.11420079133374308
2022-02-03,2022-02-04,2022,0.1,4500.52978515625,4375.0,4570.0,2.6,2.2499999999999996,4.85,50.0,50.0,4.55,45.15,True,4.55,True,0.10077519379844961
2022-02-03,2022-02-04,2022,0.12,4500.52978515625,4385.0,4560.0,3.3,3.075,6.375,50.0,50.0,6.075,43.625,True,6.075,True,0.13925501432664758
2022-02-03,2022-02-04,2022,0.15,4500.52978515625,4400.0,4550.0,4.35,4.1,8.45,50.0,50.0,8.149999999999999,41.55,True,8.149999999999999,True,0.1961492178098676
2022-02-03,2022-02-04,2022,0.2,4500.52978515625,4415.0,4540.0,5.85,5.45,11.3,50.0,50.0,11.0,38.7,True,11.0,True,0.2842377260981912
2022-02-08,2022-02-09,2022,0.1,4587.18017578125,4440.0,4575.0,2.2750000000000004,1.9249999999999998,4.2,50.0,50.0,-8.28017578125,45.8,False,0.050000000000000544,True,-0.18078986421943233
2022-02-08,2022-02-09,2022,0.12,4587.18017578125,4445.0,4570.0,2.65,2.4750000000000005,5.125,50.0,50.0,-12.35517578125,44.875,False,-0.12500000000000105,False,-0.2753242513927577
2022-02-08,2022-02-09,2022,0.15,4587.18017578125,4455.0,4565.0,3.400000000000001,3.0749999999999997,6.4750000000000005,50.0,50.0,-16.00517578125,43.525,False,0.025000000000001077,True,-0.3677237399483056
2022-02-08,2022-02-09,2022,0.2,4587.18017578125,4470.0,4555.0,4.975,4.699999999999999,9.674999999999999,50.0,50.0,-22.805175781250004,40.325,False,-0.024999999999999634,False,-0.5655344273093614
2022-02-10,2022-02-11,2022,0.1,4418.64013671875,4395.0,4575.0,2.525,2.25,4.775,50.0,50.0,4.4750000000000005,45.225,True,4.4750000000000005,True,0.09894969596462135
2022-02-10,2022-02-11,2022,0.12,4418.64013671875,4405.0,4565.0,3.1999999999999997,3.2249999999999996,6.424999999999999,50.0,50.0,6.124999999999999,43.575,True,6.124999999999999,True,0.1405622489959839
2022-02-10,2022-02-11,2022,0.15,4418.64013671875,4415.0,4560.0,4.1,3.8,7.8999999999999995,50.0,50.0,7.6,42.1,True,7.6,True,0.18052256532066507
2022-02-10,2022-02-11,2022,0.2,4418.64013671875,4430.0,4545.0,5.65,5.975,11.625,50.0,50.0,-0.03486328124999999,38.375,False,0.0249999999999993,True,-0.0009084894136807814
2022-02-15,2022-02-16,2022,0.1,4475.009765625,4360.0,4520.0,2.4000000000000004,2.6,5.0,50.0,50.0,4.7,45.0,True,4.7,True,0.10444444444444445
2022-02-15,2022-02-16,2022,0.12,4475.009765625,4370.0,4515.0,3.05,3.225,6.275,50.0,50.0,5.9750000000000005,43.725,True,5.9750000000000005,True,0.13664951400800457
